"","ts","pr","rt"
"1","15.07.2021",7068.98,0
"2","14.07.2021",7079.5,0.00148708581256529
"3","13.07.2021",7046.47,-0.00467650153529069
"4","12.07.2021",7022.68,-0.0033818706423551
"5","11.07.2021",6993.27,-0.00419665355025109
"6","08.07.2021",6963.23,-0.00430481086092492
"7","07.07.2021",6969.64,0.000920126356198444
"8","06.07.2021",6984.89,0.00218567104316238
"9","05.07.2021",6995.32,0.0014921094797724
"10","04.07.2021",6948.63,-0.00669683618981201
"11","01.07.2021",6899.27,-0.00712890893853151
"12","30.06.2021",6835.43,-0.00929622922278434
"13","29.06.2021",6763.08,-0.0106409720892928
"14","28.06.2021",6749.16,-0.00206035489663773
"15","27.06.2021",6706.65,-0.00631848122526396
"16","24.06.2021",6576.05,-0.0196653103395785
"17","23.06.2021",6642.97,0.0101248915096945
"18","22.06.2021",6650.95,0.00120054896651649
"19","21.06.2021",6615.94,-0.00527781285106378
"20","20.06.2021",6648.91,0.00497104270220541
"21","17.06.2021",6646.83,-0.000312882173834398
"22","16.06.2021",6697.09,0.0075330544060133
"23","15.06.2021",6740.68,0.00648770635202564
"24","14.06.2021",6736.11,-0.0006782030698955
"25","13.06.2021",6701.88,-0.00509452292109459
"26","10.06.2021",6716.14,0.0021255006876717
"27","09.06.2021",6711.3,-0.000720911835706344
"28","08.06.2021",6670.65,-0.00607536645000334
"29","07.06.2021",6646.14,-0.00368107144085832
"30","06.06.2021",6623.41,-0.00342589194529268
"31","03.06.2021",6606.13,-0.0026123372130851
"32","02.06.2021",6626.24,0.00303951831493085
"33","01.06.2021",6613.37,-0.00194416664143703
"34","31.05.2021",6558.71,-0.00829942025097858
"35","30.05.2021",6513.09,-0.0069799392915051
"36","27.05.2021",6548.19,0.00537467759590175
"37","26.05.2021",6564.31,0.00245872383159338
"38","25.05.2021",6632.9,0.0103947148821965
"39","24.05.2021",6614.56,-0.00276883443571519
"40","23.05.2021",6546.1,-0.0104038273925386
"41","20.05.2021",6517.85,-0.00432488551070906
"42","19.05.2021",6518.61,0.00011659606992397
"43","18.05.2021",6528.39,0.00149919549808906
"44","17.05.2021",6477.57,-0.00781491849024368
"45","16.05.2021",6427.94,-0.00769132636543437
"46","10.05.2021",6209.43,-0.0345850093756168
"47","09.05.2021",6218.22,0.00141458786911057
"48","06.05.2021",6152.09,-0.0106918306770086
"49","05.05.2021",6115.94,-0.00589338380000824
"50","04.05.2021",6117.46,0.000248500009453285
"51","03.05.2021",6094.73,-0.00372251434798768
"52","02.05.2021",6076.84,-0.00293963932064683
"53","29.04.2021",6046.81,-0.00495396376763126
"54","28.04.2021",6083.28,0.00601316394034154
"55","27.04.2021",6120.22,0.00605401939187786
"56","26.04.2021",6146.32,0.00425548514697663
"57","25.04.2021",6117.17,-0.00475395746225853
"58","22.04.2021",6101.63,-0.00254362267631357
"59","21.04.2021",6061.31,-0.00663000026228642
"60","20.04.2021",6155.42,0.015407046177221
"61","19.04.2021",6102.21,-0.008681993865672
"62","18.04.2021",6124.09,0.00357917331617461
"63","15.04.2021",6131.69,0.00124023129889347
"64","14.04.2021",6039.26,-0.0151889173786189
"65","13.04.2021",6019.44,-0.00328725614668162
"66","12.04.2021",6091.64,0.0119231076551872
"67","11.04.2021",6070.1,-0.00354225999288717
"68","08.04.2021",6059.05,-0.0018220572846519
"69","07.04.2021",6033.14,-0.00428541722428335
"70","06.04.2021",6080.52,0.00782261374534924
"71","05.04.2021",6015.33,-0.0107790078720741
"72","04.04.2021",5953.22,-0.0103789611196734
"73","01.04.2021",5941.52,-0.00196725674934403
"74","31.03.2021",5912.56,-0.00488609113750266
"75","30.03.2021",5910.66,-0.000321401448396619
"76","29.03.2021",5824.13,-0.0147478682358707
"77","28.03.2021",5756.85,-0.0116191819567105
"78","25.03.2021",5726.61,-0.005266717505093
"79","24.03.2021",5745.28,0.00325491553409845
"80","23.03.2021",5735.4,-0.00172115283049702
"81","22.03.2021",5733.44,-0.000341795686238728
"82","21.03.2021",5723.1,-0.00180508300195154
"83","18.03.2021",5735.69,0.00219744057900659
"84","17.03.2021",5746.17,0.00182548871181231
"85","16.03.2021",5749.08,0.000506296089630392
"86","15.03.2021",5707.83,-0.00720092559785602
"87","14.03.2021",5683.96,-0.00419074349762298
"88","11.03.2021",5636.83,-0.00832632215313493
"89","10.03.2021",5606.82,-0.00533813686177993
"90","09.03.2021",5583.12,-0.00423595397973871
"91","08.03.2021",5685.09,0.0180991982939918
"92","07.03.2021",5691.46,0.00111984752243801
"93","04.03.2021",5692.75,0.000226629692446232
"94","03.03.2021",5699.52,0.00118852534164617
"95","02.03.2021",5710.51,0.00192637589885166
"96","01.03.2021",5663.04,-0.00834748616645192
"97","28.02.2021",5663.62,0.000102413244594127
"98","25.02.2021",5627.99,-0.00631090132484812
"99","24.02.2021",5629.54,0.000275371242145402
"100","23.02.2021",5670.93,0.007325391791107
"101","22.02.2021",5661.52,-0.00166071805526951
"102","21.02.2021",5656.64,-0.000862331033030738
"103","18.02.2021",5642.85,-0.00244081933720432
"104","17.02.2021",5636.24,-0.00117208050591324
"105","16.02.2021",5663.86,0.00488846204954766
"106","15.02.2021",5648.58,-0.00270145243512245
"107","14.02.2021",5666.09,0.00309509936715603
"108","11.02.2021",5667.03,0.000165885475871541
"109","10.02.2021",5666.8,-4.05864566578593e-05
"110","09.02.2021",5662.57,-0.000746731759410733
"111","08.02.2021",5655.56,-0.00123872068908225
"112","07.02.2021",5672.03,0.00290794628090626
"113","04.02.2021",5664.1,-0.00139906675267598
"114","03.02.2021",5674.67,0.00186440029417053
"115","02.02.2021",5698.15,0.0041291488585773
"116","01.02.2021",5634.76,-0.0111870051202479
"117","31.01.2021",5593.48,-0.00735292191563732
"118","28.01.2021",5641.77,0.00859621234327572
"119","27.01.2021",5661.84,0.00355108166161475
"120","26.01.2021",5582.67,-0.0140817711497211
"121","25.01.2021",5617.85,0.00628187185757488
"122","24.01.2021",5613.17,-0.000833406096842619
"123","21.01.2021",5611.3,-0.000333200590727347
"124","20.01.2021",5676.15,0.0114907642650854
"125","19.01.2021",5661.85,-0.00252249207665074
"126","18.01.2021",5489.57,-0.0309007657051959
"127","17.01.2021",5279.98,-0.0389276183958636
"128","14.01.2021",5266.72,-0.00251453193639169
"129","13.01.2021",5290.73,0.00454845467307079
"130","12.01.2021",5258.17,-0.00617317509880402
"131","11.01.2021",5237.48,-0.00394259084486982
