"","ts","pr","rt"
"1","15.07.2021",35.23,0
"2","14.07.2021",34.12,-0.0320142697296679
"3","13.07.2021",36.73,0.0737101372080975
"4","12.07.2021",37.81,0.0289797580712657
"5","09.07.2021",38.88,0.0279063616893968
"6","08.07.2021",37.89,-0.025792754561729
"7","07.07.2021",37.54,-0.00928019387214677
"8","06.07.2021",39.26,0.0447991576899523
"9","02.07.2021",39.31,0.00127275058545407
"10","01.07.2021",39.87,0.0141452219594946
"11","30.06.2021",40.86,0.0245274279962124
"12","29.06.2021",42.19,0.0320316367467713
"13","28.06.2021",42.4,0.00496513610166474
"14","25.06.2021",40.41,-0.0480710831475299
"15","24.06.2021",40.27,-0.00347050422701932
"16","23.06.2021",40.96,0.0169892058678894
"17","22.06.2021",39.7,-0.0312447930381076
"18","21.06.2021",39.88,0.00452375740049282
"19","18.06.2021",39.45,-0.0108408978017543
"20","17.06.2021",39.82,0.00933525134416698
"21","16.06.2021",37.96,-0.0478363248943231
"22","15.06.2021",38.38,0.0110035168378267
"23","14.06.2021",39.14,0.0196084713883763
"24","11.06.2021",38.76,-0.0097561749453648
"25","10.06.2021",37.92,-0.0219101096357443
"26","09.06.2021",35.82,-0.0569722807542554
"27","08.06.2021",35.32,-0.0140570208968065
"28","07.06.2021",37.76,0.0668009655415407
"29","04.06.2021",35.93,-0.0496777401518725
"30","03.06.2021",35.61,-0.00894610383574098
"31","02.06.2021",37.14,0.0420680586348735
"32","01.06.2021",36.63,-0.0138269791338367
"33","28.05.2021",37.81,0.0317060411121186
"34","27.05.2021",37.82,0.000264445327469967
"35","26.05.2021",37.1,-0.019221093616922
"36","25.05.2021",37.42,0.00858835123255416
"37","24.05.2021",36.61,-0.0218838937137988
"38","21.05.2021",36.12,-0.0134746985833603
"39","20.05.2021",36.14,0.00055355661529786
"40","19.05.2021",34.51,-0.0461511480541705
"41","18.05.2021",35.24,0.0209326639580669
"42","17.05.2021",34.41,-0.0238345812585899
"43","14.05.2021",34.54,0.00377085290914363
"44","13.05.2021",33.62,-0.0269969447380631
"45","12.05.2021",32.91,-0.021344565025221
"46","11.05.2021",33.14,0.00696444904316841
"47","10.05.2021",32.22,-0.0281536342495886
"48","07.05.2021",34.99,0.0824749286307684
"49","06.05.2021",36.6,0.0449859340277238
"50","05.05.2021",35.46,-0.0316429397612588
"51","04.05.2021",36.28,0.022861324600874
"52","03.05.2021",38.02,0.0468457118133473
"53","30.04.2021",41.6,0.0899878302069344
"54","29.04.2021",42.84,0.0293720783123305
"55","28.04.2021",43.39,0.0127567542307113
"56","27.04.2021",44.59,0.0272806188291261
"57","26.04.2021",44.52,-0.00157109223204121
"58","23.04.2021",43.07,-0.033111827341325
"59","22.04.2021",43.44,0.00855397655966062
"60","21.04.2021",42.16,-0.0299087713925731
"61","20.04.2021",40.3,-0.0451204352804695
"62","19.04.2021",41.33,0.0252371595710037
"63","16.04.2021",42.03,0.0167950204933843
"64","15.04.2021",43.03,0.023513897833483
"65","14.04.2021",42.59,-0.0102780629153861
"66","13.04.2021",43.39,0.0186095158751372
"67","12.04.2021",40.17,-0.0771085514390684
"68","09.04.2021",40.42,0.00620426360428404
"69","08.04.2021",42.05,0.039534674443482
