"","ts","pr","rt"
"1","03.10.2001",23.5,0
"2","04.10.2001",24,0.0210534091978323
"3","05.10.2001",24,0
"4","08.10.2001",24,0
"5","09.10.2001",24,0
"6","10.10.2001",24,0
"7","11.10.2001",24,0
"8","12.10.2001",24,0
"9","15.10.2001",24,0
"10","16.10.2001",24,0
"11","17.10.2001",24.25,0.0103627870355467
"12","18.10.2001",24.25,0
"13","19.10.2001",24.25,0
"14","22.10.2001",23.5,-0.0314161962333789
"15","23.10.2001",23.5,0
"16","24.10.2001",23.5,0
"17","25.10.2001",23.5,0
"18","26.10.2001",23.5,0
"19","29.10.2001",23.5,0
"20","30.10.2001",23.5,0
"21","31.10.2001",23.5,0
"22","01.11.2001",23.5,0
"23","02.11.2001",23.5,0
"24","05.11.2001",23,-0.0215062052209636
"25","06.11.2001",22.5,-0.0219789067187752
"26","07.11.2001",21.5,-0.0454623740767573
"27","08.11.2001",21.5,0
"28","09.11.2001",21.5,0
"29","12.11.2001",21.5,0
"30","13.11.2001",21.5,0
"31","14.11.2001",21.75,0.011560822401076
"32","15.11.2001",21.5,-0.011560822401076
"33","16.11.2001",21.5,0
"34","19.11.2001",21.5,0
"35","20.11.2001",21.5,0
"36","21.11.2001",20.5,-0.0476280489892546
"37","22.11.2001",20.5,0
"38","23.11.2001",20.5,0
"39","26.11.2001",20,-0.0246926125903715
"40","27.11.2001",20,0
"41","28.11.2001",19,-0.0512932943875506
"42","29.11.2001",19,0
"43","30.11.2001",19,0
"44","03.12.2001",19,0
"45","04.12.2001",19,0
"46","05.12.2001",19,0
"47","06.12.2001",18.75,-0.0132452267500207
"48","07.12.2001",18.75,0
"49","10.12.2001",18,-0.0408219945202552
"50","11.12.2001",18,0
"51","12.12.2001",18,0
"52","13.12.2001",18,0
"53","14.12.2001",18,0
"54","17.12.2001",18,0
"55","18.12.2001",18,0
"56","19.12.2001",18,0
"57","20.12.2001",18,0
"58","21.12.2001",16,-0.117783035656384
"59","24.12.2001",16,0
"60","25.12.2001",16,0
"61","26.12.2001",16,0
"62","27.12.2001",16,0
"63","28.12.2001",16,0
"64","31.12.2001",16,0
"65","01.01.2002",16,0
"66","02.01.2002",16,0
"67","03.01.2002",16,0
"68","04.01.2002",16,0
"69","07.01.2002",16,0
"70","08.01.2002",16,0
"71","09.01.2002",16,0
"72","10.01.2002",15.25,-0.0480092191863606
"73","11.01.2002",15.25,0
"74","14.01.2002",15.25,0
"75","15.01.2002",15,-0.0165293019512106
"76","16.01.2002",15,0
"77","17.01.2002",15,0
"78","18.01.2002",15,0
"79","21.01.2002",15,0
"80","22.01.2002",15,0
"81","23.01.2002",15,0
"82","24.01.2002",15,0
"83","25.01.2002",15,0
"84","28.01.2002",15,0
"85","29.01.2002",15,0
"86","30.01.2002",15,0
"87","31.01.2002",15,0
"88","01.02.2002",15,0
"89","04.02.2002",15,0
"90","05.02.2002",15,0
"91","06.02.2002",15,0
"92","07.02.2002",15,0
"93","08.02.2002",15,0
"94","11.02.2002",15,0
"95","12.02.2002",15,0
"96","13.02.2002",15,0
"97","14.02.2002",15,0
"98","15.02.2002",15,0
"99","18.02.2002",15,0
"100","19.02.2002",15,0
"101","20.02.2002",15,0
"102","21.02.2002",15,0
"103","22.02.2002",15,0
"104","25.02.2002",15,0
"105","26.02.2002",15,0
"106","27.02.2002",15,0
"107","28.02.2002",15,0
"108","01.03.2002",15,0
"109","04.03.2002",15,0
"110","05.03.2002",15,0
"111","06.03.2002",15,0
"112","07.03.2002",15,0
"113","08.03.2002",15,0
"114","11.03.2002",15,0
"115","12.03.2002",15,0
"116","13.03.2002",15,0
"117","14.03.2002",15,0
"118","15.03.2002",15,0
"119","18.03.2002",15,0
"120","19.03.2002",15,0
"121","20.03.2002",15,0
"122","21.03.2002",15,0
"123","22.03.2002",15,0
"124","25.03.2002",15,0
"125","26.03.2002",15,0
"126","27.03.2002",15,0
"127","28.03.2002",15,0
"128","29.03.2002",15,0
"129","01.04.2002",15,0
"130","02.04.2002",15,0
"131","03.04.2002",15,0
"132","04.04.2002",15,0
"133","05.04.2002",15,0
"134","08.04.2002",15,0
"135","09.04.2002",15,0
"136","10.04.2002",15,0
"137","11.04.2002",15,0
"138","12.04.2002",15,0
"139","15.04.2002",15,0
"140","16.04.2002",15,0
"141","17.04.2002",15,0
"142","18.04.2002",15,0
