"","ts","pr","rt"
"1","20.07.0015",3.89,0
"2","20.07.0014",3.935,0.0115017242390117
"3","20.07.0013",3.975,0.0101138662369288
"4","20.07.0012",4.08,0.0260722403097751
"5","20.07.0009",3.965,-0.028591133329259
"6","20.07.0008",3.91,-0.0139684810895369
"7","20.07.0007",3.95,0.0101782049157561
"8","20.07.0006",3.965,0.00379027617378083
"9","20.07.0005",4.01,0.0112853862316664
"10","20.07.0002",4.06,0.0123917322951635
"11","20.07.0001",4.1,0.00980400009662083
"12","20.06.0030",4.1,0
"13","20.06.0029",4.12,0.00486618965117291
"14","20.06.0028",4.17,0.0120628724492749
"15","20.06.0025",4.215,0.0107335556431086
"16","20.06.0024",4.22,0.00118553659410154
"17","20.06.0023",4.22,0
"18","20.06.0022",4.265,0.0106070528957219
"19","20.06.0018",4.165,-0.0237259053248363
"20","20.06.0017",4.26,0.0225528846624729
"21","20.06.0016",4.3,0.0093458624182376
"22","20.06.0015",4.25,-0.0116960397631912
"23","20.06.0014",4.3,0.0116960397631912
"24","20.06.0011",4.295,-0.00116346726329807
"25","20.06.0010",4.32,0.00580384681980027
"26","20.06.0009",4.235,-0.0198720741520012
"27","20.06.0008",4.275,0.00940077428470589
"28","20.06.0007",4.255,-0.00468934036338617
"29","20.06.0004",4.28,0.00585824756836807
"30","20.06.0003",4.285,0.00116754245603765
"31","20.06.0002",4.29,0.00116618089018239
"32","20.06.0001",4.27,-0.00467290569939248
"33","20.05.0031",4.2,-0.0165293019512105
"34","20.05.0028",4.2,0
"35","20.05.0027",4.165,-0.00836824967051669
"36","20.05.0026",4.19,0.00598445831524049
"37","20.05.0025",4.265,0.0177414470095958
"38","20.05.0024",4.22,-0.010607052895722
"39","20.05.0021",4.135,-0.0203477995722658
"40","20.05.0020",4.15,0.00362100576695236
"41","20.05.0019",4.15,0
"42","20.05.0018",4.31,0.0378295698730494
"43","20.05.0017",4.28,-0.00698489452195087
"44","20.05.0014",4.32,0.00930239266231363
"45","20.05.0013",4.28,-0.00930239266231356
"46","20.05.0012",4.185,-0.0224463056522669
"47","20.05.0011",4.18,-0.00119545740477363
"48","20.05.0010",4.24,0.0142520227072016
"49","20.05.0007",4.115,-0.0299244351148332
"50","20.05.0006",4.2,0.0204456911602895
"51","20.05.0005",4.14,-0.0143887374520998
"52","20.04.0029",4.11,-0.00727275932907958
"53","20.04.0028",4.045,-0.0159414779976884
"54","20.04.0027",4.01,-0.0086903091919772
"55","20.04.0026",4.12,0.0270619220429574
"56","20.04.0023",4,-0.0295588022415444
"57","20.04.0022",4,0
"58","20.04.0021",3.92,-0.0202027073175195
"59","20.04.0020",3.98,0.0151901654939752
"60","20.04.0019",3.98,0
"61","20.04.0016",4.1,0.0297051544139157
"62","20.04.0015",4.15,0.012121360532345
"63","20.04.0014",4.1,-0.012121360532345
"64","20.04.0013",4.05,-0.0122700925918144
"65","20.04.0012",4.035,-0.0037105793965356
"66","20.04.0009",4.085,0.0123154265900541
"67","20.04.0008",4.1,0.00366524539829587
"68","20.04.0007",4.08,-0.00488998529419168
"69","20.04.0006",4.1,0.00488998529419177
"70","20.04.0001",3.97,-0.032220879011163
"71","20.03.0031",3.925,-0.0113997434647274
"72","20.03.0030",3.985,0.0151709610078066
"73","20.03.0029",4.05,0.0161795688762695
"74","20.03.0026",4,-0.0124225199985571
"75","20.03.0024",3.895,-0.026600681797179
"76","20.03.0023",3.91,0.00384369467456294
"77","20.03.0022",3.95,0.0101782049157561
"78","20.03.0019",3.9,-0.0127390257774298
"79","20.03.0018",4.04,0.0352681388374581
"80","20.03.0017",4,-0.00995033085316809
"81","20.03.0016",4,0
"82","20.03.0012",3.91,-0.0227569871226162
"83","20.03.0011",3.9,-0.0025608208616737
"84","20.03.0010",3.845,-0.0142029501779934
"85","20.03.0009",3.8,-0.0117725362252673
"86","20.03.0008",3.795,-0.00131665588474679
"87","20.03.0005",3.79,-0.00131839175325822
"88","20.03.0004",3.835,0.0118034157248844
"89","20.03.0003",3.78,-0.0144454251877232
"90","20.03.0002",3.8,0.00527705710084382
"91","20.03.0001",3.77,-0.0079260652724206
"92","20.02.0026",3.685,-0.0228044758186195
"93","20.02.0025",3.65,-0.00954335804689986
"94","20.02.0024",3.6,-0.0137933221323358
"95","20.02.0023",3.55,-0.01398624197474
"96","20.02.0022",3.6,0.0139862419747399
"97","20.02.0019",3.6,0
"98","20.02.0018",3.565,-0.00976979159580514
"99","20.02.0017",3.58,0.00419874654634976
"100","20.02.0016",3.63,0.0138698478641504
"101","20.02.0015",3.645,0.00412371718386216
"102","20.02.0012",3.53,-0.0320584945154161
"103","20.02.0011",3.54,0.00282885620047784
"104","20.02.0010",3.485,-0.0156586829331959
"105","20.02.0009",3.48,-0.00143575042610415
"106","20.02.0008",3.6,0.0339015516756814
"107","20.02.0005",3.54,-0.0168071183163813
"108","20.02.0004",3.575,0.00983844900028794
"109","20.02.0003",3.59,0.00418702635421645
"110","20.02.0002",3.6,0.00278164296187677
"111","20.02.0001",3.51,-0.02531780798429
"112","20.01.0029",3.495,-0.00428266179200074
"113","20.01.0028",3.59,0.026818826814414
"114","20.01.0027",3.505,-0.0239616820136341
"115","20.01.0026",3.6,0.0267433249755109
"116","20.01.0025",3.56,-0.0111733005981252
"117","20.01.0022",3.65,0.0249666227304609
"118","20.01.0021",3.74,0.0243584438320404
"119","20.01.0020",3.74,0
"120","20.01.0019",3.82,0.0211648111920431
"121","20.01.0018",3.765,-0.0145025613666268
"122","20.01.0015",3.78,0.00397614837963942
"123","20.01.0014",3.83,0.0131407935610583
"124","20.01.0013",3.88,0.0129703504426274
"125","20.01.0012",3.85,-0.00776200533548919
"126","20.01.0011",3.82,-0.00782272568120916
"127","20.01.0008",4,0.0460439385014068
"128","20.01.0007",4.04,0.00995033085316809
"129","20.01.0005",3.945,-0.0237957376752212
"130","20.01.0004",4.02,0.018832948333092
"131","20.12.0031",3.895,-0.031588223308218
"132","20.12.0030",3.9,0.00128287381288912
"133","20.12.0029",3.89,-0.00256739550524581
"134","20.12.0028",3.9,0.00256739550524573
"135","20.12.0023",3.78,-0.0312525435041044
"136","20.12.0022",3.765,-0.00397614837963929
"137","20.12.0021",3.845,0.0210257417057504
"138","20.12.0018",3.93,0.0218658229235625
"139","20.12.0017",3.91,-0.00510205188389551
"140","20.12.0016",3.85,-0.0154642256975816
"141","20.12.0015",3.905,0.0141846349919564
"142","20.12.0014",3.99,0.0215334476101229
"143","20.12.0011",3.94,-0.0126105075919297
"144","20.12.0010",3.82,-0.0309303006913586
"145","20.12.0009",4.015,0.0497869247802411
"146","20.12.0008",3.9,-0.0290607942631241
"147","20.12.0007",3.93,0.0076628727455691
"148","20.12.0004",3.72,-0.0549157575961147
"149","20.12.0003",3.47,-0.0695690743262874
"150","20.12.0002",3.37,-0.0292418495944975
"151","20.12.0001",3.29,-0.0240251795869899
"152","20.11.0030",3.17,-0.0371559768880913
"153","20.11.0027",3.265,0.0295281748392052
"154","20.11.0026",3.29,0.00762780204888607
"155","20.11.0025",3.17,-0.0371559768880913
"156","20.11.0024",3.175,0.00157604445546571
"157","20.11.0023",3.215,0.0125197253449278
"158","20.11.0020",3.25,0.0108276386520634
"159","20.11.0019",3.28,0.00918842605440617
"160","20.11.0018",3.31,0.00910476699291929
"161","20.11.0017",3.215,-0.0291208316993889
"162","20.11.0016",3.1,-0.0364252461984821
"163","20.11.0013",2.86,-0.0805804866593394
"164","20.11.0012",2.85,-0.003502630551202
"165","20.11.0011",2.84,-0.00351494210744461
"166","20.11.0010",2.9,0.0209066848193136
"167","20.11.0009",2.9,0
"168","20.11.0006",2.55,-0.128617377822094
"169","20.11.0005",2.55,0
"170","20.11.0004",2.535,-0.00589972212718816
"171","20.11.0003",2.54,0.00197044398729874
"172","20.11.0002",2.525,-0.00592301830312217
"173","20.10.0030",2.55,0.00985229644301164
"174","20.10.0029",2.49,-0.0238106486937183
"175","20.10.0027",2.595,0.0413038061412358
"176","20.10.0026",2.59,-0.00192864090640571
"177","20.10.0023",2.65,0.0229017642866844
"178","20.10.0022",2.685,0.0131210879626973
"179","20.10.0021",2.685,0
"180","20.10.0020",2.7,0.00557104504945543
"181","20.10.0019",2.695,-0.00185356864932306
"182","20.10.0016",2.745,0.0183828706005336
"183","20.10.0015",2.765,0.0072595600128041
"184","20.10.0014",2.82,0.0196962499757239
"185","20.10.0013",2.83,0.00353982670512421
"186","20.10.0012",2.8,-0.0106572944739881
"187","20.10.0009",2.92,0.0419641990990322
"188","20.10.0008",2.92,0
"189","20.10.0007",2.905,-0.00515022597631591
"190","20.10.0006",2.9,-0.00172265331144618
"191","20.10.0005",2.82,-0.0279738520424062
"192","20.10.0002",2.81,-0.00355240160436777
"193","20.10.0001",2.83,0.00709222830949184
"194","20.09.0030",2.82,-0.00353982670512417
"195","20.09.0029",2.79,-0.0106952891167479
"196","20.09.0028",2.8,0.0035778213478839
"197","20.09.0025",2.795,-0.00178731057409575
"198","20.09.0024",2.795,0
"199","20.09.0023",2.845,0.0177309609712319
"200","20.09.0022",2.86,0.00525855725346683
"201","20.09.0021",2.85,-0.003502630551202
"202","20.09.0018",2.99,0.047954393122036
"203","20.09.0017",2.96,-0.0100841190666262
"204","20.09.0016",2.945,-0.00508045123241906
"205","20.09.0015",3,0.0185034715645597
"206","20.09.0014",3.05,0.0165293019512105
"207","20.09.0011",2.84,-0.0713375384462056
"208","20.09.0010",2.795,-0.0159719455660521
"209","20.09.0009",2.78,-0.00538117890451682
"210","20.09.0008",2.805,0.0089526112721141
"211","20.09.0007",2.91,0.0367495422087414
"212","20.09.0004",2.87,-0.0138410514118715
"213","20.09.0003",2.93,0.0206903932574462
"214","20.09.0002",2.9,-0.0102916860365476
"215","20.09.0001",2.88,-0.0069204428445738
"216","20.08.0031",2.85,-0.0104712998672954
"217","20.08.0028",2.87,0.0069930354909706
"218","20.08.0027",2.85,-0.00699303549097064
"219","20.08.0026",2.89,0.0139375078437817
"220","20.08.0025",2.85,-0.0139375078437816
"221","20.08.0024",2.86,0.00350263055120207
"222","20.08.0021",2.86,0
"223","20.08.0020",2.91,0.0173314563516399
"224","20.08.0019",2.92,0.00343053509678922
"225","20.08.0018",2.86,-0.0207619914484291
