"","ts","pr","rt"
"1","21.02.1973",4.625,0
"2","22.02.1973",4.640625,0.00337268447863916
"3","23.02.1973",4.625,-0.00337268447863923
"4","26.02.1973",4.625,0
"5","27.02.1973",4.625,0
"6","28.02.1973",4.625,0
"7","01.03.1973",4.65625,0.00673403218134412
"8","02.03.1973",4.671875,0.00335008688528203
"9","05.03.1973",4.734375,0.0132892321186827
"10","06.03.1973",4.875,0.0292703823001132
"11","07.03.1973",4.875,0
"12","08.03.1973",4.90625,0.00638979809877099
"13","09.03.1973",4.90625,0
"14","12.03.1973",4.890625,-0.00318979536810015
"15","13.03.1973",4.90625,0.00318979536810008
"16","14.03.1973",4.921875,0.00317965291737981
"17","15.03.1973",4.90625,-0.00317965291737968
"18","16.03.1973",4.890625,-0.00318979536810015
"19","19.03.1973",4.84375,-0.0096308930609613
"20","20.03.1973",4.75,-0.0195445960729703
"21","21.03.1973",4.6875,-0.0132452267500207
"22","22.03.1973",4.609375,-0.0168071183163813
"23","23.03.1973",4.609375,0
"24","26.03.1973",4.59375,-0.00339558900113816
"25","27.03.1973",4.59375,0
"26","28.03.1973",4.65625,0.0135137191667229
"27","29.03.1973",4.71875,0.0133335308694652
"28","30.03.1973",4.71875,0
"29","02.04.1973",4.6875,-0.00664454271866861
"30","03.04.1973",4.65625,-0.00668898815079665
"31","04.04.1973",4.625,-0.00673403218134407
"32","05.04.1973",4.609375,-0.00338409798424057
"33","06.04.1973",4.609375,0
"34","09.04.1973",4.609375,0
"35","10.04.1973",4.71875,0.0234516610350499
"36","11.04.1973",4.75,0.00660068403135209
"37","12.04.1973",4.8125,0.0130720815673527
"38","13.04.1973",4.8125,0
"39","16.04.1973",4.8125,0
"40","17.04.1973",4.6875,-0.0263173083173734
"41","18.04.1973",4.671875,-0.0033389012655146
"42","19.04.1973",4.6875,0.00333890126551463
"43","23.04.1973",4.625,-0.0134230203321407
"44","24.04.1973",4.59375,-0.0067796869853788
"45","25.04.1973",4.5625,-0.00682596507039987
"46","26.04.1973",4.5625,0
"47","27.04.1973",4.53125,-0.00687287928776206
"48","30.04.1973",4.46875,-0.0138891121606672
"49","01.05.1973",4.4375,-0.00701757265864653
"50","02.05.1973",4.453125,0.00351494210744459
"51","03.05.1973",4.4375,-0.0035149421074445
"52","04.05.1973",4.484375,0.0105079775984152
"53","07.05.1973",4.5,0.00347826437632479
"54","08.05.1973",4.515625,0.00346620797648633
"55","09.05.1973",4.640625,0.0273054506902674
"56","10.05.1973",4.75,0.0232955626035221
"57","11.05.1973",4.765625,0.00328407520119002
"58","14.05.1973",4.59375,-0.03673200926873
"59","15.05.1973",4.578125,-0.00340715832161431
"60","16.05.1973",4.671875,0.0202709643736192
"61","17.05.1973",4.671875,0
"62","18.05.1973",4.625,-0.010084119066626
"63","21.05.1973",4.609375,-0.00338409798424057
"64","22.05.1973",4.65625,0.0101181301655847
"65","23.05.1973",4.671875,0.00335008688528203
"66","24.05.1973",4.78125,0.0231415285616943
"67","25.05.1973",4.84375,0.0129871955268111
"68","29.05.1973",4.875,0.00643089033029033
"69","30.05.1973",4.796875,-0.0161554402222853
"70","31.05.1973",4.796875,0
"71","01.06.1973",4.796875,0
"72","04.06.1973",4.578125,-0.0466751385701299
"73","05.06.1973",4.5,-0.0172121288811214
"74","06.06.1973",4.4375,-0.0139862419747398
"75","07.06.1973",4.46875,0.00701757265864654
"76","08.06.1973",4.484375,0.00349040493976857
"77","11.06.1973",4.5,0.00347826437632479
"78","12.06.1973",4.546875,0.0103627870355467
"79","13.06.1973",4.5625,0.00343053509678922
"80","14.06.1973",4.59375,0.00682596507039989
"81","15.06.1973",4.546875,-0.0102565001671891
"82","18.06.1973",4.46875,-0.01733145635164
"83","19.06.1973",4.421875,-0.010544913176615
"84","20.06.1973",4.390625,-0.00709222830949191
"85","21.06.1973",4.375,-0.00356506616449615
"86","22.06.1973",4.375,0
"87","25.06.1973",4.296875,-0.0180185055026784
"88","26.06.1973",4.328125,0.00724640852076725
"89","27.06.1973",4.3125,-0.00361664047018855
"90","28.06.1973",4.265625,-0.0109290705321903
"91","29.06.1973",4.28125,0.00365631120311048
"92","02.07.1973",4.3125,0.00727275932907988
"93","03.07.1973",4.296875,-0.00362976805057872
"94","05.07.1973",4.28125,-0.00364299127850109
"95","06.07.1973",4.28125,0
"96","09.07.1973",4.3125,0.00727275932907988
"97","10.07.1973",4.34375,0.0072202479734871
"98","11.07.1973",4.359375,0.00359066813072854
"99","12.07.1973",4.34375,-0.0035906681307286
"100","13.07.1973",4.375,0.0071684894786125
"101","16.07.1973",4.40625,0.00711746776886395
"102","17.07.1973",4.4375,0.00706716722309235
"103","18.07.1973",4.5625,0.0277795641070757
"104","19.07.1973",4.859375,0.0630391099109523
"105","20.07.1973",4.984375,0.0253981906056104
"106","23.07.1973",4.9375,-0.00944888919793251
"107","24.07.1973",4.90625,-0.00634922767865878
"108","25.07.1973",4.90625,0
"109","26.07.1973",4.90625,0
"110","27.07.1973",4.875,-0.00638979809877101
"111","30.07.1973",4.84375,-0.0064308903302904
"112","31.07.1973",4.84375,0
"113","01.08.1973",4.78125,-0.0129871955268112
"114","02.08.1973",4.703125,-0.0164748372035051
"115","03.08.1973",4.703125,0
"116","06.08.1973",4.6875,-0.00332779009267469
"117","07.08.1973",4.6875,0
"118","08.08.1973",4.640625,-0.0100503358535015
"119","09.08.1973",4.6875,0.0100503358535015
"120","10.08.1973",4.703125,0.00332779009267475
"121","13.08.1973",4.6875,-0.00332779009267469
"122","14.08.1973",4.6875,0
"123","15.08.1973",4.671875,-0.0033389012655146
"124","16.08.1973",4.671875,0
"125","17.08.1973",4.71875,0.00998344398418321
"126","20.08.1973",4.71875,0
"127","21.08.1973",4.71875,0
"128","22.08.1973",4.65625,-0.0133335308694651
"129","23.08.1973",4.65625,0
"130","24.08.1973",4.671875,0.00335008688528203
"131","27.08.1973",4.6875,0.00333890126551463
"132","28.08.1973",4.75,0.0132452267500207
"133","29.08.1973",4.8125,0.0130720815673527
"134","30.08.1973",4.75,-0.0130720815673528
"135","31.08.1973",4.78125,0.00655740054615904
"136","04.09.1973",4.796875,0.00326264563481637
"137","05.09.1973",4.765625,-0.00653597097978553
"138","06.09.1973",4.78125,0.00327332534496911
"139","07.09.1973",4.84375,0.0129871955268111
"140","10.09.1973",4.875,0.00643089033029033
"141","11.09.1973",4.8125,-0.0129034048359078
"142","12.09.1973",4.796875,-0.00325203538637734
"143","13.09.1973",4.8125,0.00325203538637732
"144","14.09.1973",4.8125,0
"145","17.09.1973",4.84375,0.00647251450561752
"146","18.09.1973",4.875,0.00643089033029033
"147","19.09.1973",4.9375,0.0127390257774297
"148","20.09.1973",4.921875,-0.00316957476127907
"149","21.09.1973",4.90625,-0.00317965291737968
"150","24.09.1973",4.96875,0.0126583968719235
"151","25.09.1973",4.9375,-0.00630916919326472
"152","26.09.1973",4.9375,0
"153","27.09.1973",4.90625,-0.00634922767865878
"154","28.09.1973",4.90625,0
"155","01.10.1973",4.90625,0
"156","02.10.1973",4.921875,0.00317965291737981
"157","03.10.1973",4.921875,0
"158","04.10.1973",4.921875,0
"159","05.10.1973",4.90625,-0.00317965291737968
"160","08.10.1973",4.90625,0
"161","09.10.1973",4.90625,0
"162","10.10.1973",4.984375,0.0157981168765913
"163","11.10.1973",5.109375,0.0247690681124087
"164","12.10.1973",5.1875,0.0151747980192351
"165","15.10.1973",5.15625,-0.00604231445596259
"166","16.10.1973",5.15625,0
"167","17.10.1973",5.171875,0.00302572091653689
"168","18.10.1973",5.171875,0
"169","19.10.1973",5.25,0.0149927845861413
"170","22.10.1973",5.1875,-0.0119761910467156
"171","23.10.1973",5.125,-0.0121213605323448
"172","24.10.1973",5.09375,-0.00611622701743609
"173","25.10.1973",5.109375,0.00306278953054573
"174","26.10.1973",5.125,0.00305343748689025
"175","29.10.1973",5.125,0
"176","30.10.1973",4.984375,-0.0278225055992992
"177","31.10.1973",4.90625,-0.0157981168765912
"178","01.11.1973",4.875,-0.00638979809877101
"179","02.11.1973",4.859375,-0.00321027563024821
"180","05.11.1973",4.859375,0
"181","06.11.1973",4.875,0.00321027563024819
"182","07.11.1973",5,0.0253178079842898
"183","08.11.1973",5.0625,0.0124225199985571
"184","09.11.1973",5.0625,0
"185","12.11.1973",5.046875,-0.00309119256967286
"186","13.11.1973",5.046875,0
"187","14.11.1973",4.96875,-0.0156009404424797
"188","15.11.1973",4.984375,0.00313972000466785
