"","ts","pr","rt"
"1","15.07.2021",1576.88,0
"2","14.07.2021",1576.28,-0.000380570606782887
"3","13.07.2021",1571.68,-0.00292252968533162
"4","12.07.2021",1572.09,0.000260833332161343
"5","11.07.2021",1579.92,0.00496826856901028
"6","08.07.2021",1575.02,-0.00310624223592331
"7","07.07.2021",1577.86,0.00180152797956293
"8","06.07.2021",1573.77,-0.00259548379475743
"9","05.07.2021",1579.09,0.00337471695476222
"10","04.07.2021",1579.05,-2.53313659319521e-05
"11","01.07.2021",1587.91,0.0055952857725733
"12","30.06.2021",1587.97,3.77848029567812e-05
"13","29.06.2021",1596.05,0.00507535589886107
"14","28.06.2021",1586.38,-0.00607713587458644
"15","27.06.2021",1583.85,-0.001596099044615
"16","24.06.2021",1579.15,-0.0029718643434654
"17","23.06.2021",1578.83,-0.000202661195508189
"18","22.06.2021",1572.44,-0.00405551333787662
"19","21.06.2021",1569,-0.00219007931075014
"20","20.06.2021",1568.3,-0.000446243592653667
"21","17.06.2021",1562.44,-0.0037435282671212
"22","16.06.2021",1562.88,0.000281571168972786
"23","15.06.2021",1563.99,0.000709975180692527
"24","14.06.2021",1560.87,-0.00199689012420924
"25","13.06.2021",1552.58,-0.0053252948280338
"26","10.06.2021",1546.07,-0.00420183601120858
"27","09.06.2021",1545.85,-0.000142306398853326
"28","08.06.2021",1540.72,-0.00332408124466138
"29","07.06.2021",1537.28,-0.0022352186044474
"30","06.06.2021",1542.12,0.00314347209554081
"31","03.06.2021",1538.37,-0.00243467880265406
"32","02.06.2021",1522.21,-0.0105601880537136
"33","01.06.2021",1519.17,-0.00199909318297258
"34","31.05.2021",1527.62,0.0055468356305201
"35","30.05.2021",1538.42,0.00704494701185495
"36","27.05.2021",1532.69,-0.00373155416051229
"37","26.05.2021",1538.96,0.00408250204835362
"38","25.05.2021",1538.03,-0.000604486870817812
"39","24.05.2021",1538.14,7.15175039395765e-05
"40","23.05.2021",1537.43,-0.000461703042110986
"41","20.05.2021",1536.75,-0.000442394401818003
"42","19.05.2021",1531.21,-0.00361152428425843
"43","18.05.2021",1536.11,0.00319497422388838
"44","12.05.2021",1528.79,-0.00477667390004818
"45","11.05.2021",1529.81,0.000666971841896431
"46","10.05.2021",1527.26,-0.00166826444367316
"47","09.05.2021",1529.93,0.00174670248093226
"48","06.05.2021",1521.77,-0.00534785165492189
"49","05.05.2021",1513.99,-0.00512558109516858
"50","04.05.2021",1500.93,-0.00866363398605852
"51","03.05.2021",1493.9,-0.00469476592143553
"52","29.04.2021",1484.85,-0.0060763930143457
"53","28.04.2021",1486.19,0.000902041097299803
"54","27.04.2021",1483.18,-0.0020273667686944
"55","26.04.2021",1486.73,0.00239064597293713
"56","25.04.2021",1486.96,0.00015468996462879
"57","22.04.2021",1486.29,-0.000450685284682315
"58","21.04.2021",1483.45,-0.00191262593072744
