"","ts","pr","rt"
"1","15.07.2021",328.16,0
"2","14.07.2021",352.06,0.0703003212937557
"3","13.07.2021",351.92,-0.000397738577361822
"4","12.07.2021",349.04,-0.00821734822511015
"5","09.07.2021",358.16,0.025793285117356
"6","08.07.2021",369.05,0.0299523222833511
"7","07.07.2021",355.33,-0.0378852010654213
"8","06.07.2021",344.89,-0.0298214095394552
"9","02.07.2021",348.72,0.0110437823189523
"10","01.07.2021",348.92,0.000573361634880635
"11","30.06.2021",346.27,-0.0076238519987623
"12","29.06.2021",345.72,-0.00158961868181808
"13","28.06.2021",340.27,-0.0158897787717601
"14","25.06.2021",347.93,0.0222618900032506
"15","24.06.2021",349.16,0.00352895975122103
"16","23.06.2021",371.9,0.0630947310638752
"17","22.06.2021",374.4,0.00669974367241271
"18","21.06.2021",380.91,0.0172383821463729
"19","18.06.2021",388.44,0.0195755909763435
"20","17.06.2021",383.52,-0.0127469470400791
"21","16.06.2021",391.31,0.020108314043257
"22","15.06.2021",396.08,0.0121161263238364
"23","14.06.2021",406.14,0.0250817166954037
"24","11.06.2021",396.64,-0.0236688594616909
"25","10.06.2021",414.71,0.0445504124919391
"26","09.06.2021",406.94,-0.0189137263510626
"27","08.06.2021",395.37,-0.0288437191038492
"28","07.06.2021",395.85,0.0012133162935352
"29","04.06.2021",286.14,-0.324554150079255
"30","03.06.2021",272.55,-0.048659118027898
"31","02.06.2021",269.35,-0.0118104343837471
"32","01.06.2021",267.15,-0.00820135072276263
"33","28.05.2021",267.48,0.00123449878199761
"34","27.05.2021",267.37,-0.000411330285317123
"35","26.05.2021",267.84,0.00175632040064982
"36","25.05.2021",273.45,0.0207290024916712
"37","24.05.2021",278.86,0.0195910739740934
"38","21.05.2021",283.19,0.0154081866947879
"39","20.05.2021",286.57,0.011864783947614
"40","19.05.2021",281.75,-0.0169626814893911
"41","18.05.2021",281.01,-0.00262989703073681
"42","17.05.2021",280.4,-0.00217310072871394
"43","14.05.2021",280.21,-0.00067783310063941
"44","13.05.2021",281.71,0.00533885095000888
"45","12.05.2021",274.02,-0.0276770765848419
"46","11.05.2021",278.39,0.01582191184995
"47","10.05.2021",275.61,-0.0100361853234277
"48","07.05.2021",274.04,-0.0057127418167864
"49","06.05.2021",272.11,-0.00706768482639255
"50","05.05.2021",271.57,-0.00198646327829479
"51","04.05.2021",271.02,-0.00202731413544339
"52","03.05.2021",275.31,0.0157051166044637
"53","30.04.2021",267.33,-0.0294138852062933
"54","29.04.2021",265.33,-0.00750951600944802
"55","28.04.2021",267.6,0.00851899397078329
"56","27.04.2021",267.39,-0.000785061443337836
"57","26.04.2021",269.46,0.00771168951696611
"58","23.04.2021",262.63,-0.0256737587906981
"59","22.04.2021",259,-0.0139181358374657
"60","21.04.2021",269.85,0.0410381873651142
"61","20.04.2021",273.2,0.0123378786319832
"62","19.04.2021",269.05,-0.0153068917612063
"63","16.04.2021",270.31,0.00467221259308829
"64","15.04.2021",270.44,0.000480813693960001
"65","14.04.2021",265.79,-0.0173437389234528
"66","13.04.2021",266.19,0.00150381621633175
"67","12.04.2021",262.8,-0.0128170529049006
"68","09.04.2021",268.17,0.0202278211574154
"69","08.04.2021",265.73,-0.00914035207967915
"70","07.04.2021",268.02,0.00858084890389054
"71","06.04.2021",271.76,0.0138577192602463
"72","05.04.2021",277.88,0.0222700419723516
"73","01.04.2021",278.71,0.00298244889501236
"74","31.03.2021",279.75,0.00372453247234199
"75","30.03.2021",276.01,-0.0134592502471855
"76","29.03.2021",276.08,0.000253581844898727
"77","26.03.2021",276.63,0.0019901944294117
"78","25.03.2021",273.97,-0.00966226187654777
"79","24.03.2021",265.69,-0.0306883957171785
"80","23.03.2021",267.21,0.00570465048645449
"81","22.03.2021",272.34,0.0190164195845414
"82","19.03.2021",267.07,-0.0195404893726833
"83","18.03.2021",262.27,-0.0181362888475007
"84","17.03.2021",264.15,0.00714261613407955
"85","16.03.2021",259.92,-0.0161432322494798
"86","15.03.2021",260.13,0.000807614696333879
"87","12.03.2021",266.13,0.0228034051434264
"88","11.03.2021",267.44,0.00491033091123799
"89","10.03.2021",262.61,-0.0182252002370499
"90","09.03.2021",266.49,0.014666677574926
"91","08.03.2021",270.01,0.0131222758998384
"92","05.03.2021",270.71,0.00258914185177743
"93","04.03.2021",263.57,-0.0267291498509099
"94","03.03.2021",266.6,0.0114304203941832
"95","02.03.2021",269.85,0.0121168413200436
"96","01.03.2021",273.24,0.0124842807989967
"97","26.02.2021",272.88,-0.00131839175325834
"98","25.02.2021",277.26,0.0159235559998398
"99","24.02.2021",282.74,0.0195720533286566
"100","23.02.2021",279.08,-0.0130292683678508
"101","22.02.2021",284.63,0.0196916121326592
"102","19.02.2021",278.35,-0.0223107765741781
"103","18.02.2021",275.9,-0.00884083340627657
"104","17.02.2021",276.67,0.00278697901948587
"105","16.02.2021",279.32,0.00953261773510834
"106","12.02.2021",278.03,-0.00462905644039394
"107","11.02.2021",278.81,0.00280152471142566
"108","10.02.2021",275,-0.0137594485822949
"109","09.02.2021",269.31,-0.0209079652298645
"110","08.02.2021",268.93,-0.00141200974708713
"111","05.02.2021",265.09,-0.014381731720603
"112","04.02.2021",267.39,0.00863887584171899
"113","03.02.2021",263.25,-0.0156041157966507
"114","02.02.2021",277.72,0.0535092608709878
"115","01.02.2021",278.46,0.00266101059606672
"116","29.01.2021",282.61,0.014793432847404
"117","28.01.2021",267.87,-0.0535660671313086
"118","27.01.2021",265.15,-0.0102060846140958
"119","26.01.2021",271.67,0.0242923908529895
"120","25.01.2021",275.54,0.0141447141803247
"121","22.01.2021",269.44,-0.0223870775624912
"122","21.01.2021",270.12,0.00252057365267925
"123","20.01.2021",270.28,0.000592153977332557
"124","19.01.2021",273.84,0.0130855355379562
"125","15.01.2021",275.84,0.00727699325339848
"126","14.01.2021",280.29,0.0160037939976458
"127","13.01.2021",266.67,-0.0498128425512807
"128","12.01.2021",267.39,0.00269632788904221
"129","11.01.2021",267.52,0.000486063085601025
"130","08.01.2021",252.54,-0.0576246778858025
"131","07.01.2021",250.44,-0.00835028113342451
"132","06.01.2021",247.75,-0.0107991976670123
"133","05.01.2021",246.39,-0.00550452678988682
"134","04.01.2021",242.95,-0.0140599855682986
"135","31.12.2020",244.86,0.00783095779385744
"136","30.12.2020",243.58,-0.00524118798680485
"137","29.12.2020",243.46,-0.000492772677514153
"138","28.12.2020",244.15,0.00283013252621893
"139","24.12.2020",248.89,0.0192282412809463
"140","23.12.2020",251.2,0.00923840280542808
"141","22.12.2020",247.87,-0.0133450194149179
"142","21.12.2020",248.32,0.00181382181572817
"143","18.12.2020",249.62,0.00522152449545373
"144","17.12.2020",250.24,0.00248069586663858
"145","16.12.2020",248.19,-0.00822587548674511
"146","15.12.2020",248.73,0.00217338892603581
"147","14.12.2020",245.25,-0.0140898723507646
"148","11.12.2020",241.43,-0.0156985224414096
"149","10.12.2020",242.98,0.0063995594225331
"150","09.12.2020",244.75,0.00725814598402372
"151","08.12.2020",246.43,0.0068406960841732
"152","07.12.2020",243.68,-0.0112220883479413
"153","04.12.2020",245.87,0.00894705181925181
"154","03.12.2020",244.09,-0.00726593122323043
"155","02.12.2020",246.92,0.011527387782822
"156","01.12.2020",243.16,-0.0153447346451734
"157","30.11.2020",240.17,-0.0123726569548502
"158","27.11.2020",243.78,0.0149191733020188
"159","25.11.2020",241.75,-0.0083620448942867
"160","24.11.2020",242.51,0.00313881230730981
"161","23.11.2020",243.38,0.00358106126794053
"162","20.11.2020",244.15,0.00315878259901527
"163","19.11.2020",244.01,-0.000573582447715152
"164","18.11.2020",240.98,-0.0124952655648238
"165","17.11.2020",248.81,0.0319756104882251
"166","16.11.2020",250.96,0.00860401089906737
"167","13.11.2020",248.59,-0.00948861087633377
"168","12.11.2020",241.55,-0.0287284620056733
"169","11.11.2020",244.03,0.0102146775546258
"170","10.11.2020",236.34,-0.0320197223441719
"171","09.11.2020",236.26,-0.000338552690495649
"172","05.11.2020",328.9,0.330820859674637
"173","04.11.2020",355.63,0.0781371113407011
"174","03.11.2020",247.01,-0.364462042897305
"175","02.11.2020",248.99,0.00798391337726961
"176","30.10.2020",252.07,0.01229409170042
"177","29.10.2020",245.48,-0.0264913491952009
"178","28.10.2020",244.26,-0.00498224577795379
"179","27.10.2020",255.3,0.0442060925044957
"180","26.10.2020",256.76,0.00570247219613917
"181","23.10.2020",265,0.0315880295426447
"182","22.10.2020",266.8,0.00676948805524658
"183","21.10.2020",268.91,0.00787743708780132
"184","20.10.2020",267.12,-0.006678755493871
"185","19.10.2020",268.77,0.00615799964219749
"186","16.10.2020",280.01,0.0409693215396273
"187","15.10.2020",280.63,0.00221175889250495
"188","14.10.2020",289.02,0.0294588141604555
"189","13.10.2020",291.46,0.00840688523536607
"190","12.10.2020",291.48,6.86176965309143e-05
"191","09.10.2020",286.54,-0.0170932503368552
"192","08.10.2020",286.92,0.00132528879300746
"193","07.10.2020",285.75,-0.00408612858331365
"194","06.10.2020",281.15,-0.0162289679367094
"195","05.10.2020",284.18,0.0107195054717186
"196","02.10.2020",277.64,-0.0232825297385464
"197","01.10.2020",285.57,0.0281618724599406
"198","30.09.2020",283.68,-0.00664034060542572
"199","29.09.2020",282.35,-0.004699406207052
"200","28.09.2020",282.04,-0.00109853126800592
"201","25.09.2020",273.28,-0.031551994250635
"202","24.09.2020",270.04,-0.0119268144265351
"203","23.09.2020",272.2,0.00796699404369575
"204","22.09.2020",272.76,0.00205519743508642
"205","21.09.2020",268.3,-0.0164865302208737
"206","18.09.2020",274.48,0.0227726411186159
"207","17.09.2020",275.37,0.00323724934891508
"208","16.09.2020",276.39,0.00369726388984096
"209","15.09.2020",278.45,0.00742559824672726
"210","14.09.2020",278.29,-0.000574774596417891
"211","11.09.2020",269.91,-0.0305751653421225
