"","ts","pr","rt"
"1","28.06.2021",884.39,0
"2","25.06.2021",917.84,0.0371249416723815
"3","24.06.2021",917.84,0
"4","22.06.2021",917.84,0
"5","21.06.2021",917.84,0
"6","18.06.2021",917.84,0
"7","16.06.2021",917.84,0
"8","15.06.2021",917.84,0
"9","14.06.2021",917.84,0
"10","10.06.2021",917.84,0
"11","09.06.2021",917.84,0
"12","07.06.2021",917.84,0
"13","04.06.2021",917.84,0
"14","03.06.2021",917.84,0
"15","01.06.2021",917.84,0
"16","31.05.2021",917.84,0
"17","28.05.2021",917.84,0
"18","27.05.2021",917.84,0
"19","24.05.2021",917.84,0
"20","21.05.2021",917.84,0
"21","20.05.2021",917.84,0
"22","17.05.2021",917.84,0
"23","12.05.2021",917.84,0
"24","11.05.2021",917.84,0
"25","07.05.2021",917.84,0
"26","06.05.2021",917.84,0
"27","05.05.2021",917.84,0
"28","04.05.2021",917.84,0
"29","28.04.2021",917.84,0
"30","27.04.2021",917.84,0
"31","26.04.2021",917.84,0
"32","23.04.2021",909.72,-0.00888622363467464
"33","22.04.2021",908.66,-0.00116587305191214
"34","21.04.2021",908.66,0
"35","20.04.2021",893.24,-0.0171156850376142
"36","19.04.2021",889.45,-0.00425200759540771
"37","16.04.2021",889.45,0
"38","15.04.2021",889.45,0
"39","14.04.2021",889.45,0
"40","13.04.2021",889.45,0
"41","12.04.2021",889.45,0
"42","08.04.2021",889.42,-3.37292775784214e-05
"43","06.04.2021",879.76,-0.0109204218910214
"44","02.04.2021",880,0.000272764469573203
"45","01.04.2021",880,0
"46","31.03.2021",869.8,-0.0116586073087141
"47","30.03.2021",864.2,-0.00645907666570509
"48","29.03.2021",855.5,-0.0101181301655847
"49","26.03.2021",833.91,-0.0255606104656651
"50","24.03.2021",837.23,0.00397334079473462
"51","23.03.2021",831.56,-0.00679536888240441
"52","22.03.2021",796.59,-0.0429633374619083
"53","18.03.2021",835.87,0.0481329812836015
"54","17.03.2021",823.84,-0.0144967623027753
"55","16.03.2021",815.38,-0.010322074052588
"56","15.03.2021",790.07,-0.0315327131146604
"57","12.03.2021",739.56,-0.0660661343684309
"58","11.03.2021",739.56,0
"59","10.03.2021",722.35,-0.0235456287867617
"60","09.03.2021",699.03,-0.0328161262076151
"61","08.03.2021",693.31,-0.00821643015297862
"62","05.03.2021",710.23,0.0241116316241171
"63","04.03.2021",706.65,-0.00505336742475386
"64","03.03.2021",692.61,-0.0200684236018171
"65","02.03.2021",692.61,0
"66","01.03.2021",693.43,0.00118322717334049
"67","26.02.2021",691.29,-0.00309088003887318
"68","25.02.2021",691.29,0
"69","24.02.2021",682.62,-0.0126210815671297
"70","23.02.2021",683.25,0.000922489028497251
"71","22.02.2021",672.15,-0.0163792949079157
"72","19.02.2021",677.53,0.00797230231604872
"73","18.02.2021",674.14,-0.0050160277402738
"74","17.02.2021",672.44,-0.00252491631117866
"75","11.02.2021",673.87,0.00212432580575135
"76","10.02.2021",659.17,-0.0220557461196835
"77","08.02.2021",660.18,0.00153105725895033
"78","02.02.2021",660.1,-0.000121186415151069
"79","01.02.2021",660.1,0
"80","28.01.2021",660.8,0.00105988351204303
"81","13.01.2021",660.1,-0.00105988351204314
"82","12.01.2021",660.67,0.000863132923048567
"83","30.12.2020",657.89,-0.00421672751974173
"84","29.12.2020",647.41,-0.0160579563241938
"85","28.12.2020",639.55,-0.012214983728436
"86","24.12.2020",629.66,-0.0155848128805448
"87","23.12.2020",623.29,-0.0101680911174502
"88","22.12.2020",616.51,-0.0109373569743984
"89","21.12.2020",617.28,0.00124818664435549
"90","18.12.2020",616.53,-0.00121574649642566
"91","17.12.2020",618.99,0.00398213424430981
"92","16.12.2020",622.05,0.00493135789525166
"93","15.12.2020",606.96,-0.0245575843306805
"94","14.12.2020",610.13,0.00520915818591243
"95","09.12.2020",613.27,0.0051332465178538
"96","08.12.2020",607.86,-0.00886070343994465
"97","07.12.2020",601.73,-0.0101357525766521
"98","04.12.2020",604.69,0.00490709029959118
"99","03.12.2020",602.66,-0.00336273974065434
"100","01.12.2020",601.95,-0.00117880489489014
"101","30.11.2020",600.48,-0.00244504999432482
"102","27.11.2020",604.55,0.00675504423354496
"103","26.11.2020",602.14,-0.00399440320935217
"104","25.11.2020",614.04,0.0195700961940971
"105","24.11.2020",618.76,0.00765740276346352
"106","20.11.2020",618.15,-0.000986328915528101
"107","19.11.2020",620.51,0.00381057409731924
"108","18.11.2020",618.87,-0.00264648607722893
"109","17.11.2020",619.42,0.00088832185702503
"110","16.11.2020",620.76,0.00216097747337256
"111","10.11.2020",620.25,-0.000821911231513658
"112","09.11.2020",620.25,0
"113","16.10.2020",618.43,-0.00293861418560121
"114","15.10.2020",617.6,-0.0013430096757427
"115","14.10.2020",619.07,0.00237735320230365
"116","13.10.2020",620.79,0.00277450857897693
"117","12.10.2020",619.99,-0.0012895116150421
"118","09.10.2020",614.32,-0.00918738385451674
"119","08.10.2020",608.29,-0.00986422308770027
"120","07.10.2020",605.96,-0.00383776464446508
"121","06.10.2020",601.99,-0.00657314341495201
"122","02.10.2020",601.75,-0.000398757211989568
"123","01.10.2020",600.76,-0.00164655632580134
"124","30.09.2020",601.81,0.001746260536725
"125","29.09.2020",606.42,0.00763103444052102
"126","28.09.2020",609.94,0.00578777635926657
"127","25.09.2020",615.15,0.00850554883228513
"128","24.09.2020",614.18,-0.00157809571279678
"129","23.09.2020",618.21,0.00654016076862848
"130","22.09.2020",613.89,-0.0070124465591624
"131","21.09.2020",614.54,0.00105826145675728
"132","18.09.2020",617.21,0.00433530210164653
"133","17.09.2020",618.13,0.00148946876177622
"134","16.09.2020",617.47,-0.0010683069970385
"135","15.09.2020",614.47,-0.00487037669065045
"136","14.09.2020",614.9,0.000699545324085495
"137","11.09.2020",618.39,0.00565967341978005
"138","10.09.2020",607.91,-0.0170924816858029
"139","09.09.2020",605.48,-0.00400531279903666
"140","08.09.2020",604.46,-0.00168603441762481
"141","07.09.2020",605.42,0.00158693457445182
"142","04.09.2020",600.88,-0.00752718467343501
"143","03.09.2020",599.27,-0.00268299956804879
"144","02.09.2020",598.88,-0.000651003653588716
"145","01.09.2020",596.74,-0.00357973651369899
"146","31.08.2020",597.46,0.00120582831559426
"147","28.08.2020",593.33,-0.00693659933330183
"148","27.08.2020",593.18,-0.000252842370985792
"149","26.08.2020",593.68,0.000842559408151608
"150","25.08.2020",591.42,-0.00381402875647554
"151","24.08.2020",595.72,0.00724433311226435
"152","21.08.2020",597.57,0.00310067373762539
"153","19.08.2020",605.66,0.0134473407575394
"154","18.08.2020",597.33,-0.0138490480187787
"155","17.08.2020",600.72,0.00565921129757557
"156","14.08.2020",596.05,-0.00780437962761802
"157","13.08.2020",602.81,0.0112774997008955
"158","12.08.2020",604.85,0.00337843754095108
"159","11.08.2020",605.24,0.000644580177512718
"160","10.08.2020",604.81,-0.000710714463204035
"161","04.08.2020",605.2,0.000644622794034852
"162","29.07.2020",597.26,-0.0132064524411679
"163","28.07.2020",595.36,-0.0031862648747206
"164","27.07.2020",592.12,-0.00545694755302103
"165","24.07.2020",588.02,-0.0069483561196719
"166","23.07.2020",601.85,0.0232472839001243
"167","22.07.2020",608.56,0.0110872658633018
"168","21.07.2020",617.17,0.0140490020081214
"169","20.07.2020",619.69,0.00407484030028791
"170","17.07.2020",620.5,0.00130625164720681
"171","16.07.2020",621.71,0.00194814142969102
"172","15.07.2020",622.48,0.00123775323432177
"173","14.07.2020",626.95,0.00715529332787225
"174","13.07.2020",626.67,-0.000446706345872257
"175","10.07.2020",625.86,-0.00129338237473989
"176","09.07.2020",613.56,-0.0198486450360267
"177","08.07.2020",608.41,-0.00842906207495095
"178","07.07.2020",604.37,-0.00666240364092708
"179","06.07.2020",615.37,0.0180371197543704
"180","01.07.2020",607.13,-0.0134807767500642
"181","30.06.2020",612.23,0.00836509273593585
"182","29.06.2020",599.46,-0.0210787789312899
"183","26.06.2020",605.12,0.00939753549711034
"184","25.06.2020",603.84,-0.00211752328990721
"185","24.06.2020",614.08,0.0168159506391497
"186","23.06.2020",618.96,0.00791543742186404
"187","22.06.2020",617.53,-0.00231299992323097
"188","19.06.2020",618.93,0.00226453034999584
"189","18.06.2020",605.48,-0.0219706487735996
"190","17.06.2020",598.61,-0.0114112309687951
"191","16.06.2020",589.07,-0.0160652788347007
"192","15.06.2020",578.27,-0.0185041344611415
"193","12.06.2020",578.97,0.00120977512940121
"194","11.06.2020",576.41,-0.00443144972110414
"195","10.06.2020",574.74,-0.002901448415169
"196","09.06.2020",580.81,0.0105059163703632
"197","08.06.2020",579.9,-0.00156800611082367
"198","05.06.2020",581.36,0.00251451142598568
"199","04.06.2020",579.23,-0.00367055099810813
"200","03.06.2020",583.34,0.00707057144530058
"201","02.06.2020",577.76,-0.00961164922642544
"202","01.06.2020",581.24,0.00600519492334763
"203","29.05.2020",575.37,-0.0101504403376403
"204","28.05.2020",575.3,-0.000121668245607124
"205","27.05.2020",567.95,-0.0128582571918169
"206","22.05.2020",570.63,0.00470762695542854
"207","21.05.2020",570.14,-0.000859068927364854
"208","20.05.2020",573.22,0.00538764247512688
"209","19.05.2020",581.33,0.0140489946588007
"210","18.05.2020",586.98,0.00967216585797046
"211","11.05.2020",619.35,0.0536797933028166
"212","08.05.2020",619.35,0
"213","07.05.2020",624.04,0.00754392787883973
"214","06.05.2020",624.64,0.0009610149056244
"215","04.05.2020",600.38,-0.03961269570611
"216","29.04.2020",617.31,0.0278085407688863
"217","24.04.2020",596.46,-0.0343591473953405
"218","22.04.2020",592.27,-0.00704956946038604
"219","16.04.2020",589.98,-0.00387397397160295
"220","15.04.2020",585.16,-0.00820332391023462
"221","14.04.2020",591.3,0.0104381887168988
"222","08.04.2020",591.3,0
"223","07.04.2020",597.92,0.0111334629103895
"224","06.04.2020",597.92,0
"225","03.04.2020",591.11,-0.0114548404387177
"226","02.04.2020",604.09,0.0217210681584914
"227","01.04.2020",604.98,0.00147220617623157
"228","31.03.2020",597.44,-0.0125415392798211
"229","30.03.2020",596.48,-0.00160814829618616
"230","27.03.2020",593.17,-0.00556467623476863
"231","26.03.2020",591.53,-0.00276863517784491
"232","24.03.2020",596.91,0.0090539476147081
"233","23.03.2020",596.84,-0.000117277487045291
"234","20.03.2020",599.74,0.00484715719457096
"235","19.03.2020",596.57,-0.00529964209851293
"236","18.03.2020",614.29,0.0292705434779101
"237","17.03.2020",612.6,-0.00275493494751421
"238","16.03.2020",621.54,0.0144880748993906
"239","13.03.2020",621.54,0
"240","12.03.2020",617.64,-0.00629450584540214
"241","11.03.2020",618.03,0.000631236516141002
"242","10.03.2020",623.64,0.00903627883954642
"243","09.03.2020",625.04,0.00224236888013815
