"","ts","pr","rt"
"1","15.07.2021",53158.85,0
"2","14.07.2021",52904.05,-0.00480470532439549
"3","13.07.2021",52769.73,-0.00254216461903868
"4","12.07.2021",52372.69,-0.00755245860328232
"5","09.07.2021",52386.19,0.000257734715658193
"6","08.07.2021",52568.94,0.00348244406329469
"7","07.07.2021",53054.76,0.00919913667107825
"8","06.07.2021",52861.18,-0.00365535566308971
"9","05.07.2021",52880,0.000355963498775396
"10","02.07.2021",52484.67,-0.00750406858615369
"11","01.07.2021",52318.6,-0.00316917857613254
"12","30.06.2021",52482.71,0.00313183364096833
"13","29.06.2021",52549.66,0.00127484525137215
"14","28.06.2021",52735.59,0.00353193240805641
"15","25.06.2021",52925.04,0.0035860131255921
"16","24.06.2021",52699,-0.00428009277191917
"17","23.06.2021",52306.08,-0.00748386333106524
"18","22.06.2021",52588.71,0.00538884121804474
"19","21.06.2021",52574.46,-0.000271007427547452
"20","18.06.2021",52344.45,-0.00438453599029751
"21","17.06.2021",52323.33,-0.000403562591785764
"22","16.06.2021",52501.98,0.00340853125956349
"23","15.06.2021",52773.05,0.00514976056649338
"24","14.06.2021",52551.53,-0.0042064317110479
"25","11.06.2021",52474.76,-0.00146191993781364
"26","10.06.2021",52300.47,-0.00332693444358188
"27","09.06.2021",51941.64,-0.00688457701594212
"28","08.06.2021",52275.57,0.00640836849876068
"29","07.06.2021",52328.51,0.00101219769859748
"30","04.06.2021",52100.05,-0.00437543837583343
"31","03.06.2021",52232.43,0.00253765789983524
"32","02.06.2021",51849.48,-0.00735866065595254
"33","01.06.2021",51934.88,0.00164572040093023
"34","31.05.2021",51937.44,4.92912837706803e-05
"35","28.05.2021",51422.88,-0.00995670777617444
"36","27.05.2021",51115.22,-0.00600090938410685
"37","26.05.2021",51017.52,-0.00191319707668923
"38","25.05.2021",50637.53,-0.00747610216842916
"39","24.05.2021",50651.9,0.000283741355764717
"40","21.05.2021",50540.48,-0.0022021429879797
"41","20.05.2021",49564.86,-0.0194924844356482
"42","19.05.2021",49902.64,0.00679179226255338
"43","18.05.2021",50193.33,0.00580824217434947
"44","17.05.2021",49580.73,-0.0122798991664276
"45","14.05.2021",48732.55,-0.0172550655305816
"46","12.05.2021",48690.8,-0.00085708410880498
"47","11.05.2021",49161.81,0.00962700203354732
"48","10.05.2021",49502.41,0.00690425268644855
"49","07.05.2021",49206.47,-0.00599623634076288
"50","06.05.2021",48949.76,-0.00523065291510796
"51","05.05.2021",48677.55,-0.00557652782657222
"52","04.05.2021",48253.51,-0.00874936692260699
"53","03.05.2021",48718.52,0.00959067401880776
"54","30.04.2021",48782.36,0.00130952682935917
"55","29.04.2021",49765.94,0.019962042195608
"56","28.04.2021",49733.84,-0.000645227579672151
"57","27.04.2021",48944.14,-0.0160059389008612
"58","26.04.2021",48386.51,-0.0114585919513961
"59","23.04.2021",47878.45,-0.0105555482973535
"60","22.04.2021",48080.67,0.00421471767040601
"61","20.04.2021",47705.8,-0.00782724144417731
"62","19.04.2021",47949.42,0.00509372152919192
"63","16.04.2021",48832.03,0.0182397446900211
"64","15.04.2021",48803.68,-0.000580730161059886
"65","13.04.2021",48544.06,-0.00533388069454076
"66","12.04.2021",47883.38,-0.0137033678097137
"67","09.04.2021",49591.32,0.0350473470688615
"68","08.04.2021",49746.21,0.00311846138157156
"69","07.04.2021",49661.76,-0.0016990593473716
"70","06.04.2021",49201.39,-0.00931334531909347
"71","05.04.2021",49159.32,-0.000855422913587947
"72","01.04.2021",50029.83,0.0175529753150037
"73","31.03.2021",49509.15,-0.0104619265560003
"74","30.03.2021",50136.58,0.012593380411931
"75","26.03.2021",49008.5,-0.0227571289347408
"76","25.03.2021",48440.12,-0.0116653564809895
"77","24.03.2021",49180.31,0.0151649441702184
"78","23.03.2021",50051.44,0.0175579364325808
"79","22.03.2021",49771.29,-0.00561296481310074
"80","19.03.2021",49858.24,0.00174546687263395
"81","18.03.2021",49216.52,-0.012954439138587
"82","17.03.2021",49801.62,0.011818174124933
"83","16.03.2021",50363.96,0.0112283262990502
"84","15.03.2021",50395.08,0.00061771134360818
"85","12.03.2021",50792.08,0.0078468856534431
"86","10.03.2021",51279.51,0.00955082026644877
"87","09.03.2021",51025.48,-0.00496614137952864
"88","08.03.2021",50441.07,-0.0115193916105386
"89","05.03.2021",50405.32,-0.000708999132196387
"90","04.03.2021",50846.08,0.00870630498188019
"91","03.03.2021",51444.65,0.0117034423782146
"92","02.03.2021",50296.89,-0.022563226254022
"93","01.03.2021",49849.84,-0.0089279593945458
"94","26.02.2021",49099.99,-0.0151564556393434
"95","25.02.2021",51039.31,0.0387372890019106
