"","ts","pr","rt"
"1","15.07.2021",185.96,0
"2","14.07.2021",185.96,0
"3","13.07.2021",186.15,0.00102120349634187
"4","12.07.2021",186.15,0
"5","09.07.2021",186.15,0
"6","08.07.2021",1319.56,1.95850082636045
"7","07.07.2021",184.06,-1.96979183526847
"8","06.07.2021",183.97,-0.000489090573018882
"9","05.07.2021",183.99,0.000108707468310158
"10","02.07.2021",183.1,-0.00484895662553708
"11","01.07.2021",183.1,0
"12","30.06.2021",182.72,-0.00207752521281958
"13","29.06.2021",182.76,0.000218890227425368
"14","28.06.2021",182.57,-0.0010401555696519
"15","25.06.2021",182.76,0.00104015556965179
"16","24.06.2021",182.38,-0.00208139418955127
"17","23.06.2021",182.38,0
"18","22.06.2021",182.38,0
"19","21.06.2021",182.38,0
"20","18.06.2021",187.65,0.0284861030755105
"21","17.06.2021",187.46,-0.0010130362626901
"22","16.06.2021",187.65,0.00101303626268996
"23","15.06.2021",187.69,0.000213140087128569
"24","14.06.2021",187.78,0.000479399162242884
"25","11.06.2021",187.78,0
"26","10.06.2021",187.78,0
"27","09.06.2021",187.78,0
"28","08.06.2021",187.78,0
"29","07.06.2021",187.78,0
"30","04.06.2021",187.78,0
"31","03.06.2021",189.77,0.0105417477354861
"32","02.06.2021",189.81,0.000210759261015027
"33","01.06.2021",189.85,0.000210714850908763
"34","31.05.2021",190.04,0.00100028964090925
"35","28.05.2021",189.47,-0.00300387567444977
"36","27.05.2021",189.85,0.00200358603354046
"37","26.05.2021",189.85,0
"38","25.05.2021",190.99,0.00598678397725187
"39","21.05.2021",191,5.23573915665994e-05
"40","20.05.2021",191,0
"41","19.05.2021",191.38,0.00198755230448702
"42","18.05.2021",191.37,-5.22534291430761e-05
"43","17.05.2021",192.7,0.00692584849834705
"44","14.05.2021",192.7,0
"45","13.05.2021",192.7,0
"46","12.05.2021",192.66,-0.000207598090843104
"47","11.05.2021",192.66,0
"48","10.05.2021",193.12,0.00238478001974389
"49","07.05.2021",193.12,0
"50","06.05.2021",193.31,0.000983360584379054
"51","05.05.2021",193.5,0.00098239453623596
"52","04.05.2021",195.49,0.0102317147521918
"53","03.05.2021",195.3,-0.000972389339394893
"54","29.04.2021",195.49,0.00097238933939488
"55","28.04.2021",195.11,-0.00194572514022081
"56","27.04.2021",195.68,0.00291716985705481
"57","26.04.2021",195.68,0
"58","23.04.2021",195.49,-0.000971444716834048
"59","22.04.2021",196.68,0.00606881532171048
"60","21.04.2021",196.68,0
"61","20.04.2021",196.68,0
"62","19.04.2021",196.68,0
"63","16.04.2021",193.82,-0.0146481492373347
"64","15.04.2021",193.82,0
"65","14.04.2021",193.82,0
"66","13.04.2021",193.82,0
"67","12.04.2021",193.82,0
"68","09.04.2021",193.82,0
"69","08.04.2021",193.07,-0.0038770758586786
"70","07.04.2021",192.5,-0.00295666371988641
"71","06.04.2021",192.5,0
"72","05.04.2021",192.73,0.00119409198312125
"73","01.04.2021",192.73,0
"74","31.03.2021",193.11,0.00196972902167416
"75","30.03.2021",193.11,0
"76","29.03.2021",192.61,-0.00259255563650311
"77","26.03.2021",192.8,0.00098596308031426
"78","25.03.2021",192.8,0
"79","24.03.2021",193.37,0.00295206988605524
"80","23.03.2021",193.46,0.000465320691900368
"81","19.03.2021",198.72,0.026826025990713
"82","18.03.2021",198.72,0
"83","17.03.2021",198.15,-0.00287247910866991
"84","16.03.2021",198.91,0.0038281414805253
"85","15.03.2021",198.91,0
"86","12.03.2021",198.91,0
"87","11.03.2021",198.91,0
"88","10.03.2021",198.91,0
"89","09.03.2021",199.3,0.00195876610177983
"90","08.03.2021",199.3,0
"91","05.03.2021",199.3,0
"92","04.03.2021",199.29,-5.01768734896326e-05
"93","03.03.2021",199.86,0.00285607108838392
"94","02.03.2021",200.05,0.000950213869600677
"95","01.03.2021",200.24,0.00094931182027477
"96","26.02.2021",200.24,0
"97","25.02.2021",200.24,0
"98","24.02.2021",200.24,0
"99","23.02.2021",200.62,0.00189592433182041
"100","22.02.2021",200.62,0
"101","19.02.2021",200.82,0.000996412995951155
"102","18.02.2021",200.82,0
"103","17.02.2021",200.82,0
"104","12.02.2021",200.82,0
"105","11.02.2021",201.77,0.00471945037529649
"106","10.02.2021",201.77,0
"107","09.02.2021",201.77,0
"108","08.02.2021",201.77,0
"109","05.02.2021",201.77,0
"110","04.02.2021",201.58,-0.00094210989985471
"111","03.02.2021",201.72,0.000694272281792566
"112","02.02.2021",196.46,-0.026421748961801
"113","01.02.2021",196.46,0
"114","29.01.2021",196.46,0
"115","28.01.2021",196.27,-0.00096758594873586
"116","27.01.2021",196.27,0
"117","26.01.2021",196.08,-0.000968523078130537
"118","25.01.2021",196.46,0.0019361090268664
"119","22.01.2021",196.08,-0.00193610902686633
"120","21.01.2021",196.27,0.000968523078130505
"121","20.01.2021",196.27,0
"122","19.01.2021",196.23,-0.000203821656756651
"123","18.01.2021",195.43,-0.00408518159924555
"124","15.01.2021",194.85,-0.00297222725726724
"125","14.01.2021",194.85,0
"126","13.01.2021",194.85,0
"127","12.01.2021",194.85,0
"128","11.01.2021",194.85,0
"129","08.01.2021",194.85,0
"130","07.01.2021",194.85,0
"131","06.01.2021",194.85,0
"132","05.01.2021",194.85,0
"133","04.01.2021",195.85,0.00511902832712213
"134","30.12.2020",195.85,0
"135","29.12.2020",195.85,0
"136","28.12.2020",195.56,-0.00148182240139546
"137","24.12.2020",195.75,0.000971097160467712
"138","23.12.2020",195.75,0
"139","22.12.2020",195.52,-0.00117565888768192
"140","21.12.2020",195.57,0.000255695621327011
"141","18.12.2020",195.71,0.000715600112320092
"142","17.12.2020",195.52,-0.00097129573364721
"143","16.12.2020",195.68,0.000817995955631763
"144","15.12.2020",195.3,-0.00194383405622892
"145","14.12.2020",195.3,0
"146","11.12.2020",195.3,0
"147","10.12.2020",195.68,0.00194383405622894
"148","09.12.2020",195.3,-0.00194383405622892
"149","08.12.2020",195.3,0
"150","07.12.2020",195.3,0
"151","04.12.2020",195.29,-5.12045879423415e-05
"152","03.12.2020",195.29,0
"153","02.12.2020",194.91,-0.00194771973414165
"154","01.12.2020",194.91,0
"155","30.11.2020",194.91,0
"156","27.11.2020",194.91,0
"157","26.11.2020",194.72,-0.000975284321332199
"158","25.11.2020",194.72,0
"159","24.11.2020",194.68,-0.000205444273963493
"160","23.11.2020",194.3,-0.0019538285818591
"161","20.11.2020",194.3,0
"162","19.11.2020",194.49,0.00097739147161961
"163","18.11.2020",194.3,-0.00097739147161957
"164","17.11.2020",194.11,-0.000978347700394452
"165","16.11.2020",194.1,-5.15185080354999e-05
"166","13.11.2020",193.34,-0.00392319313850517
"167","12.11.2020",193.34,0
"168","11.11.2020",193.41,0.000361990954178993
"169","10.11.2020",193.41,0
"170","09.11.2020",192.84,-0.0029514584532169
"171","06.11.2020",192.84,0
"172","05.11.2020",192.84,0
"173","04.11.2020",192.84,0
"174","30.10.2020",192.84,0
"175","29.10.2020",198.74,0.0301366082657957
"176","28.10.2020",198.75,5.03157312239436e-05
"177","27.10.2020",198.74,-5.03157312238814e-05
"178","26.10.2020",198.36,-0.00191387618228416
"179","23.10.2020",198.74,0.0019138761822842
"180","22.10.2020",198.43,-0.0015610447060565
"181","21.10.2020",198.24,-0.000957975216328462
"182","20.10.2020",198.05,-0.000958893812906633
"183","19.10.2020",198.05,0
"184","16.10.2020",198.05,0
"185","15.10.2020",197.86,-0.000959814172849096
"186","14.10.2020",197.87,5.05395092721294e-05
"187","13.10.2020",196.54,-0.00674427647006792
"188","12.10.2020",196.54,0
"189","08.10.2020",196.54,0
"190","07.10.2020",196.52,-0.000101765633833191
"191","06.10.2020",196.53,5.08841114471023e-05
"192","05.10.2020",196.53,0
"193","02.10.2020",196.33,-0.00101817450123694
"194","01.10.2020",196.33,0
"195","30.09.2020",196.33,0
"196","29.09.2020",196.33,0
"197","28.09.2020",196.33,0
"198","25.09.2020",196.33,0
"199","24.09.2020",196.53,0.00101817450123707
"200","23.09.2020",196.53,0
"201","22.09.2020",196.53,0
"202","21.09.2020",196.53,0
"203","18.09.2020",196.53,0
"204","17.09.2020",196.53,0
"205","16.09.2020",196.53,0
"206","15.09.2020",196.72,0.000966306496042406
"207","14.09.2020",197.67,0.00481757568590095
"208","11.09.2020",197.48,-0.000961660203176121
"209","10.09.2020",198.85,0.00691345826303755
"210","09.09.2020",198.08,-0.00387978215746826
"211","08.09.2020",198.08,0
"212","07.09.2020",198.63,0.00277280810863306
"213","04.09.2020",199.39,0.00381890821394361
"214","02.09.2020",199.39,0
"215","01.09.2020",199.39,0
"216","31.08.2020",199.39,0
"217","28.08.2020",199.58,0.00095245263735864
"218","27.08.2020",199.53,-0.000250557491726993
"219","26.08.2020",199.72,0.000951784667969019
"220","25.08.2020",199.53,-0.000951784667969093
"221","24.08.2020",199.57,0.000200451015454512
"222","21.08.2020",199.76,0.000951593991623884
"223","20.08.2020",199.76,0
"224","19.08.2020",199.57,-0.00095159399162386
"225","18.08.2020",199.95,0.00190228331293351
"226","17.08.2020",200.59,0.00319568854377892
"227","14.08.2020",200.59,0
"228","13.08.2020",200.59,0
"229","12.08.2020",201.74,0.00571671579008312
"230","11.08.2020",201.74,0
"231","06.08.2020",200.11,-0.00811252427321715
"232","05.08.2020",200.11,0
"233","04.08.2020",200.49,0.00189715483761624
"234","03.08.2020",200.49,0
"235","31.07.2020",200.11,-0.00189715483761632
"236","30.07.2020",199.35,-0.00380514152610818
"237","29.07.2020",200.38,0.00515349000375293
"238","28.07.2020",196.4,-0.0200621679107514
"239","27.07.2020",196.78,0.00193295751725384
"240","23.07.2020",196.78,0
"241","22.07.2020",196.78,0
"242","21.07.2020",196.78,0
"243","20.07.2020",202.29,0.0276159579769808
"244","17.07.2020",202.3,4.94327590995321e-05
"245","16.07.2020",202.29,-4.94327590996582e-05
"246","15.07.2020",202.29,0
"247","14.07.2020",202.29,0
"248","13.07.2020",202.37,0.00039539366896787
"249","10.07.2020",202.37,0
"250","09.07.2020",202.37,0
"251","08.07.2020",202.18,-0.000939315357656491
"252","07.07.2020",202.9,0.00355485710585756
"253","06.07.2020",202.9,0
"254","03.07.2020",202.9,0
"255","01.07.2020",202.9,0
"256","30.06.2020",202.86,-0.000197160883919419
"257","29.06.2020",202.86,0
"258","26.06.2020",202.86,0
"259","25.06.2020",202.67,-0.000937045416627815
"260","24.06.2020",202.67,0
"261","23.06.2020",203.05,0.00187321360108499
"262","22.06.2020",201.72,-0.0065716569237823
"263","19.06.2020",201.72,0
"264","18.06.2020",207.18,0.0267073834214315
"265","17.06.2020",207.18,0
"266","16.06.2020",207.14,-0.000193087469223328
"267","15.06.2020",207.33,0.000916833610680013
"268","12.06.2020",206.95,-0.00183450857667137
"269","11.06.2020",206.95,0
"270","10.06.2020",206.76,-0.000918517866902823
"271","09.06.2020",206.37,-0.00188802612180606
"272","08.06.2020",206.57,0.000968663804128849
"273","05.06.2020",206.38,-0.000920208322593026
"274","04.06.2020",206.38,0
"275","03.06.2020",206.38,0
"276","02.06.2020",206.38,0
"277","01.06.2020",206.38,0
"278","29.05.2020",206.38,0
"279","28.05.2020",206.38,0
"280","27.05.2020",206.38,0
"281","26.05.2020",206.38,0
"282","22.05.2020",206.38,0
"283","21.05.2020",206.38,0
"284","20.05.2020",206.38,0
"285","19.05.2020",206.38,0
"286","18.05.2020",206.38,0
"287","15.05.2020",206.19,-0.000921055885944706
"288","14.05.2020",206.38,0.000921055885944632
"289","13.05.2020",206.38,0
"290","12.05.2020",206.19,-0.000921055885944706
"291","11.05.2020",206.19,0
"292","08.05.2020",206,-0.000921905012042451
"293","07.05.2020",206,0
"294","06.05.2020",206,0
"295","05.05.2020",206,0
"296","04.05.2020",206,0
"297","30.04.2020",206,0
"298","29.04.2020",206,0
"299","28.04.2020",206,0
"300","27.04.2020",206.01,4.85425111135226e-05
"301","24.04.2020",206.01,0
"302","23.04.2020",206.58,0.00276303527779283
"303","22.04.2020",206.58,0
"304","21.04.2020",206.6,9.68101070506216e-05
"305","20.04.2020",206.6,0
"306","17.04.2020",206.6,0
"307","16.04.2020",206.6,0
"308","15.04.2020",206.03,-0.00276276743117043
"309","14.04.2020",206.03,0
"310","13.04.2020",207.55,0.00735048524468016
"311","09.04.2020",207.55,0
"312","08.04.2020",207.55,0
"313","07.04.2020",207.76,0.00101129285544513
"314","06.04.2020",207.76,0
"315","03.04.2020",207.76,0
"316","02.04.2020",208.71,0.00456216124916665
"317","01.04.2020",208.71,0
"318","31.03.2020",208.71,0
"319","30.03.2020",208.71,0
"320","27.03.2020",208.71,0
"321","26.03.2020",208.71,0
"322","25.03.2020",208.71,0
"323","24.03.2020",208.71,0
"324","23.03.2020",209.09,0.00181905267967201
"325","20.03.2020",209.09,0
"326","19.03.2020",209.09,0
"327","18.03.2020",208.9,-0.000909112720811621
"328","17.03.2020",209.09,0.000909112720811531
"329","16.03.2020",209.09,0
"330","13.03.2020",209.09,0
"331","12.03.2020",206.8,-0.0110126386490577
"332","11.03.2020",206.99,0.000918340285425023
"333","10.03.2020",206.61,-0.00183752469498252
"334","09.03.2020",206.78,0.00082246793383049
"335","06.03.2020",206.59,-0.000919273355009693
"336","05.03.2020",198.15,-0.0417118331670933
"337","04.03.2020",197.96,-0.000959329552758695
"338","03.03.2020",198.54,0.00292560107789032
"339","02.03.2020",198.82,0.00140930162242336
"340","28.02.2020",198.82,0
"341","27.02.2020",198.82,0
"342","26.02.2020",198.63,-0.00095609517913468
"343","21.02.2020",198.8,0.000855496617609286
"344","20.02.2020",198.99,0.000955277983100608
"345","19.02.2020",198.99,0
"346","18.02.2020",199.08,0.000452181784779232
"347","17.02.2020",199.41,0.00165625273124676
"348","14.02.2020",199.41,0
"349","13.02.2020",199.22,-0.000953265004580599
"350","12.02.2020",199.22,0
"351","11.02.2020",199.22,0
"352","10.02.2020",199.41,0.000953265004580463
"353","07.02.2020",199.4,-5.01491938621393e-05
"354","06.02.2020",200.28,0.004403529934006
"355","05.02.2020",200.28,0
"356","04.02.2020",199.9,-0.00189914595538964
"357","03.02.2020",200.09,0.00095002382204706
"358","31.01.2020",199.9,-0.000950023822047038
"359","30.01.2020",199.9,0
"360","29.01.2020",199.9,0
"361","28.01.2020",199.9,0
"362","27.01.2020",200.26,0.00179928077330231
"363","24.01.2020",200.26,0
"364","23.01.2020",200.45,0.00094831680885926
"365","22.01.2020",200.45,0
"366","21.01.2020",200.07,-0.00189753377619139
"367","20.01.2020",207.45,0.0362230414665522
"368","17.01.2020",207.07,-0.00183344642694343
"369","16.01.2020",207.07,0
"370","15.01.2020",207.64,0.0027489106070948
"371","14.01.2020",207.64,0
"372","13.01.2020",207.81,0.000818389743595159
"373","10.01.2020",208.02,0.00101002822236373
"374","09.01.2020",208.21,0.000912956842115693
"375","08.01.2020",208.02,-0.00091295684211578
"376","07.01.2020",202.55,-0.0266474592762875
"377","06.01.2020",202.54,-4.93717445607558e-05
"378","03.01.2020",202.35,-0.000938526582264388
"379","02.01.2020",202.16,-0.00093940824193583
"380","30.12.2019",201.78,-0.00188146809970551
"381","27.12.2019",201.78,0
"382","26.12.2019",201.78,0
"383","24.12.2019",200.98,-0.00397259435942063
"384","23.12.2019",200.98,0
"385","20.12.2019",199.61,-0.00683993779802121
"386","19.12.2019",199.61,0
"387","18.12.2019",198.17,-0.00724021464366989
"388","17.12.2019",197.98,-0.000959232687460233
"389","16.12.2019",197.46,-0.00262998330835766
"390","13.12.2019",197.27,-0.000962683427526114
"391","12.12.2019",197.46,0.000962683427526197
"392","11.12.2019",197.46,0
"393","10.12.2019",197.27,-0.000962683427526114
"394","09.12.2019",199.38,0.0106392028387803
"395","06.12.2019",199.08,-0.00150579760420435
"396","05.12.2019",199.38,0.00150579760420448
"397","04.12.2019",199.38,0
"398","03.12.2019",199,-0.00190772687006546
"399","29.11.2019",199.19,0.00095431836269011
"400","28.11.2019",199.19,0
"401","27.11.2019",198.96,-0.00115534359203321
"402","26.11.2019",198.96,0
"403","25.11.2019",197.98,-0.00493778400348805
"404","22.11.2019",199.13,0.0057918622789225
"405","21.11.2019",199.12,-5.02197112471334e-05
"406","20.11.2019",199.12,0
"407","19.11.2019",199.07,-0.000251136393494522
"408","18.11.2019",198.88,-0.00095489390344109
"409","15.11.2019",198.88,0
"410","14.11.2019",199.5,0.00311260856751709
"411","13.11.2019",199.5,0
"412","12.11.2019",199.5,0
"413","11.11.2019",199.5,0
"414","08.11.2019",199.92,0.00210305019677867
"415","07.11.2019",199.92,0
"416","06.11.2019",199.92,0
"417","05.11.2019",199.92,0
"418","31.10.2019",199.87,-0.000250131320246485
"419","30.10.2019",199.87,0
"420","29.10.2019",199.87,0
"421","28.10.2019",199.87,0
"422","25.10.2019",199.87,0
"423","24.10.2019",199.87,0
"424","23.10.2019",206.84,0.0342783923215703
"425","22.10.2019",207.22,0.00183548329558499
"426","21.10.2019",207.22,0
"427","18.10.2019",200.26,-0.0341645085439491
"428","17.10.2019",200.3,0.000199720392115987
"429","16.10.2019",200.49,0.000948127519315863
"430","15.10.2019",200.49,0
"431","14.10.2019",200.49,0
"432","10.10.2019",200.3,-0.000948127519315894
"433","09.10.2019",200.49,0.000948127519315863
"434","08.10.2019",198.46,-0.010176801704993
"435","07.10.2019",200.45,0.00997727060242034
"436","04.10.2019",200.45,0
"437","03.10.2019",200.65,0.000997257624409908
"438","02.10.2019",200.28,-0.00184570925118169
"439","01.10.2019",200.28,0
"440","30.09.2019",200.47,0.000948222154640685
"441","27.09.2019",200.47,0
"442","26.09.2019",200.47,0
"443","25.09.2019",200.47,0
"444","24.09.2019",200.28,-0.000948222154640743
"445","23.09.2019",200.66,0.00189554603572269
"446","20.09.2019",200.66,0
"447","19.09.2019",200.66,0
"448","18.09.2019",200.89,0.00114556107659114
