"","ts","pr","rt"
"1","20.07.0015",99.49,0
"2","20.07.0014",100.42,0.00930425400529114
"3","20.07.0013",100.4,-0.000199183348930582
"4","20.07.0012",100.52,0.00119450541776247
"5","20.07.0009",100.12,-0.00398724611181782
"6","20.07.0008",97.94,-0.0220144202894022
"7","20.07.0007",100.06,0.0214149597858876
"8","20.07.0006",99.7,-0.00360432909226636
"9","20.07.0005",100.62,0.00918536809537995
"10","20.07.0002",100.4,-0.00218883780554365
"11","20.07.0001",100.44,0.000398327031755397
"12","20.06.0030",99.76,-0.00679323291760319
"13","20.06.0029",100.68,0.00917986889533417
"14","20.06.0028",100.48,-0.00198846754722665
"15","20.06.0025",101.5,0.0101000957619534
"16","20.06.0024",101.62,0.00118156768374376
"17","20.06.0023",100.28,-0.0132740928754932
"18","20.06.0022",101.16,0.00873714851167174
"19","20.06.0021",101.06,-0.000989021938001856
"20","20.06.0018",100.46,-0.00595476154186398
"21","20.06.0017",102.04,0.0156052549517121
"22","20.06.0016",101.8,-0.00235478915718841
"23","20.06.0015",101.62,-0.00176973795083649
"24","20.06.0014",101.2,-0.0041416093122207
"25","20.06.0011",100.98,-0.00217627942259552
"26","20.06.0010",100.1,-0.00875279110959486
"27","20.06.0009",100.32,0.00219539056343566
"28","20.06.0008",100.18,-0.00139650895513964
"29","20.06.0007",100.08,-0.000998701770815103
"30","20.06.0004",99.6,-0.00480770156810323
"31","20.06.0003",99.46,-0.00140661130396001
"32","20.06.0002",99.61,0.00150700787048189
"33","20.06.0001",99.13,-0.00483044111226824
"34","20.05.0031",98.49,-0.00647709986319507
"35","20.05.0028",99.03,0.00546781435160032
"36","20.05.0027",98.18,-0.00862030590330481
"37","20.05.0026",97.58,-0.00612997424221538
"38","20.05.0025",97.52,-0.000615069214675073
"39","20.05.0024",97.8,0.00286709186775567
"40","20.05.0021",97.44,-0.00368777307918474
"41","20.05.0020",96.63,-0.00834755195036981
"42","20.05.0019",95.3,-0.0138594413510607
"43","20.05.0018",96.83,0.0159270529632832
"44","20.05.0017",96.9,0.000722655273280858
"45","20.05.0014",97.06,0.00164982508034948
"46","20.05.0013",95.62,-0.0149473407791128
"47","20.05.0012",95.47,-0.00156994118801558
"48","20.05.0011",95.2,-0.00283212021262219
"49","20.05.0010",97.11,0.019864414808943
"50","20.05.0007",96.86,-0.00257771963117961
"51","20.05.0006",96.25,-0.00631766380718947
"52","20.05.0005",96.02,-0.00239247006509931
"53","20.05.0004",94.4,-0.0170154299513392
"54","20.05.0003",95.26,0.00906892222125934
"55","20.04.0030",94.57,-0.00726969434529362
"56","20.04.0029",95.11,0.00569381546687337
"57","20.04.0028",95.28,0.00178580855275058
"58","20.04.0027",94.68,-0.00631714040126146
"59","20.04.0026",94.72,0.000422386489912309
"60","20.04.0023",94.43,-0.0030663518607177
"61","20.04.0022",94.62,0.0020100509280241
"62","20.04.0021",93.78,-0.00891725654156179
"63","20.04.0020",93.03,-0.00802959188097298
"64","20.04.0019",94.91,0.0200070523619335
"65","20.04.0016",94.79,-0.00126515567745053
"66","20.04.0015",93.92,-0.00922056238516398
"67","20.04.0014",93.59,-0.00351981591062117
"68","20.04.0013",93.22,-0.00396124922457031
"69","20.04.0012",92.91,-0.00333100829137381
"70","20.04.0009",92.99,0.000860677836884862
"71","20.04.0008",92.9,-0.00096831467031302
"72","20.04.0007",92.41,-0.00528844791984389
