"","ts","pr","rt"
"1","20.07.0015",211.41,0
"2","20.07.0014",211.64,0.00108734202889006
"3","20.07.0013",215.19,0.0166346407705218
"4","20.07.0012",218.58,0.0156307214420749
"5","20.07.0009",217.42,-0.00532111347267317
"6","20.07.0008",212.11,-0.0247259587447293
"7","20.07.0007",214.69,0.0120901191503483
"8","20.07.0006",213.52,-0.00546462208520469
"9","20.07.0002",217.76,0.0196630338068873
"10","20.07.0001",216.71,-0.00483348467891647
"11","20.06.0030",217.63,0.00423631890173626
"12","20.06.0029",215.1,-0.0116933368522914
"13","20.06.0028",216.27,0.00542459081091259
"14","20.06.0025",216.31,0.000184936890813327
"15","20.06.0024",219.34,0.0139104733566526
"16","20.06.0023",213.79,-0.0256288125197463
"17","20.06.0022",213.13,-0.00309191663916935
"18","20.06.0021",213.21,0.000375287333766239
"19","20.06.0018",208.86,-0.0206134244555109
"20","20.06.0017",209.45,0.00282087634164126
"21","20.06.0016",217.16,0.0361493616442065
"22","20.06.0015",219.46,0.0105355745254027
"23","20.06.0014",219.01,-0.00205259268817765
"24","20.06.0011",220.7,0.00768692238821529
"25","20.06.0010",225.73,0.0225352815327957
"26","20.06.0009",234.65,0.0387554474449403
"27","20.06.0008",240.16,0.0232103256447252
"28","20.06.0007",239.76,-0.00166694487674404
"29","20.06.0004",244.02,0.0176117661387805
"30","20.06.0003",243.84,-0.000737916648906702
"31","20.06.0002",243.46,-0.00155961451683115
"32","20.06.0001",242.76,-0.00287935701379599
"33","20.05.0028",241.08,-0.00694447235281094
"34","20.05.0027",241.28,0.000829256204747794
"35","20.05.0026",237.71,-0.014906641502426
"36","20.05.0025",237.17,-0.00227425974036214
"37","20.05.0024",239.05,0.00789555149530928
"38","20.05.0021",237.24,-0.00760044810158649
"39","20.05.0020",234.99,-0.00952932692326904
"40","20.05.0019",236.87,0.00796850738723356
"41","20.05.0018",239.47,0.010916680610336
"42","20.05.0017",244.79,0.0219725520857712
"43","20.05.0014",242.23,-0.0105130121074573
"44","20.05.0013",240.07,-0.00895714054093582
"45","20.05.0012",237.32,-0.011521106091762
"46","20.05.0011",239.3,0.00830855352388529
"47","20.05.0010",242.61,0.0137372208615128
"48","20.05.0007",240.99,-0.00669977692200959
"49","20.05.0006",237.07,-0.0163999826786899
"50","20.05.0005",237.88,0.00341088866325194
"51","20.05.0004",233.41,-0.0189697810022972
"52","20.05.0003",228.17,-0.0227055986786169
"53","20.04.0030",228.11,-0.000262996407231565
"54","20.04.0029",227.47,-0.00280960718647689
"55","20.04.0028",232.3,0.0210112782125931
