"","ts","pr","rt"
"1","25.06.2001",0.12082,0
"2","26.06.2001",0.12082,0
"3","27.06.2001",NA,NA
"4","28.06.2001",NA,NA
"5","29.06.2001",NA,NA
"6","02.07.2001",0.120817,NA
"7","03.07.2001",NA,NA
"8","04.07.2001",NA,NA
"9","05.07.2001",NA,NA
"10","06.07.2001",NA,NA
"11","09.07.2001",0.120821,NA
"12","10.07.2001",NA,NA
"13","11.07.2001",0.120818,NA
"14","12.07.2001",NA,NA
"15","13.07.2001",0.120821,NA
"16","16.07.2001",0.120821,0
"17","17.07.2001",NA,NA
"18","18.07.2001",NA,NA
"19","19.07.2001",NA,NA
"20","20.07.2001",NA,NA
"21","23.07.2001",0.120817,NA
"22","24.07.2001",NA,NA
"23","25.07.2001",NA,NA
"24","26.07.2001",NA,NA
"25","27.07.2001",NA,NA
"26","30.07.2001",0.120821,NA
"27","31.07.2001",NA,NA
"28","01.08.2001",0.120818,NA
"29","02.08.2001",NA,NA
"30","03.08.2001",NA,NA
"31","06.08.2001",0.120817,NA
"32","07.08.2001",NA,NA
"33","08.08.2001",NA,NA
"34","09.08.2001",0.120812,NA
"35","10.08.2001",0.12082,6.62163952036229e-05
"36","13.08.2001",0.12082,0
"37","14.08.2001",0.120815,-4.13847331777512e-05
"38","15.08.2001",0.120815,0
"39","16.08.2001",0.120815,0
"40","17.08.2001",0.120817,1.65540987951866e-05
"41","20.08.2001",0.12082,2.48306343826124e-05
"42","21.08.2001",NA,NA
"43","22.08.2001",NA,NA
"44","23.08.2001",0.12082,NA
"45","24.08.2001",NA,NA
"46","27.08.2001",0.120817,NA
"47","28.08.2001",NA,NA
"48","29.08.2001",0.120818,NA
"49","30.08.2001",NA,NA
"50","31.08.2001",NA,NA
"51","03.09.2001",0.120817,NA
"52","04.09.2001",0.12082,2.48306343826124e-05
"53","05.09.2001",NA,NA
"54","06.09.2001",0.12082,NA
"55","07.09.2001",NA,NA
"56","10.09.2001",0.120821,NA
"57","11.09.2001",NA,NA
"58","12.09.2001",0.120818,NA
"59","13.09.2001",NA,NA
"60","14.09.2001",NA,NA
"61","17.09.2001",0.120821,NA
"62","18.09.2001",NA,NA
"63","19.09.2001",NA,NA
"64","20.09.2001",NA,NA
"65","21.09.2001",NA,NA
"66","24.09.2001",0.120817,NA
"67","25.09.2001",NA,NA
"68","26.09.2001",0.120818,NA
"69","27.09.2001",NA,NA
"70","28.09.2001",NA,NA
"71","01.10.2001",NA,NA
"72","02.10.2001",0.12082,NA
"73","03.10.2001",NA,NA
"74","04.10.2001",NA,NA
"75","05.10.2001",0.12082,NA
"76","08.10.2001",0.120821,8.27674111609362e-06
"77","09.10.2001",0.120818,-2.48304288641708e-05
"78","10.10.2001",0.12082,1.65536877481334e-05
"79","11.10.2001",NA,NA
"80","12.10.2001",NA,NA
"81","15.10.2001",0.120823,NA
"82","16.10.2001",0.120821,-1.65532767215531e-05
"83","17.10.2001",NA,NA
"84","18.10.2001",0.120817,NA
"85","19.10.2001",0.12082,2.48306343826124e-05
"86","22.10.2001",0.120817,-2.48306343826579e-05
"87","23.10.2001",NA,NA
"88","24.10.2001",NA,NA
"89","25.10.2001",NA,NA
"90","26.10.2001",0.120817,NA
"91","29.10.2001",0.120817,0
"92","30.10.2001",NA,NA
"93","31.10.2001",NA,NA
"94","01.11.2001",0.120818,NA
"95","02.11.2001",NA,NA
"96","05.11.2001",0.12082,NA
"97","06.11.2001",0.120821,8.27674111609362e-06
"98","07.11.2001",NA,NA
"99","08.11.2001",NA,NA
"100","09.11.2001",0.120823,NA
"101","12.11.2001",0.120824,8.27653560774113e-06
"102","13.11.2001",NA,NA
"103","14.11.2001",0.120821,NA
"104","15.11.2001",NA,NA
"105","16.11.2001",0.120815,NA
"106","19.11.2001",0.120815,0
"107","20.11.2001",0.120817,1.65540987951866e-05
"108","21.11.2001",0.120818,8.276946634438e-06
"109","22.11.2001",NA,NA
"110","23.11.2001",0.120818,NA
"111","26.11.2001",0.120818,0
"112","27.11.2001",0.120817,-8.27694663441754e-06
"113","28.11.2001",NA,NA
"114","29.11.2001",0.120811,NA
"115","30.11.2001",NA,NA
"116","03.12.2001",0.120817,NA
"117","04.12.2001",0.120815,-1.6554098795137e-05
"118","05.12.2001",0.120814,-8.27715216304751e-06
"119","06.12.2001",NA,NA
"120","07.12.2001",0.120814,NA
"121","10.12.2001",0.120817,2.48312509583025e-05
"122","11.12.2001",0.12082,2.48306343826124e-05
"123","12.12.2001",NA,NA
"124","13.12.2001",0.120821,NA
"125","14.12.2001",0.12082,-8.27674111600175e-06
"126","17.12.2001",0.120818,-1.65536877481307e-05
"127","18.12.2001",0.12082,1.65536877481334e-05
"128","19.12.2001",0.120821,8.27674111609362e-06
"129","20.12.2001",NA,NA
"130","21.12.2001",0.120821,NA
"131","24.12.2001",NA,NA
"132","25.12.2001",NA,NA
"133","26.12.2001",NA,NA
"134","27.12.2001",0.120823,NA
"135","28.12.2001",0.120821,-1.65532767215531e-05
"136","31.12.2001",NA,NA
"137","01.01.2002",NA,NA
"138","02.01.2002",0.120823,NA
"139","03.01.2002",NA,NA
"140","04.01.2002",0.120823,NA
"141","07.01.2002",0.12082,-2.48300178375219e-05
"142","08.01.2002",0.120821,8.27674111609362e-06
"143","09.01.2002",0.120821,0
"144","10.01.2002",0.120823,1.65532767215079e-05
"145","11.01.2002",NA,NA
"146","14.01.2002",0.120821,NA
"147","15.01.2002",NA,NA
"148","16.01.2002",0.120821,NA
"149","17.01.2002",0.12082,-8.27674111600175e-06
"150","18.01.2002",0.120821,8.27674111609362e-06
"151","21.01.2002",0.12082,-8.27674111600175e-06
"152","22.01.2002",NA,NA
"153","23.01.2002",0.120824,NA
"154","24.01.2002",NA,NA
"155","25.01.2002",0.120824,NA
"156","28.01.2002",0.120821,-2.48298123292492e-05
"157","29.01.2002",0.120823,1.65532767215079e-05
