"","ts","pr","rt"
"1","20.07.0015",117.02,0
"2","20.07.0014",119.06,0.017282707365154
"3","20.07.0013",117.92,-0.00962113928421758
"4","20.07.0012",117.88,-0.000339270571532526
"5","20.07.0009",118.64,0.00642653996018267
"6","20.07.0008",116.82,-0.0154594092175134
"7","20.07.0007",119.94,0.0263573291282004
"8","20.07.0006",119.88,-0.0005003752919012
"9","20.07.0005",125.2,0.0434212162175357
"10","20.07.0002",124.9,-0.00239904153446611
"11","20.07.0001",125.38,0.00383570871429048
"12","20.06.0030",123.98,-0.011228863572049
"13","20.06.0029",127.64,0.0290935391362693
"14","20.06.0028",125.84,-0.0142025426600203
"15","20.06.0025",128,0.0170190051695948
"16","20.06.0024",128.5,0.00389864041565732
"17","20.06.0023",127.3,-0.00938239877191362
"18","20.06.0022",127.56,0.00204033657849597
"19","20.06.0021",128.14,0.00453657406901843
"20","20.06.0018",125.02,-0.0246496917072092
"21","20.06.0017",126.44,0.0112941628437506
"22","20.06.0016",126.5,0.000474420820157933
"23","20.06.0015",128.36,0.0145965080740814
"24","20.06.0014",128.72,0.00280068644247161
"25","20.06.0011",130.48,0.0135804556286305
"26","20.06.0010",128.74,-0.0134250916882884
"27","20.06.0009",129.38,0.00495894399136947
"28","20.06.0008",130.84,0.0112213920543438
"29","20.06.0007",131.24,0.00305250542271777
"30","20.06.0004",128.68,-0.0196990057220753
"31","20.06.0003",128.92,0.00186335457641134
"32","20.06.0002",127.02,-0.0148475025724083
"33","20.06.0001",125.34,-0.0133145095782993
"34","20.05.0031",120.9,-0.0360662871757824
"35","20.05.0028",121.66,0.00626651127181227
"36","20.05.0027",121.44,-0.00180995524523953
"37","20.05.0026",119.44,-0.0166061604163849
"38","20.05.0025",118.8,-0.00537274630239045
"39","20.05.0021",117.1,-0.014413136324873
"40","20.05.0020",114.34,-0.0238518047678464
"41","20.05.0019",113.42,-0.00807872324994332
"42","20.05.0018",116.54,0.0271368191290463
"43","20.05.0017",114.82,-0.0148688769754375
"44","20.05.0014",114.74,-0.000696985565765747
"45","20.05.0013",112.04,-0.0238127487818171
"46","20.05.0012",113.34,0.0115362003495654
"47","20.05.0011",113.44,0.000881912042344152
"48","20.05.0010",114.32,0.00772747083779448
"49","20.05.0007",114.62,0.00262077550197959
"50","20.05.0006",112.12,-0.0220525828270039
"51","20.05.0005",112.26,0.00124788321746563
"52","20.05.0004",110.12,-0.0192469292396466
"53","20.05.0003",113,0.025817138437934
"54","20.04.0030",112.64,-0.00319092630260827
"55","20.04.0029",112.96,0.00283688133519954
"56","20.04.0028",118.1,0.0444979494583846
"57","20.04.0027",118.2,0.000846381768681339
"58","20.04.0026",118.14,-0.000507743092908685
