"","ts","pr","rt"
"1","15.07.2021",117.02,0
"2","14.07.2021",119.06,0.017282707365154
"3","13.07.2021",117.92,-0.00962113928421758
"4","12.07.2021",117.88,-0.000339270571532526
"5","09.07.2021",118.64,0.00642653996018267
"6","08.07.2021",116.82,-0.0154594092175134
"7","07.07.2021",119.94,0.0263573291282004
"8","06.07.2021",119.88,-0.0005003752919012
"9","05.07.2021",125.2,0.0434212162175357
"10","02.07.2021",124.9,-0.00239904153446611
"11","01.07.2021",125.38,0.00383570871429048
"12","30.06.2021",123.98,-0.011228863572049
"13","29.06.2021",127.64,0.0290935391362693
"14","28.06.2021",125.84,-0.0142025426600203
"15","25.06.2021",128,0.0170190051695948
"16","24.06.2021",128.5,0.00389864041565732
"17","23.06.2021",127.3,-0.00938239877191362
"18","22.06.2021",127.56,0.00204033657849597
"19","21.06.2021",128.14,0.00453657406901843
"20","18.06.2021",125.02,-0.0246496917072092
"21","17.06.2021",126.44,0.0112941628437506
"22","16.06.2021",126.5,0.000474420820157933
"23","15.06.2021",128.36,0.0145965080740814
"24","14.06.2021",128.72,0.00280068644247161
"25","11.06.2021",130.48,0.0135804556286305
"26","10.06.2021",128.74,-0.0134250916882884
"27","09.06.2021",129.38,0.00495894399136947
"28","08.06.2021",130.84,0.0112213920543438
"29","07.06.2021",131.24,0.00305250542271777
"30","04.06.2021",128.68,-0.0196990057220753
"31","03.06.2021",128.92,0.00186335457641134
"32","02.06.2021",127.02,-0.0148475025724083
"33","01.06.2021",125.34,-0.0133145095782993
"34","31.05.2021",120.9,-0.0360662871757824
"35","28.05.2021",121.66,0.00626651127181227
"36","27.05.2021",121.44,-0.00180995524523953
"37","26.05.2021",119.44,-0.0166061604163849
"38","25.05.2021",118.8,-0.00537274630239045
"39","21.05.2021",117.1,-0.014413136324873
"40","20.05.2021",114.34,-0.0238518047678464
"41","19.05.2021",113.42,-0.00807872324994332
"42","18.05.2021",116.54,0.0271368191290463
"43","17.05.2021",114.82,-0.0148688769754375
"44","14.05.2021",114.74,-0.000696985565765747
"45","13.05.2021",112.04,-0.0238127487818171
"46","12.05.2021",113.34,0.0115362003495654
"47","11.05.2021",113.44,0.000881912042344152
"48","10.05.2021",114.32,0.00772747083779448
"49","07.05.2021",114.62,0.00262077550197959
"50","06.05.2021",112.12,-0.0220525828270039
"51","05.05.2021",112.26,0.00124788321746563
"52","04.05.2021",110.12,-0.0192469292396466
"53","03.05.2021",113,0.025817138437934
"54","30.04.2021",112.64,-0.00319092630260827
"55","29.04.2021",112.96,0.00283688133519954
"56","28.04.2021",118.1,0.0444979494583846
"57","27.04.2021",118.2,0.000846381768681339
"58","26.04.2021",118.14,-0.000507743092908685
"59","23.04.2021",118.36,0.00186046565291967
"60","22.04.2021",116.32,-0.0173858137467997
"61","21.04.2021",112.4,-0.0342810763256184
"62","20.04.2021",111.96,-0.003922272812338
"63","19.04.2021",114.32,0.0208598689743593
"64","16.04.2021",117.58,0.028117419352497
"65","15.04.2021",114.24,-0.0288174543828347
"66","14.04.2021",114.1,-0.0012262417232443
"67","13.04.2021",113.94,-0.00140326281578047
"68","12.04.2021",111.8,-0.0189604333312507
"69","09.04.2021",110.94,-0.00772204609391028
"70","08.04.2021",112.98,0.0182212972700276
"71","07.04.2021",114.3,0.0116157589036489
"72","06.04.2021",114.74,0.00384212837295991
"73","01.04.2021",114.06,-0.00594407344533215
"74","31.03.2021",112.7,-0.0119952046826622
"75","30.03.2021",113.45,0.00663279018012004
"76","29.03.2021",111.95,-0.0133098681810869
"77","26.03.2021",110.8,-0.0103255687315804
"78","25.03.2021",111.15,0.0031538660970222
"79","24.03.2021",110.9,-0.00225174605388426
"80","23.03.2021",113.05,0.0192013043676575
"81","22.03.2021",115.65,0.0227381899534693
"82","19.03.2021",119.65,0.0340024256769342
"83","18.03.2021",122.45,0.0231319690437945
"84","17.03.2021",120.75,-0.0139804908654947
"85","16.03.2021",117.7,-0.025583278266451
"86","15.03.2021",113.7,-0.0345756135097407
"87","12.03.2021",114.15,0.00394997221931429
"88","11.03.2021",113.5,-0.00571053605434727
"89","10.03.2021",116,0.0217873541849072
"90","09.03.2021",118.5,0.0213227694688212
"91","08.03.2021",128.8,0.0833478530950675
"92","05.03.2021",122.3,-0.0517837709771267
"93","04.03.2021",124.55,0.0182301990150629
"94","03.03.2021",123.35,-0.00968139873282375
"95","02.03.2021",117,-0.0528519081776095
"96","01.03.2021",118.4,0.0118947876521491
"97","26.02.2021",118.9,0.00421408124683089
"98","25.02.2021",120.75,0.0154394888359459
"99","24.02.2021",120.5,-0.00207253960197242
"100","23.02.2021",118.45,-0.0171588223259152
"101","22.02.2021",118,-0.00380630613912977
"102","19.02.2021",120.35,0.0197195397634161
"103","18.02.2021",117.75,-0.0218404313325538
"104","17.02.2021",118.05,0.00254453063499479
"105","16.02.2021",121.1,0.0255083870275245
"106","15.02.2021",122.7,0.0131257011578193
"107","12.02.2021",122.65,-0.000407581012367418
"108","11.02.2021",123.95,0.0105434877767011
"109","10.02.2021",123.35,-0.00485241550583386
"110","09.02.2021",123.3,-0.000405432805067116
"111","08.02.2021",124.65,0.0108893997992683
"112","05.02.2021",124.9,0.00200360716196518
"113","04.02.2021",124.3,-0.00481541861486669
"114","03.02.2021",121.95,-0.0190868738547361
"115","02.02.2021",120.25,-0.0140382156760588
"116","01.02.2021",116.2,-0.0342600645680597
"117","29.01.2021",115.75,-0.00388015145146748
"118","28.01.2021",115.85,0.000863557912041762
"119","27.01.2021",114.65,-0.0104122415744716
"120","26.01.2021",116.55,0.0164363561778527
"121","25.01.2021",114.25,-0.019931335707452
"122","22.01.2021",118.55,0.0369457827371003
"123","21.01.2021",121.6,0.0254021570206522
"124","20.01.2021",119.9,-0.014078907498598
"125","19.01.2021",117.75,-0.0180943291369414
"126","18.01.2021",118.3,0.00466003808781396
"127","15.01.2021",118.2,-0.000845666012343258
"128","14.01.2021",121.2,0.0250639686632162
"129","13.01.2021",119.5,-0.0141257022636487
"130","12.01.2021",120.05,0.00459195129569678
"131","11.01.2021",116.3,-0.0317352631426435
"132","08.01.2021",119.1,0.0237904168366357
"133","07.01.2021",117.4,-0.0143765689672582
"134","06.01.2021",115.7,-0.0145862731943653
"135","05.01.2021",116.95,0.0107458588305571
"136","04.01.2021",117.9,0.00809031451313713
"137","30.12.2020",121.25,0.0280177222742673
"138","29.12.2020",122.75,0.0122952368570373
"139","28.12.2020",123.05,0.00244101016243495
"140","23.12.2020",121.65,-0.0114427076075332
"141","22.12.2020",118.4,-0.0270793467796263
"142","21.12.2020",116.95,-0.0123222294197173
"143","18.12.2020",119.35,0.0203138597546509
"144","17.12.2020",117.3,-0.0173255971254093
"145","16.12.2020",116.45,-0.0072727593290797
"146","15.12.2020",113.2,-0.0283058305612675
"147","14.12.2020",110,-0.0286757999766663
