"","ts","pr","rt"
"1","20.07.0015",53.65,0
"2","20.07.0014",54.09,0.00816785680662816
"3","20.07.0013",53.32,-0.0143378305728277
"4","20.07.0012",53.23,-0.00168934812584194
"5","20.07.0009",53.74,0.00953545600267932
"6","20.07.0008",53.26,-0.00897202280155907
"7","20.07.0007",53.26,0
"8","20.07.0006",52.98,-0.00527109654186254
"9","20.07.0002",53.54,0.0105145542482828
"10","20.07.0001",53.44,-0.00186950886381621
"11","20.06.0030",53,-0.00826761567626836
"12","20.06.0029",52.91,-0.00169955663608151
"13","20.06.0028",52.96,0.000944554712712409
"14","20.06.0025",53.06,0.00188643708084088
"15","20.06.0024",52.78,-0.00529101763441566
"16","20.06.0023",52.76,-0.000379003226064262
"17","20.06.0022",53.26,0.00943225253667225
"18","20.06.0021",53.18,-0.00150319457091234
"19","20.06.0018",52.07,-0.021093418640066
"20","20.06.0017",53.13,0.0201527732880443
"21","20.06.0016",53.47,0.00637900849778834
"22","20.06.0015",53.79,0.00596682732451099
"23","20.06.0014",54.17,0.00703967338465633
"24","20.06.0011",54.77,0.0110153491258226
"25","20.06.0010",55.03,0.00473589227603733
"26","20.06.0009",54.02,-0.0185241427071978
"27","20.06.0008",54.13,0.00203421244441691
"28","20.06.0007",53.92,-0.00388709420483498
"29","20.06.0004",54.07,0.00277803678986192
"30","20.06.0003",53.33,-0.0137804787814027
"31","20.06.0002",52.96,-0.00696211298375804
"32","20.06.0001",52.62,-0.00644063601660617
"33","20.05.0028",52.9,0.00530706325210704
"34","20.05.0027",52.92,0.000378000382501197
"35","20.05.0026",52.91,-0.000188982330714684
"36","20.05.0025",53.31,0.00753157391862948
"37","20.05.0024",53.39,0.00149953167742524
"38","20.05.0021",52.43,-0.0181445159276535
"39","20.05.0020",52.85,0.00797876573180532
"40","20.05.0019",52.47,-0.00721613461762629
"41","20.05.0018",52.93,0.00872870817127572
"42","20.05.0017",52.94,0.000188910929058893
"43","20.05.0014",52.9,-0.000755857934701547
"44","20.05.0013",52.49,-0.00778066360004523
"45","20.05.0012",51.6,-0.0171010027766914
"46","20.05.0011",52.83,0.0235575386887074
"47","20.05.0010",53.16,0.00622702266882001
"48","20.05.0007",53.43,0.00506615212463537
"49","20.05.0006",52.44,-0.0187027270741809
"50","20.05.0005",51.13,-0.0252982498035912
"51","20.05.0004",50.71,-0.00824827928498017
"52","20.05.0003",51.17,0.00903029301007285
"53","20.04.0030",50.91,-0.00509405490275586
"54","20.04.0029",51.46,0.0107454389393536
"55","20.04.0028",51.11,-0.00682463407340997
"56","20.04.0027",51.37,0.00507417169898833
"57","20.04.0026",51.64,0.00524222149926542
"58","20.04.0023",51.91,0.00521488386069582
"59","20.04.0022",51.5,-0.00792964216944716
"60","20.04.0021",51.93,0.00831485018653705
"61","20.04.0020",51.79,-0.00269957742042751
"62","20.04.0019",52.85,0.0202606318804466
"63","20.04.0016",52.8,-0.000946521604030936
"64","20.04.0015",51.64,-0.0222146247337739
"65","20.04.0014",51.37,-0.00524222149926529
"66","20.04.0013",51.66,0.00562944318851785
"67","20.04.0012",51.57,-0.00174367960482673
"68","20.04.0009",52.09,0.0100328836942326
"69","20.04.0008",51.91,-0.0034615419179626
"70","20.04.0007",51.77,-0.00270061892532752
"71","20.04.0006",52.025,0.00491354136588798
"72","20.04.0005",52.41,0.00737304053437671
"73","20.04.0001",51.98,-0.00823838360073066
"74","20.03.0031",51.71,-0.00520784280521397
"75","20.03.0030",51.77,0.00115964450567981
"76","20.03.0029",52.52,0.0143832185207855
"77","20.03.0026",52.57,0.000951565396761091
"78","20.03.0025",50.51,-0.0399742783513956
"79","20.03.0024",49.65,-0.0171729459887796
"80","20.03.0023",50.01,0.0072245949396308
"81","20.03.0022",50.3,0.00578209167488113
"82","20.03.0019",48.98,-0.0265930255816719
"83","20.03.0018",48.8,-0.00368173866492023
"84","20.03.0017",49.42,0.0126248877013626
"85","20.03.0016",49.67,0.00504592855879506
"86","20.03.0015",49.41,-0.00524829626160058
"87","20.03.0012",48.82,-0.0120127678928446
"88","20.03.0011",48.8,-0.000409752105712527
"89","20.03.0010",48.29,-0.0105058129736509
"90","20.03.0009",47.89,-0.00831778553093245
"91","20.03.0008",47.51,-0.00796649915568813
"92","20.03.0005",46.25,-0.0268787512403958
"93","20.03.0004",44.56,-0.0372248683394055
"94","20.03.0003",45.13,0.0127106182198812
"95","20.03.0002",45.515,0.00849472811834223
"96","20.03.0001",45.92,0.00885881005405893
"97","20.02.0026",44.87,-0.0231313320234191
"98","20.02.0025",45.52,0.0143823698301836
"99","20.02.0024",45.74,0.00482139877655965
"100","20.02.0023",45.51,-0.00504110656608458
"101","20.02.0022",45.43,-0.00175940225723859
"102","20.02.0019",45.68,0.00548788557644294
"103","20.02.0018",46.34,0.0143449536564754
"104","20.02.0017",46.25,-0.00194405504579605
"105","20.02.0016",46.51,0.00560587927757143
"106","20.02.0012",47.29,0.0166315134197787
"107","20.02.0011",47.58,0.00611364821902713
"108","20.02.0010",47.24,-0.00717151354564997
"109","20.02.0009",48.5,0.0263228066142759
"110","20.02.0008",48.94,0.00903126007108801
"111","20.02.0005",48.08,-0.0177287677875735
"112","20.02.0004",47.25,-0.0174136362872004
"113","20.02.0003",45.77,-0.031823799274201
"114","20.02.0002",45.83,0.00131004385548189
"115","20.02.0001",45.4,-0.00942679347373034
"116","20.01.0029",44.58,-0.0182267770895795
"117","20.01.0028",45.34,0.0169043171216602
"118","20.01.0027",45.7,0.00790865282077617
"119","20.01.0026",45.26,-0.00967465769476775
"120","20.01.0025",45.03,-0.00509470589191101
"121","20.01.0022",44.77,-0.00579066206060608
"122","20.01.0021",45.11,0.00756567916743023
"123","20.01.0020",45.34,0.00508569365907841
"124","20.01.0019",45.19,-0.00331382165619475
"125","20.01.0015",45.43,0.00529685634812376
"126","20.01.0014",45.15,-0.00618239990831754
"127","20.01.0013",45.36,0.0046403795565023
"128","20.01.0012",45.79,0.00943506724950754
"129","20.01.0011",45.36,-0.00943506724950746
"130","20.01.0008",45.06,-0.00663572441539816
"131","20.01.0007",44.96,-0.00222172941866275
"132","20.01.0006",44.4,-0.0125337361472566
"133","20.01.0005",43.98,-0.00950448431156396
"134","20.01.0004",43.96,-0.000454855591194376
"135","20.12.0031",44.75,0.0178113151854438
"136","20.12.0030",44.48,-0.00605179477853756
"137","20.12.0029",44.64,0.00359066813072854
"138","20.12.0028",44.92,0.00625281179718685
"139","20.12.0024",44.54,-0.00849546804102096
"140","20.12.0023",44.375,-0.00371141403364172
"141","20.12.0022",44.69,0.00707351514978031
"142","20.12.0021",44.88,0.00424249826908091
"143","20.12.0018",45.44,0.012400513198455
"144","20.12.0017",44.82,-0.0137383060401149
"145","20.12.0016",44.72,-0.00223363952593728
"146","20.12.0015",44.72,0
"147","20.12.0014",44.24,-0.0107914716327643
"148","20.12.0011",44.32,0.00180668522494905
"149","20.12.0010",44.32,0
"150","20.12.0009",44.69,0.00831372050633166
"151","20.12.0008",44.37,-0.00718619755454206
"152","20.12.0007",44.35,-0.000450856635229505
"153","20.12.0004",44.38,0.00067620874885942
