"","ts","pr","rt"
"1","15.07.2021",18.22,0
"2","14.07.2021",18.312,0.0050366908184535
"3","13.07.2021",18.416,0.00566326932926121
"4","12.07.2021",18.272,-0.00785001850592717
"5","09.07.2021",18,-0.0149980755774349
"6","08.07.2021",17.792,-0.0116228398279927
"7","07.07.2021",18.002,0.0117339447667215
"8","06.07.2021",17.822,-0.0100492136443654
"9","05.07.2021",17.934,0.00626470333932793
"10","02.07.2021",17.97,0.00200534826561165
"11","01.07.2021",17.872,-0.00546845846862275
"12","30.06.2021",17.812,-0.00336285486738885
"13","29.06.2021",17.998,0.0103882531523009
"14","28.06.2021",17.916,-0.00456647226670315
"15","25.06.2021",17.878,-0.00212326167939277
"16","24.06.2021",17.872,-0.000335664338816015
"17","23.06.2021",17.74,-0.00741326544541157
"18","22.06.2021",17.976,0.0132155580015946
"19","21.06.2021",17.812,-0.00916514742357195
"20","18.06.2021",17.596,-0.0122007839729827
"21","17.06.2021",17.758,0.00916451512366178
"22","16.06.2021",17.81,0.00292397869143528
"23","15.06.2021",17.872,0.00347514502527467
"24","14.06.2021",17.788,-0.00471116967839481
"25","11.06.2021",17.794,0.00033724917412572
"26","10.06.2021",17.696,-0.0055226964826513
"27","09.06.2021",17.386,-0.0176733406830518
"28","08.06.2021",17.42,0.00195368676748435
"29","07.06.2021",17.442,0.00126211938043714
"30","04.06.2021",17.282,-0.00921559338558628
"31","03.06.2021",17.26,-0.00127381176392553
"32","02.06.2021",17.246,-0.000811453125149341
"33","01.06.2021",17.176,-0.00406717195365281
"34","31.05.2021",16.994,-0.0106527199951302
"35","28.05.2021",17.084,0.00528201239787055
"36","27.05.2021",17.014,-0.00410581842552749
"37","26.05.2021",17.092,0.00457398322808596
"38","25.05.2021",17.17,0.00455315712760581
"39","21.05.2021",17.17,0
"40","20.05.2021",17.008,-0.00947985330979218
"41","19.05.2021",16.592,-0.0247631701124206
"42","18.05.2021",17.068,0.0282847138385821
"43","17.05.2021",17.272,0.0118813278867525
"44","14.05.2021",16.812,-0.0269937760696358
"45","13.05.2021",16.618,-0.0116064719000809
"46","12.05.2021",16.712,0.00564057901147518
"47","11.05.2021",16.35,-0.0218991269110022
"48","10.05.2021",16.648,0.0180621917480708
"49","07.05.2021",16.534,-0.00687122226084943
"50","06.05.2021",16.532,-0.000120970180997866
"51","05.05.2021",16.412,-0.00728512206954637
"52","04.05.2021",16.092,-0.0196905204923979
"53","03.05.2021",16.098,0.000372786584000237
"54","30.04.2021",16,-0.0061063184317608
"55","29.04.2021",15.95,-0.0031298930089277
"56","28.04.2021",15.98,0.0018791111072752
"57","27.04.2021",15.998,0.00112577408850141
"58","26.04.2021",16.044,0.00287123348117637
"59","23.04.2021",16.082,0.00236568621815093
"60","22.04.2021",16.152,0.00434324688457904
"61","21.04.2021",16.032,-0.00745715610808216
"62","20.04.2021",16.048,0.000997506317125338
"63","19.04.2021",16.194,0.00905657204434304
"64","16.04.2021",16.124,-0.00433195800900324
"65","15.04.2021",15.992,-0.00822024805682024
"66","14.04.2021",16.07,0.00486558255132235
"67","13.04.2021",16.096,0.00161661416790753
"68","12.04.2021",16.302,0.0127170057549369
"69","09.04.2021",16.452,0.00915925069591202
"70","08.04.2021",16.638,0.0112421854935183
"71","07.04.2021",16.574,-0.00385403343484523
"72","06.04.2021",16.57,-0.000241370988379316
"73","01.04.2021",17.25,0.0402183120388971
"74","31.03.2021",17.17,-0.00464846856798451
"75","30.03.2021",17.115,-0.00320840292723573
"76","29.03.2021",17.135,0.00116788334442363
"77","26.03.2021",16.84,-0.0173661465123916
"78","25.03.2021",16.735,-0.00625467415089079
"79","24.03.2021",16.725,-0.000597728648997629
"80","23.03.2021",16.75,0.00149365225678315
"81","22.03.2021",16.445,-0.0183767786300551
"82","19.03.2021",16.47,0.0015190645485285
"83","18.03.2021",16.755,0.0171561769997247
"84","17.03.2021",16.625,-0.00778913464735582
"85","16.03.2021",16.485,-0.00845671001822351
"86","15.03.2021",16.625,0.00845671001822346
"87","12.03.2021",16.485,-0.00845671001822351
"88","11.03.2021",16.22,-0.0162058278364276
"89","10.03.2021",16.2,-0.00123380644892843
"90","09.03.2021",15.415,-0.0496701809002248
"91","08.03.2021",15.315,-0.00650832105337504
"92","05.03.2021",15,-0.0207825391825285
"93","04.03.2021",14.985,-0.00100050033358353
"94","03.03.2021",14.905,-0.00535297363859176
"95","02.03.2021",15,0.00635347397217535
"96","01.03.2021",15.025,0.00166527931906125
"97","26.02.2021",15.03,0.000332723343611756
"98","25.02.2021",14.97,-0.00400000533334602
"99","24.02.2021",14.77,-0.0134501018882486
"100","23.02.2021",14.72,-0.00339098324255815
"101","22.02.2021",14.805,0.00575784825282431
"102","19.02.2021",14.83,0.00168719459628605
"103","18.02.2021",14.7,-0.00880466236515011
"104","17.02.2021",14.76,0.00407332538763587
"105","16.02.2021",14.79,0.00203045755038192
"106","15.02.2021",14.915,0.0084161412440034
"107","12.02.2021",14.845,-0.00470430975098865
"108","11.02.2021",14.795,-0.00337382236355016
"109","10.02.2021",14.87,0.00505647461989074
"110","09.02.2021",14.895,0.0016798256931819
"111","08.02.2021",15.03,0.00902261759963755
"112","05.02.2021",15.065,0.00232596881738139
"113","04.02.2021",15.295,0.0151518050206022
"114","03.02.2021",15.255,-0.00261865943423379
"115","02.02.2021",14.985,-0.0178576174000066
"116","01.02.2021",14.835,-0.0100604470258413
"117","29.01.2021",14.7,-0.00914175995809462
"118","28.01.2021",14.975,0.0185346502168224
"119","27.01.2021",15.085,0.00731872860951138
"120","26.01.2021",14.99,-0.00631756049651816
"121","25.01.2021",14.92,-0.00468071733889152
