"","ts","pr","rt"
"1","15.07.2021",11.25,0
"2","14.07.2021",11.23,-0.00177935990007732
"3","13.07.2021",11.32,0.0079823040246851
"4","12.07.2021",11.49,0.0149060190856273
"5","09.07.2021",11.5,0.000869943508540035
"6","08.07.2021",11.07,-0.0381082886486589
"7","07.07.2021",11.35,0.024978997206866
"8","06.07.2021",11.17,-0.0159861308463023
"9","02.07.2021",11.52,0.0308530421866359
"10","01.07.2021",11.57,0.00433088593784015
"11","30.06.2021",11.62,0.00431221021817991
"12","29.06.2021",11.5,-0.0103807160545607
"13","28.06.2021",11.34,-0.0140107370695983
"14","25.06.2021",12.02,0.0582356308074554
"15","24.06.2021",12.15,0.0107572406794959
"16","23.06.2021",11.8,-0.0292296383149384
"17","22.06.2021",11.77,-0.00254561019943385
"18","21.06.2021",11.96,0.0160138272503005
"19","18.06.2021",11.71,-0.0211245709128597
"20","17.06.2021",11.79,0.00680853693965353
"21","16.06.2021",12.26,0.0390902159587859
"22","15.06.2021",12.11,-0.0123103729430645
"23","14.06.2021",12.32,0.017192400540373
"24","11.06.2021",12.41,0.00727864111114208
"25","10.06.2021",12.19,-0.0178866557233358
"26","09.06.2021",12.74,0.0441307066508372
"27","08.06.2021",12.55,-0.0150259845662243
"28","07.06.2021",12.58,0.00238758569450153
"29","04.06.2021",13.05,0.036679882496408
"30","03.06.2021",12.99,-0.00460830308619433
"31","02.06.2021",13.24,0.0190627198263539
"32","01.06.2021",13.4,0.0120121564480037
"33","28.05.2021",13.28,-0.00899556290857799
"34","27.05.2021",13.16,-0.00907721815111654
"35","26.05.2021",13.26,0.00757005886054529
"36","25.05.2021",13.15,-0.00833022613394286
"37","24.05.2021",13.79,0.0475219331814368
"38","21.05.2021",13.74,-0.00363240501100705
"39","20.05.2021",13.58,-0.0117131646636532
"40","19.05.2021",13.68,0.00733679006385431
"41","18.05.2021",13.63,-0.00366166648596304
"42","17.05.2021",13.87,0.0174549886182989
"43","14.05.2021",13.72,-0.010873612029001
"44","13.05.2021",13.02,-0.052367985517316
"45","12.05.2021",12.63,-0.0304117004180234
"46","11.05.2021",12.78,0.0118065125869888
"47","10.05.2021",12.49,-0.0229531248119023
"48","07.05.2021",13.29,0.0620835485876677
"49","06.05.2021",13.05,-0.0182237389564514
"50","05.05.2021",12.18,-0.0689928714869516
"51","04.05.2021",13.32,0.0894714028304921
"52","03.05.2021",13.33,0.000750469078374179
"53","30.04.2021",12.72,-0.0468415762786412
"54","29.04.2021",12.99,0.021004272770532
"55","28.04.2021",12.83,-0.0123936520549631
"56","27.04.2021",12.56,-0.0212690175874924
"57","26.04.2021",12.42,-0.01120908453472
"58","23.04.2021",12.22,-0.0162341227618834
"59","22.04.2021",11.82,-0.0332809417654972
"60","21.04.2021",12.08,0.0217581805287168
"61","20.04.2021",11.52,-0.0474665372389237
"62","19.04.2021",12.08,0.0474665372389238
"63","16.04.2021",12.05,-0.00248653257000482
"64","15.04.2021",11.94,-0.00917055197220805
"65","14.04.2021",11.95,0.000837170413063556
"66","13.04.2021",11.59,-0.0305886210258593
"67","12.04.2021",11.53,-0.00519032307069274
"68","09.04.2021",11.66,0.0112118466413788
"69","08.04.2021",11.97,0.0262393386475354
"70","07.04.2021",12.55,0.0473171460079112
"71","06.04.2021",12.66,0.00872675113823714
"72","05.04.2021",12.43,-0.0183345111934104
"73","01.04.2021",12.51,0.00641541895620004
"74","31.03.2021",12.23,-0.0226363747797387
"75","30.03.2021",11.91,-0.0265135663318722
"76","29.03.2021",11.53,-0.0324260490862412
"77","26.03.2021",11.68,0.0129256431191134
"78","25.03.2021",11.53,-0.0129256431191134
"79","24.03.2021",11.22,-0.0272544341864173
"80","23.03.2021",11.26,0.00355872261699393
"81","22.03.2021",11.55,0.0254288142562584
"82","19.03.2021",11.83,0.0239532410224928
"83","18.03.2021",12,0.0142679717977048
"84","17.03.2021",12.32,0.0263173083173734
"85","16.03.2021",11.9,-0.03468555798789
"86","15.03.2021",12.31,0.0338735400788785
"87","12.03.2021",12.92,0.0483645581580937
"88","11.03.2021",12.99,0.00540333232805244
"89","10.03.2021",12.32,-0.0529558725771345
"90","09.03.2021",11.98,-0.0279853654180705
"91","08.03.2021",11.83,-0.0125999146970079
"92","05.03.2021",11.49,-0.029161586129631
"93","04.03.2021",11.48,-0.000870700969243921
"94","03.03.2021",11.52,0.00347826437632479
"95","02.03.2021",11.57,0.00433088593784015
"96","01.03.2021",12.44,0.0725015461054481
"97","26.02.2021",11.83,-0.050278409320738
"98","25.02.2021",12.09,0.0217399866364058
"99","24.02.2021",12.75,0.0531526069777339
"100","23.02.2021",12.57,-0.014218249002279
"101","22.02.2021",12.63,0.00476191376024379
"102","19.02.2021",12.46,-0.0135514230030927
"103","18.02.2021",12.07,-0.031800478249867
"104","17.02.2021",12.31,0.019688905086922
"105","16.02.2021",12.67,0.0288250541366854
"106","12.02.2021",12.01,-0.0534973582411555
"107","11.02.2021",12.31,0.02467230410447
"108","10.02.2021",12.38,0.00567032706008795
"109","09.02.2021",12.5,0.00964637705180534
"110","08.02.2021",11.75,-0.0618754037180875
"111","05.02.2021",11,-0.0659579677917974
"112","04.02.2021",10.28,-0.0676950127713516
"113","03.02.2021",10.12,-0.0156865961676996
"114","02.02.2021",9.78,-0.0341741798125935
"115","01.02.2021",9.55,-0.0237983295540869
"116","29.01.2021",9.7,0.0155847310166981
"117","28.01.2021",10.3,0.0600180097262532
"118","27.01.2021",10.28,-0.00194363520857113
"119","26.01.2021",10.65,0.0353596321284152
"120","25.01.2021",10.57,-0.00754009227328781
"121","22.01.2021",10.59,0.00189035973116877
"122","21.01.2021",10.85,0.0242549203731534
"123","20.01.2021",10.83,-0.00184501897356924
"124","19.01.2021",10.71,-0.0111421765532417
"125","15.01.2021",10.51,-0.0188506995707977
"126","14.01.2021",11.61,0.0995396108209404
"127","13.01.2021",11.57,-0.00345125450421484
"128","12.01.2021",11.86,0.0247558523639942
"129","11.01.2021",11.73,-0.0110217309041952
"130","08.01.2021",11.66,-0.00598548174303784
"131","07.01.2021",11.49,-0.014687089061682
"132","06.01.2021",11.43,-0.00523561405394505
"133","05.01.2021",10.86,-0.0511551633009299
"134","04.01.2021",10.51,-0.0327591296169296
"135","31.12.2020",10.66,0.0141712338488388
"136","30.12.2020",10.39,-0.0256546136265624
"137","29.12.2020",9.73,-0.0656299089132223
"138","28.12.2020",9.68,-0.00515199490942811
"139","24.12.2020",9.1,-0.0617874877656813
"140","23.12.2020",8.94,-0.0177388243373816
"141","22.12.2020",8.6,-0.0387733859259607
"142","21.12.2020",8.66,0.00695251931488188
"143","18.12.2020",8.72,0.00690451534654449
"144","17.12.2020",9.07,0.0393530262061569
"145","16.12.2020",9.14,0.00768812133901349
"146","15.12.2020",9.3,0.0173540146931516
"147","14.12.2020",9.65,0.0369435151916843
"148","11.12.2020",9.78,0.0133815686958314
"149","10.12.2020",9.94,0.0162275366217568
"150","09.12.2020",9.8,-0.0141846349919563
"151","08.12.2020",10.27,0.0468446382639404
"152","07.12.2020",9.67,-0.0601987144752639
"153","04.12.2020",9.86,0.0194578591493411
"154","03.12.2020",9.55,-0.031945014121905
"155","02.12.2020",8.63,-0.101296649397302
"156","01.12.2020",8.06,-0.0683309485767997
"157","30.11.2020",7.9,-0.0200507970455611
