"","ts","pr","rt"
"1","20.07.0015",10.294,0
"2","20.07.0014",10.186,-0.01054697276815
"3","20.07.0013",10.184,-0.000196367207307531
"4","20.07.0012",10.21,0.00254977092146893
"5","20.07.0009",10.128,-0.0080637667747539
"6","20.07.0008",10.086,-0.00415554174728685
"7","20.07.0007",10.192,0.010454775175274
"8","20.07.0006",9.939,-0.025136686843939
"9","20.07.0005",9.92,-0.00191349068908707
"10","20.07.0002",9.874,-0.00464788146011017
"11","20.07.0001",9.822,-0.00528027221961843
"12","20.06.0030",9.754,-0.00694731032919197
"13","20.06.0029",9.893,0.0141499790532248
"14","20.06.0028",9.935,0.00423643966269456
"15","20.06.0025",9.839,-0.00970979612015177
"16","20.06.0024",9.951,0.0113189687493966
"17","20.06.0023",9.853,-0.00989707129268759
"18","20.06.0022",9.933,0.00808656989288135
"19","20.06.0021",9.983,0.00502109912106928
"20","20.06.0018",9.99,0.000700946306174075
"21","20.06.0017",10.102,0.0111488313853987
"22","20.06.0016",10.204,0.0100463762337041
"23","20.06.0015",10.202,-0.000196020778830189
"24","20.06.0014",10.168,-0.00333824561358191
"25","20.06.0011",10.078,-0.00889070362874652
"26","20.06.0010",10.03,-0.00477422828456217
"27","20.06.0009",10.1,0.00695482187336965
"28","20.06.0008",10.078,-0.00218059358880742
"29","20.06.0007",9.999,-0.00786974226469393
"30","20.06.0004",10.062,0.00628086407541436
"31","20.06.0003",9.99,-0.00718135940866458
"32","20.06.0002",9.933,-0.00572204542724325
"33","20.06.0001",9.961,0.00281492092980982
"34","20.05.0031",9.887,-0.00745670524803273
"35","20.05.0028",9.98,0.00936232740837664
"36","20.05.0027",9.906,-0.00744245615732662
"37","20.05.0026",10.098,0.019196750270678
"38","20.05.0025",10.06,-0.00377021976513078
"39","20.05.0021",10.184,0.0122506965835122
"40","20.05.0020",10.154,-0.00295014472990274
"41","20.05.0019",10.484,0.0319825689359573
"42","20.05.0018",10.56,0.00722299281695564
"43","20.05.0017",10.55,-0.000947418356039939
"44","20.05.0014",10.592,0.00397313927257678
"45","20.05.0013",10.582,-0.000944554712712441
"46","20.05.0012",10.5,-0.00777918731846232
"47","20.05.0011",10.602,0.00966740540213673
"48","20.05.0010",10.66,0.00545575617208408
"49","20.05.0007",10.57,-0.00847861885555223
"50","20.05.0006",10.45,-0.0114178214713264
"51","20.05.0005",10.376,-0.00710653139667728
"52","20.05.0004",10.112,-0.0257726096096411
"53","20.05.0003",10.144,0.00315956029036852
"54","20.04.0030",10.026,-0.0117006788535584
"55","20.04.0029",10.038,0.0011961723914304
"56","20.04.0028",10.018,-0.00199441629731682
"57","20.04.0027",10.054,0.00358709033495836
"58","20.04.0026",10.028,-0.00258938497433656
"59","20.04.0023",10.074,0.00457666702741167
"60","20.04.0022",10.11,0.00356718570892132
"61","20.04.0021",9.94,-0.0169580123638973
"62","20.04.0020",10.054,0.011403544601901
"63","20.04.0019",10.036,-0.00179193676620767
"64","20.04.0016",9.841,-0.0196212965873275
"65","20.04.0015",9.786,-0.00560453904991665
"66","20.04.0014",9.788,0.000204352713493404
"67","20.04.0013",9.943,0.0157116404175113
"68","20.04.0012",10.032,0.00891119789262845
"69","20.04.0009",9.901,-0.0131442217501873
"70","20.04.0008",9.949,0.00483628146684506
"71","20.04.0007",9.795,-0.0155999922107186
"72","20.04.0006",9.835,0.00407540044451849
"73","20.04.0001",9.951,0.0117255967920026
"74","20.03.0031",9.924,-0.00271698280347057
"75","20.03.0030",9.758,-0.0168686044359092
"76","20.03.0029",9.794,0.00368249188648035
"77","20.03.0026",9.564,-0.0237639036840473
"78","20.03.0025",9.544,-0.00209336480046323
"79","20.03.0024",9.15,-0.042158805508185
"80","20.03.0023",9.084,-0.00723925504411802
"81","20.03.0022",8.826,-0.0288127133959565
"82","20.03.0019",8.82,-0.000680040828655514
"83","20.03.0018",8.696,-0.0141587201997917
"84","20.03.0017",8.728,0.00367309871186128
"85","20.03.0016",8.826,0.0111656623165858
"86","20.03.0015",8.832,0.000679578687384122
"87","20.03.0012",8.812,-0.00226706059464301
"88","20.03.0011",8.858,0.00520657656090993
"89","20.03.0010",8.832,-0.00293951596626693
"90","20.03.0009",8.738,-0.0107001590054955
"91","20.03.0008",8.548,-0.0219839930723429
"92","20.03.0005",8.436,-0.013189074840373
"93","20.03.0004",8.38,-0.00666034812253637
"94","20.03.0003",8.294,-0.0103155526698022
"95","20.03.0002",8.5,0.0245338016720812
"96","20.03.0001",8.5,0
"97","20.02.0026",8.45,-0.00589972212718838
"98","20.02.0025",8.492,0.00495810247192747
"99","20.02.0024",8.558,0.00774197415361524
"100","20.02.0023",8.65,0.0106928029491629
"101","20.02.0022",8.548,-0.0118619834868868
"102","20.02.0019",8.684,0.0157849145591442
"103","20.02.0018",8.716,0.00367816506632803
"104","20.02.0017",8.788,0.00822673743999033
"105","20.02.0016",8.686,-0.0116746204097337
"106","20.02.0015",8.836,0.0171217514452407
"107","20.02.0012",8.748,-0.0100091827433495
"108","20.02.0011",8.712,-0.00412371718386204
"109","20.02.0010",8.774,0.00709141711336275
"110","20.02.0009",8.7,-0.00846977708348423
"111","20.02.0008",8.74,0.00458716400690614
"112","20.02.0005",8.808,0.00775020975293466
"113","20.02.0004",8.83,0.00249461519548976
"114","20.02.0003",8.842,0.00135808078818293
"115","20.02.0002",8.88,0.00428846160002724
"116","20.02.0001",8.884,0.000450349028102198
"117","20.01.0029",8.73,-0.0174865361806702
"118","20.01.0028",8.884,0.0174865361806701
"119","20.01.0027",8.786,-0.0110923604785932
"120","20.01.0026",8.884,0.0110923604785933
"121","20.01.0025",8.78,-0.0117754983851559
"122","20.01.0022",8.704,-0.00869371753343829
"123","20.01.0021",8.768,0.00732604009207288
"124","20.01.0020",8.752,-0.0018264845260343
"125","20.01.0019",8.728,-0.00274599714885585
"126","20.01.0018",8.71,-0.00206445766635816
"127","20.01.0015",8.806,0.0109615164691505
"128","20.01.0014",8.894,0.0099435847549427
"129","20.01.0013",8.938,0.00493495842275507
"130","20.01.0012",8.812,-0.0141974215711632
"131","20.01.0011",9.022,0.0235516100461075
"132","20.01.0008",9.146,0.0136505862496592
"133","20.01.0007",9.06,-0.00944750518097549
"134","20.01.0006",9.032,-0.00309529320752715
"135","20.01.0005",8.93,-0.0113574319589533
"136","20.01.0004",9.154,0.0247745473430428
"137","20.12.0030",9.064,-0.0098804185057451
"138","20.12.0029",9.118,0.00593995806554454
"139","20.12.0028",9.126,0.000877000713961054
"140","20.12.0023",8.968,-0.017464796735352
"141","20.12.0022",8.788,-0.0202755312474949
"142","20.12.0021",8.722,-0.00753858510178918
"143","20.12.0018",9.024,0.0340391253351283
"144","20.12.0017",9.086,0.0068470725815086
"145","20.12.0016",9.01,-0.00839969571696502
"146","20.12.0015",8.884,-0.0140831655880655
"147","20.12.0014",8.858,-0.00293090053117448
"148","20.12.0011",8.858,0
"149","20.12.0010",9.134,0.0306827092618007
"150","20.12.0009",9.218,0.00915437953550929
"151","20.12.0008",9.04,-0.0194989198942315
"152","20.12.0007",8.972,-0.00755055774612318
"153","20.12.0004",9.014,0.00467030761049461
"154","20.12.0003",8.996,-0.00199889017138717
"155","20.12.0002",9.118,0.0134704476941804
"156","20.12.0001",9.006,-0.0123594599118698
"157","20.11.0030",9.076,0.00774254503821547
"158","20.11.0027",9.14,0.00702681854846325
"159","20.11.0026",9.156,0.00174901662426155
"160","20.11.0025",9.138,-0.00196785894924054
"161","20.11.0024",8.964,-0.0192249872023991
"162","20.11.0023",8.984,0.00222866149746145
"163","20.11.0020",9.1,0.0128291960866624
"164","20.11.0019",9.05,-0.00550965581096947
"165","20.11.0018",9.13,0.00880093689504228
"166","20.11.0017",9.132,0.00021903406067178
"167","20.11.0016",9.324,0.0208069925059616
"168","20.11.0013",9.33,0.00064329368574172
"169","20.11.0012",9.262,-0.00731500680069218
"170","20.11.0011",9.48,0.0232643082083703
"171","20.11.0010",9.378,-0.0108177955995359
"172","20.11.0009",9.328,-0.00534589105925807
"173","20.11.0006",9.228,-0.0107782892966293
"174","20.11.0005",9.36,0.0142029501779933
"175","20.11.0004",9.33,-0.0032102756302481
"176","20.11.0003",9.048,-0.0306912760454332
"177","20.11.0002",9.042,-0.000663349941405962
"178","20.10.0030",8.952,-0.0100034178627893
"179","20.10.0029",8.846,-0.0119115915634891
"180","20.10.0028",8.96,0.0128048475407041
"181","20.10.0027",9.346,0.0421782172913953
"182","20.10.0026",9.468,0.012969247373503
"183","20.10.0023",9.528,0.0063171404012615
"184","20.10.0022",9.44,-0.0092788518955898
"185","20.10.0021",9.464,0.00253914651867646
"186","20.10.0020",9.582,0.0123912117848448
"187","20.10.0019",9.664,0.00852130273152864
"188","20.10.0016",9.74,0.0078334764619846
"189","20.10.0015",9.578,-0.0167723157340262
"190","20.10.0014",9.754,0.0182086553674431
"191","20.10.0013",9.648,-0.0109268173030312
"192","20.10.0012",9.77,0.0125658260698617
"193","20.10.0009",9.744,-0.0026647550871501
"194","20.10.0008",9.768,0.0024600258408624
"195","20.10.0007",9.716,-0.00533772566847762
"196","20.10.0006",9.768,0.00533772566847762
"197","20.10.0005",9.718,-0.00513190082469234
"198","20.10.0002",9.694,-0.00247269856052695
"199","20.10.0001",9.528,-0.0172723053701853
"200","20.09.0030",9.428,-0.0105508469791143
"201","20.09.0029",9.39,-0.00403869185371317
"202","20.09.0028",9.392,0.000212969865568926
"203","20.09.0025",9.282,-0.0117812222667565
"204","20.09.0024",9.334,0.00558660670863978
"205","20.09.0023",9.372,0.0040628731179253
"206","20.09.0022",9.3,-0.00771212048633892
"207","20.09.0021",9.38,0.008565362858923
"208","20.09.0018",9.686,0.032101780962904
"209","20.09.0017",9.754,0.00699591330682346
"210","20.09.0016",9.85,0.00979399789613662
"211","20.09.0015",9.832,-0.00182908292026374
"212","20.09.0014",9.812,-0.00203624586749097
"213","20.09.0011",9.9,0.0089286307443014
"214","20.09.0010",10.01,0.0110498361865849
"215","20.09.0009",10.05,0.00398804117795563
"216","20.09.0008",9.824,-0.0227442631002982
"217","20.09.0007",9.944,0.0121409828036235
"218","20.09.0004",9.792,-0.0154036284384399
"219","20.09.0003",10.12,0.0329479380893491
"220","20.09.0002",10.075,-0.00445655602657284
"221","20.09.0001",9.89,-0.0185329621981258
"222","20.08.0031",9.91,0.0020202027072758
"223","20.08.0028",9.926,0.00161322882335253
"224","20.08.0027",10,0.00742751582879655
"225","20.08.0026",10.045,0.004489905272852
"226","20.08.0025",10.145,0.00990597501088022
"227","20.08.0024",10.12,-0.00246730941845861
"228","20.08.0021",9.794,-0.0327437105791938
"229","20.08.0020",9.82,0.00265116908624882
"230","20.08.0019",10.05,0.0231515121387102
"231","20.08.0018",9.952,-0.0097990985082612
"232","20.08.0017",10.06,0.0107936286747697
"233","20.08.0014",9.988,-0.00718279225406641
"234","20.08.0013",10,0.00120072057651889
"235","20.08.0012",9.956,-0.00440970848870018
"236","20.08.0011",9.928,-0.00281633660303939
"237","20.08.0010",9.924,-0.000402982072751626
"238","20.08.0007",9.898,-0.00262334929986025
"239","20.08.0006",9.878,-0.00202265441126117
"240","20.08.0005",9.926,0.0048475150468159
"241","20.08.0004",9.964,0.00382102023468498
"242","20.08.0003",10.085,0.0120705740062412
"243","20.07.0031",9.936,-0.0148846462150522
"244","20.07.0030",10.005,0.00692044284457376
"245","20.07.0029",10.2,0.0193027522545285
"246","20.07.0028",10.2,0
"247","20.07.0027",10.18,-0.00196270916784871
"248","20.07.0024",10.34,0.0155948579579064
"249","20.07.0023",10.48,0.013448809812613
"250","20.07.0022",10.55,0.00665718102917937
"251","20.07.0021",10.715,0.0155187690034648
"252","20.07.0020",10.575,-0.0131519039931988
"253","20.07.0017",10.49,-0.00807030252413576
"254","20.07.0016",10.43,-0.00573615339552475
"255","20.07.0015",10.25,-0.0174085634282638
"256","20.07.0014",10.09,-0.0157328712188996
"257","20.07.0013",10.01,-0.00796024103838843
"258","20.07.0010",10.04,0.00299252093645393
"259","20.07.0009",10,-0.00399202126953734
"260","20.07.0008",10.215,0.0212721352755398
"261","20.07.0007",10.265,0.00488282220131148
"262","20.07.0006",10.305,0.00388916387152535
"263","20.07.0003",10.29,-0.00145666449646416
"264","20.07.0002",10.25,-0.00389484426154096
"265","20.07.0001",9.926,-0.0321201284191681
"266","20.06.0030",10.015,0.00892639195253264
"267","20.06.0029",9.914,-0.0101360695193995
"268","20.06.0026",9.734,-0.0183229881871196
"269","20.06.0025",9.768,0.00348682539714114
