"","ts","pr","rt"
"1","15.07.2021",10.294,0
"2","14.07.2021",10.186,-0.01054697276815
"3","13.07.2021",10.184,-0.000196367207307531
"4","12.07.2021",10.21,0.00254977092146893
"5","09.07.2021",10.128,-0.0080637667747539
"6","08.07.2021",10.086,-0.00415554174728685
"7","07.07.2021",10.192,0.010454775175274
"8","06.07.2021",9.939,-0.025136686843939
"9","05.07.2021",9.92,-0.00191349068908707
"10","02.07.2021",9.874,-0.00464788146011017
"11","01.07.2021",9.822,-0.00528027221961843
"12","30.06.2021",9.754,-0.00694731032919197
"13","29.06.2021",9.893,0.0141499790532248
"14","28.06.2021",9.935,0.00423643966269456
"15","25.06.2021",9.839,-0.00970979612015177
"16","24.06.2021",9.951,0.0113189687493966
"17","23.06.2021",9.853,-0.00989707129268759
"18","22.06.2021",9.933,0.00808656989288135
"19","21.06.2021",9.983,0.00502109912106928
"20","18.06.2021",9.99,0.000700946306174075
"21","17.06.2021",10.102,0.0111488313853987
"22","16.06.2021",10.204,0.0100463762337041
"23","15.06.2021",10.202,-0.000196020778830189
"24","14.06.2021",10.168,-0.00333824561358191
"25","11.06.2021",10.078,-0.00889070362874652
"26","10.06.2021",10.03,-0.00477422828456217
"27","09.06.2021",10.1,0.00695482187336965
"28","08.06.2021",10.078,-0.00218059358880742
"29","07.06.2021",9.999,-0.00786974226469393
"30","04.06.2021",10.062,0.00628086407541436
"31","03.06.2021",9.99,-0.00718135940866458
"32","02.06.2021",9.933,-0.00572204542724325
"33","01.06.2021",9.961,0.00281492092980982
"34","31.05.2021",9.887,-0.00745670524803273
"35","28.05.2021",9.98,0.00936232740837664
"36","27.05.2021",9.906,-0.00744245615732662
"37","26.05.2021",10.098,0.019196750270678
"38","25.05.2021",10.06,-0.00377021976513078
"39","21.05.2021",10.184,0.0122506965835122
"40","20.05.2021",10.154,-0.00295014472990274
"41","19.05.2021",10.484,0.0319825689359573
"42","18.05.2021",10.56,0.00722299281695564
"43","17.05.2021",10.55,-0.000947418356039939
"44","14.05.2021",10.592,0.00397313927257678
"45","13.05.2021",10.582,-0.000944554712712441
"46","12.05.2021",10.5,-0.00777918731846232
"47","11.05.2021",10.602,0.00966740540213673
"48","10.05.2021",10.66,0.00545575617208408
"49","07.05.2021",10.57,-0.00847861885555223
"50","06.05.2021",10.45,-0.0114178214713264
"51","05.05.2021",10.376,-0.00710653139667728
"52","04.05.2021",10.112,-0.0257726096096411
"53","03.05.2021",10.144,0.00315956029036852
"54","30.04.2021",10.026,-0.0117006788535584
"55","29.04.2021",10.038,0.0011961723914304
"56","28.04.2021",10.018,-0.00199441629731682
"57","27.04.2021",10.054,0.00358709033495836
"58","26.04.2021",10.028,-0.00258938497433656
"59","23.04.2021",10.074,0.00457666702741167
"60","22.04.2021",10.11,0.00356718570892132
"61","21.04.2021",9.94,-0.0169580123638973
"62","20.04.2021",10.054,0.011403544601901
"63","19.04.2021",10.036,-0.00179193676620767
"64","16.04.2021",9.841,-0.0196212965873275
"65","15.04.2021",9.786,-0.00560453904991665
"66","14.04.2021",9.788,0.000204352713493404
"67","13.04.2021",9.943,0.0157116404175113
"68","12.04.2021",10.032,0.00891119789262845
"69","09.04.2021",9.901,-0.0131442217501873
"70","08.04.2021",9.949,0.00483628146684506
"71","07.04.2021",9.795,-0.0155999922107186
"72","06.04.2021",9.835,0.00407540044451849
"73","01.04.2021",9.951,0.0117255967920026
"74","31.03.2021",9.924,-0.00271698280347057
"75","30.03.2021",9.758,-0.0168686044359092
"76","29.03.2021",9.794,0.00368249188648035
"77","26.03.2021",9.564,-0.0237639036840473
"78","25.03.2021",9.544,-0.00209336480046323
"79","24.03.2021",9.15,-0.042158805508185
"80","23.03.2021",9.084,-0.00723925504411802
"81","22.03.2021",8.826,-0.0288127133959565
"82","19.03.2021",8.82,-0.000680040828655514
"83","18.03.2021",8.696,-0.0141587201997917
"84","17.03.2021",8.728,0.00367309871186128
"85","16.03.2021",8.826,0.0111656623165858
"86","15.03.2021",8.832,0.000679578687384122
"87","12.03.2021",8.812,-0.00226706059464301
"88","11.03.2021",8.858,0.00520657656090993
"89","10.03.2021",8.832,-0.00293951596626693
"90","09.03.2021",8.738,-0.0107001590054955
"91","08.03.2021",8.548,-0.0219839930723429
"92","05.03.2021",8.436,-0.013189074840373
"93","04.03.2021",8.38,-0.00666034812253637
"94","03.03.2021",8.294,-0.0103155526698022
"95","02.03.2021",8.5,0.0245338016720812
"96","01.03.2021",8.5,0
"97","26.02.2021",8.45,-0.00589972212718838
"98","25.02.2021",8.492,0.00495810247192747
"99","24.02.2021",8.558,0.00774197415361524
"100","23.02.2021",8.65,0.0106928029491629
"101","22.02.2021",8.548,-0.0118619834868868
"102","19.02.2021",8.684,0.0157849145591442
"103","18.02.2021",8.716,0.00367816506632803
"104","17.02.2021",8.788,0.00822673743999033
"105","16.02.2021",8.686,-0.0116746204097337
"106","15.02.2021",8.836,0.0171217514452407
"107","12.02.2021",8.748,-0.0100091827433495
"108","11.02.2021",8.712,-0.00412371718386204
"109","10.02.2021",8.774,0.00709141711336275
"110","09.02.2021",8.7,-0.00846977708348423
"111","08.02.2021",8.74,0.00458716400690614
"112","05.02.2021",8.808,0.00775020975293466
"113","04.02.2021",8.83,0.00249461519548976
"114","03.02.2021",8.842,0.00135808078818293
"115","02.02.2021",8.88,0.00428846160002724
"116","01.02.2021",8.884,0.000450349028102198
"117","29.01.2021",8.73,-0.0174865361806702
"118","28.01.2021",8.884,0.0174865361806701
"119","27.01.2021",8.786,-0.0110923604785932
"120","26.01.2021",8.884,0.0110923604785933
"121","25.01.2021",8.78,-0.0117754983851559
"122","22.01.2021",8.704,-0.00869371753343829
"123","21.01.2021",8.768,0.00732604009207288
"124","20.01.2021",8.752,-0.0018264845260343
"125","19.01.2021",8.728,-0.00274599714885585
"126","18.01.2021",8.71,-0.00206445766635816
"127","15.01.2021",8.806,0.0109615164691505
"128","14.01.2021",8.894,0.0099435847549427
"129","13.01.2021",8.938,0.00493495842275507
"130","12.01.2021",8.812,-0.0141974215711632
"131","11.01.2021",9.022,0.0235516100461075
"132","08.01.2021",9.146,0.0136505862496592
"133","07.01.2021",9.06,-0.00944750518097549
"134","06.01.2021",9.032,-0.00309529320752715
"135","05.01.2021",8.93,-0.0113574319589533
"136","04.01.2021",9.154,0.0247745473430428
"137","30.12.2020",9.064,-0.0098804185057451
"138","29.12.2020",9.118,0.00593995806554454
"139","28.12.2020",9.126,0.000877000713961054
"140","23.12.2020",8.968,-0.017464796735352
"141","22.12.2020",8.788,-0.0202755312474949
"142","21.12.2020",8.722,-0.00753858510178918
"143","18.12.2020",9.024,0.0340391253351283
"144","17.12.2020",9.086,0.0068470725815086
"145","16.12.2020",9.01,-0.00839969571696502
"146","15.12.2020",8.884,-0.0140831655880655
"147","14.12.2020",8.858,-0.00293090053117448
"148","11.12.2020",8.858,0
"149","10.12.2020",9.134,0.0306827092618007
"150","09.12.2020",9.218,0.00915437953550929
"151","08.12.2020",9.04,-0.0194989198942315
"152","07.12.2020",8.972,-0.00755055774612318
"153","04.12.2020",9.014,0.00467030761049461
"154","03.12.2020",8.996,-0.00199889017138717
