"","ts","pr","rt"
"1","01.06.1972",20.875,0
"2","02.06.1972",21,0.00597016698650375
"3","05.06.1972",20.875,-0.0059701669865038
"4","06.06.1972",20.625,-0.0120483385161745
"5","07.06.1972",20.625,0
"6","08.06.1972",20.375,-0.0121952730938182
"7","09.06.1972",20.25,-0.00615386557437822
"8","12.06.1972",20.5,0.0122700925918144
"9","13.06.1972",20.25,-0.0122700925918144
"10","14.06.1972",19.75,-0.0250013022054173
"11","15.06.1972",19.875,0.00630916919326476
"12","16.06.1972",19.875,0
"13","19.06.1972",19.875,0
"14","20.06.1972",19.625,-0.0126583968719235
"15","21.06.1972",19.375,-0.0128206884290614
"16","22.06.1972",19.625,0.0128206884290615
"17","23.06.1972",19.625,0
"18","26.06.1972",19.5,-0.00638979809877101
"19","27.06.1972",19.5,0
"20","28.06.1972",19.875,0.0190481949706944
"21","29.06.1972",19.875,0
"22","30.06.1972",20.25,0.0186921330121525
"23","03.07.1972",20.25,0
"24","05.07.1972",20.875,0.0303974771843709
"25","06.07.1972",21.375,0.0236697440859047
"26","07.07.1972",21.625,0.0116280379951192
"27","10.07.1972",21.75,0.00576370471675013
"28","11.07.1972",21.125,-0.0291565842914556
"29","12.07.1972",21.375,0.0117648415795864
"30","13.07.1972",21.125,-0.0117648415795864
"31","14.07.1972",21.25,0.00589972212718832
"32","17.07.1972",21.125,-0.00589972212718827
"33","18.07.1972",20.625,-0.0239532410224929
"34","19.07.1972",20.5,-0.00607904607638223
"35","20.07.1972",20.625,0.00607904607638219
"36","21.07.1972",20.875,0.0120483385161746
"37","24.07.1972",20.875,0
"38","25.07.1972",20.75,-0.00600602406021192
"39","26.07.1972",20.625,-0.00604231445596259
"40","27.07.1972",20.375,-0.0121952730938182
"41","28.07.1972",20.625,0.0121952730938182
"42","31.07.1972",20.375,-0.0121952730938182
"43","01.08.1972",20.375,0
"44","02.08.1972",20.25,-0.00615386557437822
"45","03.08.1972",20,-0.0124225199985572
"46","04.08.1972",20,0
"47","07.08.1972",19.625,-0.0189280098855189
"48","08.08.1972",19.75,0.00634922767865874
"49","09.08.1972",19.625,-0.00634922767865878
"50","10.08.1972",19.625,0
"51","11.08.1972",19.75,0.00634922767865874
"52","14.08.1972",19.875,0.00630916919326476
"53","15.08.1972",19.875,0
"54","16.08.1972",20,0.0062696130135954
"55","17.08.1972",20.125,0.00623054975063616
"56","18.08.1972",20.75,0.0305834233720802
"57","21.08.1972",21.25,0.0238106486937186
"58","22.08.1972",21.625,0.0174931574475171
"59","23.08.1972",21.75,0.00576370471675013
"60","24.08.1972",22.5,0.0339015516756814
"61","25.08.1972",22.375,-0.00557104504945536
"62","28.08.1972",22.5,0.00557104504945543
"63","29.08.1972",22.5,0
"64","30.08.1972",22.75,0.0110498361865849
"65","31.08.1972",22.375,-0.0166208812360404
"66","01.09.1972",22.375,0
"67","05.09.1972",22,-0.0169018108026033
"68","06.09.1972",22.125,0.0056657375356773
"69","07.09.1972",22,-0.00566573753567731
"70","08.09.1972",22,0
"71","11.09.1972",21.5,-0.0229895182246987
"72","12.09.1972",21.875,0.017291497110061
"73","13.09.1972",22,0.0056980211146378
"74","14.09.1972",22.125,0.0056657375356773
"75","15.09.1972",22.25,0.00563381771825606
"76","18.09.1972",22.125,-0.00563381771825602
"77","19.09.1972",21.875,-0.0113637586503151
"78","20.09.1972",22,0.0056980211146378
"79","21.09.1972",21.625,-0.0171924005403729
"80","22.09.1972",21.5,-0.00579711768432596
"81","25.09.1972",21.5,0
"82","26.09.1972",21.375,-0.00583092031079321
"83","27.09.1972",21.875,0.0231224174208542
"84","28.09.1972",22,0.0056980211146378
"85","29.09.1972",22.125,0.0056657375356773
"86","02.10.1972",21.875,-0.0113637586503151
"87","03.10.1972",22,0.0056980211146378
"88","04.10.1972",22.375,0.0169018108026033
"89","05.10.1972",22.125,-0.0112360732669258
"90","06.10.1972",22.5,0.0168071183163812
"91","09.10.1972",22.75,0.0110498361865849
"92","10.10.1972",22.75,0
"93","11.10.1972",22.625,-0.00550965581096958
"94","12.10.1972",22.75,0.0055096558109697
"95","13.10.1972",22.625,-0.00550965581096958
"96","16.10.1972",22.75,0.0055096558109697
"97","17.10.1972",22.75,0
