"","ts","pr","rt"
"1","20.07.0015",138.18,0
"2","20.07.0014",138.51,0.00238534212635835
"3","20.07.0013",138.28,-0.00166191013358335
"4","20.07.0012",140.7,0.0173493490669194
"5","20.07.0009",139.53,-0.00835033221622792
"6","20.07.0008",136.6,-0.0212226847674257
"7","20.07.0007",140.25,0.026369597266116
"8","20.07.0006",139.45,-0.00572043032930777
"9","20.07.0002",142.31,0.0203016626220707
"10","20.07.0001",143.12,0.00567566250489515
"11","20.06.0030",142.11,-0.00708203359669354
"12","20.06.0029",140.75,-0.00961613858397044
"13","20.06.0028",142.27,0.0107413936432759
"14","20.06.0025",143.14,0.00609651164737572
"15","20.06.0024",143.41,0.00188448843066949
"16","20.06.0023",141.42,-0.0139734745650263
"17","20.06.0022",141.38,-0.000282885433286647
"18","20.06.0021",140.59,-0.00560344765099192
"19","20.06.0018",136.05,-0.0328253878625607
"20","20.06.0017",137.89,0.0134338006243944
"21","20.06.0016",144.83,0.0491043749591154
"22","20.06.0015",147,0.0148719459659712
"23","20.06.0014",150.41,0.0229323118883857
"24","20.06.0011",151.21,0.00530470045745584
"25","20.06.0010",149,-0.0147232931791187
"26","20.06.0009",152.45,0.0228903674888045
"27","20.06.0008",152.59,0.000917912469380564
"28","20.06.0007",149.98,-0.017252634030401
"29","20.06.0004",147.12,-0.0192533715771776
"30","20.06.0003",146.35,-0.00524756715817086
"31","20.06.0002",144.31,-0.0140372496899084
"32","20.06.0001",147.51,0.0219322066439713
"33","20.05.0028",146.76,-0.00509737060487635
"34","20.05.0027",148.13,0.00929166710687943
"35","20.05.0026",145.41,-0.0185329280685665
"36","20.05.0025",143.36,-0.0141983892987738
"37","20.05.0024",144.98,0.0112368526461112
"38","20.05.0021",144.42,-0.00387008084969611
"39","20.05.0020",141.68,-0.0191547275484574
"40","20.05.0019",139.25,-0.0173001146671848
"41","20.05.0018",147.57,0.0580317606679646
"42","20.05.0017",151.68,0.0274703990313536
"43","20.05.0014",151.63,-0.000329695693863897
"44","20.05.0013",150.16,-0.00974195053459446
"45","20.05.0012",145.28,-0.0330384774252702
"46","20.05.0011",150.88,0.0378219040321641
"47","20.05.0010",149.25,-0.0108620666124359
"48","20.05.0007",147.01,-0.0151221405968366
"49","20.05.0006",144.41,-0.0178441355374011
"50","20.05.0005",144.09,-0.00221837179363099
"51","20.05.0004",142.09,-0.0139774446948587
"52","20.05.0003",140.24,-0.0131054190370048
"53","20.04.0030",138.14,-0.0150875769521523
"54","20.04.0029",142.73,0.0326870699808504
"55","20.04.0028",142.65,-0.000560655982168
"56","20.04.0027",142.98,0.0023106826791966
"57","20.04.0026",143.75,0.00537091933875421
"58","20.04.0023",140.47,-0.0230817368346413
"59","20.04.0022",138.81,-0.0118878512558005
"60","20.04.0021",142.21,0.024198746797587
"61","20.04.0020",139.97,-0.0158767244520505
"62","20.04.0019",143.21,0.0228839705580567
"63","20.04.0016",143.7,0.00341570859436797
"64","20.04.0015",142.5,-0.00838579337627396
"65","20.04.0014",140.97,-0.0107948979258712
"66","20.04.0013",140.16,-0.0057624745947527
"67","20.04.0012",142.13,0.0139575045628391
"68","20.04.0009",138.78,-0.0238521862795176
"69","20.04.0008",137.6,-0.00853901997215957
"70","20.04.0007",137.06,-0.00393213934156559
"71","20.04.0006",137.72,0.00480385231264546
"72","20.04.0005",137.93,0.00152367161710563
"73","20.04.0001",135.28,-0.0193996054971036
"74","20.03.0031",134.41,-0.00645187450726798
"75","20.03.0030",134.11,-0.00223447136020799
"76","20.03.0029",130.54,-0.0269806655157776
"77","20.03.0026",131.78,0.00945417227860254
"78","20.03.0025",128.89,-0.0221745380689857
"79","20.03.0024",124.45,-0.0350552986030871
"80","20.03.0023",123.3,-0.00928361864330248
"81","20.03.0022",127.74,0.0353765379631446
"82","20.03.0019",130.28,0.0196890322745897
"83","20.03.0018",131.35,0.00817953572351607
"84","20.03.0017",133.3,0.0147367110531143
"85","20.03.0016",131.88,-0.0107098089811328
"86","20.03.0015",135.17,0.0246408272922061
