"","ts","pr","rt"
"1","15.07.2021",138.18,0
"2","14.07.2021",138.51,0.00238534212635835
"3","13.07.2021",138.28,-0.00166191013358335
"4","12.07.2021",140.7,0.0173493490669194
"5","09.07.2021",139.53,-0.00835033221622792
"6","08.07.2021",136.6,-0.0212226847674257
"7","07.07.2021",140.25,0.026369597266116
"8","06.07.2021",139.45,-0.00572043032930777
"9","02.07.2021",142.31,0.0203016626220707
"10","01.07.2021",143.12,0.00567566250489515
"11","30.06.2021",142.11,-0.00708203359669354
"12","29.06.2021",140.75,-0.00961613858397044
"13","28.06.2021",142.27,0.0107413936432759
"14","25.06.2021",143.14,0.00609651164737572
"15","24.06.2021",143.41,0.00188448843066949
"16","23.06.2021",141.42,-0.0139734745650263
"17","22.06.2021",141.38,-0.000282885433286647
"18","21.06.2021",140.59,-0.00560344765099192
"19","18.06.2021",136.05,-0.0328253878625607
"20","17.06.2021",137.89,0.0134338006243944
"21","16.06.2021",144.83,0.0491043749591154
"22","15.06.2021",147,0.0148719459659712
"23","14.06.2021",150.41,0.0229323118883857
"24","11.06.2021",151.21,0.00530470045745584
"25","10.06.2021",149,-0.0147232931791187
"26","09.06.2021",152.45,0.0228903674888045
"27","08.06.2021",152.59,0.000917912469380564
"28","07.06.2021",149.98,-0.017252634030401
"29","04.06.2021",147.12,-0.0192533715771776
"30","03.06.2021",146.35,-0.00524756715817086
"31","02.06.2021",144.31,-0.0140372496899084
"32","01.06.2021",147.51,0.0219322066439713
"33","28.05.2021",146.76,-0.00509737060487635
"34","27.05.2021",148.13,0.00929166710687943
"35","26.05.2021",145.41,-0.0185329280685665
"36","25.05.2021",143.36,-0.0141983892987738
"37","24.05.2021",144.98,0.0112368526461112
"38","21.05.2021",144.42,-0.00387008084969611
"39","20.05.2021",141.68,-0.0191547275484574
"40","19.05.2021",139.25,-0.0173001146671848
"41","18.05.2021",147.57,0.0580317606679646
"42","17.05.2021",151.68,0.0274703990313536
"43","14.05.2021",151.63,-0.000329695693863897
"44","13.05.2021",150.16,-0.00974195053459446
"45","12.05.2021",145.28,-0.0330384774252702
"46","11.05.2021",150.88,0.0378219040321641
"47","10.05.2021",149.25,-0.0108620666124359
"48","07.05.2021",147.01,-0.0151221405968366
"49","06.05.2021",144.41,-0.0178441355374011
"50","05.05.2021",144.09,-0.00221837179363099
"51","04.05.2021",142.09,-0.0139774446948587
"52","03.05.2021",140.24,-0.0131054190370048
"53","30.04.2021",138.14,-0.0150875769521523
"54","29.04.2021",142.73,0.0326870699808504
"55","28.04.2021",142.65,-0.000560655982168
"56","27.04.2021",142.98,0.0023106826791966
"57","26.04.2021",143.75,0.00537091933875421
"58","23.04.2021",140.47,-0.0230817368346413
"59","22.04.2021",138.81,-0.0118878512558005
"60","21.04.2021",142.21,0.024198746797587
"61","20.04.2021",139.97,-0.0158767244520505
"62","19.04.2021",143.21,0.0228839705580567
"63","16.04.2021",143.7,0.00341570859436797
"64","15.04.2021",142.5,-0.00838579337627396
"65","14.04.2021",140.97,-0.0107948979258712
"66","13.04.2021",140.16,-0.0057624745947527
"67","12.04.2021",142.13,0.0139575045628391
"68","09.04.2021",138.78,-0.0238521862795176
"69","08.04.2021",137.6,-0.00853901997215957
"70","07.04.2021",137.06,-0.00393213934156559
"71","06.04.2021",137.72,0.00480385231264546
"72","05.04.2021",137.93,0.00152367161710563
"73","01.04.2021",135.28,-0.0193996054971036
"74","31.03.2021",134.41,-0.00645187450726798
"75","30.03.2021",134.11,-0.00223447136020799
"76","29.03.2021",130.54,-0.0269806655157776
"77","26.03.2021",131.78,0.00945417227860254
"78","25.03.2021",128.89,-0.0221745380689857
"79","24.03.2021",124.45,-0.0350552986030871
"80","23.03.2021",123.3,-0.00928361864330248
"81","22.03.2021",127.74,0.0353765379631446
"82","19.03.2021",130.28,0.0196890322745897
"83","18.03.2021",131.35,0.00817953572351607
"84","17.03.2021",133.3,0.0147367110531143
"85","16.03.2021",131.88,-0.0107098089811328
"86","15.03.2021",135.17,0.0246408272922061
"87","12.03.2021",133.54,-0.0121321870660136
"88","11.03.2021",133.52,-0.000149779076142957
"89","10.03.2021",130.73,-0.0211171517798111
"90","09.03.2021",126.79,-0.0306019530339119
"91","08.03.2021",127.51,0.00566261835559384
"92","05.03.2021",126.11,-0.0110402509276675
"93","04.03.2021",123.32,-0.0223719389498335
"94","03.03.2021",124.8,0.0119298529173778
"95","02.03.2021",126.98,0.0173171378069766
"96","01.03.2021",128.64,0.0129882116883522
"97","26.02.2021",125.38,-0.0256686795848337
"98","25.02.2021",123.56,-0.0146222577954415
"99","24.02.2021",129,0.0430855363112912
"100","23.02.2021",125.18,-0.0300597028651167
"101","22.02.2021",124.76,-0.00336080975695295
"102","19.02.2021",125.46,0.00559509092899464
"103","18.02.2021",121.32,-0.0335552998482168
"104","17.02.2021",122.21,0.00730919362952892
"105","16.02.2021",121.23,-0.0080513086914171
"106","12.02.2021",122.87,0.0134373181209879
"107","11.02.2021",118.81,-0.0336013074092838
"108","10.02.2021",117.82,-0.0083675423766548
"109","09.02.2021",117.58,-0.00203908311943234
"110","08.02.2021",118.83,0.0105749473278261
"111","05.02.2021",117.34,-0.0126181968042211
"112","04.02.2021",117.23,-0.000937886413976964
"113","03.02.2021",116.14,-0.00934145713983309
"114","02.02.2021",115.78,-0.00310452129304526
"115","01.02.2021",116.23,0.00387914800475815
"116","29.01.2021",110.03,-0.0548179307737954
"117","28.01.2021",112.3,0.0204208058625761
"118","27.01.2021",108.37,-0.0356225638094936
"119","26.01.2021",110.72,0.0214531939344556
"120","25.01.2021",113.65,0.0261190584291928
"121","22.01.2021",114.23,0.00509040944730345
"122","21.01.2021",113.98,-0.0021909653390022
"123","20.01.2021",115.08,0.00960454427649353
"124","19.01.2021",113.16,-0.0168247922499807
"125","15.01.2021",112.63,-0.00469463637376125
"126","14.01.2021",111.77,-0.00766492166208497
"127","13.01.2021",111.5,-0.00241859749734662
"128","12.01.2021",115.51,0.0353325154004155
"129","11.01.2021",113.34,-0.0189649555591157
"130","08.01.2021",113,-0.00300433202913262
"131","07.01.2021",112.43,-0.0050570129506723
"132","06.01.2021",110.84,-0.0142430857668906
"133","05.01.2021",103.03,-0.073067512037801
"134","04.01.2021",99.67,-0.0331554789776118
"135","31.12.2020",101.35,0.016715143918644
"136","30.12.2020",101.95,0.00590262412245519
"137","29.12.2020",99.68,-0.0225174419813212
"138","28.12.2020",100.27,0.00590149249669091
"139","24.12.2020",99.99,-0.00279636654807603
"140","23.12.2020",99.48,-0.00511356205255397
"141","22.12.2020",98.84,-0.00645423781479464
"142","21.12.2020",99.23,0.00393800680574076
"143","18.12.2020",100.01,0.00782979306227451
"144","17.12.2020",100.04,0.000299925020993677
"145","16.12.2020",98.04,-0.0201945473495065
"146","15.12.2020",98.48,0.00447792321628617
"147","14.12.2020",97.16,-0.0134943777422263
"148","11.12.2020",98.55,0.0142049294647575
"149","10.12.2020",97.21,-0.0136904467657517
"150","09.12.2020",97.08,-0.00133820597457699
"151","08.12.2020",97.59,0.00523964829496918
"152","07.12.2020",97.05,-0.00554871953835053
"153","04.12.2020",96.35,-0.00723891475464393
"154","03.12.2020",96.26,-0.00093453098541203
"155","02.12.2020",94.03,-0.0234389835859778
"156","01.12.2020",95.09,0.0112099312623673
"157","30.11.2020",90.99,-0.0440742011827536
"158","27.11.2020",92.96,0.0214196827350017
"159","25.11.2020",94.29,0.0142058463739849
"160","24.11.2020",96.28,0.0208854734372853
"161","23.11.2020",94.13,-0.0225838073557424
"162","20.11.2020",92.65,-0.01584785282776
"163","19.11.2020",92.7,0.000539519840440731
"164","18.11.2020",91.1,-0.0174106683058969
"165","17.11.2020",89.1,-0.022198469789149
"166","16.11.2020",89.82,0.00804833318282842
"167","13.11.2020",87.9,-0.0216078629684605
"168","12.11.2020",87.08,-0.00937256832478471
"169","11.11.2020",88.49,0.0160623149129121
"170","10.11.2020",89.76,0.0142498904951276
"171","09.11.2020",87.7,-0.0232175423962488
"172","06.11.2020",89.17,0.0166227607686508
"173","05.11.2020",90.13,0.0107084124215304
"174","04.11.2020",88.33,-0.0201732718112775
"175","03.11.2020",92.21,0.0429887837940091
"176","02.11.2020",88.71,-0.0386959620185543
"177","30.10.2020",85.25,-0.0397845063688693
"178","29.10.2020",85.82,0.00666396339975239
"179","28.10.2020",82.97,-0.0337729828871846
"180","27.10.2020",87.29,0.0507568120710645
"181","26.10.2020",89.22,0.0218693209528603
"182","23.10.2020",91.25,0.0224977627624821
"183","22.10.2020",90,-0.0137933221323359
"184","21.10.2020",89.43,-0.00635347397217527
