"","ts","pr","rt"
"1","20.07.0015",373.35,0
"2","20.07.0014",374.4,0.00280842712172619
"3","20.07.0013",375.98,0.00421120588237849
"4","20.07.0012",380.5,0.0119502268159252
"5","20.07.0009",371.76,-0.0232376925250177
"6","20.07.0008",358.94,-0.0350932411755925
"7","20.07.0007",367.67,0.0240305531263017
"8","20.07.0006",369.86,0.00593875892929841
"9","20.07.0002",374.16,0.0115589577609003
"10","20.07.0001",374.99,0.00221584553055148
"11","20.06.0030",379.53,0.0120342861465054
"12","20.06.0029",372.62,-0.01837451150248
"13","20.06.0028",368.71,-0.0105487063982418
"14","20.06.0025",368.77,0.00016271627741063
"15","20.06.0024",368.75,-5.42358173470228e-05
"16","20.06.0023",361.05,-0.0211024547568388
"17","20.06.0022",357.53,-0.00979717819996993
"18","20.06.0021",357.54,2.79692897218163e-05
"19","20.06.0018",348.83,-0.0246625464763831
"20","20.06.0017",361.5,0.03567734408826
"21","20.06.0016",371,0.0259400210086157
"22","20.06.0015",371.3,0.000808298575599305
"23","20.06.0014",372.92,0.00435355824545845
"24","20.06.0011",378.05,0.0136625425757859
"25","20.06.0010",373.94,-0.0109311052671508
"26","20.06.0009",382.78,0.023365054872799
"27","20.06.0008",384.7,0.00500339814832232
"28","20.06.0007",388.16,0.00895381599743604
"29","20.06.0004",391.45,0.00844016759823785
"30","20.06.0003",388.72,-0.00699850325627556
"31","20.06.0002",383.44,-0.0136761352462718
"32","20.06.0001",382.44,-0.00261137663413045
"33","20.05.0028",372.02,-0.0276241619484406
"34","20.05.0027",371.37,-0.0017487460569761
"35","20.05.0026",367.4,-0.0107476974308034
"36","20.05.0025",364.51,-0.00789718686639114
"37","20.05.0024",368.29,0.010316685389328
"38","20.05.0021",366.26,-0.00552720759115947
"39","20.05.0020",359.78,-0.0178507301782625
"40","20.05.0019",358.38,-0.00389885756227039
"41","20.05.0018",364.56,0.0170972709833576
"42","20.05.0017",369.25,0.0127827744558621
"43","20.05.0014",368.77,-0.00130077794011257
"44","20.05.0013",358.81,-0.0273801429950712
"45","20.05.0012",354.4,-0.0123667817453797
"46","20.05.0011",359.92,0.015455565801991
"47","20.05.0010",368.68,0.0240472745925467
"48","20.05.0007",370.89,0.00597646356148181
"49","20.05.0006",365.97,-0.0133541598581893
"50","20.05.0005",357.62,-0.0230803926816991
"51","20.05.0004",349.84,-0.0219950630423918
"52","20.05.0003",350.16,0.000914285777974913
"53","20.04.0030",348.45,-0.00489544499811219
"54","20.04.0029",352.97,0.0128883196015743
"55","20.04.0028",348.11,-0.0138645457041415
"56","20.04.0027",346.63,-0.00426059313938068
"57","20.04.0026",343.52,-0.00901259451210906
"58","20.04.0023",339.35,-0.0122133109807034
"59","20.04.0022",330.85,-0.0253669226916988
"60","20.04.0021",335.27,0.0132710768967215
"61","20.04.0020",331.88,-0.0101627195587055
"62","20.04.0019",343.09,0.0332193456219979
"63","20.04.0016",342.31,-0.00227604416902374
"64","20.04.0015",338.55,-0.0110449673174041
"65","20.04.0014",335.35,-0.00949702938590808
"66","20.04.0013",327.68,-0.023137240134658
"67","20.04.0012",331.84,0.0126154026300742
"68","20.04.0009",330.81,-0.00310873260246557
"69","20.04.0008",331.14,0.000997054240767975
"70","20.04.0007",326.55,-0.0139581703307987
"71","20.04.0006",327.06,0.00156056395557841
"72","20.04.0005",323.54,-0.0108208864026965
"73","20.04.0001",327.64,0.0125926907458533
"74","20.03.0031",327,-0.0019552737501479
"75","20.03.0030",332.01,0.0152049180475503
"76","20.03.0029",325.73,-0.0190962716013776
"77","20.03.0026",327.39,0.00508330344968193
"78","20.03.0025",330.55,0.00960581298647902
"79","20.03.0024",328.65,-0.00576457907000202
"80","20.03.0023",331.77,0.00944860304579315
"81","20.03.0022",339.33,0.022531127456021
"82","20.03.0019",344.2,0.0142497985660398
"83","20.03.0018",348,0.0109795959970354
"84","20.03.0017",344.95,-0.00880300078235671
"85","20.03.0016",341.71,-0.0094370548615778
"86","20.03.0015",346.05,0.0126208491573326
"87","20.03.0012",348.81,0.00794408806075406
"88","20.03.0011",342.1,-0.0194242693650675
"89","20.03.0010",342.02,-0.000233877098651372
"90","20.03.0009",330.59,-0.0339902779893427
"91","20.03.0008",334.19,0.0108307566157763
"92","20.03.0005",327.37,-0.0206186638050625
"93","20.03.0004",329.29,0.00584779176884201
"94","20.03.0003",334.43,0.0154887686301229
"95","20.03.0002",330.94,-0.0104905000415455
"96","20.03.0001",329.92,-0.00308688923510298
"97","20.02.0026",319.48,-0.0321555267794069
"98","20.02.0025",327.76,0.0255869591894273
"99","20.02.0024",330.64,0.00874853696486125
"100","20.02.0023",319.21,-0.0351809767977428
"101","20.02.0022",316.87,-0.00735759827747974
"102","20.02.0019",315.62,-0.00395263680826757
"103","20.02.0018",309.9,-0.0182892935262842
"104","20.02.0017",312.74,0.00912250962166181
"105","20.02.0016",311.96,-0.00249719995306698
"106","20.02.0012",306.32,-0.0182446672932582
"107","20.02.0011",302.32,-0.0131442481278055
"108","20.02.0010",304.28,0.0064622710878668
"109","20.02.0009",300.46,-0.0126336964948228
"110","20.02.0008",300.15,-0.00103228393642547
"111","20.02.0005",293.5,-0.0224047104297009
"112","20.02.0004",293.75,0.000851426190217524
"113","20.02.0003",288.55,-0.0178606843013933
"114","20.02.0002",286.97,-0.0054907004776801
"115","20.02.0001",274.73,-0.0435888834937258
"116","20.01.0029",271.17,-0.0130428667071402
"117","20.01.0028",275.02,0.0140978918163693
"118","20.01.0027",273.33,-0.00616396590092187
"119","20.01.0026",281.76,0.0303757883540194
"120","20.01.0025",283.04,0.00453258566357914
"121","20.01.0022",289.39,0.0221870289387236
"122","20.01.0021",289.37,-6.91132766879183e-05
"123","20.01.0020",290.47,0.00379415466196626
"124","20.01.0019",294.2,0.01275950743186
"125","20.01.0015",301.01,0.0228836786210426
