"","ts","pr","rt"
"1","15.07.2021",601.25,0
"2","14.07.2021",612.5,0.0185381209989111
"3","13.07.2021",613,0.000815993517329359
"4","12.07.2021",610,-0.00490597876885452
"5","09.07.2021",610,0
"6","08.07.2021",592.25,-0.0295301141284621
"7","07.07.2021",585.5,-0.0114626600011228
"8","06.07.2021",598.75,0.022377965687353
"9","05.07.2021",615.5,0.0275907968993832
"10","02.07.2021",611.25,-0.0069289048354264
"11","01.07.2021",606,-0.00862605471976728
"12","30.06.2021",596.75,-0.015381720850375
"13","29.06.2021",600.25,0.00584796988242312
"14","28.06.2021",599.5,-0.00125026063379371
"15","25.06.2021",606,0.0107840116017454
"16","24.06.2021",603.25,-0.00454828156417338
"17","23.06.2021",607,0.00619708655435716
"18","22.06.2021",600.25,-0.0111825559581356
"19","21.06.2021",596,-0.00710556803601286
"20","18.06.2021",593.5,-0.00420345301562698
"21","17.06.2021",591.5,-0.00337553063128126
"22","16.06.2021",605.75,0.0238056762781936
"23","15.06.2021",596.5,-0.0153881181586643
"24","14.06.2021",594.25,-0.00377913529766748
"25","11.06.2021",589.5,-0.00802538626287773
"26","10.06.2021",584.75,-0.00809031451313726
"27","09.06.2021",584.75,0
"28","08.06.2021",580.5,-0.00729460432634223
"29","07.06.2021",580.5,0
"30","04.06.2021",581.25,0.00129115576361981
"31","03.06.2021",576.25,-0.00863936259070774
"32","02.06.2021",577.75,0.00259965484363174
"33","01.06.2021",573,-0.00825553243975058
"34","31.05.2021",567.25,-0.0100855930547884
"35","28.05.2021",565.5,-0.00308982810377592
"36","27.05.2021",561.75,-0.00665338449073655
"37","26.05.2021",561,-0.00133600554274225
"38","25.05.2021",558.5,-0.00446628701344097
"39","24.05.2021",556.75,-0.00313831237177842
"40","21.05.2021",546.5,-0.0185819985208837
"41","20.05.2021",546.5,0
"42","19.05.2021",543.5,-0.00550460105532908
"43","18.05.2021",566,0.0405643716419188
"44","17.05.2021",563.5,-0.00442674472335197
"45","14.05.2021",557.25,-0.0111533612138527
"46","13.05.2021",548.75,-0.0153710078765972
"47","12.05.2021",556.25,0.0135748690910689
"48","11.05.2021",556.25,0
"49","10.05.2021",552.5,-0.00676440008854204
"50","07.05.2021",550.5,-0.00362647722917322
"51","06.05.2021",551,0.000907852990179736
"52","05.05.2021",559.25,0.0148617912173246
"53","04.05.2021",551.25,-0.0144081736091833
"54","03.05.2021",543.5,-0.0141587201997917
"55","30.04.2021",533.75,-0.0181021420184299
"56","29.04.2021",543.75,0.0185620178600596
"57","28.04.2021",539.25,-0.00831029713362804
"58","27.04.2021",525.5,-0.0258290949522599
"59","26.04.2021",522.75,-0.00524685200826291
"60","23.04.2021",525,0.00429492428288087
"61","22.04.2021",521.25,-0.00716848947861252
"62","21.04.2021",520.25,-0.00192030783926745
"63","20.04.2021",519,-0.0024055821078552
"64","19.04.2021",529,0.0190845486924107
"65","16.04.2021",531.5,0.00471476592370317
"66","15.04.2021",530,-0.00282619123583508
"67","14.04.2021",528.25,-0.00330735005000141
"68","13.04.2021",509.5,-0.0361398038333866
"69","12.04.2021",503.75,-0.0113497394018868
"70","09.04.2021",503.75,0
"71","08.04.2021",500.5,-0.00647251450561748
"72","07.04.2021",493.5,-0.014084739881739
"73","06.04.2021",503.5,0.0200608532850807
"74","05.04.2021",498.5,-0.00998012275672397
"75","01.04.2021",496.25,-0.00452375740049285
"76","31.03.2021",505.25,0.0179735242823303
"77","30.03.2021",506.5,0.00247096740500767
"78","29.03.2021",505.25,-0.00247096740500771
"79","26.03.2021",510.75,0.0108268774140009
"80","25.03.2021",488,-0.0455648278445843
"81","24.03.2021",508,0.0401660417253347
"82","23.03.2021",497.25,-0.0213885298444003
"83","22.03.2021",513.5,0.0321571116345314
"84","19.03.2021",510.5,-0.00585939176389271
"85","18.03.2021",515.5,0.00974666585229447
"86","17.03.2021",532.25,0.0319760003165743
"87","16.03.2021",538.5,0.0116741928228544
"88","15.03.2021",544,0.0101617502594993
"89","12.03.2021",553.25,0.0168607320752165
"90","11.03.2021",530.5,-0.0419900208771212
"91","10.03.2021",530.5,0
"92","09.03.2021",537.75,0.0135738100938016
"93","08.03.2021",546,0.0152252075970656
"94","05.03.2021",547.5,0.00274348594575083
"95","04.03.2021",535.25,-0.0226285342208637
"96","03.03.2021",520,-0.0289051158943191
"97","02.03.2021",517.75,-0.00433631129977948
"98","01.03.2021",526.75,0.0172335524086048
"99","26.02.2021",532,0.00991743665734592
"100","25.02.2021",542.25,0.0190836603653394
"101","24.02.2021",541.5,-0.00138408326593845
"102","23.02.2021",532,-0.017699577099401
"103","22.02.2021",526,-0.0113422766039345
"104","19.02.2021",523,-0.00571974867278695
"105","18.02.2021",526.75,0.00714458861937545
"106","17.02.2021",519.25,-0.0143405899280767
"107","16.02.2021",515.25,-0.00773324298565333
"108","15.02.2021",518.25,0.0058055315453205
"109","12.02.2021",502.75,-0.0303647226631275
"110","11.02.2021",501,-0.00348692756789665
"111","10.02.2021",501,0
"112","09.02.2021",496.25,-0.0095262690834646
"113","08.02.2021",493.5,-0.00555697312786391
"114","05.02.2021",487.5,-0.0122325684356344
"115","04.02.2021",475.5,-0.0249234084524569
"116","03.02.2021",477.25,0.00367358062041198
"117","02.02.2021",471.75,-0.0115912783571974
"118","01.02.2021",454.25,-0.037801476972379
"119","29.01.2021",450.25,-0.00884472322021516
"120","28.01.2021",451.25,0.00221852559102521
"121","27.01.2021",456,0.0104712998672954
"122","26.01.2021",451,-0.0110254700117077
"123","25.01.2021",448.5,-0.00555865800382749
"124","22.01.2021",449.25,0.00167084416481772
"125","21.01.2021",455,0.0127178932872821
"126","20.01.2021",459.5,0.00984152284479129
"127","19.01.2021",459.25,-0.000544217700506695
"128","18.01.2021",453.5,-0.0125994545400437
"129","15.01.2021",452,-0.00331308972296013
"130","14.01.2021",459.5,0.0164567619635105
"131","13.01.2021",460.25,0.00163087831744546
"132","12.01.2021",445.75,-0.0320115633699375
"133","11.01.2021",445.75,0
"134","08.01.2021",443.75,-0.0044969159536242
"135","07.01.2021",436.25,-0.0170458672729886
"136","06.01.2021",434.75,-0.00344432028224448
"137","05.01.2021",431.75,-0.00692443620760439
"138","04.01.2021",419.75,-0.0281874210691378
"139","31.12.2020",420.75,0.00237953711326522
"140","30.12.2020",425.25,0.0106383982050558
"141","29.12.2020",424.75,-0.0011764707239297
"142","28.12.2020",426.75,0.00469760112250866
"143","24.12.2020",423.5,-0.00764484758244085
"144","23.12.2020",427,0.00823049913651544
"145","22.12.2020",418,-0.0213025807038683
"146","21.12.2020",414.25,-0.00901177621808405
"147","18.12.2020",433.5,0.0454221399139242
"148","17.12.2020",426.75,-0.0156934345460466
"149","16.12.2020",418.75,-0.0189242785352738
"150","15.12.2020",419.75,0.00238521281837395
"151","14.12.2020",410.5,-0.0222833670651673
"152","11.12.2020",412,0.00364742045704357
"153","10.12.2020",398.5,-0.0333158511192567
"154","09.12.2020",398.5,0
"155","08.12.2020",402,0.00874459038875124
"156","07.12.2020",401.5,-0.00124455523220472
"157","04.12.2020",397.5,-0.0100125992924298
"158","03.12.2020",396.5,-0.00251889301948391
"159","02.12.2020",390.5,-0.015248071795162
"160","01.12.2020",386.25,-0.0109431410677854
"161","30.11.2020",387,0.00193986481782668
"162","27.11.2020",391.5,0.011560822401076
"163","26.11.2020",389,-0.00640617181241152
"164","25.11.2020",389.25,0.000642467095661508
"165","24.11.2020",388.75,-0.00128534722066387
"166","23.11.2020",370.25,-0.0487580103455357
"167","20.11.2020",359.5,-0.0294642759868067
"168","19.11.2020",357.75,-0.00487975872454106
"169","18.11.2020",360.75,0.00835077921741989
"170","17.11.2020",350.25,-0.0295380124368639
"171","16.11.2020",352.75,0.00711240551580698
"172","13.11.2020",344.75,-0.0229400740595122
"173","12.11.2020",358.5,0.0391091433662638
"174","11.11.2020",358.5,0
"175","10.11.2020",351,-0.0211424365738092
"176","09.11.2020",343.75,-0.0208715744850847
"177","06.11.2020",322.75,-0.0630366192540292
"178","05.11.2020",327,0.0130821411705015
"179","04.11.2020",327.5,0.00152788417805317
"180","03.11.2020",316.75,-0.0333752358740582
"181","02.11.2020",307.25,-0.0304510707551043
"182","30.10.2020",305,-0.00734997183873255
"183","29.10.2020",304,-0.00328407520118988
"184","28.10.2020",314.75,0.0347509715182347
"185","27.10.2020",329.5,0.0457976810181055
"186","26.10.2020",320.25,-0.0284744131657183
