"","ts","pr","rt"
"1","20.07.0015",86.42,0
"2","20.07.0014",87.12,0.00806734812091792
"3","20.07.0013",86.96,-0.00183823581175112
"4","20.07.0012",87.16,0.00229726726346512
"5","20.07.0009",87.76,0.00686030589055583
"6","20.07.0008",87.34,-0.00479726790955997
"7","20.07.0007",88.94,0.0181534370251355
"8","20.07.0006",88.28,-0.00744840369401465
"9","20.07.0005",89.2,0.0103674581974281
"10","20.07.0002",88.74,-0.0051702936352004
"11","20.07.0001",89.06,0.00359955394279304
"12","20.06.0030",89.04,-0.000224592926266833
"13","20.06.0029",89.86,0.00916719667472452
"14","20.06.0028",89.82,-0.000445235982422007
"15","20.06.0025",89.8,-0.000222692351437972
"16","20.06.0024",90.1,0.00333518930613825
"17","20.06.0023",89.6,-0.0055648446334074
"18","20.06.0022",89.9,0.00334262149668993
"19","20.06.0021",89.24,-0.00736857191324295
"20","20.06.0018",89.48,0.00268576705759719
"21","20.06.0017",94.66,0.0562763878561729
"22","20.06.0016",94.48,-0.00190335258899501
"23","20.06.0015",93.72,-0.00807655824951204
"24","20.06.0014",92.88,-0.00900327624995894
"25","20.06.0011",92.26,-0.00669765925996144
"26","20.06.0010",92.24,-0.000216802168870974
"27","20.06.0009",93.08,0.00906546247328743
"28","20.06.0008",93.82,0.00791871446622089
"29","20.06.0007",94.86,0.0110240675491237
"30","20.06.0004",94.32,-0.0057088642203202
"31","20.06.0003",94.48,0.0016949156599915
"32","20.06.0002",94.46,-0.000211707421135901
"33","20.06.0001",94.1,-0.00381841787663709
"34","20.05.0031",93.82,-0.00297999369102198
"35","20.05.0028",94.56,0.00785650075747617
"36","20.05.0027",94.3,-0.00275336401837629
"37","20.05.0026",95.7,0.0147371088194969
"38","20.05.0025",95.56,-0.00146397600129975
"39","20.05.0021",94.52,-0.0109428701389018
"40","20.05.0020",94.64,0.0012687673514244
"41","20.05.0019",93.48,-0.0123327099994741
"42","20.05.0018",94.88,0.014865425578758
"43","20.05.0017",95.58,0.00735065790059684
"44","20.05.0014",95.76,0.00188146809970557
"45","20.05.0013",95.32,-0.00460540901917642
"46","20.05.0012",94.52,-0.00842819991183423
"47","20.05.0011",94.52,0
"48","20.05.0010",96.48,0.0205242806601682
"49","20.05.0007",95.92,-0.00582122225961654
"50","20.05.0006",96.08,0.00166666705246925
"51","20.05.0005",96.16,0.000832293015169369
"52","20.05.0004",94.7,-0.0152994705948649
"53","20.05.0003",95.9,0.01259198169736
"54","20.04.0030",95.56,-0.00355165943178379
"55","20.04.0029",96.46,0.00937409218321699
"56","20.04.0028",95.94,-0.00540541856690794
"57","20.04.0027",95.92,-0.000208485354658967
"58","20.04.0026",95.58,-0.00355091756924665
"59","20.04.0023",96.26,0.0070892707249513
"60","20.04.0022",97.42,0.0119786645034333
"61","20.04.0021",96.06,-0.0140585321417183
"62","20.04.0020",94.76,-0.0136256169460936
"63","20.04.0019",96.18,0.0148740565589319
"64","20.04.0016",98.92,0.0280900068036989
"65","20.04.0015",97.54,-0.0140488923713089
"66","20.04.0014",97.92,0.00388826848210937
"67","20.04.0013",98.72,0.0081367413930617
"68","20.04.0012",98.68,-0.000405268495921683
"69","20.04.0009",98.6,-0.000811030052566379
"70","20.04.0008",98.34,-0.00264039962479628
"71","20.04.0007",97,-0.0137198834804105
"72","20.04.0006",95.88,-0.0116135689371992
"73","20.04.0001",95.2,-0.00711746776886388
"74","20.03.0031",95.86,0.00690885193416557
"75","20.03.0030",96.18,0.00333264211803143
"76","20.03.0029",97.1,0.00951993944776256
"77","20.03.0026",95.92,-0.0122268645780204
"78","20.03.0025",95.52,-0.00417886107496694
"79","20.03.0024",94,-0.016040867374288
"80","20.03.0023",94.52,0.00551667004870321
"81","20.03.0022",92.96,-0.016642159215106
"82","20.03.0019",90.4,-0.0279250257054702
"83","20.03.0018",90.34,-0.00066393717167275
"84","20.03.0017",89.9,-0.00488238874888347
"85","20.03.0016",88.4,-0.0168259718339768
"86","20.03.0015",88.2,-0.00226500663085212
"87","20.03.0012",87.92,-0.00317965291737968
"88","20.03.0011",87.94,0.000227453657297987
"89","20.03.0010",89.44,0.016913245654125
"90","20.03.0009",88.36,-0.0121486308548726
"91","20.03.0008",87.38,-0.0111529550286267
"92","20.03.0005",85.34,-0.0236231457634358
"93","20.03.0004",84.74,-0.00705553256144081
"94","20.03.0003",83.32,-0.016899128805642
"95","20.03.0002",83.36,0.000479961612285697
"96","20.03.0001",82.76,-0.00722372512771443
"97","20.02.0026",81.58,-0.0143607189879299
"98","20.02.0025",82.52,0.0114565543136387
"99","20.02.0024",83.1,0.00700401365835151
"100","20.02.0023",83.22,0.00144300169339274
"101","20.02.0022",83.64,0.00503417100563766
"102","20.02.0019",84.78,0.0135377913640583
"103","20.02.0018",85.18,0.00470699857057633
"104","20.02.0017",85.56,0.0044512197191373
"105","20.02.0016",86.04,0.00559442018532453
"106","20.02.0015",87.26,0.0140798632959343
"107","20.02.0012",87.4,0.00160311496602635
"108","20.02.0011",86.9,-0.00573725039014346
"109","20.02.0010",87.08,0.00206920409500033
"110","20.02.0009",87.4,0.00366804629514321
"111","20.02.0008",87.54,0.00160054910125958
"112","20.02.0005",87.14,-0.00457981107345334
"113","20.02.0004",87.26,0.00137614700616749
"114","20.02.0003",86.56,-0.00805435259729218
"115","20.02.0002",87.3,0.00851264774738499
"116","20.02.0001",86.92,-0.00436230745732762
"117","20.01.0029",85.5,-0.0164717794455143
"118","20.01.0028",87.1,0.0185405079157425
"119","20.01.0027",87.9,0.00914292083267424
"120","20.01.0026",89.4,0.0169208774883372
"121","20.01.0025",89.08,-0.0035858397903017
"122","20.01.0022",88.78,-0.00337344298327771
"123","20.01.0021",89.42,0.00718297139994545
"124","20.01.0020",90.1,0.0075757938084575
"125","20.01.0019",89.38,-0.00802322110898674
"126","20.01.0018",88.78,-0.00673554409941621
"127","20.01.0015",89.56,0.00874739232466494
"128","20.01.0014",89.3,-0.00290730384810077
"129","20.01.0013",89.28,-0.00022398924945252
"130","20.01.0012",89.56,0.00313129309755323
"131","20.01.0011",90.56,0.0111038227243188
"132","20.01.0008",91.54,0.0107634207706233
"133","20.01.0007",90.42,-0.012310553359037
"134","20.01.0006",90.64,0.00243013485329167
"135","20.01.0005",89.88,-0.00842016940262252
"136","20.01.0004",92.3,0.0265686941916781
"137","20.12.0030",92.3,0
"138","20.12.0029",92.46,0.00173197705127279
"139","20.12.0028",92.02,-0.00477017383275683
"140","20.12.0023",90.48,-0.0168771129194574
"141","20.12.0022",90.14,-0.00376481454536284
