"","ts","pr","rt"
"1","15.07.2021",86.72,0
"2","14.07.2021",86.92,0.00230361769689275
"3","13.07.2021",86.71,-0.00241893799915994
"4","12.07.2021",87.34,0.00723933066834601
"5","09.07.2021",87.76,0.00479726790955988
"6","08.07.2021",87.34,-0.00479726790955997
"7","07.07.2021",88.94,0.0181534370251355
"8","06.07.2021",88.28,-0.00744840369401465
"9","05.07.2021",88.92,0.00722350770746018
"10","02.07.2021",88.84,-0.000900090069769145
"11","01.07.2021",89.13,0.00325897911639925
"12","30.06.2021",89.31,0.00201748555316891
"13","29.06.2021",89.86,0.00613943994621908
"14","28.06.2021",89.81,-0.000556575959155491
"15","25.06.2021",89.93,0.00133526224356567
"16","24.06.2021",90.1,0.00188857468786793
"17","23.06.2021",89.37,-0.00813510922099152
"18","22.06.2021",89.9,0.00591288608427393
"19","21.06.2021",89.28,-0.0069204428445738
"20","18.06.2021",90.2,0.0102519284355772
"21","17.06.2021",94.02,0.0414780985274064
"22","16.06.2021",94.48,0.00488064629312245
"23","15.06.2021",93.72,-0.00807655824951204
"24","14.06.2021",92.88,-0.00900327624995894
"25","11.06.2021",91.96,-0.00995463749465526
"26","10.06.2021",92.24,0.00304017606582289
"27","09.06.2021",93.08,0.00906546247328743
"28","08.06.2021",93.82,0.00791871446622089
"29","07.06.2021",94.68,0.00912473174547145
"30","04.06.2021",94.32,-0.00380952841666784
"31","03.06.2021",93.9,-0.00446287001489809
"32","02.06.2021",94.2,0.00318979536810008
"33","01.06.2021",94.1,-0.00106213499098353
"34","31.05.2021",93.9,-0.00212766037711662
"35","28.05.2021",94.62,0.00763848398878476
"36","27.05.2021",95.3,0.00716094045715437
"37","26.05.2021",95.7,0.00418848779875221
"38","25.05.2021",95.35,-0.00366396641248062
"39","21.05.2021",94.4,-0.0100132588949729
"40","20.05.2021",94.22,-0.00190859987956005
"41","19.05.2021",93.48,-0.00788496360123782
"42","18.05.2021",94.88,0.014865425578758
"43","17.05.2021",95.46,0.00609437632833515
"44","14.05.2021",95.84,0.00397282278938883
"45","13.05.2021",95.32,-0.00544048213659793
"46","12.05.2021",94.52,-0.00842819991183423
"47","11.05.2021",94.52,0
"48","10.05.2021",95.73,0.0127202766395549
"49","07.05.2021",95.92,0.00198278176099687
"50","06.05.2021",94.28,-0.0172454326513285
"51","05.05.2021",95.43,0.0121239163612321
"52","04.05.2021",95.06,-0.00388472324329909
"53","03.05.2021",95.8,0.00775441379095149
"54","30.04.2021",96.03,0.0023979576730665
"55","29.04.2021",96.46,0.00446777199094436
"56","28.04.2021",95.94,-0.00540541856690794
"57","27.04.2021",96.02,0.000833507028876503
"58","26.04.2021",95.8,-0.0022938181259794
"59","23.04.2021",96.26,0.00479017889814863
"60","22.04.2021",97,0.00765811462841941
"61","21.04.2021",95.52,-0.0153753288590909
"62","20.04.2021",94.98,-0.00566930652331607
"63","19.04.2021",96.18,0.0125550927285407
"64","16.04.2021",98.84,0.0272809452708926
"65","15.04.2021",98.18,-0.00669985249050289
"66","14.04.2021",97.92,-0.00265170986589056
"67","13.04.2021",98.72,0.0081367413930617
"68","12.04.2021",98.82,0.00101245326052631
"69","09.04.2021",98.6,-0.00222875180901426
"70","08.04.2021",98.44,-0.00162403608573456
"71","07.04.2021",96.34,-0.0215636243207804
"72","06.04.2021",95.68,-0.00687431099975309
"73","01.04.2021",95.38,-0.00314037733224341
"74","31.03.2021",96.12,0.00772849799818993
"75","30.03.2021",96.18,0.000624024981248535
"76","29.03.2021",96.4,0.00228476576698328
"77","26.03.2021",96.38,-0.000207490404313356
"78","25.03.2021",95.52,-0.00896306156789473
"79","24.03.2021",94,-0.016040867374288
"80","23.03.2021",94.52,0.00551667004870321
"81","22.03.2021",92.96,-0.016642159215106
"82","19.03.2021",91.21,-0.0190047529115341
"83","18.03.2021",90.34,-0.00958420996560883
"84","17.03.2021",90.32,-0.00022141038505168
"85","16.03.2021",88.4,-0.0214869501978086
"86","15.03.2021",88.2,-0.00226500663085212
"87","12.03.2021",87.92,-0.00317965291737968
"88","11.03.2021",87.94,0.000227453657297987
"89","10.03.2021",89.24,0.0146746058116677
"90","09.03.2021",88.66,-0.00652054024742433
"91","08.03.2021",86.86,-0.0205112022102316
"92","05.03.2021",85.36,-0.0174200201131779
"93","04.03.2021",84.74,-0.0072898617950848
"94","03.03.2021",83.22,-0.0181000416436179
"95","02.03.2021",83.36,0.00168087445026151
"96","01.03.2021",82.76,-0.00722372512771443
"97","26.02.2021",82.1,-0.0080068364189599
"98","25.02.2021",82.52,0.00510267174466853
"99","24.02.2021",83.19,0.0080864600927452
"100","23.02.2021",83.22,0.000360555258998766
"101","22.02.2021",84.18,0.0114696597876293
"102","19.02.2021",84.98,0.00945857134424093
"103","18.02.2021",85.18,0.00235072980840198
"104","17.02.2021",85.56,0.0044512197191373
"105","16.02.2021",86.04,0.00559442018532453
"106","15.02.2021",87.06,0.0117852317246221
"107","12.02.2021",86.55,-0.0058752545019333
"108","11.02.2021",86.98,0.00495592554727423
"109","10.02.2021",87.03,0.000574679631929872
"110","09.02.2021",87.41,0.00435680579097418
"111","08.02.2021",87.72,0.00354023095729087
"112","05.02.2021",87.06,-0.00755238742553597
"113","04.02.2021",87.26,0.00229463157131217
"114","03.02.2021",87.5,0.00274662566810521
"115","02.02.2021",86.18,-0.0152006611758768
"116","01.02.2021",86.18,0
"117","29.01.2021",86.22,0.00046403713129659
"118","28.01.2021",87,0.00900594933559516
"119","27.01.2021",88.27,0.0144921803775576
"120","26.01.2021",89.68,0.0158474797317631
"121","25.01.2021",88.98,-0.00783615338600878
"122","22.01.2021",88.71,-0.00303900284540031
"123","21.01.2021",89.4,0.00774805964697313
