"","ts","pr","rt"
"1","15.07.2021",27996.27,0
"2","14.07.2021",27787.46,-0.00748644722257608
"3","13.07.2021",27963.41,0.00631203007877319
"4","12.07.2021",27515.24,-0.0161568368832026
"5","09.07.2021",27344.54,-0.00622315841956305
"6","08.07.2021",27153.13,-0.00702454938282545
"7","07.07.2021",27960.62,0.0293047664685235
"8","06.07.2021",28072.86,0.0040061816655402
"9","05.07.2021",28143.5,0.00251314874103165
"10","02.07.2021",28310.42,0.00591351269946544
"11","30.06.2021",28827.95,0.0181154678749804
"12","29.06.2021",28994.1,0.00574695837637826
"13","28.06.2021",29268.3,0.00941265805954856
"14","25.06.2021",29288.22,0.00068036832682049
"15","24.06.2021",28882.46,-0.013950896946161
"16","23.06.2021",28817.07,-0.00226657055938692
"17","22.06.2021",28309.76,-0.0177612983749153
"18","21.06.2021",28489,0.0063114263405861
"19","18.06.2021",28801.27,0.0109014355331723
"20","17.06.2021",28558.59,-0.00846171688711015
"21","16.06.2021",28436.84,-0.00427227885412613
"22","15.06.2021",28638.53,0.00706752630890408
"23","11.06.2021",28842.13,0.00708415148590449
"24","10.06.2021",28738.88,-0.00358625563046356
"25","09.06.2021",28742.63,0.000130476739574955
"26","08.06.2021",28781.38,0.00134726372036032
"27","07.06.2021",28787.28,0.000204972636870597
"28","04.06.2021",28918.1,0.00453407374197946
"29","03.06.2021",28966.03,0.00165606742138963
"30","02.06.2021",29297.62,0.0113825199797002
"31","01.06.2021",29468,0.00579864476571453
"32","31.05.2021",29151.8,-0.0107882683593085
"33","28.05.2021",29124.41,-0.000940006291309671
"34","27.05.2021",29113.2,-0.000384974594199388
"35","26.05.2021",29166.01,0.00181231058054505
"36","25.05.2021",28910.86,-0.00878668707827032
"37","24.05.2021",28412.26,-0.0173965609214002
"38","21.05.2021",28458.44,0.00162403522903498
"39","20.05.2021",28450.29,-0.000286423543653732
"40","18.05.2021",28593.81,0.00503190699224366
"41","17.05.2021",28194.09,-0.0140778793220638
"42","14.05.2021",28027.57,-0.00592371292264052
"43","13.05.2021",27718.67,-0.0110824752168894
"44","12.05.2021",28231.04,0.0183158884550361
"45","11.05.2021",28013.81,-0.00772447895696069
"46","10.05.2021",28595.66,0.020557355188397
"47","07.05.2021",28610.65,0.000524068073717023
"48","06.05.2021",28637.46,0.000936624875824124
"49","05.05.2021",28417.98,-0.00769360757232789
"50","04.05.2021",28557.14,0.00488494896467
"51","03.05.2021",28357.54,-0.00701403638936545
"52","30.04.2021",28724.88,0.0128706901687559
"53","29.04.2021",29303.26,0.0199351264520088
"54","28.04.2021",29071.34,-0.00794596349276169
"55","27.04.2021",28941.54,-0.00447487580683517
"56","26.04.2021",28952.83,0.000390020658074963
"57","23.04.2021",29078.75,0.00433971288122823
"58","22.04.2021",28755.34,-0.0111841777456991
"59","21.04.2021",28621.92,-0.00465063129439636
"60","20.04.2021",29135.73,0.0177923982239668
"61","19.04.2021",29106.15,-0.00101576400155107
"62","16.04.2021",28969.71,-0.00469869067882216
"63","15.04.2021",28793.14,-0.00611363705096137
"64","14.04.2021",28900.83,0.00373315010451295
"65","13.04.2021",28497.25,-0.0140627230382099
"66","12.04.2021",28453.28,-0.00154414748157069
"67","09.04.2021",28698.8,0.00859186613535987
"68","08.04.2021",29008.07,0.0107187570922509
"69","07.04.2021",28674.8,-0.011555378862538
"70","01.04.2021",28938.74,0.00916249362583967
"71","31.03.2021",28378.35,-0.0195546513934539
"72","30.03.2021",28577.5,0.00699316441095183
"73","29.03.2021",28338.3,-0.00840544834016123
"74","26.03.2021",28336.43,-6.59906099482548e-05
"75","25.03.2021",27899.61,-0.0155355457326907
"76","24.03.2021",27918.14,0.000663946528862533
"77","23.03.2021",28497.38,0.0205354964603795
"78","22.03.2021",28885.34,0.0135220467550172
"79","19.03.2021",28990.94,0.00364916740275949
"80","18.03.2021",29405.72,0.0142058458618315
"81","17.03.2021",29034.12,-0.0127175231278029
"82","16.03.2021",29027.69,-0.000221488101259204
"83","15.03.2021",28833.76,-0.00670327916668378
"84","12.03.2021",28739.72,-0.00326678476381726
