"","ts","pr","rt"
"1","20.07.0015",26.72,0
"2","20.07.0014",26.46,-0.00977818998163525
"3","20.07.0013",26.5,0.00151057430536685
"4","20.07.0012",27.08,0.0216507150518976
"5","20.07.0009",27.01,-0.00258828023954994
"6","20.07.0008",25.91,-0.0415781732305056
"7","20.07.0007",26.49,0.0221383087099597
"8","20.07.0006",26.21,-0.0106262859486633
"9","20.07.0002",26.58,0.0140180359497842
"10","20.07.0001",26.57,-0.000376293513377017
"11","20.06.0030",26.52,-0.00188359445406044
"12","20.06.0029",26.78,0.00975617494536466
"13","20.06.0028",26.54,-0.00900231135896509
"14","20.06.0025",26.89,0.013101441376712
"15","20.06.0024",26.74,-0.00559389860697624
"16","20.06.0023",26.42,-0.0120392725796177
"17","20.06.0022",26.63,0.0079171007316615
"18","20.06.0021",25.75,-0.0336037727160957
"19","20.06.0018",24.81,-0.0371878294060356
"20","20.06.0017",25.85,0.0410638032507285
"21","20.06.0016",26.57,0.027472158817284
"22","20.06.0015",26.69,0.00450620364471066
"23","20.06.0014",26.34,-0.0132002671012978
"24","20.06.0011",27.22,0.0328633009081851
"25","20.06.0010",26.95,-0.00996869986831389
"26","20.06.0009",27.23,0.0103360093306621
"27","20.06.0008",28.14,0.0328727450005748
"28","20.06.0007",27.97,-0.0060595444723747
"29","20.06.0004",28.25,0.00996095037858168
"30","20.06.0003",28.16,-0.00319092630260827
"31","20.06.0002",28.61,0.0158537757721771
"32","20.06.0001",29.27,0.0228067936417756
"33","20.05.0028",28.38,-0.030878428971898
"34","20.05.0027",28.4,0.000704473435263838
"35","20.05.0026",28.17,-0.00813156327887906
"36","20.05.0025",28.18,0.000354924582252796
"37","20.05.0024",28.42,0.00848061619842057
"38","20.05.0021",28.66,0.00840929973107111
"39","20.05.0020",28.49,-0.00594927389020887
"40","20.05.0019",28.9,0.0142884466085696
"41","20.05.0018",29.65,0.025620530325348
"42","20.05.0017",29.71,0.00202156403078182
"43","20.05.0014",30.09,0.0127092011674375
"44","20.05.0013",30.07,-0.000664893641516148
"45","20.05.0012",29.5,-0.0191377336546636
"46","20.05.0011",30.97,0.0486287306393373
"47","20.05.0010",31.05,0.00257981439437631
"48","20.05.0007",31.62,0.0181910234018382
"49","20.05.0006",31.22,-0.01273091669404
"50","20.05.0005",31.23,0.000320256207701219
"51","20.05.0004",30.89,-0.0109466643644969
"52","20.05.0003",29.72,-0.038612287080932
"53","20.04.0030",28.67,-0.0359689399542798
"54","20.04.0029",29.36,0.0237819238510364
"55","20.04.0028",28.79,-0.0196050991222304
"56","20.04.0027",28.84,0.00173520779266392
"57","20.04.0026",28.91,0.00242424361150648
"58","20.04.0023",28.31,-0.0209724569044465
"59","20.04.0022",27.75,-0.0199792589313647
"60","20.04.0021",28.73,0.0347060327987547
"61","20.04.0020",28.17,-0.0196842911029169
"62","20.04.0019",29.17,0.0348832019913488
"63","20.04.0016",29.36,0.00649241986668466
"64","20.04.0015",28.97,-0.0133723919650558
"65","20.04.0014",28.8,-0.00588542463935875
"66","20.04.0013",28.58,-0.00766821464017898
"67","20.04.0012",28.78,0.00697352895750045
"68","20.04.0009",28.06,-0.025335626784907
"69","20.04.0008",27.88,-0.00643548878199173
"70","20.04.0007",28.64,0.0268947562001218
"71","20.04.0006",28.74,0.00348553855843403
"72","20.04.0005",29.12,0.0131353426776065
"73","20.04.0001",29.47,0.011947573421118
"74","20.03.0031",28.83,-0.0219562850992925
"75","20.03.0030",29.14,0.010695289116748
"76","20.03.0029",28.68,-0.0159117850356392
"77","20.03.0026",28.83,0.00521649591889115
"78","20.03.0025",27.89,-0.0331483100109132
"79","20.03.0024",26.94,-0.0346560306571796
"80","20.03.0023",26.81,-0.0048372187343501
"81","20.03.0022",28.42,0.0583181704210868
"82","20.03.0019",29.15,0.0253617901275466
"83","20.03.0018",28.73,-0.0145130398053031
"84","20.03.0017",28.89,0.00555364148694566
"85","20.03.0016",27.65,-0.0438697865098002
"86","20.03.0015",28.35,0.0250013022054174
"87","20.03.0012",29.44,0.0377272636869144
"88","20.03.0011",29.02,-0.0143690464046338
"89","20.03.0010",28.6,-0.0145785296302349
"90","20.03.0009",27.61,-0.0352286918837439
"91","20.03.0008",27.47,-0.00508352583488056
"92","20.03.0005",27.33,-0.00510950016720582
"93","20.03.0004",26.68,-0.0240707788925537
"94","20.03.0003",27.4,0.0266287923466015
"95","20.03.0002",27.76,0.0130531222445793
"96","20.03.0001",27.74,-0.00072072075191829
"97","20.02.0026",27.3,-0.0159887126957714
"98","20.02.0025",27.68,0.0138234285585547
"99","20.02.0024",28.54,0.0305964812992216
"100","20.02.0023",28.52,-0.000701016502595186
"101","20.02.0022",28.67,0.00524568434918344
"102","20.02.0019",28.89,0.00764423458286542
"103","20.02.0018",28.24,-0.0227561018531027
"104","20.02.0017",28.58,0.01196775987668
"105","20.02.0016",28.5,-0.00280308522711648
"106","20.02.0012",28.52,0.000701508271490303
"107","20.02.0011",28.26,-0.00915821828971376
"108","20.02.0010",28.29,0.00106100805709433
"109","20.02.0009",28.68,0.0136916304179439
"110","20.02.0008",29.12,0.0152252075970656
"111","20.02.0005",28.36,-0.0264455216645585
"112","20.02.0004",27.7,-0.0235472884706339
"113","20.02.0003",27.65,-0.00180668522494904
"114","20.02.0002",27.39,-0.00944774469335699
"115","20.02.0001",27.08,-0.0113825352309126
"116","20.01.0029",26.42,-0.0246741489498949
"117","20.01.0028",27,0.0217155669101498
"118","20.01.0027",26.03,-0.0365871469978551
"119","20.01.0026",27.24,0.0454367622748375
"120","20.01.0025",28.09,0.0307271598348408
"121","20.01.0022",28.24,0.00532577150888898
"122","20.01.0021",28.02,-0.00782087171618038
"123","20.01.0020",28.16,0.00498399038098067
"124","20.01.0019",28.1,-0.00213295495014152
"125","20.01.0015",27.65,-0.0161438483713564
"126","20.01.0014",28.09,0.0157879131478085
"127","20.01.0013",28.29,0.00709474419732339
"128","20.01.0012",28.89,0.0209871291646681
"129","20.01.0011",28.68,-0.00729549874672435
"130","20.01.0008",28.4,-0.00981087056425933
"131","20.01.0007",28.33,-0.00246783132473523
"132","20.01.0006",27.96,-0.0131463964768156
"133","20.01.0005",26.2,-0.0650155065985584
"134","20.01.0004",25,-0.0468835858988504
"135","20.12.0031",25.14,0.00558437829390066
"136","20.12.0030",25.34,0.00792397173089157
"137","20.12.0029",24.81,-0.0211373771892834
"138","20.12.0028",25.33,0.0207426663098742
"139","20.12.0024",25.53,0.00786476723980866
"140","20.12.0023",25.52,-0.000391772776803386
"141","20.12.0022",25.35,-0.00668372843939687
"142","20.12.0021",25.81,0.0179832836933301
"143","20.12.0018",26.2,0.0149973970365286
"144","20.12.0017",25.99,-0.00804756211365231
"145","20.12.0016",25.62,-0.0143385521848106
"146","20.12.0015",25.87,0.00971069972934948
"147","20.12.0014",25.2,-0.0262400016805602
"148","20.12.0011",25.61,0.0161389056940562
"149","20.12.0010",25.69,0.00311891091035833
"150","20.12.0009",26.31,0.0238472839304092
"151","20.12.0008",26.05,-0.00993132685282538
"152","20.12.0007",25.23,-0.0319840055464096
"153","20.12.0004",25.47,0.00946752633839914
"154","20.12.0003",24.7,-0.0306980453574341
"155","20.12.0002",25.13,0.0172591079215693
"156","20.12.0001",25.24,0.0043676861175115
"157","20.11.0030",24.77,-0.0187967941717441
"158","20.11.0027",25.57,0.0317865458018271
"159","20.11.0025",25.64,0.00273384274937408
"160","20.11.0024",26.07,0.0166315958929411
"161","20.11.0023",25.23,-0.032751465292444
"162","20.11.0020",24.4,-0.0334506303538102
"163","20.11.0019",24.75,0.0142423567155432
"164","20.11.0018",24.8,0.0020181641562372
"165","20.11.0017",24.66,-0.00566115543473822
"166","20.11.0016",24.97,0.0124926065554835
"167","20.11.0013",24.35,-0.0251432547630829
"168","20.11.0012",23.29,-0.0445077656323493
"169","20.11.0011",24.09,0.0337727327305305
"170","20.11.0010",24.97,0.0358782876649019
"171","20.11.0009",24.45,-0.0210448883708008
"172","20.11.0006",24.4,-0.00204708362172491
"173","20.11.0005",24.85,0.0182746202434818
"174","20.11.0004",23.61,-0.0511874014452162
"175","20.11.0003",24.93,0.0544015464380449
"176","20.11.0002",25.03,0.00400320790821649
"177","20.10.0030",24.29,-0.0300103624296017
"178","20.10.0029",24.14,-0.00619452734469565
"179","20.10.0028",24,-0.00581638532143988
"180","20.10.0027",24.3,0.0124225199985571
"181","20.10.0026",24.85,0.0223814021961349
"182","20.10.0023",25.4,0.021891421481853
"183","20.10.0022",24.98,-0.0166736693270592
"184","20.10.0021",24.45,-0.0214452887765506
"185","20.10.0020",24.5,0.00204290162980033
"186","20.10.0019",24.22,-0.0114943794257351
"187","20.10.0016",24.7,0.0196245055089854
"188","20.10.0015",24.71,0.000404776366587296
"189","20.10.0014",24.31,-0.0163202316724868
"190","20.10.0013",24.1,-0.00867594783142252
"191","20.10.0012",24.57,0.0193143460364784
"192","20.10.0009",24.48,-0.0036697288889624
"193","20.10.0008",24.38,-0.00409333359099996
"194","20.10.0007",24.1,-0.011551283556516
"195","20.10.0006",23.36,-0.0311866825365831
"196","20.10.0005",23.45,0.00384533693226195
"197","20.10.0002",22.73,-0.0311848570278365
"198","20.10.0001",22.05,-0.0303730359715968
"199","20.09.0030",22.21,0.00723003601348111
"200","20.09.0029",21.9,-0.014056001083881
"201","20.09.0028",22.22,0.0145061473890289
"202","20.09.0025",21.36,-0.0394727701194899
"203","20.09.0024",21.27,-0.00422238487984825
"204","20.09.0023",21.34,0.00328561666146148
"205","20.09.0022",21.96,0.0286393707677227
"206","20.09.0021",22.07,0.00499660362731506
"207","20.09.0018",23.04,0.0430126155590454
"208","20.09.0017",24.02,0.0416549808241471
"209","20.09.0016",22.85,-0.0499356993116237
"210","20.09.0015",23.04,0.00828071848747662
"211","20.09.0014",22.97,-0.00304281912668358
"212","20.09.0011",22.71,-0.0113836605835397
"213","20.09.0010",22.6,-0.00485544983922693
"214","20.09.0009",22.82,0.00968743815568938
"215","20.09.0008",22.54,-0.0123458358222994
"216","20.09.0004",23,0.0202027073175195
"217","20.09.0003",22.44,-0.0246491352746541
"218","20.09.0002",22.91,0.0207284158109086
"219","20.09.0001",22.37,-0.0238527209633659
"220","20.08.0031",21.62,-0.034101963290976
