"","ts","pr","rt"
"1","15.07.2021",5513.32,0
"2","14.07.2021",5002.32,-0.0972651777254378
"3","13.07.2021",4911.45,-0.0183325909277706
"4","12.07.2021",4907.57,-0.000790302943052858
"5","09.07.2021",4913.17,0.0011404437154333
"6","08.07.2021",4881.11,-0.00654670164742852
"7","07.07.2021",4988.21,0.0217044749574989
"8","06.07.2021",5085.99,0.0194125728422518
"9","02.07.2021",5099.13,0.00258023612683829
"10","01.07.2021",5168.51,0.0135145088787026
"11","30.06.2021",5137.84,-0.00595168814064867
"12","29.06.2021",5052.39,-0.0167713590228701
"13","25.06.2021",5032.12,-0.0040200321677581
"14","23.06.2021",4857.76,-0.0352639401774948
"15","22.06.2021",4897.32,0.00811069040240981
"16","21.06.2021",4894.22,-0.0006331997016968
"17","18.06.2021",4915.43,0.00432432004236374
"18","17.06.2021",4758.9,-0.0323626879557836
"19","16.06.2021",4776.43,0.00367685643798413
"20","15.06.2021",4925.01,0.0306328995404775
"21","11.06.2021",4946.24,0.00430138690297299
"22","10.06.2021",4933.11,-0.00265807117485694
"23","09.06.2021",5077.7,0.0288887823530169
"24","08.06.2021",5073.64,-0.000799894440827642
"25","07.06.2021",5103.39,0.00584651607437677
"26","04.06.2021",5095.25,-0.001596291609174
"27","03.06.2021",4996.88,-0.0194950155192796
"28","02.06.2021",4943.54,-0.010732043909562
"29","01.06.2021",5185.49,0.0477826668359382
"30","31.05.2021",5262.08,0.0146620452558187
"31","28.05.2021",5430.46,0.0314974590593052
"32","27.05.2021",5251.55,-0.0335005737819919
"33","26.05.2021",5514.67,0.0488885429818887
"34","25.05.2021",5674.06,0.0284930967748622
"35","21.05.2021",5788.44,0.0199579143489619
"36","20.05.2021",5798.7,0.00177092926838603
"37","19.05.2021",5781.65,-0.00294464542435317
"38","18.05.2021",5522.56,-0.0458475881765748
"39","17.05.2021",5582.01,0.0107074056873653
"40","14.05.2021",5516.59,-0.0117890108076888
"41","13.05.2021",5231.73,-0.0530179084587269
"42","12.05.2021",5306.69,0.0142262814046847
"43","11.05.2021",5477.91,0.0317553526287591
