"","ts","pr","rt"
"1","15.07.2021",566.63,0
"2","13.07.2021",569.34,0.00477126181339324
"3","12.07.2021",568.44,-0.00158202849006137
"4","11.07.2021",567.66,-0.00137311877925298
"5","08.07.2021",568.01,0.000616376255569028
"6","07.07.2021",568.15,0.000246444164041264
"7","06.07.2021",562.49,-0.0100121122212472
"8","05.07.2021",568.96,0.0114367767427143
"9","04.07.2021",570.95,0.00349150726217207
"10","30.06.2021",573.66,0.00473524617775246
"11","29.06.2021",573.34,-0.000557977346647482
"12","28.06.2021",571.66,-0.0029344999224113
"13","27.06.2021",571.81,0.000262359311324925
"14","24.06.2021",571.41,-0.000699777849098023
"15","23.06.2021",572.52,0.00194067879743807
"16","22.06.2021",572.27,-0.000436761334348045
"17","21.06.2021",574.31,0.00355841223916357
"18","17.06.2021",567.76,-0.0114705260041039
"19","16.06.2021",564.87,-0.00510317804028063
"20","15.06.2021",564.73,-0.000247875355376764
"21","14.06.2021",557.75,-0.0124369075084281
"22","13.06.2021",559.29,0.00275728886283783
"23","10.06.2021",560.03,0.00132223154738875
"24","09.06.2021",556.13,-0.00698827385263364
"25","08.06.2021",558.3,0.00389437244607976
"26","07.06.2021",557.88,-0.000752566825820968
"27","06.06.2021",562.94,0.00902916503394769
"28","03.06.2021",565.1,0.00382965611135632
"29","02.06.2021",565.94,0.0014853588811013
"30","01.06.2021",569.08,0.00553295626606744
"31","31.05.2021",571.16,0.00364835877912818
"32","30.05.2021",574.98,0.00666587702163131
"33","27.05.2021",579.27,0.00743343253883115
"34","26.05.2021",579.89,0.00106974025867785
"35","25.05.2021",585.61,0.00981560862279758
"36","24.05.2021",586.19,0.000989930103029244
"37","23.05.2021",587.72,0.00260667490068398
"38","10.05.2021",587.87,0.000255191011856172
"39","09.05.2021",587.02,-0.00144694422167188
"40","06.05.2021",586.96,-0.000102216392191005
"41","05.05.2021",585.48,-0.00252465078999276
"42","04.05.2021",589.18,0.00629971606531054
"43","03.05.2021",589.22,6.78886626196151e-05
"44","02.05.2021",586.51,-0.00460991009712043
"45","29.04.2021",592.74,0.0105661360378819
"46","28.04.2021",591.78,-0.00162091009048055
"47","27.04.2021",593.21,0.00241352364856629
"48","26.04.2021",593.16,-8.42907356552572e-05
"49","25.04.2021",596.89,0.00626866470240342
"50","22.04.2021",594.42,-0.00414670159627772
"51","21.04.2021",593.27,-0.00193653286529349
"52","20.04.2021",590.8,-0.0041720566904756
"53","19.04.2021",596.25,0.00918249154532632
"54","18.04.2021",595.4,-0.00142659362087497
"55","15.04.2021",588.95,-0.0108921581768824
"56","14.04.2021",579.32,-0.016486288472138
"57","13.04.2021",584.39,0.0087135662300646
"58","12.04.2021",594.4,0.016983925240829
"59","07.04.2021",606.59,0.0203006163869889
"60","06.04.2021",599.28,-0.0121241751509108
"61","05.04.2021",583.73,-0.0262903874854201
"62","04.04.2021",593.07,0.0158738887217485
"63","01.04.2021",581.33,-0.0199938540365337
"64","31.03.2021",566.18,-0.0264065329928494
"65","30.03.2021",569.31,0.00551305238742443
"66","29.03.2021",576.99,0.0133998341013882
"67","28.03.2021",579.39,0.00415089061723224
"68","25.03.2021",586.5,0.0121968421409124
"69","24.03.2021",595.7,0.0155645165411118
"70","23.03.2021",595.2,-0.000839701115759693
"71","22.03.2021",601.34,0.0102630148486237
"72","18.03.2021",607.11,0.00954949538417185
"73","17.03.2021",597.69,-0.015637768862836
"74","16.03.2021",583.31,-0.0243534474394131
"75","15.03.2021",581.28,-0.0034862089765369
"76","11.03.2021",572.38,-0.0154294620020113
"77","09.03.2021",568.93,-0.00604570275958094
"78","08.03.2021",565.73,-0.00564047112610412
"79","04.03.2021",558.91,-0.0121284741811844
"80","03.03.2021",560.39,0.00264451150276845
"81","02.03.2021",562.82,0.00432689130474545
"82","01.03.2021",563.76,0.00166876780724219
"83","25.02.2021",556.55,-0.0128716150795323
"84","24.02.2021",548.99,-0.0136767875318457
"85","23.02.2021",549.78,0.00143797179778789
"86","22.02.2021",551.2,0.00257952149427197
"87","18.02.2021",544.38,-0.0124501872898564
"88","17.02.2021",533.12,-0.0209009928711693
"89","16.02.2021",530.03,-0.00581293082060396
"90","15.02.2021",532.25,0.00417969505576956
"91","14.02.2021",523.67,-0.0162515888339621
"92","11.02.2021",522.55,-0.00214104189911422
"93","10.02.2021",514.38,-0.0157583811217931
"94","09.02.2021",522.17,0.0150309134428775
"95","08.02.2021",523.38,0.00231457231158502
"96","07.02.2021",511.76,-0.0224520125313
"97","04.02.2021",496.61,-0.0300507553394295
"98","03.02.2021",494.03,-0.00520876571350653
"99","02.02.2021",490.26,-0.00766038146427508
"100","01.02.2021",487.68,-0.00527640956644432
"101","31.01.2021",484.13,-0.00730598736546305
"102","28.01.2021",488.42,0.00882222574630591
"103","27.01.2021",486.44,-0.00406212732627086
"104","26.01.2021",489.65,0.00657728605400462
"105","25.01.2021",488.35,-0.00265848827331732
"106","24.01.2021",489.66,0.00267891081572044
"107","21.01.2021",491.57,0.00389307789679941
"108","20.01.2021",491.56,-2.03431896093272e-05
"109","19.01.2021",489.43,-0.00434255873609592
