"","ts","pr","rt"
"1","20.07.0015",3041.9,0
"2","20.07.0014",3023.31,-0.00613006250864564
"3","20.07.0013",3031.08,0.00256673397842184
"4","20.07.0012",3004.97,-0.0086514070804767
"5","20.07.0009",2980.63,-0.00813289700680304
"6","20.07.0008",3014.86,0.0114187070373697
"7","20.07.0007",3039.36,0.00809357233172676
"8","20.07.0006",3054.33,0.00491328903017665
"9","20.07.0005",3037.59,-0.00549581811139425
"10","20.07.0002",3030.31,-0.0023995133383815
"11","20.07.0001",3035.75,0.00179358643282501
"12","20.06.0030",3056.06,0.00666799366760134
"13","20.06.0029",3041.72,-0.00470335972609492
"14","20.06.0028",3058.41,0.00547202818491769
"15","20.06.0025",3066.98,0.00279819100231438
"16","20.06.0024",3059.59,-0.00241244402139518
"17","20.06.0023",3047.32,-0.00401840423745837
"18","20.06.0022",3019.84,-0.00905866597084497
"19","20.06.0021",3003.15,-0.00554211204715014
"20","20.06.0018",3023.29,0.00668390458671516
"21","20.06.0017",3020.39,-0.000959680268502394
"22","20.06.0016",3035.74,0.00506925474557869
"23","20.06.0015",3016.38,-0.00639777996346753
"24","20.06.0014",3007.22,-0.00304137295331491
"25","20.06.0011",3000.8,-0.00213714416514946
"26","20.06.0010",2973.64,-0.00909212816674174
"27","20.06.0009",2961.05,-0.00424285645481566
"28","20.06.0008",2995.59,0.0115972719941169
"29","20.06.0007",2994.86,-0.000243721257539422
"30","20.06.0004",2989.6,-0.00175788671142348
"31","20.06.0003",3001.78,0.0040658468596793
"32","20.06.0002",2973.25,-0.00954981542359863
"33","20.06.0001",2981.8,0.00287151438694405
"34","20.05.0031",2964.66,-0.00576479030128867
"35","20.05.0028",2951.06,-0.00459792686594828
"36","20.05.0027",2927.5,-0.00801561135518952
"37","20.05.0026",2935.18,0.00261996370025097
"38","20.05.0025",2946.08,0.00370669294678653
"39","20.05.0024",2922.82,-0.00792656947173465
"40","20.05.0021",2935.11,0.00419602761799355
"41","20.05.0020",2927.96,-0.00243899647946753
"42","20.05.0018",2938.01,0.00342654661829901
"43","20.05.0017",2903.03,-0.0119774622956676
"44","20.05.0014",2915.34,0.00423143195347055
"45","20.05.0013",2881.94,-0.0115227725948323
"46","20.05.0012",2919.99,0.0131165131319581
"47","20.05.0011",2969.36,0.0167662497614065
"48","20.05.0010",3025.16,0.0186175412678274
"49","20.05.0007",2983,-0.0140344771134145
"50","20.05.0006",2973.56,-0.00316961733054816
"51","20.05.0004",2963.61,-0.00335176837286035
"52","20.05.0003",2935.75,-0.00944516256614944
"53","20.04.0030",2940.72,0.00169149206411024
"54","20.04.0029",2972.76,0.0108363648913848
"55","20.04.0028",2979.56,0.00228482439057021
"56","20.04.0027",3013.85,0.011442692606232
"57","20.04.0026",3014.78,0.000308527810589377
"58","20.04.0023",2989.88,-0.00829360620799071
"59","20.04.0022",2982.62,-0.00243114393497819
"60","20.04.0021",2979.85,-0.000929145203004907
"61","20.04.0020",3041.58,0.020504153563857
"62","20.04.0019",3027.19,-0.00474232075652098
"63","20.04.0016",3034.47,0.00240198345013686
"64","20.04.0015",3038.71,0.0013963033168392
"65","20.04.0014",3022.01,-0.00551091034236195
"66","20.04.0013",3011.36,-0.00353036895179921
"67","20.04.0012",2970.84,-0.0135470628510593
"68","20.04.0009",2971.86,0.00034327831121084
"69","20.04.0008",2993.45,0.00723854896731865
"70","20.04.0007",2993.25,-6.68147727711638e-05
"71","20.04.0006",2989.14,-0.00137403300240492
"72","20.04.0005",2980.62,-0.00285438804399051
"73","20.04.0002",2975.44,-0.00173940534716594
"74","20.04.0001",2941.97,-0.0113125022387993
"75","20.03.0031",2902.81,-0.0134001916168403
"76","20.03.0030",2917.38,0.00500671986165359
"77","20.03.0029",2876.13,-0.0142403127210482
"78","20.03.0026",2884.54,0.00291980133379319
"79","20.03.0025",2858.63,-0.00902295275447451
"80","20.03.0024",2850.1,-0.00298840770124133
"81","20.03.0023",2862.09,0.00419804579640998
"82","20.03.0022",2890.79,0.00997769398996342
"83","20.03.0019",2895.91,0.00176957552182183
"84","20.03.0018",2930.61,0.0119111957939978
"85","20.03.0017",2904.88,-0.0088185111253197
"86","20.03.0016",2933.85,0.00992347230832843
"87","20.03.0015",2917.24,-0.00567758985714656
"88","20.03.0012",2933.75,0.00564350437074335
"89","20.03.0011",2901.63,-0.0110088201267466
"90","20.03.0010",2843.17,-0.0203530211850446
"91","20.03.0009",2860.04,0.0059159838766389
"92","20.03.0008",2875.99,0.00556135205335112
"93","20.03.0005",2902.66,0.00923059516162755
"94","20.03.0004",2919.45,0.00576768441163421
"95","20.03.0003",2965.02,0.0154885354149454
"96","20.03.0002",2927.33,-0.012793033011515
"97","20.02.0026",2885.52,-0.0143856184253608
"98","20.02.0025",2979.92,0.0321913281667522
"99","20.02.0024",2867.56,-0.0384349605669406
"100","20.02.0023",2927.53,0.0206975701363702
"101","20.02.0022",2935.74,0.00280048688384844
"102","20.02.0019",2967.29,0.0106895273863676
"103","20.02.0018",2939.87,-0.00928371567313983
"104","20.02.0017",2991.9,0.0175432744079102
"105","20.02.0016",3028.54,0.0121720181165227
"106","20.02.0015",3010.61,-0.00593793917454379
"107","20.02.0010",2955.29,-0.0185459312451193
"108","20.02.0009",2940.13,-0.00514298673056252
"109","20.02.0008",2946.96,0.00232033247813799
"110","20.02.0005",2987.64,0.0137096475460997
"111","20.02.0004",2951.9,-0.012034747258639
"112","20.02.0003",3001.9,0.0167963907048358
"113","20.02.0002",2970.3,-0.0105824637160847
"114","20.02.0001",2930.83,-0.0133772984501517
"115","20.01.0029",2849.47,-0.0281526472896297
"116","20.01.0028",2930.5,0.0280400448596866
"117","20.01.0027",2979.35,0.0165320989857947
"118","20.01.0026",3000.13,0.00695046514243978
"119","20.01.0025",3081.2,0.0266635104340924
"120","20.01.0022",3008.02,-0.0240370764950141
"121","20.01.0021",3031.82,0.00788104426157276
"122","20.01.0020",2986.11,-0.0151915622447173
"123","20.01.0019",2968.05,-0.00606636549409337
"124","20.01.0018",2890.5,-0.026475673984028
"125","20.01.0015",2955.9,0.0223736754740079
"126","20.01.0014",3026.86,0.0237226055426467
"127","20.01.0013",3039.42,0.00414092918477096
"128","20.01.0012",3017.03,-0.00739380396169786
"129","20.01.0011",3042.89,0.00853481794371122
"130","20.01.0008",3031.59,-0.00372048736174025
"131","20.01.0007",2880.32,-0.051185835275509
"132","20.01.0006",2813.93,-0.0233193163256799
"133","20.01.0005",2842.83,0.0102179521299567
"134","20.01.0004",2802.02,-0.0144594492427748
"135","20.12.0030",2725.2,-0.0277987657307093
"136","20.12.0029",2669.15,-0.0207817502499173
"137","20.12.0028",2660.63,-0.00319713281125157
"138","20.12.0024",2654.55,-0.00228778805304048
"139","20.12.0023",2601.43,-0.0202138549702947
"140","20.12.0022",2560.05,-0.0160345042821332
"141","20.12.0021",2596.56,0.0141607025145519
"142","20.12.0018",2593.49,-0.00118303305673576
"143","20.12.0017",2600.29,0.00261851826046825
"144","20.12.0016",2605.11,0.00185192353231824
"145","20.12.0015",2595.94,-0.00352621470733477
"146","20.12.0014",2599.75,0.00146660046419855
"147","20.12.0011",2603.6,0.00147981615789006
"148","20.12.0010",2583.82,-0.00762617866479575
"149","20.12.0009",2602.29,0.00712290255729043
"150","20.12.0008",2545.4,-0.0221040180327801
"151","20.12.0007",2594.78,0.0192139260281102
"152","20.12.0004",2578.18,-0.00641801095723025
"153","20.12.0003",2531.38,-0.0183191150680642
"154","20.12.0002",2504.48,-0.0106834804208497
"155","20.12.0001",2456.11,-0.0195023306022288
"156","20.11.0030",2408.64,-0.0195165246915169
"157","20.11.0027",2458.13,0.0203386254085222
"158","20.11.0026",2455.92,-0.000899461808079533
"159","20.11.0025",2426.74,-0.0119526436003764
"160","20.11.0024",2438.24,0.00472767469531724
"161","20.11.0023",2421.36,-0.00694710177331688
"162","20.11.0020",2367.71,-0.0224061224801528
"163","20.11.0019",2368.15,0.000185816304226113
"164","20.11.0018",2366.03,-0.000895614506296232
"165","20.11.0017",2362.77,-0.0013787855339418
"166","20.11.0016",2364.78,0.000850334791219041
"167","20.11.0013",2315.16,-0.0212061947404062
"168","20.11.0012",2291.56,-0.0102459912740382
"169","20.11.0011",2301.31,0.00424571766508416
"170","20.11.0010",2264.79,-0.0159964866069042
"171","20.11.0009",2267.12,0.00102826411173112
"172","20.11.0006",2246.1,-0.00931492459400537
"173","20.11.0005",2237.42,-0.00387196258487918
"174","20.11.0004",2185.34,-0.023551993488278
"175","20.11.0003",2168.65,-0.0076665687095852
"176","20.11.0002",2128.86,-0.0185182289628165
"177","20.10.0030",2099.01,-0.0141208201764899
"178","20.10.0029",2158.79,0.0280820745479829
"179","20.10.0028",2180.09,0.00981828080394365
"180","20.10.0027",2171.6,-0.00390193730333097
"181","20.10.0026",2179.84,0.00378725656291806
"182","20.10.0023",2184.02,0.00191573573780936
"183","20.10.0022",2177.41,-0.00303111826207374
"184","20.10.0021",2189.63,0.00559648269528694
"185","20.10.0020",2187.14,-0.00113782550540217
"186","20.10.0019",2171.18,-0.00732395571760293
"187","20.10.0016",2169.65,-0.000704934338989892
"188","20.10.0015",2184.3,0.00672954686553351
"189","20.10.0014",2202.3,0.00820685771607023
"190","20.10.0013",2224.36,0.00996696498960848
"191","20.10.0012",2218.3,-0.00272809702226537
"192","20.10.0008",2209.24,-0.00409257178731325
"193","20.10.0007",2211.88,0.00119426765786998
"194","20.10.0006",2192.25,-0.00891441896328004
"195","20.10.0005",2185.29,-0.00317987082457934
"196","20.09.0029",2158.75,-0.0122191923739973
"197","20.09.0028",2142.54,-0.00753730938493533
"198","20.09.0025",2120.84,-0.0101798044717575
"199","20.09.0024",2112.14,-0.00411058509620009
"200","20.09.0023",2161.49,0.0230961471721489
"201","20.09.0022",2154.42,-0.00327625289870071
"202","20.09.0021",2200.93,0.0213584525136894
"203","20.09.0018",2218.24,0.00783409035199855
"204","20.09.0017",2215.27,-0.00133979643410108
"205","20.09.0016",2244.95,0.0133089570003838
"206","20.09.0015",2253.83,0.00394774206902798
"207","20.09.0014",2235.42,-0.00820186142633659
"208","20.09.0011",2202.81,-0.0146953118013086
"209","20.09.0010",2202.96,6.80925241479372e-05
"210","20.09.0009",2184.23,-0.00853854690368976
"211","20.09.0008",2209.67,0.0115798194200443
"212","20.09.0007",2181.04,-0.0130413558509381
"213","20.09.0004",2177.07,-0.00182189118591807
"214","20.09.0003",2211.68,0.0157724716576033
"215","20.09.0002",2177.63,-0.015515278278915
"216","20.09.0001",2168.72,-0.00409999769066352
"217","20.08.0031",2150.86,-0.00826936960343302
"218","20.08.0028",2193.03,0.0194163870718448
"219","20.08.0027",2189.27,-0.0017159943055715
"220","20.08.0026",2204.82,0.00707771798644993
"221","20.08.0025",2195.58,-0.00419962438885865
"222","20.08.0024",2168.27,-0.0125166339562816
"223","20.08.0021",2142.46,-0.0119749130312626
"224","20.08.0020",2106.71,-0.0168272126378611
"225","20.08.0019",2190.16,0.038847111621077
"226","20.08.0018",2188.81,-0.000616583371326658
"227","20.08.0014",2230.68,0.0189484545758077
"228","20.08.0013",2263.04,0.0144025704220615
"229","20.08.0012",2256.5,-0.00289410186205867
"230","20.08.0011",2248.68,-0.00347156289148123
"231","20.08.0010",2218.28,-0.0136112565771166
"232","20.08.0007",2187.78,-0.0138447897579897
"233","20.08.0006",2176.17,-0.00532088011623396
"234","20.08.0005",2141.59,-0.0160179071350448
"235","20.08.0004",2114.73,-0.0126213990324564
"236","20.08.0003",2093.44,-0.0101184988467688
"237","20.07.0031",2086.03,-0.00354590786109786
"238","20.07.0030",2103.04,0.00812117891992722
"239","20.07.0029",2098.51,-0.00215634789794855
"240","20.07.0028",2089.7,-0.00420705408479309
"241","20.07.0027",2043.9,-0.02216076753832
"242","20.07.0024",2026.28,-0.00865814783194035
"243","20.07.0023",2040.63,0.00705698407571118
"244","20.07.0022",2050.47,0.0048104514556752
"245","20.07.0021",2057.95,0.00364130651921929
"246","20.07.0020",2031.54,-0.0129162155481374
"247","20.07.0017",2039.61,0.00396448697286281
"248","20.07.0016",2021.4,-0.00896827245056073
"249","20.07.0015",2046.13,0.012159863464443
"250","20.07.0014",2028.96,-0.00842685761841588
"251","20.07.0013",2032.63,0.00180717452958798
"252","20.07.0010",1999.52,-0.0164233692787039
"253","20.07.0009",2012.56,0.00650039177542262
"254","20.07.0008",2002.55,-0.00498617509308327
"255","20.07.0007",2008.29,0.00286224527466585
"256","20.07.0006",2033.83,0.0126371012667186
"257","20.07.0003",2001.18,-0.0161837084006858
"258","20.07.0002",1988.48,-0.00636647879588374
"259","20.07.0001",1961.21,-0.01380889808152
"260","20.06.0030",1959.45,-0.000897808082425987
"261","20.06.0029",1946.66,-0.00654873810991746
"262","20.06.0026",1985.26,0.0196348044208431
"263","20.06.0025",1959.6,-0.0130095171471879
"264","20.06.0024",2009.97,0.0253794258041829
"265","20.06.0023",1975.39,-0.0173539493732593
"266","20.06.0022",1966.13,-0.00469870356446642
"267","20.06.0019",1975.92,0.00496696902740344
"268","20.06.0018",1963.71,-0.00619857148750184
"269","20.06.0017",1974.25,0.00535303820691188
"270","20.06.0016",1970.32,-0.00199261328882042
"271","20.06.0015",1867.11,-0.0538041852323993
"272","20.06.0012",1960.32,0.0487159443478851
"273","20.06.0011",2002.65,0.0213635782998579
"274","20.06.0010",2022.21,0.00971966925014504
"275","20.06.0009",2017.55,-0.00230706876989223
"276","20.06.0008",2016.14,-0.000699111759916611
"277","20.06.0005",2016.17,1.48798083482372e-05
"278","20.06.0004",1986.97,-0.0145888067329556
"279","20.06.0003",1980.51,-0.00325647802072611
"280","20.06.0002",1911.98,-0.0352150329736246
"281","20.06.0001",1894.62,-0.00912106360191898
"282","20.05.0029",1859.43,-0.01874830157522
"283","20.05.0028",1860.9,0.000790252518728728
"284","20.05.0027",1852.32,-0.00462133418976329
"285","20.05.0026",1856.07,0.00202244169475677
"286","20.05.0025",1822.83,-0.0180711107017005
"287","20.05.0022",1798.95,-0.0131870771046347
"288","20.05.0021",1825.12,0.0144425769337479
"289","20.05.0020",1818.13,-0.00383723794796291
"290","20.05.0019",1809.93,-0.00452032985276216
"291","20.05.0018",1764.53,-0.0254038045245052
"292","20.05.0015",1754.38,-0.00576884782445919
"293","20.05.0014",1755.14,0.000433107668216795
"294","20.05.0013",1772.11,0.00962230118966521
"295","20.05.0012",1755.64,-0.00933746419994749
"296","20.05.0011",1764.12,0.00481851967604245
"297","20.05.0008",1776.6,0.00704944287172539
"298","20.05.0007",1760.01,-0.00938193450136276
"299","20.05.0006",1763.45,0.00195262673223967
"300","20.05.0004",1731.92,-0.0180414978873025
"301","20.04.0029",1783.81,0.0295209065468607
"302","20.04.0028",1772.32,-0.00646210345741304
"303","20.04.0027",1762.52,-0.00554481962885101
"304","20.04.0024",1732.31,-0.0172888251993683
"305","20.04.0023",1757.01,0.014157722750133
"306","20.04.0022",1745.67,-0.00647506459081538
"307","20.04.0021",1726.86,-0.010833705670406
"308","20.04.0020",1744.75,0.010306548467946
"309","20.04.0017",1767.39,0.0128926031418935
"310","20.04.0016",1712.06,-0.0318065582226174
"311","20.04.0014",1714.17,0.00123167462005939
"312","20.04.0013",1687.02,-0.01596533959635
"313","20.04.0010",1718.37,0.018412508221346
"314","20.04.0009",1699.81,-0.0108596869693075
"315","20.04.0008",1673.81,-0.0154140150819161
"316","20.04.0007",1695.18,0.0126864648561902
"317","20.04.0006",1668.63,-0.0157859994160151
"318","20.04.0003",1606.64,-0.0378578887221214
"319","20.04.0002",1608.43,0.00111350619734649
"320","20.04.0001",1570.62,-0.02378810207906
"321","20.03.0031",1648.2,0.0482133374825742
"322","20.03.0030",1618.21,-0.0183631832687922
"323","20.03.0027",1631.37,0.00809955252326243
"324","20.03.0026",1598.68,-0.0202418638556687
"325","20.03.0025",1628.59,0.018536321042941
"326","20.03.0024",1545.75,-0.0522053803323478
"327","20.03.0023",1413.06,-0.0897516638106611
"328","20.03.0020",1488.27,0.0518568059175706
"329","20.03.0019",1387.78,-0.0699090234824409
"330","20.03.0018",1496.46,0.0753969708379662
"331","20.03.0017",1572.48,0.0495516719916465
"332","20.03.0016",1617.53,0.028246303450949
"333","20.03.0013",1677.36,0.0363208344932745
"334","20.03.0012",1719.78,0.0249752468129765
"335","20.03.0011",1780.44,0.034664149100743
"336","20.03.0010",1832.33,0.0287278562660985
"337","20.03.0009",1820.62,-0.00641127861651949
"338","20.03.0006",1905.52,0.0455778347913774
"339","20.03.0005",1948.92,0.0225204357828527
"340","20.03.0004",1928.45,-0.0105588015485178
"341","20.03.0003",1882.14,-0.024307144099462
"342","20.03.0002",1874.57,-0.0040301275562643
"343","20.02.0028",1857.1,-0.00936316857126051
"344","20.02.0027",1920.69,0.0336683652630916
"345","20.02.0026",1943.03,0.0115641138373186
"346","20.02.0025",1975.21,0.0164261114971895
"347","20.02.0024",1955.65,-0.00995210281822547
"348","20.02.0021",2033.49,0.039030909727104
"349","20.02.0020",2061.34,0.0136027280410852
"350","20.02.0019",2070.99,0.0046704970521316
"351","20.02.0018",2064.88,-0.0029546404722459
"352","20.02.0017",2099.33,0.016546132859491
"353","20.02.0014",2101.19,0.000885604697306706
"354","20.02.0013",2083.63,-0.0083922859588341
"355","20.02.0012",2086.21,0.00123745771023817
"356","20.02.0011",2071.07,-0.00728364071371257
"357","20.02.0010",2049.2,-0.0106159088558985
"358","20.02.0007",2062.74,0.00658572301042963
"359","20.02.0006",2078.32,0.007524678953019
"360","20.02.0005",2021.19,-0.0278734281788889
"361","20.02.0004",2011.35,-0.00488030845584616
"362","20.02.0003",1969.64,-0.0209553534776702
"363","20.01.0031",1965.61,-0.00204815521697505
"364","20.01.0030",1990.71,0.0126887293067729
"365","20.01.0029",2028.57,0.0188397523025504
"366","20.01.0028",2019.08,-0.00468914920456662
"367","20.01.0023",2082.19,0.0307782623126267
"368","20.01.0022",2105.88,0.0113132075970171
"369","20.01.0021",2076.54,-0.0140303849449991
"370","20.01.0020",2100.97,0.011696095759737
