"","ts","pr","rt"
"1","20.07.0015",292.05,0
"2","20.07.0014",291.09,-0.00329252278100077
"3","20.07.0013",289.72,-0.00471755837819229
"4","20.07.0012",292.52,0.00961810107562504
"5","20.07.0009",292.71,0.000649317385217947
"6","20.07.0008",286.99,-0.0197349858409606
"7","20.07.0007",292.53,0.0191198535681296
"8","20.07.0006",288.5,-0.013872139566983
"9","20.07.0002",291.76,0.0112364605522704
"10","20.07.0001",290.84,-0.00315825871856874
"11","20.06.0030",289.1,-0.00600063875955558
"12","20.06.0029",290.37,0.00438332280680646
"13","20.06.0028",289.69,-0.00234458611695832
"14","20.06.0025",285.11,-0.0159363149965141
"15","20.06.0024",285.13,7.01459035078532e-05
"16","20.06.0023",284.76,-0.00129849638347001
"17","20.06.0022",290.35,0.0194403715823865
"18","20.06.0021",288.33,-0.0069814343147563
"19","20.06.0018",282.02,-0.0221276670942186
"20","20.06.0017",287.24,0.0183401128330328
"21","20.06.0016",289.56,0.00804442618282383
"22","20.06.0015",290.91,0.00465141155962401
"23","20.06.0014",290.91,0
"24","20.06.0011",291.22,0.00106505429819388
"25","20.06.0010",290.33,-0.00306078822053049
"26","20.06.0009",290.48,0.000516520043852408
"27","20.06.0008",292.5,0.00692993956583084
"28","20.06.0007",291.58,-0.00315025599523533
"29","20.06.0004",299.86,0.0280012883900813
"30","20.06.0003",298.32,-0.00514896319619178
"31","20.06.0002",299.88,0.00521565876429586
"32","20.06.0001",302.26,0.00790517950711325
"33","20.05.0028",300.6,-0.00550709682310043
"34","20.05.0027",300.78,0.000598623184592827
"35","20.05.0026",299.77,-0.00336358655311776
"36","20.05.0025",301.25,0.00492497085451571
"37","20.05.0024",301.27,6.63878377724006e-05
"38","20.05.0021",298.57,-0.00900246143953575
"39","20.05.0020",298.13,-0.00147477821266602
"40","20.05.0019",296.07,-0.00693372013840989
"41","20.05.0018",298,0.00649757365337904
"42","20.05.0017",300.88,0.00961802765667646
"43","20.05.0014",301.17,0.000963375209464029
"44","20.05.0013",297.95,-0.0107492021785571
"45","20.05.0012",293.98,-0.0134139493791462
"46","20.05.0011",298.61,0.0156266363487019
"47","20.05.0010",301.01,0.00800511262583611
"48","20.05.0007",298.93,-0.00693405451896102
"49","20.05.0006",296.4,-0.008499538847487
"50","20.05.0005",291.61,-0.016292600322627
"51","20.05.0004",283,-0.0299703954560672
"52","20.05.0003",288.7,0.0199411890256517
"53","20.04.0030",285.84,-0.00995587295373509
"54","20.04.0029",289.34,0.0121702534862897
"55","20.04.0028",287.14,-0.00763256550189624
"56","20.04.0027",290.21,0.0106348971506394
"57","20.04.0026",289.52,-0.00238041959470035
"58","20.04.0023",291.6,0.00715862087901618
"59","20.04.0022",288.7,-0.00999491346561381
"60","20.04.0021",291.97,0.0112629705952779
"61","20.04.0020",285.84,-0.021218843549013
"62","20.04.0019",288.45,0.00908954698774422
"63","20.04.0016",289.96,0.00522122172977859
"64","20.04.0015",287.97,-0.00688667438912164
"65","20.04.0014",285.05,-0.0101917045659644
"66","20.04.0013",286.29,0.00434067961968118
"67","20.04.0012",285.43,-0.00300846795160662
"68","20.04.0009",284.8,-0.00220963560784484
"69","20.04.0008",282.2,-0.00917114011910711
"70","20.04.0007",281.35,-0.00301659353942557
"71","20.04.0006",284.11,0.00976204123502454
"72","20.04.0005",285.4,0.00453021792842339
"73","20.04.0001",280.84,-0.0161065928936879
"74","20.03.0031",280.14,-0.00249563393814735
"75","20.03.0030",279.26,-0.00314623069685198
"76","20.03.0029",281,0.00621142181969725
"77","20.03.0026",281.4,0.00142247534654278
"78","20.03.0025",273.38,-0.0289143759557817
"79","20.03.0024",269.77,-0.0132930246099537
"80","20.03.0023",267.88,-0.00703062507270375
"81","20.03.0022",270.36,0.00921528519030407
"82","20.03.0019",269.12,-0.00459702744757014
"83","20.03.0018",267.9,-0.00454360023402031
"84","20.03.0017",269.55,0.00614012534711478
"85","20.03.0016",270.79,0.00458971083673957
"86","20.03.0015",269,-0.00663223313257828
"87","20.03.0012",268.5,-0.00186046565291968
"88","20.03.0011",267.37,-0.00421744704845872
"89","20.03.0010",265.64,-0.00649145822794779
"90","20.03.0009",262.34,-0.0125006362855133
"91","20.03.0008",253.68,-0.0335677421569077
"92","20.03.0005",247.64,-0.0240975515790605
"93","20.03.0004",245.42,-0.00900505010262961
"94","20.03.0003",247.55,0.00864155325903033
"95","20.03.0002",254.01,0.0257610545148634
"96","20.03.0001",251.49,-0.00997040900441974
"97","20.02.0026",244.27,-0.029129056430965
"98","20.02.0025",247,0.0111141657410664
"99","20.02.0024",254.61,0.030344626021718
"100","20.02.0023",258.64,0.0157041707674823
"101","20.02.0022",251.07,-0.0297053487042852
"102","20.02.0019",250.88,-0.000757047550849378
"103","20.02.0018",249.93,-0.00379385850711538
"104","20.02.0017",249.28,-0.00260411597254415
"105","20.02.0016",250.14,0.00344399843837709
"106","20.02.0012",252.68,0.0101031049097393
"107","20.02.0011",253.11,0.00170031081514533
"108","20.02.0010",252.72,-0.00154202035181534
"109","20.02.0009",255.62,0.0114098102097387
"110","20.02.0008",257.34,0.00670620105327576
"111","20.02.0005",257.37,0.000116570496139581
"112","20.02.0004",249.18,-0.0323392113822664
"113","20.02.0003",250.13,0.00380525583838027
"114","20.02.0002",252.25,0.00843987652462089
"115","20.02.0001",250.43,-0.00724121887750758
"116","20.01.0029",245.4,-0.0202899080793997
"117","20.01.0028",249.54,0.0167296907060643
"118","20.01.0027",242.91,-0.0269282186167426
"119","20.01.0026",255.85,0.0519003308849681
"120","20.01.0025",253.12,-0.0107276506718118
"121","20.01.0022",251.48,-0.00650022106442876
"122","20.01.0021",253.2,0.00681622675516079
"123","20.01.0020",257.4,0.0164516048920051
"124","20.01.0019",259.04,0.00635119476729877
"125","20.01.0015",258.09,-0.0036741286279587
"126","20.01.0014",263.69,0.0214658094578966
"127","20.01.0013",267.73,0.0152048392333845
"128","20.01.0012",266.62,-0.00415458630711665
"129","20.01.0011",267.53,0.00340728589495169
"130","20.01.0008",270.4,0.0106706345883263
"131","20.01.0007",270.72,0.00118273224904962
"132","20.01.0006",271.5,0.00287706295613163
"133","20.01.0005",262.87,-0.0323025259789977
"134","20.01.0004",258.81,-0.0155654116383953
"135","20.12.0031",263.51,0.0179971161688482
"136","20.12.0030",261.77,-0.00662506230679134
"137","20.12.0029",259.42,-0.00901788570612695
"138","20.12.0028",260.02,0.00231018122149554
"139","20.12.0024",256.62,-0.0131621596671503
"140","20.12.0023",255.1,-0.00594076631910663
"141","20.12.0022",253.46,-0.00644960549384754
"142","20.12.0021",254.17,0.00279731482763949
"143","20.12.0018",257.67,0.0136763619646855
"144","20.12.0017",256.63,-0.00404433761453401
"145","20.12.0016",250.13,-0.0256545761226116
"146","20.12.0015",251.66,0.00609818745472442
"147","20.12.0014",247.6,-0.0162644293533809
"148","20.12.0011",249.4,0.0072434924354951
"149","20.12.0010",250.95,0.0061956828550066
"150","20.12.0009",251.14,0.00075683645987512
"151","20.12.0008",249.24,-0.00759426488479646
"152","20.12.0007",249.78,0.0021642427589179
"153","20.12.0004",250.62,0.0033573173021998
"154","20.12.0003",246.2,-0.0177936339867859
"155","20.12.0002",251,0.0193087253814308
