"","ts","pr","rt"
"1","15.07.2021",15.75,0
"2","14.07.2021",16.94,0.0728373239522663
"3","13.07.2021",16.87,-0.00414079266603139
"4","12.07.2021",17.54,0.0389470903861599
"5","11.07.2021",18.36,0.0456903982483074
"6","10.07.2021",18.2,-0.00875279110959474
"7","09.07.2021",18.65,0.0244245520070748
"8","08.07.2021",18.43,-0.0118663744080926
"9","07.07.2021",19.8,0.0717021660187576
"10","06.07.2021",20.08,0.0140423571230388
"11","05.07.2021",18.35,-0.090094720322949
"12","04.07.2021",19.26,0.0484008318694002
"13","03.07.2021",18.72,-0.0284379353205336
"14","02.07.2021",18.27,-0.0243321006595306
"15","01.07.2021",18.21,-0.00328947665039865
"16","30.06.2021",19.49,0.0679306197799527
"17","29.06.2021",19.46,-0.00154043676161028
"18","28.06.2021",18.79,-0.0350362633324852
"19","27.06.2021",18.37,-0.0226059141983396
"20","26.06.2021",16.95,-0.0804510654005751
"21","25.06.2021",16.89,-0.00354610300675048
"22","24.06.2021",19.05,0.120345370753001
"23","23.06.2021",18.37,-0.0363482023456756
"24","22.06.2021",16.8,-0.089340012817821
"25","21.06.2021",17.47,0.0391062377367518
"26","20.06.2021",21.65,0.214520330302534
"27","19.06.2021",20.31,-0.0638920788562056
"28","18.06.2021",21.19,0.0424159966879146
"29","17.06.2021",23.37,0.0979237762705588
"30","16.06.2021",23.04,-0.0142213127230762
"31","15.06.2021",24.5,0.0614412817229908
"32","14.06.2021",24.96,0.0186014259505456
"33","13.06.2021",23.32,-0.0679631820189353
"34","12.06.2021",21.66,-0.073844119909447
"35","11.06.2021",21.48,-0.00834497193218065
"36","10.06.2021",23.06,0.0709772452002489
"37","09.06.2021",25.58,0.103711281309784
"38","08.06.2021",24.09,-0.0600139795239165
"39","07.06.2021",24.58,0.0201362875111087
"40","06.06.2021",27.52,0.112979908927254
"41","05.06.2021",27.12,-0.014641549992948
"42","04.06.2021",28.85,0.0618385298819137
"43","03.06.2021",32.17,0.108924348296826
"44","02.06.2021",30.66,-0.048075467807267
"45","01.06.2021",30.71,0.00162946100906296
"46","31.05.2021",32.08,0.0436444485455826
"47","30.05.2021",26.84,-0.178339470894833
"48","29.05.2021",25.36,-0.0567201825344559
"49","28.05.2021",27.91,0.0958119179792056
"50","27.05.2021",31.54,0.122271533986661
"51","26.05.2021",33.91,0.0724533746026549
"52","25.05.2021",27.54,-0.208070462837038
"53","24.05.2021",26.36,-0.0437917836662023
"54","23.05.2021",19.87,-0.282636653070581
"55","22.05.2021",23.27,0.157953920750475
"56","21.05.2021",25.55,0.0934723393355131
"57","20.05.2021",30.67,0.182647661476447
"58","19.05.2021",26.46,-0.147650819439351
"59","18.05.2021",42.56,0.475280686346579
"60","17.05.2021",37.19,-0.13487493709641
"61","16.05.2021",40.68,0.0896966632433806
"62","15.05.2021",41.44,0.0185100267708684
"63","14.05.2021",46.57,0.116709959043058
"64","13.05.2021",43.23,-0.0744218583147455
"65","12.05.2021",41.2,-0.0480964423240596
"66","11.05.2021",48.78,0.168882136432293
"67","10.05.2021",46.41,-0.0498054395346899
"68","09.05.2021",52.26,0.118716306839382
"69","08.05.2021",48.61,-0.0724019890351023
"70","07.05.2021",49.13,0.0106405751231929
"71","06.05.2021",47.18,-0.040499772201028
"72","05.05.2021",49.57,0.0494157380529536
"73","04.05.2021",45.88,-0.0773565197713125
"74","03.05.2021",42.04,-0.0874077462524196
"75","02.05.2021",39.47,-0.0630806563339947
"76","01.05.2021",41.18,0.0424118119248876
"77","30.04.2021",38.14,-0.0766891014273704
"78","29.04.2021",36.46,-0.0450478309217561
"79","28.04.2021",36.25,-0.00577638794983322
"80","27.04.2021",36.79,0.0147866878159992
"81","26.04.2021",35.11,-0.0467400789363421
"82","25.04.2021",31.6,-0.105328869587474
"83","24.04.2021",31.2,-0.0127390257774298
"84","23.04.2021",35.13,0.118637371462299
"85","22.04.2021",35.23,0.00284252607541043
"86","21.04.2021",36.27,0.029092960941665
"87","20.04.2021",38.99,0.072314249699695
"88","19.04.2021",35.76,-0.0864752526891926
"89","18.04.2021",39.08,0.0887808768692687
"90","17.04.2021",39.93,0.0215170939005481
