"","ts","pr","rt"
"1","20.07.0015",378.25,0
"2","20.07.0014",376.82,-0.00378773281861076
"3","20.07.0013",377.84,0.00270320573800699
"4","20.07.0012",379.07,0.00325005901017391
"5","20.07.0009",383.11,0.0106012696131046
"6","20.07.0008",379.92,-0.00836144997027364
"7","20.07.0007",383.48,0.00932676396792937
"8","20.07.0006",378.67,-0.012622354817652
"9","20.07.0002",381.49,0.00741952467002868
"10","20.07.0001",380.22,-0.00333460549769185
"11","20.06.0030",378.35,-0.00493033942294997
"12","20.06.0029",373.42,-0.0131159016033409
"13","20.06.0028",380.07,0.0176516547448819
"14","20.06.0025",382.01,0.00509133999233668
"15","20.06.0024",377.73,-0.0112671315926893
"16","20.06.0023",377.33,-0.00105951854798124
"17","20.06.0022",382.48,0.0135562281841103
"18","20.06.0021",382.5,5.22889487426283e-05
"19","20.06.0018",379.19,-0.00869125454146973
"20","20.06.0017",382.9,0.00973645975812797
"21","20.06.0016",383.6,0.0018264845260345
"22","20.06.0015",389.8,0.0160334440641772
"23","20.06.0014",389.11,-0.00177170707909611
"24","20.06.0011",387.72,-0.00357865036995704
"25","20.06.0010",387.72,0
"26","20.06.0009",386.8,-0.00237566604526798
"27","20.06.0008",388.53,0.00446262332446617
"28","20.06.0007",391.51,0.00764067098520442
"29","20.06.0004",394.1,0.00659362631214825
"30","20.06.0003",387.35,-0.0172760071230464
"31","20.06.0002",385.09,-0.00585160387542983
"32","20.06.0001",381.92,-0.00826591061196184
"33","20.05.0028",382.2,0.000732869215652698
"34","20.05.0027",387.39,0.0134879057204973
"35","20.05.0026",384.13,-0.0084509005645762
"36","20.05.0025",385.85,0.00446765594151841
"37","20.05.0024",387.71,0.0048089445796589
"38","20.05.0021",387.22,-0.00126463052225182
"39","20.05.0020",388.32,0.0028367350172719
"40","20.05.0019",385.54,-0.00718479300884588
"41","20.05.0018",387.22,0.00434805799157394
"42","20.05.0017",391.12,0.0100214113093708
"43","20.05.0014",390.78,-0.000869676484025067
"44","20.05.0013",387.77,-0.00773236143385242
"45","20.05.0012",380.62,-0.0186108782636314
"46","20.05.0011",387.82,0.0187398123655905
"47","20.05.0010",393.14,0.0136244680751805
"48","20.05.0007",390.34,-0.00714762832659678
"49","20.05.0006",387.34,-0.0077152939034699
"50","20.05.0005",386.37,-0.00250740072689714
"51","20.05.0004",387.48,0.0028687749854955
"52","20.05.0003",385.31,-0.00561602946063438
"53","20.04.0030",380.56,-0.0124043529735237
"54","20.04.0029",380.35,-0.000551970680715813
"55","20.04.0028",372.94,-0.0196743326473628
"56","20.04.0027",373.22,0.00075050930937828
"57","20.04.0026",371.98,-0.00332796871834488
"58","20.04.0023",377.29,0.0141740331239073
"59","20.04.0022",380.09,0.00739394427214282
"60","20.04.0021",387.24,0.01863658906884
"61","20.04.0020",387.33,0.000232387002866206
"62","20.04.0019",391.73,0.0112957841106925
"63","20.04.0016",391.81,0.000204201445434688
"64","20.04.0015",390.63,-0.00301620800211756
"65","20.04.0014",388.67,-0.00503016587386401
"66","20.04.0013",387.11,-0.00402176416689199
"67","20.04.0012",387.85,0.0019097765688901
"68","20.04.0009",386.23,-0.00418562000082762
"69","20.04.0008",386.02,-0.000543865341991169
"70","20.04.0007",380.19,-0.0152180538319793
"71","20.04.0006",378.97,-0.00321408148545492
"72","20.04.0005",378.75,-0.000580689453048674
"73","20.04.0001",371.02,-0.0206203873133519
"74","20.03.0031",369.5,-0.00410522912197053
"75","20.03.0030",370.54,0.00281066073361024
"76","20.03.0029",372.79,0.00605385729546394
"77","20.03.0026",364.71,-0.0219127411815183
"78","20.03.0025",361.22,-0.00961532624029466
"79","20.03.0024",356.12,-0.014219438290047
"80","20.03.0023",353.61,-0.0070731417988826
"81","20.03.0022",357.66,0.0113882035533024
"82","20.03.0019",355.07,-0.00726786132391486
"83","20.03.0018",358.45,0.00947422716290582
"84","20.03.0017",351.02,-0.0209459783993372
"85","20.03.0016",347.13,-0.0111438523431882
"86","20.03.0015",346.41,-0.00207630492448159
"87","20.03.0012",340.19,-0.0181187595759777
"88","20.03.0011",339.73,-0.00135310057119593
"89","20.03.0010",340.84,0.00326197447505461
"90","20.03.0009",337.5,-0.00984764864717066
"91","20.03.0008",341.45,0.0116357450945138
"92","20.03.0005",340.43,-0.00299173098137054
"93","20.03.0004",338.25,-0.00642425737483019
"94","20.03.0003",340.91,0.00783324577829983
"95","20.03.0002",338.59,-0.00682857693899204
"96","20.03.0001",333.47,-0.015237029603211
"97","20.02.0026",330.25,-0.0097029628845594
"98","20.02.0025",341.69,0.034053949853052
"99","20.02.0024",346.53,0.014065501713212
"100","20.02.0023",346.23,-0.000866100868275374
"101","20.02.0022",340.47,-0.0167762781192659
"102","20.02.0019",335.42,-0.0149435380776756
"103","20.02.0018",337.92,0.00742570317436027
"104","20.02.0017",337,-0.00272625072548031
"105","20.02.0016",335.03,-0.00586285029805173
"106","20.02.0012",337.73,0.00802667963669461
"107","20.02.0011",339.14,0.00416624178797679
"108","20.02.0010",342.19,0.00895313687532375
"109","20.02.0009",342.34,0.000438256913213036
"110","20.02.0008",337.84,-0.0132319846418301
"111","20.02.0005",337.04,-0.00237079295492691
"112","20.02.0004",337.23,0.000563572471054239
"113","20.02.0003",332.39,-0.0144562118489224
"114","20.02.0002",332.7,0.000932204731537924
"115","20.02.0001",324.03,-0.0264050789259386
"116","20.01.0029",321.82,-0.00684372106748829
"117","20.01.0028",327.93,0.0188077879428498
"118","20.01.0027",332.51,0.0138697638577755
"119","20.01.0026",330.69,-0.00548855418829559
"120","20.01.0025",343.51,0.0380348426768357
"121","20.01.0022",339.88,-0.0106236091848289
"122","20.01.0021",339.67,-0.000618056086189
"123","20.01.0020",341.67,0.00587080090521778
"124","20.01.0019",341.5,-0.000497679943524765
"125","20.01.0015",347.27,0.016754896357426
"126","20.01.0014",347.44,0.000489412858295622
"127","20.01.0013",345.49,-0.00562828899777258
"128","20.01.0012",341.85,-0.0105916548689908
"129","20.01.0011",337.68,-0.0122733428855597
"130","20.01.0008",336.1,-0.0046899667431833
"131","20.01.0007",342.55,0.0190088977178481
"132","20.01.0006",348.03,0.0158710505065169
"133","20.01.0005",348.79,0.00218133894364448
"134","20.01.0004",344.64,-0.0119696279310458
"135","20.12.0031",354.98,0.0295610558921769
"136","20.12.0030",354.16,-0.00231266143631489
"137","20.12.0029",353.9,-0.00073440107246803
"138","20.12.0028",354.18,0.000790871129235424
"139","20.12.0024",351.97,-0.00625931378733349
"140","20.12.0023",351.6,-0.00105177888229749
"141","20.12.0022",347.92,-0.010521597521639
"142","20.12.0021",349.35,0.00410171670907681
"143","20.12.0018",356.03,0.0189407119660035
"144","20.12.0017",352.6,-0.00968072700069327
"145","20.12.0016",354.57,0.00557151772848895
"146","20.12.0015",357.57,0.00842535947046806
"147","20.12.0014",357.66,0.000251667297163326
"148","20.12.0011",361.71,0.0112599713374387
"149","20.12.0010",355.39,-0.0176270077827128
"150","20.12.0009",361.35,0.0166312397143739
"151","20.12.0008",359.23,-0.00588416585749956
"152","20.12.0007",362.13,0.00804041150965477
"153","20.12.0004",366.61,0.0122953493392822
"154","20.12.0003",362.03,-0.0125715314002511
"155","20.12.0002",361.36,-0.00185238997382757
"156","20.12.0001",364.99,0.00999526460055696
"157","20.11.0030",365,2.73976355858104e-05
"158","20.11.0027",374.34,0.0252671217682584
"159","20.11.0025",378.34,0.0106287868867673
"160","20.11.0024",378.48,0.0003699690853754
"161","20.11.0023",370.85,-0.0203655631403255
"162","20.11.0020",368.02,-0.00766038366433892
"163","20.11.0019",376.46,0.0226745153778036
"164","20.11.0018",377.56,0.0029176965607119
"165","20.11.0017",375.9,-0.00440634588661138
"166","20.11.0016",377.13,0.00326680502471706
"167","20.11.0013",375.14,-0.00529066596265426
"168","20.11.0012",367.89,-0.0195153091901508
"169","20.11.0011",369.28,0.00377118343763567
"170","20.11.0010",371.28,0.00540133105324022
"171","20.11.0009",363.95,-0.0199399993686534
"172","20.11.0006",361.27,-0.00739089434831788
"173","20.11.0005",364.7,0.00944949659868541
"174","20.11.0004",372.16,0.0202487715156652
"175","20.11.0003",363.44,-0.0237096478791518
"176","20.11.0002",352.42,-0.0307905753105633
"177","20.10.0030",350.13,-0.00651913204821263
"178","20.10.0029",352.44,0.00657588090615696
"179","20.10.0028",350.86,-0.00449311149749028
"180","20.10.0027",362.43,0.0324440686985434
"181","20.10.0026",368.55,0.0167450354357156
"182","20.10.0023",374.33,0.015561373675887
"183","20.10.0022",368.96,-0.0144495242304907
"184","20.10.0021",367.14,-0.00494499037819008
"185","20.10.0020",372.21,0.0137149644203857
"186","20.10.0019",383.71,0.0304288478180339
"187","20.10.0016",386.5,0.00724480908655309
"188","20.10.0015",386.12,-0.000983666047062249
"189","20.10.0014",390.72,0.0118429889419255
"190","20.10.0013",388.95,-0.00454039026955692
"191","20.10.0012",388.92,-7.71337113266568e-05
"192","20.10.0009",385.93,-0.00771766107226727
"193","20.10.0008",388.59,0.00686879734108523
"194","20.10.0007",382.94,-0.0146464842652152
"195","20.10.0006",376.46,-0.0170665190490272
"196","20.10.0005",383.96,0.0197265805993042
"197","20.10.0002",380.58,-0.00884197562147541
"198","20.10.0001",380.89,0.000814214656194248
"199","20.09.0030",383.28,0.0062551730448116
"200","20.09.0029",388.74,0.0141449471150543
"201","20.09.0028",390.51,0.00454283745655784
"202","20.09.0025",386.7,-0.00980437853322734
"203","20.09.0024",378.76,-0.020746439497952
"204","20.09.0023",383.24,0.0117586656673734
"205","20.09.0022",388.42,0.0134258036146327
"206","20.09.0021",379.61,-0.0229428184890227
"207","20.09.0018",395.14,0.0400957225769764
"208","20.09.0017",395.94,0.00202255213812628
"209","20.09.0016",395.58,-0.000909642270122055
"210","20.09.0015",392.55,-0.00768912470899863
"211","20.09.0014",393.75,0.00305227249557823
"212","20.09.0011",389.45,-0.0109807027738854
"213","20.09.0010",379.11,-0.0269090869272584
"214","20.09.0009",385.24,0.0160401162539644
"215","20.09.0008",380.23,-0.0130901839122046
