"","ts","pr","rt"
"1","25.05.2006",4.6,0
"2","26.05.2006",4.493,-0.0235356734070262
"3","30.05.2006",4.4,-0.0209160891638074
"4","31.05.2006",4.494,0.0211386328389218
"5","01.06.2006",4.751,0.0556119484416469
"6","02.06.2006",4.699,-0.0110054020841057
"7","05.06.2006",4.915,0.0449420334784512
"8","06.06.2006",4.83,-0.0174452859346485
"9","07.06.2006",4.76,-0.0145987994211527
"10","08.06.2006",4.772,0.00251783599234103
"11","09.06.2006",4.778,0.00125654466794803
"12","12.06.2006",4.695,-0.0175239362433914
"13","13.06.2006",4.55,-0.0313708796973673
"14","14.06.2006",4.512,-0.00838671876710129
"15","15.06.2006",4.595,0.0182282416118926
"16","16.06.2006",4.502,-0.0204470133231099
"17","19.06.2006",4.434,-0.0152196312904207
"18","20.06.2006",4.402,-0.00724312808984984
"19","21.06.2006",4.53,0.0286629563906727
"20","22.06.2006",4.66,0.0282935086426118
"21","23.06.2006",4.695,0.00748266452267182
"22","26.06.2006",4.75,0.0116465053863235
"23","27.06.2006",4.731,-0.00400802139753882
"24","28.06.2006",4.696,-0.00742551412321575
"25","29.06.2006",4.8,0.02190483538805
"26","30.06.2006",4.8,0
"27","03.07.2006",4.73,-0.0146907154100035
"28","05.07.2006",4.76,0.00632246573948689
"29","06.07.2006",4.68,-0.0169495583137733
"30","07.07.2006",4.612,-0.0146365075227427
"31","10.07.2006",4.649,0.00799054030163497
"32","11.07.2006",4.635,-0.00301594369062929
"33","12.07.2006",4.555,-0.0174106683058969
"34","13.07.2006",4.472,-0.0183897948591234
"35","14.07.2006",4.395,-0.0173682047156579
"36","17.07.2006",4.399,0.000909711229442562
"37","18.07.2006",4.39,-0.00204801527950283
"38","19.07.2006",4.528,0.0309511138138017
"39","20.07.2006",4.555,0.00594518981103988
"40","21.07.2006",4.528,-0.00594518981103989
"41","24.07.2006",4.5,-0.00620294412460767
"42","25.07.2006",4.608,0.0237165266173161
"43","26.07.2006",4.668,0.0129367910307196
"44","27.07.2006",4.652,-0.00343347976789152
"45","28.07.2006",4.63,-0.00474036655827537
"46","31.07.2006",4.587,-0.00933065248310776
"47","01.08.2006",4.5,-0.0191488188387608
"48","02.08.2006",5.002,0.105760435679153
"49","03.08.2006",4.999,-0.000599940023994019
"50","04.08.2006",5.005,0.00119952033575056
"51","07.08.2006",5.11,0.0207619914484292
"52","08.08.2006",5.257,0.0283611176216979
"53","09.08.2006",5.285,0.00531209748489011
"54","10.08.2006",5.356,0.013344808506725
"55","11.08.2006",5.368,0.00223797184045465
"56","14.08.2006",5.423,0.0101937681895428
"57","15.08.2006",5.449,0.00478293774203757
"58","16.08.2006",5.427,-0.00404561051969362
"59","17.08.2006",5.346,-0.0150378773645404
"60","18.08.2006",5.345,-0.000187073239718765
"61","21.08.2006",5.426,0.0150406697597315
"62","22.08.2006",5.523,0.0177189766823103
"63","23.08.2006",5.46,-0.0114724011622368
"64","24.08.2006",5.565,0.0190481949706946
"65","25.08.2006",5.5,-0.011748892489083
"66","28.08.2006",5.502,0.000363570263957544
"67","29.08.2006",5.535,0.00597990365821755
"68","30.08.2006",5.525,-0.00180831875678366
"69","31.08.2006",5.59,0.0116960397631912
"70","01.09.2006",5.655,0.011560822401076
"71","05.09.2006",5.685,0.00529101763441546
"72","06.09.2006",5.888,0.0350852542240758
"73","07.09.2006",6.012,0.0208410904641529
"74","08.09.2006",5.975,-0.00617337407315369
"75","11.09.2006",6.187,0.0348662187312776
"76","12.09.2006",6.21,0.00371057939653555
"77","13.09.2006",6.135,-0.0121508177825127
"78","14.09.2006",6.279,0.0232006539690977
"79","15.09.2006",6.497,0.0341297997664215
"80","18.09.2006",6.512,0.00230609680184527
"81","19.09.2006",6.484,-0.00430902482680947
"82","20.09.2006",6.655,0.0260308479736453
"83","21.09.2006",6.905,0.0368773350141804
"84","22.09.2006",6.593,-0.0462373067300929
"85","25.09.2006",6.44,-0.0234799400149003
"86","26.09.2006",6.6,0.0245411089161174
"87","27.09.2006",6.784,0.027497249457222
"88","28.09.2006",6.865,0.0118691407303325
"89","29.09.2006",7.035,0.0244616513464181
"90","02.10.2006",6.996,-0.0055591334099967
"91","03.10.2006",6.968,-0.00401031760615403
"92","04.10.2006",6.962,-0.00086145016095458
"93","05.10.2006",7.259,0.0417752889134565
"94","06.10.2006",7.515,0.0346589449022342
"95","09.10.2006",7.28,-0.0317701609963431
"96","10.10.2006",7.191,-0.0123006180882377
"97","11.10.2006",6.95,-0.0340885845436562
"98","12.10.2006",7.041,0.0130085459602953
"99","13.10.2006",7.009,-0.00455516801880846
"100","16.10.2006",7.13,0.0171161969080167
"101","17.10.2006",6.95,-0.0255695748495037
"102","18.10.2006",7.045,0.0135764857739427
"103","19.10.2006",7.233,0.0263357425165002
"104","20.10.2006",7.122,-0.0154653030115577
"105","23.10.2006",7.025,-0.0137133696357765
"106","24.10.2006",7.12,0.013432510204075
"107","25.10.2006",7.075,-0.00634028189458305
"108","26.10.2006",7.22,0.0202875093754335
"109","27.10.2006",7.264,0.00607568839425734
"110","30.10.2006",7.254,-0.0013776004382816
"111","31.10.2006",7.41,0.0212773984472849
"112","01.11.2006",8.507,0.138058914685752
"113","02.11.2006",8.76,0.0293065509545528
"114","03.11.2006",8.951,0.0215693529405018
"115","06.11.2006",9.63,0.0731179679212324
"116","07.11.2006",9.25,-0.0402596742857004
"117","08.11.2006",8.844,-0.044884288529134
"118","09.11.2006",8.82,-0.0027173929764998
"119","10.11.2006",8.92,0.0112740765732179
"120","13.11.2006",9.655,0.0791799692885597
"121","14.11.2006",9.52,-0.0140810670772038
"122","15.11.2006",9.53,0.00104986886283679
"123","16.11.2006",9.452,-0.00821835834144924
"124","17.11.2006",9.479,0.00285246614624304
"125","20.11.2006",9.619,0.014661483699574
"126","21.11.2006",10.06,0.0448268555011148
"127","22.11.2006",10.326,0.0260978217858641
"128","24.11.2006",10.548,0.0212712820335829
"129","27.11.2006",9.899,-0.06350252655337
"130","28.11.2006",10.075,0.0176233658950763
"131","29.11.2006",9.92,-0.0155041865359652
"132","30.11.2006",10.175,0.0253808100318774
"133","01.12.2006",10.117,-0.00571655410490528
"134","04.12.2006",10.008,-0.0108324040591435
"135","05.12.2006",9.925,-0.0083279465913557
"136","06.12.2006",9.913,-0.0012097995224937
"137","07.12.2006",9.968,0.00553293499433678
"138","08.12.2006",10.01,0.00420463128203187
"139","11.12.2006",9.91,-0.0100402449852326
"140","12.12.2006",9.575,-0.034388813275187
"141","13.12.2006",9.577,0.000208855472772666
"142","14.12.2006",9.56,-0.00177666347617227
"143","15.12.2006",9.619,0.00615258210716849
"144","18.12.2006",9.29,-0.0348017563447315
"145","19.12.2006",9.74,0.0473025648286966
"146","20.12.2006",9.751,0.00112872619853806
"147","21.12.2006",9.571,-0.0186321506392126
"148","22.12.2006",9.635,0.00666460865256023
"149","26.12.2006",9.514,-0.01263790385624
"150","27.12.2006",9.937,0.0435007662391365
"151","28.12.2006",9.896,-0.0041345291590394
"152","29.12.2006",9.849,-0.00476070790262154
"153","03.01.2007",9.641,-0.021345089505322
"154","04.01.2007",10.114,0.047895764975548
"155","05.01.2007",10.106,-0.000791295788074482
"156","08.01.2007",10.108,0.000197882656230918
"157","09.01.2007",10.574,0.0450709682873105
"158","10.01.2007",10.474,-0.00950216195596245
"159","11.01.2007",10.55,0.00722986406477954
"160","12.01.2007",10.525,-0.00237248035363047
"161","16.01.2007",10.6,0.00710062154957637
"162","17.01.2007",10.904,0.0282756932762101
"163","18.01.2007",10.249,-0.0619495545448056
"164","19.01.2007",10.503,0.0244807907912124
"165","22.01.2007",10.761,0.0242675565776168
"166","23.01.2007",10.841,0.00740675546089959
"167","24.01.2007",11.142,0.027386508919469
"168","25.01.2007",10.787,-0.0323800462053316
"169","26.01.2007",10.852,0.00600768940339328
"170","29.01.2007",10.974,0.0111794438400984
"171","30.01.2007",11.075,0.00916147729441569
"172","31.01.2007",11.155,0.00719751195329648
"173","01.02.2007",11.192,0.00331140947868419
"174","02.02.2007",11.096,-0.00861455435064955
"175","05.02.2007",11.025,-0.0064192616796207
"176","06.02.2007",11.055,0.00271739297649989
"177","07.02.2007",11.19,0.0121377080144243
"178","08.02.2007",11.474,0.0250630838558455
"179","09.02.2007",10.36,-0.102131369348342
"180","12.02.2007",10.208,-0.0147805102289028
"181","13.02.2007",10.469,0.0252467827347837
"182","14.02.2007",10.802,0.0313127928334816
"183","15.02.2007",10.804,0.000185133759669894
"184","16.02.2007",10.832,0.00258828023955007
"185","20.02.2007",10.782,-0.00462663914044221
"186","21.02.2007",10.729,-0.00492772137486787
"187","22.02.2007",10.59,-0.013040196041294
"188","23.02.2007",10.457,-0.0126385489968633
"189","26.02.2007",10.406,-0.00488904774833992
"190","27.02.2007",10.3,-0.0102386676325217
"191","28.02.2007",10.718,0.0397806758370683
"192","01.03.2007",10.629,-0.00833845652121394
"193","02.03.2007",10.306,-0.0308598646454122
"194","05.03.2007",10.094,-0.0207850619879619
"195","06.03.2007",10.399,0.029768459760025
