"","ts","pr","rt"
"1","20.07.0015",1437.29,0
"2","20.07.0014",1437.19,-6.9577801926263e-05
"3","20.07.0013",1431.97,-0.00363869966084657
"4","20.07.0012",1425.33,-0.00464775274061816
"5","20.07.0008",1444.06,0.0130552249962258
"6","20.07.0007",1462.55,0.0127228967197223
"7","20.07.0006",1465.16,0.00178296394890469
"8","20.07.0005",1470.72,0.00378762527557489
"9","20.07.0001",1467.17,-0.00241670159726797
"10","20.06.0030",1468.07,0.000613237778310914
"11","20.06.0029",1470.3,0.00151784862228699
"12","20.06.0028",1461.49,-0.00600999834104265
"13","20.06.0024",1458.41,-0.0021096620722213
"14","20.06.0023",1453.82,-0.0031522261639515
"15","20.06.0022",1457.04,0.0022124054838922
"16","20.06.0021",1452.31,-0.00325158827054492
"17","20.06.0017",1450.79,-0.00104715658357938
"18","20.06.0016",1452.7,0.001315658242674
"19","20.06.0015",1451.15,-0.00106754835628988
"20","20.06.0014",1465.14,0.00959445550268538
"21","20.06.0010",1445.43,-0.0135439458915375
"22","20.06.0009",1446.77,0.000926630313174668
"23","20.06.0008",1442.22,-0.0031498923582452
"24","20.06.0007",1438.21,-0.00278430830854018
"25","20.06.0003",1440.45,0.00155627997200637
"26","20.06.0002",1433.69,-0.00470402448408854
"27","20.06.0001",1422.95,-0.00751935882990495
"28","20.05.0031",1415.81,-0.00503037597844113
"29","20.05.0027",1413.34,-0.001746107931756
"30","20.05.0026",1404.77,-0.0060821092281526
"31","20.05.0025",1403.64,-0.000804725849132407
"32","20.05.0024",1385.69,-0.0128706519412292
"33","20.05.0020",1392.16,0.00465828730832744
"34","20.05.0019",1399.57,0.00530854875046507
"35","20.05.0018",1407.64,0.00574949663945781
"36","20.05.0017",1403.54,-0.00291692663369618
"37","20.05.0010",1394.25,-0.00664098030427784
"38","20.05.0006",1385.9,-0.0060068881949062
"39","20.05.0005",1388.78,0.00207591580597549
"40","20.05.0004",1399.9,0.00797514160004721
"41","20.05.0003",1397.35,-0.00182321973822711
"42","20.04.0029",1423.69,0.0186745069008043
"43","20.04.0028",1447.57,0.0166341958745924
"44","20.04.0027",1397.34,-0.0353158592041953
"45","20.04.0026",1393.92,-0.00245050744926731
"46","20.04.0022",1380.05,-0.0100001914855369
"47","20.04.0021",1374.2,-0.00424798678197381
"48","20.04.0020",1378.99,0.0034796035384159
"49","20.04.0019",1376.23,-0.00200347044751092
"50","20.04.0015",1361.22,-0.0109665202510563
"51","20.04.0014",1338.32,-0.0169662604137991
"52","20.04.0013",1337.02,-0.000971839169838352
"53","20.04.0012",1346.82,0.00730300133832221
"54","20.04.0008",1368.67,0.0160932071765963
"55","20.04.0007",1368.18,-0.000358075893991712
"56","20.04.0006",1363.43,-0.00347780597351469
"57","20.04.0005",1360.87,-0.00187938241273735
"58","20.04.0001",1349.68,-0.0082566737901424
"59","20.03.0031",1349.38,-0.000222299616337046
"60","20.03.0030",1301.46,-0.0361585164877825
"61","20.03.0029",1297.18,-0.00329403370229622
"62","20.03.0025",1261.74,-0.0277009568026359
"63","20.03.0024",1270.17,0.00665902907346726
"64","20.03.0023",1273.44,0.00257115029540441
"65","20.03.0022",1282.01,0.00670725870466622
"66","20.03.0018",1275.16,-0.0053574978468367
"67","20.03.0017",1294.42,0.0149910574437795
"68","20.03.0016",1304.49,0.00774944141592595
"69","20.03.0015",1302.25,-0.00171862214977348
"70","20.03.0011",1297.46,-0.00368503057684333
"71","20.03.0010",1299.51,0.00157876327088945
"72","20.03.0009",1277.03,-0.0174502010020646
"73","20.03.0008",1259.95,-0.0134650316988141
"74","20.03.0004",1241.62,-0.0146550590718279
"75","20.03.0003",1255.68,0.0112602799502483
"76","20.03.0002",1247.15,-0.00681631035809422
"77","20.03.0001",1231.35,-0.0127498196764097
"78","20.02.0025",1241.27,0.00802392055671461
"79","20.02.0024",1228.22,-0.0105690822635483
"80","20.02.0023",1230.34,0.00172458717740632
"81","20.02.0022",1217.48,-0.0105074052158618
"82","20.02.0018",1212.26,-0.00429676264212722
"83","20.02.0017",1224.01,0.00964596789856979
"84","20.02.0016",1226.91,0.00236645941390554
"85","20.02.0015",1227.01,8.15022495072338e-05
"86","20.02.0011",1208.84,-0.0149190935574737
"87","20.02.0010",1201.43,-0.00614870810786146
"88","20.02.0009",1197.39,-0.00336832594333169
"89","20.02.0008",1184.53,-0.0107981166079164
"90","20.02.0004",1163.39,-0.0180079144766082
"91","20.02.0003",1149.63,-0.011898005486037
"92","20.02.0002",1156.99,0.00638165365625188
"93","20.02.0001",1157.53,0.000466619437117013
"94","20.01.0028",1180.87,0.0199630303808361
"95","20.01.0027",1177.18,-0.00312970718346316
"96","20.01.0026",1179.16,0.0016805728086894
"97","20.01.0025",1188.28,0.00770456283054657
"98","20.01.0021",1194.33,0.00507847528795079
"99","20.01.0020",1194.75,0.000351599782616561
"100","20.01.0019",1197.78,0.00253288495434971
"101","20.01.0018",1203.96,0.00514628031290444
"102","20.01.0014",1196.41,-0.00629071759610102
"103","20.01.0013",1199.21,0.00233760051679393
"104","20.01.0012",1193.82,-0.00450475682700312
"105","20.01.0011",1191.25,-0.00215507385079962
"106","20.01.0007",1174.07,-0.0145268311449354
"107","20.01.0006",1163.56,-0.00899207386755311
"108","20.01.0005",1165.01,0.00124539969802505
"109","20.01.0004",1159.73,-0.00454245126671959
"110","20.12.0031",1161.98,0.00193822717254585
"111","20.12.0030",1172.48,0.00899571704588139
"112","20.12.0029",1169.51,-0.0025363059553027
"113","20.12.0028",1165.33,-0.00358054895902737
"114","20.12.0024",1165.3,-2.57441121084234e-05
"115","20.12.0023",1166.84,0.0013206756231075
"116","20.12.0022",1163.52,-0.0028493470933205
"117","20.12.0021",1149.3,-0.0122968317342916
"118","20.12.0017",1161.07,0.0101889323566282
"119","20.12.0016",1164.23,0.00271793054253797
"120","20.12.0015",1154.31,-0.00855716143142024
"121","20.12.0014",1154.8,0.00042440594632129
"122","20.12.0010",1152.73,-0.00179412666813306
