"","ts","pr","rt"
"1","02.12.2003",9.625,0
"2","03.12.2003",9.75,0.0129034048359078
"3","04.12.2003",10.125,0.0377403279828471
"4","05.12.2003",10.125,0
"5","08.12.2003",10.9,0.0737551762424953
"6","09.12.2003",11.065,0.015024184267915
"7","10.12.2003",11.25,0.0165811551474162
"8","11.12.2003",11.45,0.0176216013498194
"9","12.12.2003",11.475,0.00218102594636015
"10","15.12.2003",11.2,-0.02425697764556
"11","16.12.2003",10.975,-0.0202938193398138
"12","17.12.2003",10.725,-0.0230424941471544
"13","18.12.2003",10.775,0.00465117117573088
"14","19.12.2003",10.9,0.0115341532452865
"15","22.12.2003",10.825,-0.0069045153465446
"16","23.12.2003",10.9,0.00690451534654449
"17","24.12.2003",10.925,0.00229095174655576
"18","26.12.2003",10.925,0
"19","29.12.2003",10.9,-0.00229095174655582
"20","30.12.2003",10.95,0.00457666702741167
"21","31.12.2003",10.95,0
"22","02.01.2004",11.225,0.0248039773658082
"23","05.01.2004",11.2,-0.0022296553272692
"24","06.01.2004",11.225,0.00222965532726907
"25","07.01.2004",11.125,-0.00894860557601403
"26","08.01.2004",11.13,0.00044933723514966
"27","09.01.2004",10.575,-0.051151440355112
"28","12.01.2004",10.6,0.00236127618567991
"29","13.01.2004",10.5,-0.00947874395454377
"30","14.01.2004",10.5,0
"31","15.01.2004",10.425,-0.00716848947861252
"32","16.01.2004",10.4,-0.00240096153753815
"33","20.01.2004",10.5,0.00956945101615067
"34","21.01.2004",10.5,0
"35","22.01.2004",10.75,0.023530497410194
"36","23.01.2004",10.6,-0.0140517534556504
"37","26.01.2004",10.425,-0.0166472334331562
"38","27.01.2004",10.365,-0.00577202179712229
"39","28.01.2004",10.25,-0.0111570403033257
"40","29.01.2004",10,-0.0246926125903715
"41","30.01.2004",10,0
"42","02.02.2004",10.075,0.00747201483870084
"43","03.02.2004",10.15,0.00741659765504984
"44","04.02.2004",10.125,-0.00246609249519355
"45","05.02.2004",10.025,-0.00992563979996993
"46","06.02.2004",10.025,0
"47","09.02.2004",10,-0.00249688019858727
"48","10.02.2004",10.015,0.00149887612373595
"49","11.02.2004",10,-0.00149887612373599
"50","12.02.2004",10,0
"51","13.02.2004",10.02,0.00199800266267306
"52","17.02.2004",9.9,-0.0120483385161744
"53","18.02.2004",9.755,-0.0147547830654696
"54","19.02.2004",9.77,0.00153649197961672
"55","20.02.2004",9.77,0
"56","23.02.2004",9.625,-0.0149525858808434
"57","24.02.2004",9.22,-0.0429888426053454
"58","25.02.2004",9.6,0.040388060905288
"59","26.02.2004",9.575,-0.00260756340708094
"60","27.02.2004",9.65,0.00780238028418502
"61","01.03.2004",10,0.035627177643151
"62","02.03.2004",9.95,-0.0050125418235444
"63","03.03.2004",9.985,0.00351141569727712
"64","04.03.2004",9.9,-0.00854920972723415
"65","05.03.2004",9.925,0.00252206943270994
"66","08.03.2004",9.75,-0.0177895415634984
"67","09.03.2004",9.75,0
"68","10.03.2004",9.7,-0.00514139950041876
"69","11.03.2004",9.875,0.0178804252778486
"70","12.03.2004",9.975,0.0100756519887416
"71","15.03.2004",9.925,-0.00502513620267293
"72","16.03.2004",9.95,0.00251572459724715
"73","17.03.2004",10.25,0.0297051544139159
"74","18.03.2004",10.3,0.00486618965117291
"75","19.03.2004",10.325,0.00242424361150625
"76","22.03.2004",10.375,0.00483092726966559
"77","23.03.2004",10.485,0.0105465982371212
"78","24.03.2004",10.65,0.015614227801551
"79","25.03.2004",10.655,0.000469373395146194
"80","26.03.2004",10.66,0.000469153187118187
"81","29.03.2004",10.925,0.0245553222439555
"82","30.03.2004",10.995,0.00638688302507051
"83","31.03.2004",11.1,0.00950448431156398
"84","01.04.2004",11.12,0.00180018050414785
"85","02.04.2004",11.25,0.0116228398279929
