"","ts","pr","rt"
"1","20.07.0015",1969.79,0
"2","20.07.0014",1955.47,-0.00729636433222244
"3","20.07.0013",1953.37,-0.00107448767513727
"4","20.07.0012",1943.89,-0.00486496600053831
"5","20.07.0009",1951.41,0.00386106812941179
"6","20.07.0008",1945.11,-0.00323365746342024
"7","20.07.0007",1939.44,-0.0029192591299786
"8","20.07.0006",1931.57,-0.00406612788039776
"9","20.07.0005",1921.39,-0.00528426128916723
"10","20.07.0002",1928.42,0.00365213234621193
"11","20.07.0001",1926.93,-0.000772951910557545
"12","20.06.0030",1927.53,0.000311327659306978
"13","20.06.0029",1918.69,-0.0045967290304251
"14","20.06.0028",1918.66,-1.56357903243772e-05
"15","20.06.0025",1899.11,-0.0102416703394619
"16","20.06.0024",1890.3,-0.00464980874236733
"17","20.06.0023",1898.68,0.00442336125483504
"18","20.06.0022",1898.91,0.000121129453301325
"19","20.06.0021",1902.75,0.00202017082324499
"20","20.06.0018",1901.21,-0.00080968258558632
"21","20.06.0017",1908.57,0.0038637449701346
"22","20.06.0016",1911.45,0.00150784579434872
"23","20.06.0015",1909.18,-0.00118828584139679
"24","20.06.0014",1919.56,0.00542216260746655
"25","20.06.0011",1911.92,-0.00398802036066426
"26","20.06.0010",1915.98,0.00212126833116079
"27","20.06.0009",1913.13,-0.00148859684171058
"28","20.06.0008",1907.05,-0.00318309877210256
"29","20.06.0007",1904.15,-0.00152183068833568
"30","20.06.0004",1908.82,0.0024495353150362
"31","20.06.0003",1911.64,0.00147626228891139
"32","20.06.0002",1899.68,-0.00627606144728078
"33","20.05.0031",1871.55,-0.0149184863923419
"34","20.05.0028",1862.15,-0.00503523039358749
"35","20.05.0027",1863.68,0.00082129355660442
"36","20.05.0026",1865.3,0.000868870362359859
"37","20.05.0025",1863.86,-0.000772291921811988
"38","20.05.0024",1860.4,-0.00185808777876286
"39","20.05.0021",1858.87,-0.000822742143649459
"40","20.05.0020",1852.28,-0.00355146352293974
"41","20.05.0019",1838.25,-0.0076032806070211
"42","20.05.0018",1842.47,0.00229303062936574
"43","20.05.0017",1859.08,0.00897467897900319
