"","ts","pr","rt"
"1","15.07.2021",3.614,0
"2","14.07.2021",3.66,0.0126479552432382
"3","13.07.2021",3.696,0.00978800636616294
"4","12.07.2021",3.749,0.0142379839743373
"5","09.07.2021",3.674,-0.0202081509608411
"6","08.07.2021",3.688,0.00380331890141345
"7","07.07.2021",3.596,-0.0252621890849736
"8","06.07.2021",3.637,0.0113370493954782
"9","05.07.2021",3.79,0.041206853089483
"10","04.07.2021",3.719,-0.018911204151402
"11","02.07.2021",3.7,-0.0051219952927542
"12","01.07.2021",3.661,-0.0105964855120796
"13","30.06.2021",3.65,-0.00300916654369902
"14","29.06.2021",3.63,-0.0054945193176407
"15","28.06.2021",3.617,-0.00358769530679852
"16","25.06.2021",3.496,-0.0340254951766718
"17","24.06.2021",3.418,-0.0225638730998899
"18","23.06.2021",3.333,-0.0251827853677965
"19","22.06.2021",3.258,-0.0227592891457492
"20","21.06.2021",3.191,-0.0207791628837469
"21","18.06.2021",3.215,0.00749301039347625
"22","17.06.2021",3.253,0.0117502898016317
"23","16.06.2021",3.251,-0.000615006169446202
"24","15.06.2021",3.24,-0.00338931151753022
"25","14.06.2021",3.352,0.0339838528155986
"26","11.06.2021",3.296,-0.0168475705726114
"27","10.06.2021",3.149,-0.0456246699283376
"28","09.06.2021",3.129,-0.0063714774321425
"29","08.06.2021",3.128,-0.000319642003680443
"30","07.06.2021",3.07,-0.0187162610839589
"31","04.06.2021",3.097,0.00875633939196
"32","03.06.2021",3.041,-0.0182474922958382
"33","02.06.2021",3.075,0.0111184925632537
"34","01.06.2021",3.104,0.00938670106249121
"35","31.05.2021",3.055,-0.0159120096974136
"36","30.05.2021",3.037,-0.00590940655994702
"37","28.05.2021",2.986,-0.016935486946613
"38","27.05.2021",2.958,-0.0094213348283906
"39","26.05.2021",2.984,0.00875131805290629
"40","25.05.2021",2.913,-0.024081204364217
"41","24.05.2021",2.886,-0.00931201762561836
"42","21.05.2021",2.906,0.006906104796412
"43","20.05.2021",2.925,0.00651691553572864
"44","19.05.2021",2.964,0.0132452267500207
"45","18.05.2021",3.012,0.0160646025038066
"46","17.05.2021",3.109,0.0316968211389696
"47","14.05.2021",2.961,-0.0487740819571626
"48","13.05.2021",2.973,0.00404449489650644
"49","12.05.2021",2.969,-0.00134634823433788
"50","11.05.2021",2.955,-0.00472654492356113
"51","10.05.2021",2.932,-0.00781386683365651
"52","07.05.2021",2.958,0.00882858026420312
"53","06.05.2021",2.928,-0.0101937681895431
"54","05.05.2021",2.938,0.00340948165262047
"55","04.05.2021",2.967,0.00982226355699922
"56","03.05.2021",2.966,-0.000337097592944315
"57","30.04.2021",2.931,-0.011870581986985
"58","29.04.2021",2.911,-0.00684699696526923
"59","28.04.2021",2.925,0.00479781592033359
"60","27.04.2021",2.873,-0.0179377006866672
"61","26.04.2021",2.79,-0.0293151841638783
"62","23.04.2021",2.73,-0.0217399866364059
"63","22.04.2021",2.749,0.00693559998624027
"64","21.04.2021",2.692,-0.0209527974006273
"65","20.04.2021",2.727,0.0129176920809701
"66","19.04.2021",2.749,0.00803510531965738
"67","16.04.2021",2.68,-0.0254204146603433
"68","15.04.2021",2.658,-0.00824283423171178
"69","14.04.2021",2.618,-0.0151632928033454
"70","13.04.2021",2.619,0.000381898037866818
"71","12.04.2021",2.561,-0.0223947583081868
"72","09.04.2021",2.526,-0.0137607832890889
"73","08.04.2021",2.522,-0.00158478638557152
"74","07.04.2021",2.52,-0.000793336019395763
"75","06.04.2021",2.456,-0.0257248912384359
"76","05.04.2021",2.511,0.0221470698905519
"77","01.04.2021",2.639,0.0497189773457389
"78","31.03.2021",2.608,-0.0118164134567803
"79","30.03.2021",2.623,0.0057350568203301
"80","29.03.2021",2.586,-0.014206420535071
"81","26.03.2021",2.557,-0.0112775840406162
"82","25.03.2021",2.57,0.00507120259807878
"83","24.03.2021",2.518,-0.020440963284973
"84","23.03.2021",2.508,-0.0039793128514811
"85","22.03.2021",2.582,0.0290786696537764
"86","19.03.2021",2.535,-0.0183706553813042
"87","18.03.2021",2.481,-0.0215319323334826
"88","17.03.2021",2.528,0.0187667715749471
"89","16.03.2021",2.562,0.0133597271899315
"90","15.03.2021",2.484,-0.0309180394033101
"91","12.03.2021",2.6,0.045641280956204
"92","11.03.2021",2.668,0.025817683025941
"93","10.03.2021",2.692,0.00895528372910399
"94","09.03.2021",2.662,-0.0112066918095616
"95","08.03.2021",2.664,0.000751032705222973
"96","05.03.2021",2.701,0.0137933221323358
"97","04.03.2021",2.746,0.0165232325353008
"98","03.03.2021",2.816,0.0251721309500165
"99","02.03.2021",2.839,0.00813443919503829
"100","01.03.2021",2.777,-0.0220806691661716
"101","26.02.2021",2.771,-0.00216294244382123
"102","25.02.2021",2.777,0.0021629424438212
"103","24.02.2021",2.854,0.0273503107299822
"104","23.02.2021",2.879,0.00872149257539412
"105","22.02.2021",2.953,0.0253785911317467
"106","19.02.2021",3.069,0.0385301728758136
"107","18.02.2021",3.082,0.00422696126032496
"108","17.02.2021",3.219,0.0434920154187471
"109","16.02.2021",3.129,-0.0283572876299259
"110","15.02.2021",3.067,-0.0200135795546306
"111","14.02.2021",3.035,-0.010488460620653
"112","12.02.2021",2.912,-0.0413712941770221
"113","11.02.2021",2.868,-0.0152252075970657
"114","10.02.2021",2.911,0.0148817420261124
"115","09.02.2021",2.835,-0.0264547275837708
"116","08.02.2021",2.882,0.0164425603976149
"117","05.02.2021",2.863,-0.00661447146135234
"118","04.02.2021",2.935,0.0248374271640819
"119","03.02.2021",2.789,-0.0510243446347079
"120","02.02.2021",2.845,0.0198799589329424
"121","01.02.2021",2.85,0.00175592670226479
"122","29.01.2021",2.564,-0.105750455222135
"123","28.01.2021",2.664,0.0382602136197191
"124","27.01.2021",2.76,0.0354019270509158
"125","26.01.2021",2.656,-0.0384094481148711
"126","25.01.2021",2.602,-0.020540851523874
"127","22.01.2021",2.446,-0.0618263428253328
"128","21.01.2021",2.491,0.0182301990150626
"129","20.01.2021",2.539,0.0190860664424981
"130","19.01.2021",2.546,0.00275319741267334
"131","18.01.2021",2.637,0.035118407235935
"132","17.01.2021",2.64,0.0011370097870751
"133","15.01.2021",2.737,0.0360835129003171
"134","14.01.2021",2.666,-0.0262832083020252
"135","13.01.2021",2.727,0.0226228821069345
"136","12.01.2021",2.753,0.00948912229701888
"137","11.01.2021",2.747,-0.00218181904733352
"138","08.01.2021",2.7,-0.0172576341028534
"139","07.01.2021",2.729,0.010683468715918
"140","06.01.2021",2.716,-0.00477503202975173
"141","05.01.2021",2.702,-0.00516797015844267
"142","04.01.2021",2.581,-0.0458153188015303
"143","31.12.2020",2.539,-0.0164066180139354
"144","30.12.2020",2.422,-0.0471766575916408
"145","29.12.2020",2.467,0.0184091924163192
"146","28.12.2020",2.305,-0.0679221610986078
"147","24.12.2020",2.518,0.0883842591735434
"148","23.12.2020",2.608,0.0351187084422513
