"","ts","pr","rt"
"1","15.07.2021",1011.15,0
"2","14.07.2021",1021.48,0.0101642590480311
"3","13.07.2021",1016.28,-0.00510365429408063
"4","12.07.2021",1015.92,-0.000354295840730032
"5","09.07.2021",1006.9,-0.00891830195920874
"6","08.07.2021",995.03,-0.0118586954637324
"7","07.07.2021",1011.79,0.0167034309749967
"8","06.07.2021",1015.14,0.00330549456592653
"9","05.07.2021",1016.33,0.00117156555214982
"10","02.07.2021",1009.84,-0.00640619710630346
"11","01.07.2021",1004.35,-0.00545133636404908
"12","30.06.2021",993.35,-0.0110127758664847
"13","29.06.2021",1003.61,0.0102757093576882
"14","28.06.2021",1002.92,-0.000687754508726919
"15","25.06.2021",1014.32,0.0113026921566588
"16","24.06.2021",1007.13,-0.00711373550762388
"17","23.06.2021",1007.15,1.98582123642814e-05
"18","22.06.2021",1001.04,-0.00608510036763359
"19","21.06.2021",993.11,-0.0079533052187755
"20","18.06.2021",983.01,-0.0102221403026217
"21","17.06.2021",996.27,0.0133990121498255
"22","16.06.2021",1004.3,0.00802775521406553
"23","15.06.2021",1004.16,-0.000139410294680282
"24","14.06.2021",1014,0.00975153404651553
"25","11.06.2021",1004.33,-0.00958225264565608
"26","10.06.2021",1002.86,-0.00146473454213827
"27","09.06.2021",1004.6,0.00173353435261031
"28","08.06.2021",1005.16,0.000557280485722404
"29","07.06.2021",1007.5,0.00232528201917122
"30","04.06.2021",1008.18,0.00067471029706745
"31","03.06.2021",1000.59,-0.00755689911733916
"32","02.06.2021",998.71,-0.00188065878468537
"33","01.06.2021",995.87,-0.00284771923838533
"34","31.05.2021",980.23,-0.0158294889716269
"35","28.05.2021",986.58,0.00645717894832094
"36","27.05.2021",974.32,-0.0125046251753346
"37","26.05.2021",964.5,-0.0101299594330713
"38","25.05.2021",965.34,0.000870538545214862
"39","21.05.2021",971.27,0.00612412259943794
"40","20.05.2021",954.13,-0.0178045629820218
"41","19.05.2021",939.95,-0.0149732481484442
"42","18.05.2021",957.78,0.018791424144472
"43","14.05.2021",949.82,-0.00834561354647272
"44","12.05.2021",944.31,-0.00581799089009957
"45","11.05.2021",948.03,0.00393164525606134
"46","10.05.2021",962.18,0.0148153960259573
"47","07.05.2021",965.45,0.00339277053865882
"48","06.05.2021",949.52,-0.016637720140298
"49","05.05.2021",954.9,0.00565002920790715
"50","04.05.2021",950.74,-0.00436599421519814
"51","03.05.2021",956.93,0.00648961479119256
"52","30.04.2021",949.16,-0.00815286060859452
"53","29.04.2021",962.85,0.0143202535023402
"54","28.04.2021",965.27,0.00251021852451217
"55","27.04.2021",956.53,-0.00909570221276269
"56","26.04.2021",957.31,0.000815115206273062
"57","23.04.2021",946.92,-0.0109126556229755
"58","22.04.2021",944.04,-0.00304607419179252
"59","21.04.2021",933.99,-0.0107028065957409
"60","20.04.2021",938.88,0.00522194398115162
"61","19.04.2021",953.44,0.0153888214841065
"62","16.04.2021",960.62,0.00750241233594824
"63","15.04.2021",948.63,-0.0125600708377658
"64","14.04.2021",942.84,-0.00612224152112066
"65","13.04.2021",940.51,-0.00247431564896
"66","12.04.2021",935.26,-0.00559771582742301
"67","09.04.2021",940.14,0.00520423484502456
"68","08.04.2021",941.99,0.00196585846439137
"69","07.04.2021",945.01,0.00320085063957239
"70","06.04.2021",950.55,0.00584525498930002
"71","31.03.2021",941.51,-0.00955579504792338
"72","30.03.2021",939.05,-0.00261624346276583
"73","29.03.2021",939.81,0.000809001246980277
"74","26.03.2021",932.89,-0.00739043252697764
"75","25.03.2021",917.51,-0.0166238155950579
"76","24.03.2021",926.4,0.00964262776683969
"77","23.03.2021",923.89,-0.00271308988282448
"78","22.03.2021",935.41,0.0123919189123765
"79","19.03.2021",933.07,-0.00250471102002412
"80","18.03.2021",940.03,0.00743156482013862
"81","17.03.2021",941.18,0.00122261751027379
"82","16.03.2021",942.1,0.000977018895951273
"83","15.03.2021",945.75,0.00386683745851662
"84","12.03.2021",944.72,-0.00108967622011242
"85","11.03.2021",945.37,0.00068779796266259
"86","10.03.2021",944.66,-0.000751310861095009
"87","09.03.2021",936.4,-0.00878233877783796
"88","08.03.2021",933.34,-0.00327318528993727
"89","05.03.2021",923.5,-0.0105987506875238
"90","04.03.2021",909.77,-0.014978979327116
"91","03.03.2021",912.14,0.00260166675281674
"92","02.03.2021",915.37,0.00353486805907002
"93","01.03.2021",913.14,-0.00243914564930196
"94","26.02.2021",894.94,-0.0201325325532744
"95","25.02.2021",912.84,0.0198039418757212
"96","24.02.2021",901.49,-0.0125116688387672
"97","23.02.2021",894.73,-0.00752695317459267
"98","22.02.2021",887.67,-0.00792194448172877
"99","19.02.2021",877.08,-0.0120018440218207
"100","18.02.2021",866.95,-0.0116169032896188
"101","17.02.2021",880,0.0149406024815702
"102","16.02.2021",881.82,0.00206604607439596
"103","15.02.2021",878.09,-0.00423885947012044
"104","12.02.2021",872.65,-0.00621453500568217
"105","11.02.2021",877.69,0.00575889704771467
"106","10.02.2021",874.7,-0.00341248569275096
"107","09.02.2021",875.28,0.000662864742725249
"108","08.02.2021",884.65,0.0106482513904773
"109","05.02.2021",882.23,-0.00273929357200467
"110","04.02.2021",884.03,0.002038205726385
"111","03.02.2021",882.4,-0.00184553077409924
"112","02.02.2021",876.96,-0.00618408664148642
"113","01.02.2021",865.37,-0.0133042201582846
"114","29.01.2021",863.06,-0.0026729475597447
"115","28.01.2021",863.68,0.000718116249862852
"116","27.01.2021",860.97,-0.0031426692145225
"117","26.01.2021",871.99,0.0127182953381974
"118","25.01.2021",877.01,0.00574043886241208
"119","22.01.2021",885.08,0.00915964158700353
"120","21.01.2021",891.72,0.007474145554648
"121","20.01.2021",892.43,0.000795897247965942
"122","19.01.2021",894.41,0.00221620381277251
"123","18.01.2021",885.32,-0.0102151214442723
"124","15.01.2021",881.33,-0.00451703142578965
"125","14.01.2021",890.47,0.0103172830753782
"126","13.01.2021",880.39,-0.0113844221090555
"127","12.01.2021",889.2,0.009957190975664
"128","11.01.2021",880.51,-0.0098208970348545
"129","08.01.2021",890.21,0.0109561048941621
"130","07.01.2021",881.17,-0.0102068200854813
"131","06.01.2021",867.05,-0.0161539246193097
"132","05.01.2021",852.07,-0.0174279621657465
"133","04.01.2021",851.86,-0.000246489000209297
"134","30.12.2020",858.86,0.00818373441338932
"135","29.12.2020",856.19,-0.00311361436348425
"136","28.12.2020",854.04,-0.00251428302932755
"137","23.12.2020",842.09,-0.0140911342079619
"138","22.12.2020",827.83,-0.0170790775954269
"139","21.12.2020",819.26,-0.010406325505126
"140","18.12.2020",839.39,0.0242739437664773
"141","17.12.2020",832.78,-0.00790593591459377
"142","16.12.2020",832.1,-0.000816875736164603
"143","15.12.2020",829.25,-0.00343094807922241
"144","14.12.2020",829.63,0.000458140440112202
"145","11.12.2020",829.33,-0.000361672376995379
"146","10.12.2020",835.49,0.00740023319263264
"147","09.12.2020",835.71,0.000263283869400198
"148","08.12.2020",823.86,-0.014281050390596
"149","07.12.2020",824.18,0.000388340093713196
"150","04.12.2020",826.27,0.00253264396637838
"151","03.12.2020",817.72,-0.0104016169049999
"152","02.12.2020",819.4,0.00205238539596351
"153","01.12.2020",824.94,0.00673829130442688
"154","30.11.2020",819.7,-0.00637223675821238
"155","27.11.2020",835.65,0.0192714454759491
"156","26.11.2020",825.83,-0.0118209239339892
"157","25.11.2020",825.14,-0.000835872293469098
"158","24.11.2020",829.49,0.00525798519526238
"159","23.11.2020",809.22,-0.0247402333459169
"160","20.11.2020",801.12,-0.0100600721751866
"161","19.11.2020",797.48,-0.0045539926070085
"162","18.11.2020",806.63,0.0114083189294525
"163","17.11.2020",804.4,-0.00276841700558168
"164","16.11.2020",804.15,-0.000310838956840605
"165","13.11.2020",785.84,-0.0230326095750422
"166","12.11.2020",784.55,-0.00164290436153699
"167","11.11.2020",786.15,0.00203730891120783
"168","10.11.2020",775.03,-0.0142458756347188
"169","09.11.2020",775.61,0.000748078247753679
"170","06.11.2020",738.06,-0.0496246944205713
"171","05.11.2020",736.67,-0.0018850913884193
"172","04.11.2020",736.06,-0.000828393575039089
"173","03.11.2020",726.17,-0.0135274899520021
"174","02.11.2020",721.06,-0.00706179561762357
"175","30.10.2020",708.43,-0.0176710976082853
"176","29.10.2020",708.84,0.000578577139765007
"177","28.10.2020",699.45,-0.0133355191847046
"178","27.10.2020",721.69,0.0313013718868653
"179","26.10.2020",728.08,0.00881524845979535
"180","23.10.2020",750.33,0.0301021774896412
"181","22.10.2020",740.66,-0.0129714291678743
"182","21.10.2020",749.48,0.0118379521394445
"183","20.10.2020",755.84,0.00845008083863103
"184","19.10.2020",760.51,0.00615954728787259
"185","16.10.2020",759.24,-0.00167132791002217
"186","15.10.2020",750.61,-0.0114317236594257
"187","14.10.2020",763.03,0.0164111397038236
"188","13.10.2020",762.02,-0.00132454692982405
"189","12.10.2020",763.77,0.00229389466095343
"190","09.10.2020",763.88,0.000144012044892667
"191","08.10.2020",766.68,0.0036587956350389
"192","07.10.2020",759.68,-0.00917221242100372
"193","06.10.2020",764.27,0.00602383789445193
"194","05.10.2020",754.37,-0.0130381660491836
"195","02.10.2020",742.55,-0.0157927553495625
"196","01.10.2020",742.07,-0.000646630136634442
"197","30.09.2020",746.05,0.00534904374611097
"198","29.09.2020",740.64,-0.00727794480347014
"199","28.09.2020",742.08,0.00194237678420652
"200","25.09.2020",730.76,-0.0153719655987978
"201","24.09.2020",730.88,0.000164199119167068
"202","23.09.2020",738.05,0.00976228539546967
"203","22.09.2020",738.63,0.000785545994833969
"204","21.09.2020",728.75,-0.0134663813131375
"205","18.09.2020",756.59,0.0374907574233548
"206","17.09.2020",756.8,0.000277522649611523
"207","16.09.2020",757.28,0.000634048420269407
"208","15.09.2020",756.03,-0.00165200822605344
"209","14.09.2020",748.89,-0.0094889476833265
"210","11.09.2020",753.46,0.00608382080837117
"211","10.09.2020",750.41,-0.00405620722769473
"212","09.09.2020",754.73,0.00574034556593763
"213","08.09.2020",738.56,-0.0216577249555467
"214","07.09.2020",749.96,0.0153175273351248
"215","04.09.2020",742.95,-0.00939112407239362
"216","03.09.2020",747.94,0.00669401315107034
"217","02.09.2020",749.98,0.00272377865470088
"218","01.09.2020",756.06,0.0080741986015292
"219","31.08.2020",754.9,-0.00153544796407762
"220","28.08.2020",758.24,0.00441466807369902
"221","27.08.2020",762.77,0.00595658594491542
"222","26.08.2020",765.71,0.00384696381475206
"223","25.08.2020",769.21,0.00456050617119382
"224","24.08.2020",771.88,0.00346508337801561
"225","21.08.2020",755.92,-0.0208935470537847
"226","20.08.2020",757.68,0.00232558244347544
"227","19.08.2020",764.31,0.00871233311299078
"228","18.08.2020",762.67,-0.00214803157943829
"229","17.08.2020",768.64,0.0077972850001657
"230","14.08.2020",768.1,-0.000702786446927781
"231","13.08.2020",775.52,0.00961383909242962
"232","12.08.2020",775.36,-0.000206334468904881
"233","11.08.2020",769.53,-0.00754749875439935
"234","10.08.2020",755.47,-0.0184398667515004
"235","07.08.2020",751.95,-0.00467023974463892
"236","06.08.2020",752.87,0.00122273775551014
"237","05.08.2020",755.06,0.00290464615697885
"238","04.08.2020",748.65,-0.00852563170638329
"239","03.08.2020",742.75,-0.00791207024101085
"240","31.07.2020",728.89,-0.0188366853517197
"241","30.07.2020",723.08,-0.00800296288434366
"242","29.07.2020",744.02,0.0285480500855612
"243","28.07.2020",742.1,-0.00258391121612703
"244","27.07.2020",742.57,0.000633137351331161
"245","24.07.2020",746.19,0.00486311713692765
"246","23.07.2020",747.11,0.00123217051684006
"247","22.07.2020",751.81,0.00627120247037702
"248","21.07.2020",760.24,0.0111505404514959
"249","20.07.2020",758.6,-0.00215954364826121
"250","17.07.2020",753.96,-0.00613531305194262
"251","16.07.2020",747.08,-0.00916704175744964
"252","15.07.2020",754.78,0.0102540416126143
"253","14.07.2020",739.62,-0.0202897752665375
"254","13.07.2020",736.15,-0.00470263848006558
"255","10.07.2020",717.92,-0.0250757600837443
"256","09.07.2020",716.31,-0.00224510807369586
"257","08.07.2020",726.55,0.0141942696127276
"258","07.07.2020",725.28,-0.0017495165741657
"259","06.07.2020",726.97,0.00232742401498421
"260","03.07.2020",718.9,-0.0111629452176975
"261","02.07.2020",725.57,0.00923528686265358
"262","01.07.2020",722.12,-0.00476622278402212
"263","30.06.2020",715.09,-0.00978292117005853
"264","29.06.2020",720.38,0.00737044166377331
"265","26.06.2020",715.31,-0.00706283539736586
"266","25.06.2020",720.75,0.00757632135370533
"267","24.06.2020",722.23,0.00205131120177908
"268","23.06.2020",732.27,0.0138056506906922
"269","22.06.2020",725.62,-0.00912283659410892
"270","19.06.2020",733.91,0.0113599434758947
"271","18.06.2020",730.42,-0.00476669413059916
"272","17.06.2020",737.01,0.00898174945614673
"273","16.06.2020",743.39,0.00861934544599339
"274","15.06.2020",723.47,-0.0271617259526796
"275","12.06.2020",743.57,0.0274038306506933
"276","11.06.2020",737.07,-0.00878004343604955
"277","10.06.2020",760.11,0.0307802923228419
"278","09.06.2020",759.09,-0.00134281220809278
"279","08.06.2020",775,0.0207426819123238
"280","05.06.2020",767.59,-0.00960729292321356
"281","04.06.2020",750.98,-0.0218767161790696
"282","03.06.2020",750.43,-0.000732644680136593
"283","02.06.2020",735.27,-0.0204085968746826
"284","29.05.2020",717.05,-0.0250922055210234
"285","28.05.2020",727.89,0.0150043647037769
"286","27.05.2020",727.96,9.61637532079915e-05
"287","26.05.2020",726.02,-0.00266853897748863
"288","25.05.2020",715.54,-0.0145400602592708
"289","22.05.2020",701.03,-0.0204868202708735
"290","20.05.2020",715.89,0.0209758417486615
"291","19.05.2020",707.57,-0.0116899593207454
"292","18.05.2020",699.61,-0.0113135276279805
"293","15.05.2020",682.32,-0.0250242809136548
"294","14.05.2020",666.15,-0.0239838856046331
"295","13.05.2020",685.67,0.0288815920155213
"296","12.05.2020",697.68,0.0173640824969879
"297","11.05.2020",691.6,-0.00875279110959463
"298","08.05.2020",695.68,0.00588203068365436
"299","07.05.2020",684.67,-0.0159528141350751
"300","06.05.2020",679.59,-0.00744729520616113
"301","05.05.2020",691.62,0.0175469966894226
"302","04.05.2020",685.88,-0.00833398653032568
"303","30.04.2020",709.87,0.0343791693685677
"304","29.04.2020",707.41,-0.00347144173407603
"305","28.04.2020",693.32,-0.0201187598720326
"306","27.04.2020",679.71,-0.0198254164556371
"307","24.04.2020",675.08,-0.00683503424918883
"308","23.04.2020",686.11,0.0162067623571654
"309","22.04.2020",675.93,-0.0149484443400449
"310","21.04.2020",663.99,-0.0178224312633406
"311","20.04.2020",677.08,0.0195223451988331
"312","17.04.2020",685.02,0.0116586005953942
"313","16.04.2020",665,-0.0296609942604366
"314","15.04.2020",674.94,0.0148367573769356
"315","14.04.2020",689.26,0.0209947602896267
"316","08.04.2020",669.31,-0.0293712273443185
"317","07.04.2020",679.05,0.0144474315719794
"318","06.04.2020",668.34,-0.0158977364649238
"319","03.04.2020",656.14,-0.0184228452765816
"320","02.04.2020",657.38,0.00188805708075781
"321","01.04.2020",663.34,0.00902544136185169
"322","31.03.2020",649.19,-0.0215622473030104
"323","30.03.2020",631.16,-0.0281660357807027
"324","27.03.2020",611.7,-0.0313174299189489
"325","26.03.2020",640.85,0.0465534539273139
"326","25.03.2020",631.25,-0.0150934395862635
"327","24.03.2020",622.11,-0.0145850546117108
"328","23.03.2020",591.03,-0.0512501484387582
"329","20.03.2020",621.51,0.0502852233868066
"330","19.03.2020",624.65,0.00503949195193111
"331","18.03.2020",592.78,-0.0523681576567396
"332","17.03.2020",596.79,0.006741957495897
"333","16.03.2020",585.76,-0.0186551433450695
"334","13.03.2020",609.37,0.0395154872183182
"335","12.03.2020",586.22,-0.0387304908470119
"336","11.03.2020",640.56,0.088647648021146
"337","10.03.2020",662.58,0.0337985115227162
"338","09.03.2020",660.85,-0.00261442008327878
"339","06.03.2020",722.73,0.0895088232239771
"340","05.03.2020",756.05,0.0450718031308854
"341","04.03.2020",774.05,0.0235289594277963
"342","03.03.2020",774.88,0.00107170766844447
"343","02.03.2020",751.74,-0.0303176591694027
"344","28.02.2020",747.75,-0.00532182197545896
"345","27.02.2020",759.62,0.0157496107286372
"346","26.02.2020",799.02,0.0505676685034141
"347","25.02.2020",805.9,0.00857368858835712
"348","24.02.2020",808.1,0.00272614790893645
"349","21.02.2020",842.74,0.0419726748892089
"350","20.02.2020",848,0.00622214766329226
"351","19.02.2020",842.48,-0.00653071271956129
"352","18.02.2020",833.96,-0.0101644834944861
"353","17.02.2020",834.59,0.000755146720131682
"354","14.02.2020",835.17,0.000694710645034946
"355","13.02.2020",832.07,-0.00371872504554713
"356","12.02.2020",837.3,0.00626585731291106
"357","11.02.2020",831.97,-0.00638604673157936
"358","10.02.2020",819.72,-0.0148335639470484
"359","07.02.2020",826.61,0.00837018122251502
"360","06.02.2020",842.61,0.0191712177477522
"361","05.02.2020",836.15,-0.00769619467489371
"362","04.02.2020",823.72,-0.0149773564899845
"363","03.02.2020",821.87,-0.0022484346397136
"364","31.01.2020",822.33,0.000559542649314796
"365","30.01.2020",826.41,0.00494924406310551
"366","29.01.2020",834.44,0.00966982276623158
"367","28.01.2020",835.95,0.00180796150756941
"368","27.01.2020",830.67,-0.00633619861138104
"369","24.01.2020",846.91,0.0193618275550804
"370","23.01.2020",838.69,-0.0097532809225693
"371","22.01.2020",851.72,0.0154166836134127
"372","21.01.2020",850.89,-0.000974973794055069
"373","20.01.2020",856.04,0.00603424349779745
"374","17.01.2020",856.87,0.000969111120794171
"375","16.01.2020",846.6,-0.012057887055911
"376","15.01.2020",846.77,0.000200783054584692
"377","14.01.2020",848.9,0.00251228260251402
"378","13.01.2020",850.79,0.00222393586945585
"379","10.01.2020",850.69,-0.000117544725903399
"380","09.01.2020",849.55,-0.00134098735570688
"381","08.01.2020",850.52,0.00114112960673313
"382","07.01.2020",849.34,-0.00138834985179836
"383","06.01.2020",853.29,0.00463988897938474
"384","03.01.2020",853.47,0.000210925965768294
"385","02.01.2020",851.57,-0.00222868763952671
"386","30.12.2019",843.35,-0.00969964888830518
"387","27.12.2019",846.7,0.00396438494420794
"388","23.12.2019",849.41,0.00319555017788442
"389","20.12.2019",842.94,-0.00764620973450095
"390","19.12.2019",838.16,-0.00568676804690567
"391","18.12.2019",832.36,-0.00694397350013056
"392","17.12.2019",830.33,-0.00244182741059335
"393","16.12.2019",834.07,0.00449411955631335
"394","13.12.2019",829.67,-0.00528930032110525
"395","12.12.2019",824.21,-0.00660267956064796
"396","11.12.2019",818.93,-0.00642674169372228
"397","10.12.2019",822.81,0.00472670121190338
"398","09.12.2019",827.75,0.00598586510062898
"399","06.12.2019",825.72,-0.00245544342496683
"400","05.12.2019",817.51,-0.00999259788989359
"401","04.12.2019",819.34,0.00223600300877368
"402","03.12.2019",805.62,-0.0168869708085973
"403","02.12.2019",811.18,0.00687781038796449
"404","29.11.2019",823.58,0.0151707135253146
"405","28.11.2019",830.39,0.00823477872395316
"406","27.11.2019",834.74,0.0052248291674824
"407","26.11.2019",833.57,-0.00140261724957012
"408","25.11.2019",836.93,0.00402275310519067
"409","22.11.2019",832.12,-0.00576377378282512
"410","21.11.2019",822.61,-0.0114944488910408
"411","20.11.2019",822.98,0.000449686746072827
"412","19.11.2019",826.58,0.00436480724006506
"413","18.11.2019",826.24,-0.00041141806705615
"414","15.11.2019",826.73,0.000592872241302515
"415","14.11.2019",832.33,0.00675083633835195
"416","13.11.2019",835.23,0.0034781392256355
"417","12.11.2019",841.95,0.00801349403280514
