"","ts","pr","rt"
"1","15.07.2021",86.24,0
"2","14.07.2021",88.28,0.0233794742278487
"3","13.07.2021",87.07,-0.0138011885480116
"4","12.07.2021",87.08,0.000114843525822593
"5","09.07.2021",87.76,0.00777857960062829
"6","08.07.2021",85.59,-0.0250373620734565
"7","07.07.2021",86.09,0.005824806776345
"8","06.07.2021",83.08,-0.0355892616619517
"9","02.07.2021",81.82,-0.0152822865066591
"10","01.07.2021",79.54,-0.0282616727217078
"11","30.06.2021",77.84,-0.021604601901795
"12","29.06.2021",78.1,0.00333461896789051
"13","28.06.2021",78.5,0.00510856794272258
"14","25.06.2021",78.46,-0.000509684006956287
"15","24.06.2021",77.74,-0.00921901535732936
"16","23.06.2021",78.1,0.00462013142156319
"17","22.06.2021",78.68,0.00739893667521827
"18","21.06.2021",77.99,-0.0088083801784518
"19","18.06.2021",76.23,-0.0228255273422241
"20","17.06.2021",77.56,0.0172967443742686
"21","16.06.2021",77.08,-0.00620798682828544
"22","15.06.2021",81.64,0.0574754943954783
"23","14.06.2021",82.62,0.0119324440269746
"24","11.06.2021",82.9,0.00338328017263078
"25","10.06.2021",82.3,-0.00726395445822528
"26","09.06.2021",84.52,0.0266170850648317
"27","08.06.2021",84.61,0.00106427018855351
"28","07.06.2021",83.94,-0.00795020503096476
"29","04.06.2021",82.89,-0.0125878303020099
"30","03.06.2021",81.09,-0.0219547786469689
"31","02.06.2021",80.27,-0.0101636968129805
"32","01.06.2021",79.57,-0.00875881475404202
"33","28.05.2021",78.74,-0.010485851873852
"34","27.05.2021",78.98,0.00304337034291201
"35","26.05.2021",79.26,0.00353893190378568
"36","25.05.2021",78.83,-0.0054399526904722
"37","24.05.2021",79.38,0.00695281228310232
"38","21.05.2021",79.03,-0.00441892013803533
"39","20.05.2021",78.72,-0.00393027447288598
"40","19.05.2021",78.74,0.000254032771593468
"41","18.05.2021",78.69,-0.000635202968699414
"42","17.05.2021",79.08,0.00494391575552415
"43","14.05.2021",78.89,-0.0024055211954179
"44","13.05.2021",78.14,-0.00955238748007375
"45","12.05.2021",76.75,-0.017948703159618
"46","11.05.2021",77.69,0.0121731624950227
"47","10.05.2021",80.15,0.0311733300932327
"48","07.05.2021",80.4,0.00311429712935878
"49","06.05.2021",79.74,-0.00824283423171189
"50","05.05.2021",79.19,-0.00692131373088778
"51","04.05.2021",78.53,-0.00836931083553777
"52","03.05.2021",77.33,-0.0153987387658392
"53","30.04.2021",75.79,-0.0201156207970062
"54","29.04.2021",75.87,0.00105499152604576
"55","28.04.2021",74.77,-0.0146046143381594
"56","27.04.2021",75.22,0.00600041803036623
"57","26.04.2021",74.5,-0.0096180276566765
"58","23.04.2021",74.97,0.00628890812945678
"59","22.04.2021",74.87,-0.00133475727237679
"60","21.04.2021",76.66,0.023626783709815
"61","20.04.2021",79.24,0.0331011618779411
"62","19.04.2021",78.75,-0.00620294412460767
"63","16.04.2021",78.95,0.00253646299590873
"64","15.04.2021",78.29,-0.00839485978182822
"65","14.04.2021",76.82,-0.0189548580020642
"66","13.04.2021",76.67,-0.00195452534695559
"67","12.04.2021",76.12,-0.00719945514285423
"68","09.04.2021",75.58,-0.00711934450660588
"69","08.04.2021",75.28,-0.0039772026442187
"70","07.04.2021",74.07,-0.0162039032519265
"71","06.04.2021",74.28,0.00283114445930729
"72","05.04.2021",74.16,-0.00161681522690539
"73","01.04.2021",71.81,-0.0322011791353735
"74","31.03.2021",70.17,-0.0231028728580288
"75","30.03.2021",70.55,0.00540080903462553
"76","29.03.2021",71.13,0.0081875104466008
"77","26.03.2021",70.25,-0.0124488805315686
"78","25.03.2021",68.63,-0.0233305512933119
"79","24.03.2021",66.83,-0.0265776753975645
"80","23.03.2021",67.27,0.00656229051453558
"81","22.03.2021",66.32,-0.014222861210475
"82","19.03.2021",66.26,-0.000905113955289496
"83","18.03.2021",66.74,0.00721807645147789
"84","17.03.2021",66.22,-0.00782194120412769
"85","16.03.2021",66.85,0.00946877142885197
"86","15.03.2021",67.73,0.0130779096788601
"87","12.03.2021",67.16,-0.00845138101747229
"88","11.03.2021",67.41,0.00371554265600738
"89","10.03.2021",72.12,0.067538023469769
"90","09.03.2021",72.64,0.00718433595792133
"91","08.03.2021",72.16,-0.00662985853866969
"92","05.03.2021",69.97,-0.0308192969965628
"93","04.03.2021",65.61,-0.0643384554010192
"94","03.03.2021",66.91,0.0196203094379394
"95","02.03.2021",66.66,-0.00374335991513198
"96","01.03.2021",66.17,-0.00737788485562542
"97","26.02.2021",64.51,-0.0254069374798177
"98","25.02.2021",65.3,0.012171785738235
"99","24.02.2021",64.7,-0.00923083477553043
"100","23.02.2021",64.5,-0.00309597770512812
"101","22.02.2021",64.45,-0.00077549441653039
"102","19.02.2021",61.13,-0.0528869853445623
"103","18.02.2021",62.07,0.0152600363849274
"104","17.02.2021",62.09,0.000322164951240165
"105","16.02.2021",62.14,0.000804958588099825
"106","12.02.2021",63.08,0.0150138581299362
"107","11.02.2021",62.7,-0.00604231445596259
"108","10.02.2021",63.27,0.00904983551991786
"109","09.02.2021",63.67,0.00630221087014097
"110","08.02.2021",63.11,-0.00883425843278581
"111","05.02.2021",63.6,0.00773423474992838
"112","04.02.2021",63.35,-0.00393856357892837
"113","03.02.2021",62.17,-0.0188023384859018
"114","02.02.2021",62.37,0.00321182225678491
"115","01.02.2021",61.51,-0.0138846273177543
"116","29.01.2021",60.43,-0.0177140928468098
"117","28.01.2021",61.22,0.0129882631437992
"118","27.01.2021",62.55,0.0214923033956536
"119","26.01.2021",61.8,-0.0120628724492751
"120","25.01.2021",60.9,-0.0146701897477937
"121","22.01.2021",60.36,-0.00890654081620323
"122","21.01.2021",61.21,0.0139839409633304
"123","20.01.2021",61.56,0.00570173410770001
"124","19.01.2021",61.29,-0.00439561147303811
"125","15.01.2021",61.78,0.0079629899927953
"126","14.01.2021",61.6,-0.00291781695096159
"127","13.01.2021",62.06,0.00743978848075998
"128","12.01.2021",62.42,0.00578407782239932
"129","11.01.2021",63.03,0.00972506668238527
"130","08.01.2021",63.38,0.00553755073775591
"131","07.01.2021",63.07,-0.0049031335872149
"132","06.01.2021",62.57,-0.00795929066528768
"133","05.01.2021",62.96,0.0062136740988756
"134","04.01.2021",63.75,0.0124695799293878
"135","31.12.2020",64.69,0.0146374460173585
"136","30.12.2020",64.4,-0.00449299694558604
"137","29.12.2020",64.46,0.000931243276983713
"138","28.12.2020",64.87,0.00634039083767233
"139","24.12.2020",64.96,0.00138642862845825
"140","23.12.2020",65.3,0.00522034042896298
"141","22.12.2020",65.15,-0.0022997327115311
"142","21.12.2020",64.48,-0.0103372053724813
"143","18.12.2020",65.06,0.00895482284683248
"144","17.12.2020",63.61,-0.0225392303544926
"145","16.12.2020",62.78,-0.0131341392769054
"146","15.12.2020",61.86,-0.014762784156884
"147","14.12.2020",60.76,-0.0179420895293515
"148","11.12.2020",60.61,-0.00247178176437841
"149","10.12.2020",59.48,-0.0188197743712394
"150","09.12.2020",59.73,0.00419428515226029
"151","08.12.2020",59.03,-0.0117886174916165
"152","07.12.2020",59.8,0.012959871703988
"153","04.12.2020",59.96,0.00267201227781099
"154","03.12.2020",59.27,-0.0115743974346501
"155","02.12.2020",59.08,-0.00321081813656786
"156","01.12.2020",58.74,-0.00577153189270501
"157","30.11.2020",57.72,-0.0175171918648039
"158","27.11.2020",57.76,0.000692760678900575
"159","25.11.2020",57.41,-0.00607799040502542
"160","24.11.2020",57.57,0.00278309450817279
"161","23.11.2020",56.08,-0.0262223559613836
"162","20.11.2020",55.7,-0.00679909579309625
"163","19.11.2020",56.45,0.0133751436624327
"164","18.11.2020",56.25,-0.00354924951114157
"165","17.11.2020",57.12,0.0153482769467993
"166","16.11.2020",57.15,0.000525072209490714
"167","13.11.2020",56.91,-0.00420831762578713
"168","12.11.2020",56.45,-0.00811578201936144
