"","ts","pr","rt"
"1","01.11.2000",0.884,0
"2","02.11.2000",0.8688,-0.0173441134579724
"3","03.11.2000",0.8695,0.000805384614666721
"4","06.11.2000",0.8825,0.0148404550131141
"5","07.11.2000",0.891,0.00958563866335745
"6","08.11.2000",0.8742,-0.0190352450415952
"7","09.11.2000",0.8766,0.00274160555549472
"8","10.11.2000",0.872,-0.00526136407572925
"9","13.11.2000",0.885,0.0147982210989499
"10","14.11.2000",0.8923,0.00821475389817629
"11","15.11.2000",0.923,0.0338268355967466
"12","16.11.2000",0.923,0
"13","17.11.2000",0.917,-0.00652176224638735
"14","20.11.2000",0.9197,0.00294005765218708
"15","21.11.2000",0.916,-0.00403116523452154
"16","22.11.2000",0.9201,0.00446599511418535
"17","23.11.2000",NA,NA
"18","24.11.2000",NA,NA
"19","27.11.2000",0.906,NA
"20","28.11.2000",0.8795,-0.0296857418653666
"21","29.11.2000",0.91,0.0340910353332829
"22","30.11.2000",0.88,-0.0335226920386436
"23","01.12.2000",0.822,-0.0681815124160722
"24","04.12.2000",0.8025,-0.0240085400520089
"25","05.12.2000",0.7625,-0.0511293465226042
"26","06.12.2000",0.783,0.0265301875092366
"27","07.12.2000",0.7667,-0.0210371054259544
"28","08.12.2000",0.738,-0.0381517659643763
"29","11.12.2000",0.7645,0.0352782007686446
"30","12.12.2000",0.764,-0.000654236202596375
"31","13.12.2000",0.7545,-0.012512510958617
"32","14.12.2000",0.745,-0.012671059828344
"33","15.12.2000",0.759,0.0186175590160705
"34","18.12.2000",0.776,0.0221507427875888
"35","19.12.2000",0.77,-0.00776200533548919
"36","20.12.2000",0.73,-0.0533459807052927
"37","21.12.2000",0.741,0.0149560911536502
"38","22.12.2000",0.7409,-0.000134961873475693
"39","25.12.2000",NA,NA
"40","26.12.2000",0.76,NA
"41","27.12.2000",0.753,-0.00925320548048316
"42","28.12.2000",0.75,-0.00399202126953745
"43","29.12.2000",0.7858,0.0466291005940033
"44","01.01.2001",NA,NA
"45","02.01.2001",0.795,NA
"46","03.01.2001",0.81,0.0186921330121525
"47","04.01.2001",0.8186,0.010561316391818
"48","05.01.2001",0.8205,0.00231834647184296
