"","ts","pr","rt"
"1","15.07.2021",118.09,0
"2","14.07.2021",116.47,-0.0138133164986297
"3","13.07.2021",116.12,-0.0030095899581313
"4","12.07.2021",115.78,-0.00293230050557062
"5","09.07.2021",116.68,0.00774330634866213
"6","08.07.2021",114.89,-0.0154599961342473
"7","07.07.2021",118.8,0.033466258063271
"8","06.07.2021",116.74,-0.0174921671528996
"9","02.07.2021",116.94,0.00171174297187955
"10","01.07.2021",114.53,-0.0208241853378995
"11","30.06.2021",114.1,-0.003761540541595
"12","29.06.2021",114.02,-0.00070138526459416
"13","28.06.2021",113,-0.0089860528910952
"14","25.06.2021",112.4,-0.00532388125274985
"15","24.06.2021",111.97,-0.00383295918748517
"16","23.06.2021",110.18,-0.0161155862275351
"17","22.06.2021",110.9,0.00651350231175079
"18","21.06.2021",110.23,-0.00605980238109725
"19","18.06.2021",109.31,-0.00838120966947998
"20","17.06.2021",112.07,0.0249357937581924
"21","16.06.2021",119.08,0.060671860083639
"22","15.06.2021",121.02,0.0161602850465997
"23","14.06.2021",123.11,0.0171224434653482
"24","11.06.2021",122.86,-0.00203276892374223
"25","10.06.2021",125.34,0.0199845490607482
"26","09.06.2021",121.63,-0.0300463951661845
"27","08.06.2021",121.42,-0.00172803992805699
"28","07.06.2021",121.95,0.00435551495964132
"29","04.06.2021",122.12,0.00139304320474779
"30","03.06.2021",120.31,-0.014932422821244
"31","02.06.2021",123.95,0.0298065134357663
"32","01.06.2021",123.96,8.0674438347868e-05
"33","28.05.2021",123.77,-0.00153392836761647
"34","27.05.2021",124.18,0.00330712138481578
"35","26.05.2021",124.84,0.005300791465832
"36","25.05.2021",125.27,0.00343849045352185
"37","24.05.2021",125.43,0.00127642618048287
"38","21.05.2021",125.33,-0.000797575413152478
"39","20.05.2021",126.03,0.00556971522596956
"40","19.05.2021",124.68,-0.010769518950264
"41","18.05.2021",127.25,0.0204032005314957
"42","17.05.2021",128.08,0.00650141325782711
"43","14.05.2021",123.16,-0.0391707456321598
"44","13.05.2021",121.97,-0.0097092102011527
"45","12.05.2021",119.84,-0.0176175930862375
"46","11.05.2021",120.16,0.0026666682469153
"47","10.05.2021",118.96,-0.010036885863925
"48","07.05.2021",119.95,0.00828768713380401
"49","06.05.2021",119.57,-0.00317301535421501
"50","05.05.2021",115.34,-0.036017685744222
"51","04.05.2021",115.4,0.000520065886732616
"52","03.05.2021",116.09,0.00596139827594511
"53","30.04.2021",111.86,-0.0371176629565025
"54","29.04.2021",113.99,0.0188626358552453
"55","28.04.2021",115.84,0.016099203388719
"56","27.04.2021",114.83,-0.00875715484930834
"57","26.04.2021",117.01,0.0188066274427687
"58","23.04.2021",118.14,0.00961096064822259
"59","22.04.2021",118.12,-0.000169305003367218
"60","21.04.2021",118.8,0.00574035005282259
"61","20.04.2021",118.2,-0.00506330195654665
"62","19.04.2021",117.18,-0.00866689085535518
"63","16.04.2021",117.63,0.00383289085570736
"64","15.04.2021",116.26,-0.0117150426991453
"65","14.04.2021",112.59,-0.0320761604581654
"66","13.04.2021",112.18,-0.00364817773484829
"67","12.04.2021",110.81,-0.0122877011319568
"68","09.04.2021",110.61,-0.0018065220340713
"69","08.04.2021",110.96,0.00315927509241333
"70","07.04.2021",110.49,-0.0042447568814925
"71","06.04.2021",111.97,0.013305959147022
"72","05.04.2021",110.71,-0.0113168084007302
"73","01.04.2021",111.45,0.0066618899605026
"74","31.03.2021",107.62,-0.0349695557706043
"75","30.03.2021",105.6,-0.0189481327891126
"76","29.03.2021",107.79,0.020526518521376
"77","26.03.2021",105.94,-0.0173119936771565
"78","25.03.2021",103.36,-0.0246548560820889
"79","24.03.2021",103.68,0.00309119256967288
"80","23.03.2021",104.71,0.00988539169540605
"81","22.03.2021",106.8,0.0197633022267239
"82","19.03.2021",105.81,-0.00931289361002406
"83","18.03.2021",105.76,-0.000472656812694153
"84","17.03.2021",109.36,0.0334728163123179
"85","16.03.2021",106.05,-0.0307345114050027
"86","15.03.2021",108.08,0.0189610126412519
"87","12.03.2021",109.53,0.0133267906837119
"88","11.03.2021",109.14,-0.00356702257756935
"89","10.03.2021",107.43,-0.0157919890796348
"90","09.03.2021",106.21,-0.0114212063450029
"91","08.03.2021",104,-0.0210273671920755
"92","05.03.2021",104.74,0.00709018970996898
"93","04.03.2021",103.79,-0.00911146187414386
"94","03.03.2021",103.59,-0.001928826907187
"95","02.03.2021",106.3,0.0258244852778916
"96","01.03.2021",103.7,-0.0247631701124206
"97","26.02.2021",103.71,9.6427366161172e-05
"98","25.02.2021",106.06,0.0224064291073411
"99","24.02.2021",107.59,0.0143227348968338
"100","23.02.2021",106.91,-0.00634034758040935
"101","22.02.2021",110.32,0.0313978744596378
"102","19.02.2021",107.82,-0.0229220634615237
"103","18.02.2021",108.22,0.0037030221910665
"104","17.02.2021",107.23,-0.0091901319825349
"105","16.02.2021",108.53,0.0120505722258693
"106","12.02.2021",111.03,0.0227738026082507
"107","11.02.2021",110.49,-0.00487541594109077
"108","10.02.2021",110.25,-0.00217450479812825
"109","09.02.2021",109.07,-0.0107606363863039
"110","08.02.2021",109.36,0.00265531447504274
"111","05.02.2021",105.69,-0.0341349113944381
"112","04.02.2021",104.13,-0.0148701624794514
"113","03.02.2021",105.72,0.0151539711942839
"114","02.02.2021",105.74,0.00018916107121571
"115","01.02.2021",107.53,0.0167866275951308
"116","29.01.2021",106.88,-0.00606316861409935
"117","28.01.2021",104.3,-0.0244353477816088
"118","27.01.2021",102.15,-0.0208290407430956
"119","26.01.2021",104.22,0.0200617282174375
"120","25.01.2021",104.74,0.00497703937027307
"121","22.01.2021",104.94,0.00190766940722406
"122","21.01.2021",105.49,0.00522740343515173
"123","20.01.2021",107.91,0.0226813846819248
"124","19.01.2021",105.86,-0.0191800799458008
"125","15.01.2021",104.15,-0.0162852987228605
"126","14.01.2021",105.4,0.011930468400281
"127","13.01.2021",105.58,0.00170632328820822
"128","12.01.2021",107.57,0.0186728390484438
"129","11.01.2021",106.08,-0.0139482720063616
"130","08.01.2021",105.6,-0.00453515516539126
"131","07.01.2021",109.42,0.0355353173635187
"132","06.01.2021",111.05,0.0147868617047566
"133","05.01.2021",110.64,-0.00369886298393362
"134","04.01.2021",110.28,-0.00325910120090672
"135","31.12.2020",106.36,-0.0361930197807769
"136","30.12.2020",108.2,0.017151800037562
"137","29.12.2020",107.55,-0.00602551069864211
"138","28.12.2020",106.8,-0.00699792918764455
"139","24.12.2020",108.65,0.0171737801763443
"140","23.12.2020",108.75,0.000919963266354797
"141","22.12.2020",109.14,0.00357979178929245
"142","21.12.2020",110.41,0.0115692476929598
"143","18.12.2020",111.84,0.0128685690344547
"144","17.12.2020",115.36,0.0309883950511387
"145","16.12.2020",110.43,-0.0436758374775994
"146","15.12.2020",108.9,-0.0139518061201247
"147","14.12.2020",107.11,-0.0165736861623766
"148","11.12.2020",109.26,0.0198740191910334
"149","10.12.2020",110.44,0.010742024094382
"150","09.12.2020",111.07,0.00568824611707496
"151","08.12.2020",112.68,0.0143913098291433
"152","07.12.2020",112.67,-8.87508320973285e-05
"153","04.12.2020",110.27,-0.0215312884054874
"154","03.12.2020",110.76,0.00443379453217395
"155","02.12.2020",111.95,0.0106866447420027
"156","01.12.2020",112.5,0.00490087859971103
"157","30.11.2020",110.47,-0.0182092307602911
"158","27.11.2020",109.97,-0.00453638956134061
"159","25.11.2020",109.5,-0.00428305206628759
"160","24.11.2020",107.5,-0.018433701688838
"161","23.11.2020",109.6,0.0193465269461976
"162","20.11.2020",109.97,0.00337022680892793
"163","19.11.2020",109.83,-0.00127388552258859
"164","18.11.2020",111.98,0.0193865681204928
"165","17.11.2020",115.84,0.0338896447166591
"166","16.11.2020",118.5,0.0227030319377796
"167","13.11.2020",118.69,0.00160209149322786
"168","12.11.2020",116.99,-0.0144265910089037
"169","11.11.2020",116.75,-0.00205356451050337
"170","10.11.2020",117.36,0.00521123728571949
"171","09.11.2020",120.4,0.0255733990399945
"172","06.11.2020",126.17,0.0468106710649293
"173","05.11.2020",122.93,-0.0260151162604002
"174","04.11.2020",121.87,-0.00866018484383869
"175","03.11.2020",121.69,-0.00147807548670236
"176","02.11.2020",121.46,-0.00189183687927942
"177","30.10.2020",118.81,-0.0220594119992332
"178","29.10.2020",118.36,-0.00379475093818721
"179","28.10.2020",116.62,-0.0148100417379989
"180","27.10.2020",121.33,0.0395933202697716
"181","26.10.2020",120.19,-0.0094402820990842
"182","23.10.2020",121.99,0.0148652501959487
"183","22.10.2020",121.78,-0.00172293598021812
"184","21.10.2020",121.6,-0.00147916864836144
"185","20.10.2020",121.2,-0.00329489589685254
"186","19.10.2020",119.6,-0.0132892321186828
"187","16.10.2020",122.47,0.0237132605166646
"188","15.10.2020",123.84,0.0111243078082211
"189","14.10.2020",124.76,0.00740148189818561
"190","13.10.2020",123.91,-0.00683639611120105
"191","12.10.2020",123.3,-0.00493508545810293
"192","09.10.2020",121.49,-0.0147884553036479
"193","08.10.2020",118.77,-0.0226431050805018
"194","07.10.2020",117.46,-0.0110909996917755
"195","06.10.2020",117.3,-0.0013630944349436
"196","05.10.2020",120.4,0.0260847772152909
"197","02.10.2020",119.4,-0.00834033191621895
"198","01.10.2020",120.42,0.00850643107779996
"199","30.09.2020",120.17,-0.00207822511309338
"200","29.09.2020",119.98,-0.00158234469826134
"201","28.09.2020",119.2,-0.00652230759369765
"202","25.09.2020",118.08,-0.00944039377908707
"203","24.09.2020",119.53,0.0122050250377272
"204","23.09.2020",115.91,-0.0307533579892359
"205","22.09.2020",123.21,0.0610761887359232
"206","21.09.2020",122.64,-0.00463698207301817
"207","18.09.2020",123.47,0.00674497701609348
"208","17.09.2020",128.09,0.0367349302633924
"209","16.09.2020",130.61,0.0194826417463852
"210","15.09.2020",130.23,-0.00291366560981811
"211","14.09.2020",130.95,0.00551345297410891
"212","11.09.2020",130.45,-0.00382555937098341
"213","10.09.2020",130.76,0.00237357027327254
"214","09.09.2020",132.74,0.0150287458617692
"215","08.09.2020",128.57,-0.0319188246216215
"216","04.09.2020",130.56,0.0153593881196394
"217","03.09.2020",133.98,0.0258576438643246
"218","02.09.2020",134,0.000149264870789951
"219","01.09.2020",133.17,-0.00621329243685789
"220","31.08.2020",136.32,0.0233785555669521
"221","28.08.2020",135.44,-0.00647632525612573
"222","27.08.2020",134.92,-0.00384672763143044
"223","26.08.2020",136.79,0.0137648929079034
"224","25.08.2020",135.27,-0.0111741220002504
"225","24.08.2020",136.19,0.00677818847976347
"226","21.08.2020",137.81,0.0118249553061875
"227","20.08.2020",139.34,0.0110410647149194
"228","19.08.2020",137.43,-0.0138022930352124
"229","18.08.2020",139.84,0.0173842153404649
"230","17.08.2020",137.45,-0.0172386972959707
"231","14.08.2020",131.35,-0.0453946984797058
"232","13.08.2020",132.92,0.0118819273548446
"233","12.08.2020",129.77,-0.0239837907372542
"234","11.08.2020",130.18,0.003154455395102
"235","10.08.2020",137.52,0.0548512529303526
"236","07.08.2020",139.19,0.0120705451647153
"237","06.08.2020",142.8,0.025605143666175
"238","05.08.2020",145.33,0.017561968732595
"239","04.08.2020",143.49,-0.0127416722777639
"240","03.08.2020",140.41,-0.0216986322337645
"241","31.07.2020",139.93,-0.00342441655892883
"242","30.07.2020",136.54,-0.0245246855774878
"243","29.07.2020",139.95,0.0246676039713282
"244","28.07.2020",140.19,0.00171342941898198
"245","27.07.2020",140.71,0.00370238941971998
"246","24.07.2020",136.25,-0.032209601256811
"247","23.07.2020",134.2,-0.0151602090057721
"248","22.07.2020",134.66,0.00342185857955348
"249","21.07.2020",132.48,-0.0163213924801853
"250","20.07.2020",132.83,0.00263842450746261
"251","17.07.2020",129.94,-0.0219973096920271
"252","16.07.2020",124.94,-0.0392391833869611
"253","15.07.2020",126.95,0.0159596860852636
"254","14.07.2020",125.9,-0.00830536710038592
"255","13.07.2020",121.14,-0.0385410394975004
"256","10.07.2020",127.63,0.0521885514417983
"257","09.07.2020",126.3,-0.0104754236381539
"258","08.07.2020",126.75,0.00355661311484724
"259","07.07.2020",124.87,-0.0149434463442388
"260","06.07.2020",122.54,-0.0188356888295453
"261","02.07.2020",121.05,-0.0122338239134411
"262","01.07.2020",123.41,0.0193084620810247
"263","30.06.2020",124.32,0.00734674115424502
"264","29.06.2020",120.33,-0.032620918169266
"265","26.06.2020",117.5,-0.0237996348658576
"266","25.06.2020",119.13,0.0137770002270561
"267","24.06.2020",118.37,-0.00640002184546751
"268","23.06.2020",119.58,0.0101702914869562
"269","22.06.2020",118.25,-0.0111845760807159
"270","19.06.2020",115.01,-0.0277819462675523
"271","18.06.2020",112.34,-0.0234890940002033
"272","17.06.2020",115.57,0.0283464198830632
"273","16.06.2020",117.24,0.0143467088553416
"274","15.06.2020",121.01,0.0316500709672695
"275","12.06.2020",120.35,-0.00546902258088031
"276","11.06.2020",122.19,0.01517304609935
"277","10.06.2020",128.31,0.0488720005784961
"278","09.06.2020",122.25,-0.0483810825519455
"279","08.06.2020",122.23,-0.000163612565809953
"280","05.06.2020",122.52,0.00236976617540313
"281","04.06.2020",126.19,0.0295144257002449
"282","03.06.2020",125.86,-0.00261852956603174
"283","02.06.2020",130.47,0.0359731371788691
"284","01.06.2020",135.11,0.034945946194211
"285","29.05.2020",133.2,-0.0142375033655792
"286","28.05.2020",131.66,-0.0116289160665581
"287","27.05.2020",132.61,0.00718964764977703
"288","26.05.2020",132.46,-0.00113177663267427
"289","22.05.2020",136.96,0.0334081993365985
"290","21.05.2020",136.73,-0.00168073407244179
"291","20.05.2020",135.99,-0.00542682470012253
"292","19.05.2020",137.08,0.00798334338554043
"293","18.05.2020",134.28,-0.020637524894574
"294","15.05.2020",134,-0.00208737216092282
"295","14.05.2020",129.18,-0.0366330193465847
"296","13.05.2020",128.19,-0.00769324228028342
"297","12.05.2020",128.81,0.00482491208395321
"298","11.05.2020",132.84,0.0308069461005493
"299","08.05.2020",136.43,0.0266662660662371
"300","07.05.2020",135.97,-0.0033773894071882
"301","06.05.2020",126.62,-0.0712437980516142
"302","05.05.2020",128.44,0.0142713941053328
"303","04.05.2020",125.21,-0.0254695415404569
"304","01.05.2020",125.86,0.0051778504179312
"305","30.04.2020",122.53,-0.0268142801374323
"306","29.04.2020",130.4,0.0622507515311974
"307","28.04.2020",125.93,-0.0348804524747975
"308","27.04.2020",126.34,0.00325048845279922
"309","24.04.2020",125.43,-0.00722885143397099
"310","23.04.2020",122.97,-0.0198074108522275
"311","22.04.2020",116.66,-0.0526767018588644
"312","21.04.2020",109.21,-0.0659910871158545
"313","20.04.2020",111.6,0.0216484157375735
"314","17.04.2020",107.81,-0.0345506313961839
"315","16.04.2020",111.73,0.0357148280082199
"316","15.04.2020",104.81,-0.0639360593771606
"317","14.04.2020",105.21,0.00380916563811027
"318","13.04.2020",105.02,-0.00180754461048318
"319","09.04.2020",105.04,0.000190421784827566
"320","08.04.2020",94.89,-0.101622904008874
"321","07.04.2020",93.91,-0.010381449169145
"322","06.04.2020",94.8,0.00943253244445382
"323","03.04.2020",93.5,-0.0138079729663348
"324","02.04.2020",92.78,-0.00773033697104369
"325","01.04.2020",91.33,-0.01575177862001
"326","31.03.2020",87.71,-0.0404434027402974
"327","30.03.2020",91.68,0.0442683350031393
"328","27.03.2020",90.56,-0.0122916385115566
"329","26.03.2020",92.48,0.0209797904691945
"330","25.03.2020",93.12,0.00689657905906046
"331","24.03.2020",95.35,0.0236653480633002
"332","23.03.2020",76.97,-0.214138596500202
"333","20.03.2020",71.62,-0.0720413709759393
"334","19.03.2020",74.41,0.0382159768388831
"335","18.03.2020",69.64,-0.0662512265091815
"336","17.03.2020",88.63,0.241131285850318
"337","16.03.2020",81.43,-0.0847266452712665
"338","13.03.2020",71.77,-0.12627719403706
"339","12.03.2020",80.89,0.119623645587881
"340","11.03.2020",88.02,0.0844738543530841
"341","10.03.2020",97.36,0.100851387296326
"342","09.03.2020",98.84,0.0150869324411377
"343","06.03.2020",104.64,0.0570235065884792
"344","05.03.2020",106.59,0.0184638109921568
"345","04.03.2020",104.12,-0.0234456185746808
"346","03.03.2020",103.11,-0.00974770059651242
"347","02.03.2020",100.05,-0.0301263185001098
"348","28.02.2020",96.47,-0.0364379818472802
"349","27.02.2020",101.73,0.0530901656231947
"350","26.02.2020",107.2,0.0523740038310447
"351","25.02.2020",107.34,0.00130511811198116
"352","24.02.2020",110.18,0.0261140252958876
"353","21.02.2020",109.09,-0.00994216243490515
"354","20.02.2020",107.27,-0.0168242090003276
"355","19.02.2020",105.76,-0.0141766445059616
"356","18.02.2020",104.61,-0.0109332267477067
"357","14.02.2020",102.92,-0.0162871619421261
"358","13.02.2020",104.22,0.0125520620675251
"359","12.02.2020",105.34,0.0106891645741748
"360","11.02.2020",106.64,0.01226546181521
"361","10.02.2020",106.85,0.00196730589470324
"362","07.02.2020",105.66,-0.0111995900289868
"363","06.02.2020",108.76,0.0289172280281002
"364","05.02.2020",112.09,0.030158500268734
"365","04.02.2020",111.14,-0.00851145218122881
"366","03.02.2020",112.39,0.0111842976784005
"367","31.01.2020",115.32,0.0257359072400257
"368","30.01.2020",113.91,-0.0123022098583807
"369","29.01.2020",113.64,-0.00237310592583347
"370","28.01.2020",111.72,-0.0170398159090112
"371","27.01.2020",114.18,0.0217804094591371
"372","24.01.2020",114.86,0.00593784490003727
"373","23.01.2020",112.64,-0.0195171030264181
"374","22.01.2020",112.88,0.00212841513482635
"375","21.01.2020",114.09,0.0106623030637194
"376","17.01.2020",112.77,-0.0116372643640818
"377","16.01.2020",114.97,0.0193208785214526
"378","15.01.2020",114.6,-0.00322342048500966
"379","14.01.2020",112.37,-0.0196508063608281
"380","13.01.2020",111.18,-0.0106464883944876
"381","10.01.2020",113.79,0.0232041348435939
"382","09.01.2020",112.19,-0.014160781812044
"383","08.01.2020",111.6,-0.00527281260966281
"384","07.01.2020",120.18,0.0740695689585713
"385","06.01.2020",118.81,-0.0114650404355859
"386","03.01.2020",120.13,0.0110489112630876
"387","02.01.2020",121.12,0.00820729995585506
"388","31.12.2019",122.25,0.00928633866584265
"389","30.12.2019",123.1,0.00692890483542645
"390","27.12.2019",121.41,-0.0138237856345239
"391","26.12.2019",121.54,0.00107017915132525
"392","24.12.2019",120.55,-0.00817882208002923
"393","23.12.2019",117.94,-0.021888584054822
"394","20.12.2019",114.65,-0.0282920112684446
"395","19.12.2019",115.32,0.00582686346628783
"396","18.12.2019",115.77,0.00389459144743568
"397","17.12.2019",114.35,-0.0123415437488469
"398","16.12.2019",114.66,0.00270730701144658
"399","13.12.2019",115.82,0.0100660343174069
"400","12.12.2019",114.31,-0.0131232057599566
"401","11.12.2019",115.98,0.0145037064106076
"402","10.12.2019",113.57,-0.0209983755447397
"403","09.12.2019",113.8,0.00202313478867572
"404","06.12.2019",113.65,-0.0013189713936783
"405","05.12.2019",117.96,0.0372220336485232
"406","04.12.2019",117.23,-0.00620776686333846
"407","03.12.2019",118.22,0.00840947831248653
"408","02.12.2019",117.28,-0.00798305725788202
"409","29.11.2019",117.27,-8.52696653682733e-05
"410","27.11.2019",117.14,-0.00110916781133692
"411","26.11.2019",117.2,0.000512076481275998
"412","25.11.2019",115.34,-0.0159975889556457
"413","22.11.2019",117.05,0.0147169057496531
"414","21.11.2019",117.44,0.00332637092928566
"415","20.11.2019",119.54,0.0177234785299027
"416","19.11.2019",117.79,-0.014747665425415
"417","18.11.2019",116.53,-0.0107546273855212
"418","15.11.2019",115.18,-0.0116526285066455
"419","14.11.2019",113.89,-0.0112630517922666
"420","13.11.2019",113.66,-0.00202153441728437
"421","12.11.2019",112.71,-0.00839338761498828
"422","11.11.2019",112.27,-0.00391146378329912
"423","08.11.2019",113.56,0.0114246471340824
"424","07.11.2019",113.75,0.00167172622628942
"425","06.11.2019",109.48,-0.0382611736585814
"426","05.11.2019",110.74,0.0114432272223427
"427","04.11.2019",111.11,0.00333559020109629
"428","01.11.2019",114.02,0.0258531700075185
"429","31.10.2019",115.44,0.0123770428621796
"430","30.10.2019",114.1,-0.0116756575975855
"431","29.10.2019",120.89,0.0578057843458707
"432","28.10.2019",119.58,-0.0108954377611422
"433","25.10.2019",120.48,0.00749816059882506
"434","24.10.2019",121.2,0.00595830958363062
"435","23.10.2019",118.44,-0.0230355704018236
"436","22.10.2019",118.72,0.00236127618567991
"437","21.10.2019",118.68,-0.000336983996449171
"438","18.10.2019",121.86,0.0264420493977272
"439","17.10.2019",120.44,-0.0117211412068152
"440","16.10.2019",118.15,-0.0191966999806162
"441","15.10.2019",116.4,-0.0149224683355794
"442","14.10.2019",125,0.0712812020049636
"443","11.10.2019",123.8,-0.00964637705180545
"444","10.10.2019",131,0.0565299629506559
"445","09.10.2019",129.88,-0.00858637596650639
"446","08.10.2019",130.02,0.00107733754167753
"447","07.10.2019",127.41,-0.0202780517830333
"448","04.10.2019",128.86,0.011316310717207
"449","03.10.2019",125.26,-0.0283349666132297
"450","02.10.2019",126.41,0.00913901541019929
"451","01.10.2019",123.96,-0.0195716595879188
"452","30.09.2019",123.21,-0.0060687162829706
"453","27.09.2019",125.59,0.0191324163934586
"454","26.09.2019",127.36,0.0139950890660375
"455","25.09.2019",128.18,0.0064178039800079
"456","24.09.2019",130.69,0.0193925805328638
"457","23.09.2019",129.93,-0.00583226271429948
"458","20.09.2019",127.47,-0.0191148010998151
"459","19.09.2019",124.81,-0.0210884618644676
"460","18.09.2019",124.06,-0.00602726138539083
"461","17.09.2019",125.62,0.0124961574812632
"462","16.09.2019",121.65,-0.0321134077967031
"463","13.09.2019",121.12,-0.00436627954039294
"464","12.09.2019",123.13,0.0164589181156413
"465","11.09.2019",124.24,0.00897447103565157
"466","10.09.2019",124.26,0.000160965795116277
