"","ts","pr","rt"
"1","15.07.2021",18604.34,0
"2","14.07.2021",18548.57,-0.00300218970134922
"3","13.07.2021",18685.27,0.00734281579355226
"4","12.07.2021",18701.91,0.000890144755434003
"5","09.07.2021",18822.75,0.00644058694815599
"6","08.07.2021",18637.8,-0.00987446808950861
"7","07.07.2021",18803.16,0.00883316427678275
"8","06.07.2021",18790.07,-0.000696402013289511
"9","05.07.2021",18961.8,0.00909789022525399
"10","02.07.2021",18788.33,-0.0091904966162256
"11","01.07.2021",18675.54,-0.00602128614982485
"12","30.06.2021",18850.91,0.00934654232736485
"13","28.06.2021",18976.97,0.00666495011870317
"14","25.06.2021",18969.96,-0.00036946335736472
"15","24.06.2021",18858.68,-0.00588338999179192
"16","23.06.2021",18779.57,-0.00420370854102546
"17","22.06.2021",18724.92,-0.00291431978836218
"18","21.06.2021",18627.74,-0.0052033894916398
"19","18.06.2021",18576.17,-0.00277229103225196
"20","17.06.2021",18695.58,0.0064075557787767
"21","16.06.2021",18964.58,0.0142858965512153
"22","15.06.2021",19202.39,0.012461721616408
"23","14.06.2021",19608.94,0.0209508342397139
"24","11.06.2021",19809.58,0.0101800743790511
"25","10.06.2021",19987.17,0.00892490863254743
"26","09.06.2021",19667.39,-0.0161286334825549
"27","08.06.2021",20385.54,0.0358638917643149
"28","07.06.2021",20497.95,0.00549905515744291
"29","04.06.2021",22218.67,0.0806080452904152
"30","03.06.2021",21382.67,-0.0383521455664983
"31","02.06.2021",21118.65,-0.0124242445274299
"32","01.06.2021",20973.85,-0.00688011266551936
"33","31.05.2021",21041.71,0.00323023465623737
"34","28.05.2021",21015.96,-0.00122450926156925
"35","27.05.2021",19943.18,-0.0523949188160005
"36","26.05.2021",20183.17,0.0119618585590336
"37","25.05.2021",20237.84,0.00270503054406095
"38","24.05.2021",20349.49,0.00550173079274092
"39","21.05.2021",20571.66,0.0108585503079067
"40","20.05.2021",21236.33,0.031798993792931
"41","19.05.2021",21204.73,-0.00148912425087379
"42","18.05.2021",21684.49,0.0223729884500828
"43","17.05.2021",21832.78,0.00681525169094745
"44","14.05.2021",21880.5,0.00218331907174674
"45","13.05.2021",21515.26,-0.0168333784025507
"46","12.05.2021",21720.41,0.00948992068930202
"47","11.05.2021",20870.22,-0.0399291090183898
"48","10.05.2021",20957.68,0.00418190382307805
"49","07.05.2021",20178.11,-0.0379068128505399
"50","06.05.2021",19521.03,-0.0331060074668484
"51","05.05.2021",19608.83,0.0044876290050077
"52","04.05.2021",19484.2,-0.00637609426700293
"53","03.05.2021",19601.13,0.00598333691152573
"54","30.04.2021",19562.77,-0.00195894751376294
"55","29.04.2021",19319.67,-0.0125045222289067
"56","28.04.2021",19021.89,-0.0155333266275155
"57","27.04.2021",19185.2,0.00854872718999087
"58","26.04.2021",19310.91,0.00653107271594019
"59","23.04.2021",19042.89,-0.0139764176123494
"60","22.04.2021",19052.72,0.000516069973320653
"61","21.04.2021",19639.55,0.0303355167076612
"62","20.04.2021",19533.66,-0.00540625891569264
"63","19.04.2021",20483.68,0.0474893402049336
"64","16.04.2021",21194.13,0.0340957850158467
"65","15.04.2021",21285.3,0.00429243706820058
"66","14.04.2021",21279.35,-0.000279574719339
"67","13.04.2021",21436.43,0.00735469224989333
"68","12.04.2021",21315.22,-0.00567043961020739
"69","09.04.2021",21715.75,0.0186164321940693
"70","08.04.2021",21799.92,0.00386849633563386
"71","07.04.2021",21334.96,-0.0215592582788605
"72","06.04.2021",21510.32,0.00818577818578921
"73","05.04.2021",21429.88,-0.0037466101273517
"74","31.03.2021",21372.03,-0.00270315204279322
"75","30.03.2021",21478.65,0.00497636070323853
"76","29.03.2021",21404.96,-0.00343674763065933
"77","26.03.2021",21410.27,0.000248042578644391
"78","25.03.2021",21254.37,-0.00730819216475505
"79","24.03.2021",21497.13,0.011356916564367
"80","23.03.2021",21529.02,0.00148235460711784
"81","22.03.2021",21967.52,0.0201632063650415
"82","19.03.2021",22214.81,0.0111941847483254
"83","18.03.2021",22312.08,0.00436905226163805
"84","17.03.2021",22443.86,0.00588884428870743
"85","16.03.2021",22339.99,-0.00463873410860801
"86","15.03.2021",22673.85,0.0148339320533958
"87","12.03.2021",22767.39,0.0041169709330521
"88","11.03.2021",22739.34,-0.00123278484533762
"89","10.03.2021",22702.52,-0.00162053261278603
"90","09.03.2021",22566.58,-0.00600588077163346
"91","08.03.2021",22565.64,-4.16553850060469e-05
"92","05.03.2021",22550.8,-0.000657853347258492
"93","04.03.2021",22536.28,-0.000644086975779628
"94","03.03.2021",22872.47,0.0148075488899096
"95","02.03.2021",22871.62,-3.71632707131843e-05
"96","01.03.2021",22810.03,-0.00269648917316596
"97","26.02.2021",22530.42,-0.0123339554267424
"98","25.02.2021",22875.05,0.0151804008702306
"99","24.02.2021",23199.68,0.0140916885221444
"100","23.02.2021",23179.52,-0.000869355282959081
"101","22.02.2021",23180.01,2.11391271661856e-05
"102","19.02.2021",22794.18,-0.0167850291005821
"103","18.02.2021",22469.8,-0.0143330548162537
"104","17.02.2021",22681.68,0.00938536478921513
"105","16.02.2021",22597,-0.00374039608604831
"106","15.02.2021",22232.27,-0.0162723170814203
"107","12.02.2021",22413.98,0.00814003430717428
"108","11.02.2021",22151.94,-0.0117597940240365
"109","10.02.2021",22492.23,0.0152448389298085
"110","09.02.2021",22310.78,-0.00809994650197324
"111","08.02.2021",21941.3,-0.0166992641352207
"112","05.02.2021",21783.37,-0.00722387095378554
"113","04.02.2021",21552.2,-0.0106689351386071
"114","03.02.2021",21632.78,0.00373185739663047
"115","02.02.2021",21451.89,-0.0083970035222848
"116","01.02.2021",21610.03,0.00734480538349973
"117","29.01.2021",21110.22,-0.0234002753569515
"118","28.01.2021",21289.72,0.00846704369742201
"119","27.01.2021",21067.66,-0.0104851638326633
"120","26.01.2021",21471.26,0.0189761334362389
"121","25.01.2021",21394.61,-0.00357627556349551
"122","22.01.2021",21383.82,-0.000504459851790773
"123","21.01.2021",21403.87,0.000937185506743743
"124","20.01.2021",21541.29,0.00639981171486383
"125","19.01.2021",21561.72,0.000947961709863016
"126","18.01.2021",21460.78,-0.00469243699069684
"127","15.01.2021",21465.24,0.000207799372783836
"128","14.01.2021",21633.82,0.00782294833048961
"129","13.01.2021",21517.9,-0.00537268404795233
"130","12.01.2021",21618.55,0.00466659554300257
"131","11.01.2021",21654.59,0.00166569878372151
"132","08.01.2021",21625.37,-0.00135027871743053
"133","07.01.2021",21693.55,0.0031478188421263
"134","06.01.2021",21330.35,-0.0168840401777743
"135","05.01.2021",21009.13,-0.0151738360159015
"136","04.01.2021",21013.24,0.000195610100672826
"137","31.12.2020",20822.15,-0.00913539130173949
"138","30.12.2020",20967.19,0.00694151103561005
"139","29.12.2020",20862.78,-0.00499212487295982
"140","28.12.2020",20842.4,-0.000977336706002601
"141","24.12.2020",20835.73,-0.000320071944539935
"142","23.12.2020",20797.4,-0.00184132256353147
"143","22.12.2020",20493.59,-0.0147158245720871
"144","21.12.2020",20562.09,0.00333693479504145
"145","18.12.2020",20742.37,0.00872937909404869
"146","17.12.2020",20811.72,0.00333782134976287
"147","16.12.2020",20679.22,-0.00638695823353254
"148","15.12.2020",20583.14,-0.00465703724403999
"149","14.12.2020",20485.51,-0.00475448712882682
"150","11.12.2020",20474,-0.000562018456908583
"151","10.12.2020",20781.79,0.0149213339833513
"152","09.12.2020",20646.35,-0.0065385741449158
"153","07.12.2020",20762.62,0.00561570623750934
"154","04.12.2020",20590.58,-0.00832056491648036
"155","03.12.2020",20474.49,-0.00565396865303861
"156","02.12.2020",20313.85,-0.00787680158405726
"157","01.12.2020",20146.31,-0.00828177434783814
"158","30.11.2020",19796.51,-0.0175154855339649
"159","27.11.2020",19601.09,-0.00992048260307856
"160","26.11.2020",19610.39,0.000474350887769624
"161","25.11.2020",19642.32,0.00162689440003791
"162","24.11.2020",19480.87,-0.00825346381480068
"163","23.11.2020",18924.54,-0.0289734658528868
"164","20.11.2020",18810.39,-0.00605011580487364
"165","19.11.2020",18553.16,-0.0137692518005381
"166","18.11.2020",18629.02,0.00408045495215349
"167","17.11.2020",18517.7,-0.005993548460914
"168","16.11.2020",18290.33,-0.0123545265547513
"169","13.11.2020",18048.41,-0.0133149126300643
"170","12.11.2020",17804.7,-0.0135951248680695
"171","11.11.2020",17837.75,0.00185453073356965
"172","10.11.2020",17666.78,-0.00963095816392339
"173","09.11.2020",18896.04,0.0672663363451181
"174","06.11.2020",17994.83,-0.0488678818851529
"175","05.11.2020",18037.18,0.00235068870713817
"176","04.11.2020",17709.04,-0.0183599394622726
"177","03.11.2020",17824.47,0.00649698867536748
"178","02.11.2020",17772.77,-0.0029047216217415
"179","30.10.2020",17472.2,-0.0170564643328053
"180","29.10.2020",17705.84,0.0132834822797944
"181","28.10.2020",17664.1,-0.00236019735267658
"182","27.10.2020",18157.71,0.0275609325895771
"183","26.10.2020",17844.41,-0.0174049699870616
"184","23.10.2020",18058.66,0.0119350542023285
"185","22.10.2020",18066.53,0.000435707057845363
"186","21.10.2020",18164.72,0.00542019612294222
"187","20.10.2020",17812.29,-0.0195925828104868
"188","19.10.2020",17617.4,-0.0110016184570163
"189","16.10.2020",17667.51,0.00284030956507678
"190","15.10.2020",17690.8,0.00131737084539682
"191","14.10.2020",17835.07,0.00812201323084139
"192","13.10.2020",17821.17,-0.000779667216965664
"193","12.10.2020",18013.55,0.0107371760258423
"194","09.10.2020",18112.26,0.00546480456254931
"195","08.10.2020",18032,-0.004441099743993
"196","07.10.2020",17958.64,-0.00407662112129597
"197","06.10.2020",18128.92,0.00943711704243002
"198","05.10.2020",17953.22,-0.00973896718559462
"199","02.10.2020",17911.56,-0.00232317157595956
"200","01.10.2020",17842.81,-0.00384568849796311
"201","30.09.2020",17948.78,0.00592152009160194
"202","29.09.2020",17881.18,-0.00377338295715311
"203","28.09.2020",17875.08,-0.0003411989989544
"204","25.09.2020",17743.88,-0.00736689635880261
"205","24.09.2020",17777.75,0.00190700766065764
"206","23.09.2020",17497.24,-0.0159045211908384
"207","22.09.2020",17777.14,0.0158702080485359
"208","21.09.2020",17692.68,-0.00476236753557568
"209","18.09.2020",17907.13,0.0120479628405937
"210","17.09.2020",18021.2,0.00634988507870152
"211","16.09.2020",18093.99,0.00403099629620022
"212","15.09.2020",17966.92,-0.00704754960104035
