"","ts","pr","rt"
"1","20.08.2021",15533.85,0
"2","19.08.2021",15529.59,-0.000274277415940157
"3","18.08.2021",15917.08,0.0246455102108751
"4","17.08.2021",16359.63,0.027423968274094
"5","16.08.2021",16736.98,0.0228039277915738
"6","13.08.2021",16771.26,0.00204606460733785
"7","12.08.2021",16829.31,0.00345530196395134
"8","11.08.2021",17003.45,0.0102942554981157
"9","10.08.2021",17062.77,0.00348263235288989
"10","09.08.2021",17206.03,0.00836100677965623
"11","06.08.2021",17331.33,0.00725594253525571
"12","05.08.2021",17331.24,-5.19292135579039e-06
"13","04.08.2021",17447.67,0.00669546198860718
"14","03.08.2021",17624.68,0.0100940771271761
"15","02.08.2021",NA,NA
"16","30.07.2021",17677.83,NA
"17","29.07.2021",NA,NA
"18","28.07.2021",NA,NA
"19","27.07.2021",18774.56,NA
"20","26.07.2021",18749.48,-0.00133674325763358
"21","23.07.2021",18544.02,-0.0110186535857341
"22","22.07.2021",18759.91,0.0115747810124299
"23","21.07.2021",18743,-0.000901796748358281
"24","20.07.2021",18426.37,-0.0170375585704295
"25","19.07.2021",18170.76,-0.0139690820853991
"26","16.07.2021",18307.36,0.00748945606367844
"27","15.07.2021",18604.34,0.0160917220498029
"28","14.07.2021",18548.57,-0.00300218970134922
"29","13.07.2021",18685.27,0.00734281579355226
"30","12.07.2021",18702.02,0.000896026490321281
"31","09.07.2021",18811.84,0.00585491942016621
"32","08.07.2021",18637.8,-0.00929468229640615
"33","07.07.2021",18803.16,0.00883316427678275
"34","06.07.2021",18790.07,-0.000696402013289511
"35","02.07.2021",18788.49,-8.40905027190716e-05
"36","01.07.2021",18677.48,-0.0059259282414341
"37","30.06.2021",18850.91,0.00924266853072179
"38","29.06.2021",NA,NA
"39","28.06.2021",18977.13,NA
"40","25.06.2021",18969.96,-0.000377894594042773
"41","24.06.2021",18858.84,-0.00587490587088463
"42","23.06.2021",18779.73,-0.00420367280133885
"43","22.06.2021",18724.92,-0.00292283964895602
"44","21.06.2021",18627.74,-0.0052033894916398
"45","18.06.2021",18576.17,-0.00277229103225196
"46","17.06.2021",18695.58,0.0064075557787767
"47","16.06.2021",18964.1,0.0142605858892028
"48","15.06.2021",19202.39,0.0124870322784205
"49","14.06.2021",19608.94,0.0209508342397139
"50","11.06.2021",19809.58,0.0101800743790511
"51","10.06.2021",19987.45,0.00893891752118769
"52","09.06.2021",19667.39,-0.016142642371195
"53","08.06.2021",20385.54,0.0358638917643149
"54","07.06.2021",20497.95,0.00549905515744291
"55","04.06.2021",22218.67,0.0806080452904152
"56","03.06.2021",21382.67,-0.0383521455664983
"57","02.06.2021",21118.65,-0.0124242445274299
"58","01.06.2021",20973.85,-0.00688011266551936
"59","28.05.2021",21015.96,0.00200572539466818
"60","27.05.2021",19943.18,-0.0523949188160005
"61","26.05.2021",20183.17,0.0119618585590336
"62","25.05.2021",20237.84,0.00270503054406095
"63","24.05.2021",20349.67,0.00551057618414451
"64","21.05.2021",20571.66,0.0108497049165031
"65","20.05.2021",21230.6,0.0315291367519451
"66","19.05.2021",21204.73,-0.00121926720988792
"67","18.05.2021",21684.49,0.0223729884500828
"68","17.05.2021",21832.78,0.00681525169094745
"69","14.05.2021",21867.35,0.00158214665316859
"70","13.05.2021",21515.64,-0.0162145442571666
"71","12.05.2021",21720.8,0.00949021426346518
"72","11.05.2021",20870.22,-0.0399470643193591
"73","10.05.2021",20958.05,0.00419955829313065
"74","07.05.2021",20178.11,-0.0379244673205925
"75","06.05.2021",19521.03,-0.0331060074668484
"76","05.05.2021",19608.83,0.0044876290050077
"77","04.05.2021",19484.37,-0.00636736928684591
"78","03.05.2021",19601.13,0.00597461193136878
"79","30.04.2021",19562.77,-0.00195894751376294
"80","29.04.2021",19319.19,-0.0125293676824229
"81","28.04.2021",19021.89,-0.0155084811739993
"82","27.04.2021",19185.37,0.00855758814775097
"83","26.04.2021",19310.91,0.00652221175818016
