"","ts","pr","rt"
"1","20.07.0015",61.62,0
"2","20.07.0014",61.2,-0.00683930365024138
"3","20.07.0013",61.17,-0.000490316263806897
"4","20.07.0012",62.85,0.027094061781783
"5","20.07.0009",61.5,-0.0217137602237842
"6","20.07.0008",59.96,-0.0253595015780752
"7","20.07.0007",61.22,0.0207962602828694
"8","20.07.0006",58.22,-0.0502449951997893
"9","20.07.0002",60.72,0.0420441947698974
"10","20.07.0001",60.91,0.00312423176101873
"11","20.06.0030",59.6,-0.0217417907770892
"12","20.06.0029",58.75,-0.0143644210470357
"13","20.06.0028",58.63,-0.00204464204814454
"14","20.06.0025",60.24,0.0270900725155145
"15","20.06.0024",60.98,0.0122093580684706
"16","20.06.0023",59.69,-0.0213814393795502
"17","20.06.0022",60.14,0.00751067537982447
"18","20.06.0021",60.04,-0.00166417079512179
"19","20.06.0018",57.83,-0.0375033345951343
"20","20.06.0017",59.13,0.0222307376626118
"21","20.06.0016",62.21,0.0507773486941899
"22","20.06.0015",63.18,0.0154720368470107
"23","20.06.0014",63.13,-0.000791702994404785
"24","20.06.0011",65.01,0.0293450118368431
"25","20.06.0010",64.36,-0.010048782092195
"26","20.06.0009",64.51,0.00232792841996783
"27","20.06.0008",66.51,0.0305320617521794
"28","20.06.0007",64.19,-0.0355048769726432
"29","20.06.0004",64.86,0.0103836655554851
"30","20.06.0003",64.22,-0.009916412217804
"31","20.06.0002",63.75,-0.00734550462283234
"32","20.06.0001",64.5,0.0116960397631912
"33","20.05.0028",62.43,-0.0326192947280741
"34","20.05.0027",61.96,-0.00755691352498488
"35","20.05.0026",60.93,-0.0167633512882649
"36","20.05.0025",60.18,-0.0123855930585039
"37","20.05.0024",62.06,0.0307615878183349
"38","20.05.0021",61.54,-0.00841428912633847
"39","20.05.0020",61.95,0.00664023818125573
"40","20.05.0019",62.21,0.00418815045177691
"41","20.05.0018",63.29,0.0172115802602855
"42","20.05.0017",64.54,0.0195578478366018
"43","20.05.0014",63.76,-0.0121591521418563
"44","20.05.0013",63.67,-0.00141254045302556
"45","20.05.0012",60.85,-0.0453016745953978
"46","20.05.0011",64.34,0.055769702377344
"47","20.05.0010",63.98,-0.00561098728950841
"48","20.05.0007",63.36,-0.00973778701520153
"49","20.05.0006",61.65,-0.0273595178958171
"50","20.05.0005",59.96,-0.0277955563759563
"51","20.05.0004",59.41,-0.009215110866747
"52","20.05.0003",56.7,-0.0466883516339435
"53","20.04.0030",54.22,-0.044724366663187
"54","20.04.0029",55.28,0.019361335388895
"55","20.04.0028",55.13,-0.00271714685782227
"56","20.04.0027",55.02,-0.00199727710516368
"57","20.04.0026",54.66,-0.00656457499650667
"58","20.04.0023",51.89,-0.0520060871202736
"59","20.04.0022",50.33,-0.0305247725913797
"60","20.04.0021",51.18,0.0167475099433741
"61","20.04.0020",50.12,-0.0209287007037753
"62","20.04.0019",51.19,0.0211240704416243
"63","20.04.0016",51.5,0.0060376072001987
"64","20.04.0015",50.89,-0.0119153670689491
"65","20.04.0014",50.82,-0.00137646270872324
"66","20.04.0013",50.42,-0.00790205613224428
"67","20.04.0012",51.83,0.0275812104418413
"68","20.04.0009",51.19,-0.0124249317321233
"69","20.04.0008",50.78,-0.00804162419295946
"70","20.04.0007",51.08,0.00589045488780622
"71","20.04.0006",51.25,0.00332258685417895
"72","20.04.0005",51.82,0.0110605571154464
"73","20.04.0001",50.97,-0.0165389507820136
"74","20.03.0031",50.76,-0.00412858150576347
"75","20.03.0030",51.28,0.0101921697662278
"76","20.03.0029",49.72,-0.0308935459699042
"77","20.03.0026",50.35,0.012591352522061
"78","20.03.0025",47.53,-0.0576375285386532
"79","20.03.0024",46.07,-0.0311991116780924
"80","20.03.0023",44.8,-0.0279538395268862
"81","20.03.0022",47.03,0.0485775565360173
"82","20.03.0019",47.19,0.00339630978133945
"83","20.03.0018",47.35,0.00338481389379129
"84","20.03.0017",47.97,0.0130089958818853
"85","20.03.0016",46.83,-0.0240517923185221
"86","20.03.0015",48.55,0.0360701715418835
"87","20.03.0012",49.19,0.0130961560699145
"88","20.03.0011",48.71,-0.00980600298879707
"89","20.03.0010",48.79,0.00164102600929443
"90","20.03.0009",47.39,-0.0291141378482489
"91","20.03.0008",48.07,0.0142470459263724
"92","20.03.0005",45.72,-0.0501224429792594
"93","20.03.0004",43.21,-0.0564638889827681
"94","20.03.0003",44.7,0.0339015516756814
"95","20.03.0002",43.81,-0.0201113997937161
"96","20.03.0001",44.01,0.00455477899719285
"97","20.02.0026",41.58,-0.0567975983931332
"98","20.02.0025",42.07,0.0117156151725628
"99","20.02.0024",43.86,0.0416678453873126
"100","20.02.0023",42.83,-0.0237639513624626
"101","20.02.0022",42.04,-0.0186172456185292
"102","20.02.0019",40.84,-0.0289595527122855
"103","20.02.0018",39.7,-0.02831080560332
"104","20.02.0017",40.71,0.0251225748217426
"105","20.02.0016",41.19,0.0117217459331019
"106","20.02.0012",39.33,-0.0462079220042712
"107","20.02.0011",38.78,-0.0140829366292123
"108","20.02.0010",38.4,-0.00984719022082465
"109","20.02.0009",38.44,0.00104112450841051
"110","20.02.0008",38.4,-0.0010411245084105
"111","20.02.0005",37.63,-0.0202558549883351
"112","20.02.0004",37.17,-0.0122996202961851
"113","20.02.0003",36.86,-0.00837503206748363
"114","20.02.0002",35.33,-0.0423944908706234
"115","20.02.0001",34.92,-0.0116727303996523
"116","20.01.0029",34.27,-0.0187893950848839
"117","20.01.0028",35.16,0.0256387369304586
"118","20.01.0027",35.28,0.00340715832161436
"119","20.01.0026",36.61,0.0370051959935542
"120","20.01.0025",38.44,0.048777156969947
"121","20.01.0022",38.7,0.00674101593364451
"122","20.01.0021",38.74,0.00103305794311359
"123","20.01.0020",40.18,0.0364967014079385
"124","20.01.0019",39.73,-0.0112627895602808
"125","20.01.0015",39.2,-0.0134298230300906
"126","20.01.0014",40.38,0.0296578660882747
"127","20.01.0013",40.73,0.00863030877562974
"128","20.01.0012",41.78,0.0254528344680986
"129","20.01.0011",40.01,-0.0432883332592762
"130","20.01.0008",39.49,-0.0130819475705855
"131","20.01.0007",39.85,0.009074929937666
"132","20.01.0006",40.63,0.0193843047634114
"133","20.01.0005",37.95,-0.0682372061579964
"134","20.01.0004",36.62,-0.0356749645952745
"135","20.12.0031",36.87,0.00680367299968842
"136","20.12.0030",36.59,-0.00762323321493757
"137","20.12.0029",36.37,-0.00603072003221792
"138","20.12.0028",35.98,-0.0107810304765106
"139","20.12.0024",36.38,0.0110559445675893
"140","20.12.0023",36.37,-0.000274914091078662
"141","20.12.0022",36.34,-0.000825196030872361
"142","20.12.0021",36.95,0.0166465844261857
"143","20.12.0018",36.12,-0.0227189188454262
"144","20.12.0017",37.59,0.039891329027302
"145","20.12.0016",38.32,0.019233895526573
"146","20.12.0015",38.62,0.00779832389770853
"147","20.12.0014",37.94,-0.0177643124935002
"148","20.12.0011",39.13,0.0308834717154531
"149","20.12.0010",39.61,0.012192175411504
"150","20.12.0009",38.78,-0.0211769618193195
"151","20.12.0008",38.4,-0.00984719022082465
"152","20.12.0007",38.42,0.000520697746729609
"153","20.12.0004",38.84,0.0108724860827136
"154","20.12.0003",37.61,-0.0321806709408793
"155","20.12.0002",37.16,-0.0120370585366073
"156","20.12.0001",37.34,0.00483222416793892
"157","20.11.0030",36.21,-0.0307298143360267
"158","20.11.0027",37.65,0.0389976304683526
"159","20.11.0025",37.88,0.00609031407197504
"160","20.11.0024",38.63,0.0196059083603124
"161","20.11.0023",36.26,-0.0633139713514851
"162","20.11.0020",35.25,-0.0282496760684273
