"","ts","pr","rt"
"1","20.07.0015",10794.51,0
"2","20.07.0014",10778.07,-0.0015241573499866
"3","20.07.0013",10735.85,-0.00392490575399634
"4","20.07.0012",10698.54,-0.00348132488789442
"5","20.07.0011",10688.34,-0.000953855894208525
"6","20.07.0008",10825.01,0.0127057700100915
"7","20.07.0007",10958.55,0.0122607758218203
"8","20.07.0006",10971.21,0.00115459552739409
"9","20.07.0005",11001.03,0.00271433575352613
"10","20.07.0004",11031.73,0.00278676115639715
"11","20.07.0001",10979.05,-0.00478675454373874
"12","20.06.0030",10984.15,0.000464413208609335
"13","20.06.0029",10996.38,0.001112803127319
"14","20.06.0028",10957.07,-0.00358121771411305
"15","20.06.0027",10966.71,0.000879410450320945
"16","20.06.0024",10919.68,-0.00429765460510758
"17","20.06.0023",10894.2,-0.0023361283355442
"18","20.06.0022",10891.64,-0.000235015038371873
"19","20.06.0021",10859.18,-0.00298471727480533
"20","20.06.0020",10790.75,-0.00632151955049516
"21","20.06.0017",10853.12,0.00576331059452504
"22","20.06.0016",10855.95,0.000260720520596168
"23","20.06.0015",10831.38,-0.00226584005609985
"24","20.06.0014",10913.56,0.00755857604197573
"25","20.06.0013",10897.47,-0.00147540055822538
"26","20.06.0010",10796.33,-0.00932439063641666
"27","20.06.0009",10790.24,-0.000564239725122535
"28","20.06.0008",10735.39,-0.00509626140680553
"29","20.06.0007",10719.85,-0.00144859742584786
"30","20.06.0006",10685.45,-0.00321416000850495
"31","20.06.0003",10698.3,0.0012018473417199
"32","20.06.0002",10656.81,-0.00388572591799487
"33","20.06.0001",10597.42,-0.00558854915672848
"34","20.05.0031",10551.23,-0.00436813446195197
"35","20.05.0030",10547.67,-0.000337458354111847
"36","20.05.0027",10519.52,-0.00267240355769628
"37","20.05.0026",10471.55,-0.00457052294203843
"38","20.05.0025",10448,-0.00225148341606388
"39","20.05.0024",10318.51,-0.012471202749393
"40","20.05.0023",10343.86,0.0024537371771962
"41","20.05.0020",10339.85,-0.000387744756645788
"42","20.05.0019",10372.54,0.00315656736314549
"43","20.05.0018",10423.51,0.0049019022421691
"44","20.05.0017",10396.44,-0.00260039195617948
"45","20.05.0010",10322.68,-0.0071200235920619
"46","20.05.0009",10228.19,-0.00919578254912073
"47","20.05.0006",10228.35,1.56429190862109e-05
"48","20.05.0005",10252.15,0.00232416305397221
"49","20.05.0004",10318.94,0.00649360191351876
"50","20.05.0003",10309.37,-0.000927851160524053
"51","20.05.0002",10365.51,0.00543075829012341
"52","20.04.0029",10418.98,0.00514519412882617
"53","20.04.0028",10531.22,0.0107150360257015
"54","20.04.0027",10267.17,-0.0253927528001781
"55","20.04.0026",10231.06,-0.00352323467473321
"56","20.04.0025",10142.48,-0.00869564721287614
"57","20.04.0022",10134.08,-0.000828542956057448
"58","20.04.0021",10095.36,-0.00382808889266506
"59","20.04.0020",10116.98,0.00213928800380604
"60","20.04.0019",10097.65,-0.00191247684392254
"61","20.04.0018",10048.7,-0.00485945060286001
"62","20.04.0015",9987.92,-0.00606691013048703
"63","20.04.0014",9847.62,-0.0141465611512706
"64","20.04.0013",9838.28,-0.00094890258518271
"65","20.04.0012",9907.62,0.00702325900797637
"66","20.04.0011",9938.32,0.00309383425404658
"67","20.04.0008",10012.13,0.00739936560444284
"68","20.04.0007",10014.3,0.000216713613808429
"69","20.04.0006",9988.98,-0.0025315861721515
"70","20.04.0005",9964.84,-0.00241958800641797
"71","20.04.0004",9962.77,-0.000207751958959935
"72","20.04.0001",9895.56,-0.00676897368755718
"73","20.03.0031",9907.82,0.00123817263177185
"74","20.03.0030",9635.34,-0.0278867550682451
"75","20.03.0029",9615.63,-0.0020476897410422
"76","20.03.0028",9482.95,-0.013894450220506
"77","20.03.0025",9417.71,-0.00690349004758589
"78","20.03.0024",9464.08,0.00491162047869185
"79","20.03.0023",9489.63,0.0026960437271828
"80","20.03.0022",9547.42,0.00607133747266415
"81","20.03.0021",9498.85,-0.00510022227812666
"82","20.03.0018",9485.96,-0.00135792794141512
"83","20.03.0017",9602.26,0.0121856767282622
"84","20.03.0016",9660.27,0.00602311071008107
"85","20.03.0015",9645.74,-0.00150523103877071
"86","20.03.0014",9664.61,0.00195439295573624
"87","20.03.0011",9587.79,-0.00798034610704364
"88","20.03.0010",9595.45,0.000798613832399279
"89","20.03.0009",9473.2,-0.0128222684802627
"90","20.03.0008",9374.37,-0.0104873897079883
"91","20.03.0007",9351.08,-0.00248752494700512
"92","20.03.0004",9242.28,-0.0117032361896774
"93","20.03.0003",9310.28,0.00733055756292541
"94","20.03.0002",9248.28,-0.00668157773639917
"95","20.03.0001",9138.37,-0.0119555557064751
