"","ts","pr","rt"
"1","15.07.2021",1.0002,0
"2","14.07.2021",1.0002,0
"3","13.07.2021",1.0002,0
"4","12.07.2021",0.9998,-0.00040000000533329
"5","11.07.2021",1,0.000200020002667023
"6","10.07.2021",0.9999,-0.000100005000333347
"7","09.07.2021",0.9994,-0.000500175071699087
"8","08.07.2021",0.9996,0.000200100050692851
"9","07.07.2021",1.0004,0.000800000042666541
"10","06.07.2021",1.0002,-0.000199940018660674
"11","05.07.2021",1.0003,9.99750063316425e-05
"12","04.07.2021",1,-0.000299955008997996
"13","03.07.2021",1.0003,0.000299955008997942
"14","02.07.2021",1.0003,0
"15","01.07.2021",1.0002,-9.99750063317156e-05
"16","30.06.2021",1.0003,9.99750063316425e-05
"17","29.06.2021",1.0002,-9.99750063317156e-05
"18","28.06.2021",1.0004,0.000199940018660536
"19","27.06.2021",1.0006,0.000199900050640575
"20","26.06.2021",1.0012,0.00059946050351456
"21","25.06.2021",0.9998,-0.00139930057814927
"22","24.06.2021",1,0.000200020002667023
"23","23.06.2021",1.0005,0.000499875041650993
"24","22.06.2021",1.0012,0.000699405533831086
"25","21.06.2021",1.0017,0.000499276060099356
"26","20.06.2021",1.001,-0.000699056302498105
"27","19.06.2021",1.0013,0.000299655398536718
"28","18.06.2021",1.0006,-0.000699335659652611
"29","17.06.2021",1,-0.000599820071967583
"30","16.06.2021",0.9998,-0.000200020002667045
"31","15.06.2021",1,0.000200020002667023
"32","14.06.2021",1.0001,9.99950003332973e-05
"33","13.06.2021",0.9999,-0.0002000000006667
"34","12.06.2021",1.0003,0.000399960009331224
"35","11.06.2021",1,-0.000299955008997996
"36","10.06.2021",1.0003,0.000299955008997942
"37","09.06.2021",1.0001,-0.000199960008664681
"38","08.06.2021",1.0008,0.000699685170230918
"39","07.06.2021",1.0003,-0.000499725161566317
"40","06.06.2021",1,-0.000299955008997996
"41","05.06.2021",1.0005,0.000499875041650993
"42","04.06.2021",1.0005,0
"43","03.06.2021",1.0001,-0.000399880041317713
"44","02.06.2021",1.0001,0
"45","01.06.2021",0.9998,-0.000300015003000314
"46","31.05.2021",1.0001,0.00030001500300042
"47","30.05.2021",0.9997,-0.000400040009335289
"48","29.05.2021",1,0.000300045009001961
"49","28.05.2021",1.0003,0.000299955008997942
"50","27.05.2021",1.0007,0.000399800105275394
"51","26.05.2021",1.0014,0.00069926579943421
"52","25.05.2021",1.0011,-0.000299625470406366
"53","24.05.2021",1.0009,-0.00019980020046506
"54","23.05.2021",1.0017,0.000798961392745582
"55","22.05.2021",1.0021,0.000399241446564585
"56","21.05.2021",1.0022,9.97854613411607e-05
"57","20.05.2021",1.0019,-0.000299386260406963
"58","19.05.2021",1.0017,-0.000199640647498707
"59","18.05.2021",1.0007,-0.000998801521308301
"60","17.05.2021",1,-0.00069975511427322
"61","16.05.2021",1.0019,0.00189819728308027
"62","15.05.2021",1.001,-0.000898696949996857
"63","14.05.2021",1.001,0
"64","13.05.2021",1.0006,-0.000399680261115926
"65","12.05.2021",1.0007,9.99350423057764e-05
