"","ts","pr","rt"
"1","20.07.0015",56.55,0
"2","20.07.0014",56.32,-0.00407549071234246
"3","20.07.0013",56.09,-0.00409216832954136
"4","20.07.0012",56.15,0.00106913766420646
"5","20.07.0009",56.07,-0.00142577104887099
"6","20.07.0008",55.68,-0.00697989410941694
"7","20.07.0007",56.53,0.0151504546610353
"8","20.07.0006",56.41,-0.00212502293531474
"9","20.07.0002",56.44,0.000531679232728646
"10","20.07.0001",56.29,-0.00266122750867806
"11","20.06.0030",56.03,-0.00462963789874199
"12","20.06.0029",55.84,-0.00339680312307606
"13","20.06.0028",56.18,0.00607036322198048
"14","20.06.0025",56.38,0.00355366400986893
"15","20.06.0024",56.37,-0.000177383592482944
"16","20.06.0023",56.07,-0.00533619195790238
"17","20.06.0022",56.37,0.00533619195790237
"18","20.06.0021",56.39,0.000354735725607122
"19","20.06.0018",55.82,-0.0101596097109146
"20","20.06.0017",56.53,0.0126392425790233
"21","20.06.0016",56.64,0.00194397869826479
"22","20.06.0015",57.29,0.011410639035022
"23","20.06.0014",57.18,-0.00192190152632072
"24","20.06.0011",57.33,0.00261986002612555
"25","20.06.0010",57.34,0.000174413534932479
"26","20.06.0009",57.05,-0.00507038414713922
"27","20.06.0008",57.15,0.0017513139327351
"28","20.06.0007",57.2,0.000874508144932576
"29","20.06.0004",57.3,0.00174672533494158
"30","20.06.0003",56.98,-0.00560029465093166
"31","20.06.0002",56.65,-0.0058083415957469
"32","20.06.0001",56.38,-0.00477750178804877
"33","20.05.0028",56.49,0.00194914565120426
"34","20.05.0027",56.29,-0.00354673186123559
"35","20.05.0026",56.36,0.0012427875545443
"36","20.05.0025",56.48,0.00212690615450704
"37","20.05.0024",56.98,0.00881373588477566
"38","20.05.0021",56.91,-0.00122925645472974
"39","20.05.0020",56.79,-0.00211081872569136
"40","20.05.0019",56.92,0.00228651933231056
"41","20.05.0018",57.18,0.00455741367251398
"42","20.05.0017",57.94,0.0132038054470385
"43","20.05.0014",58.69,0.0128613622290388
"44","20.05.0013",58.81,0.00204255390162151
"45","20.05.0012",58.41,-0.00682480041964668
"46","20.05.0011",58.54,0.00222317321152178
"47","20.05.0010",59.52,0.0166021092610967
"48","20.05.0007",58.72,-0.0135320062185764
"49","20.05.0006",59.29,0.0096602734130162
"50","20.05.0005",58.69,-0.0101713031490332
"51","20.05.0004",58.6,-0.00153465798727617
"52","20.05.0003",57.92,-0.011671948505506
"53","20.04.0030",57.79,-0.00224699774777431
"54","20.04.0029",57.32,-0.00816614736971551
"55","20.04.0028",56.43,-0.0156486709789224
"56","20.04.0027",56.32,-0.00195122013126169
"57","20.04.0026",56.94,0.0109483700001045
"58","20.04.0023",57.3,0.00630254187080231
"59","20.04.0022",57.28,-0.000349101068303657
"60","20.04.0021",58.14,0.0149023724783397
"61","20.04.0020",58.39,0.0042907471647163
"62","20.04.0019",58.39,0
"63","20.04.0016",58.28,-0.00188566096844212
"64","20.04.0015",57.7,-0.0100018078129502
"65","20.04.0014",57.7,0
"66","20.04.0013",57.62,-0.00138744385767151
"67","20.04.0012",57.54,-0.00138937153298053
"68","20.04.0009",57.49,-0.000869338488202253
"69","20.04.0008",57.6,0.00191154806664599
"70","20.04.0007",59,0.0240148762038739
"71","20.04.0006",59.11,0.00186267093055859
"72","20.04.0005",58.87,-0.0040684917961082
"73","20.04.0001",58.3,-0.00972952968372334
"74","20.03.0031",58.15,-0.00257621439177325
"75","20.03.0030",58.59,0.00753815459202386
"76","20.03.0029",58.83,0.00408789531966735
"77","20.03.0026",58.18,-0.011110275809309
"78","20.03.0025",57.38,-0.0138458425138368
"79","20.03.0024",57.01,-0.00646911950972833
"80","20.03.0023",56.91,-0.00175561842845805
"81","20.03.0022",56.59,-0.00563878146059992
"82","20.03.0019",56.24,-0.00620404365202305
"83","20.03.0018",56.31,0.00124389176411777
"84","20.03.0017",55.75,-0.00999472892629903
"85","20.03.0016",55.64,-0.00197504328498598
"86","20.03.0015",55.64,0
