"","ts","pr","rt"
"1","21.11.1983",7.897178,0
"2","22.11.1983",7.869074,-0.00356508696758763
"3","23.11.1983",7.826918,-0.0053715752866623
"4","25.11.1983",7.742607,-0.0108303656169431
"5","28.11.1983",7.531828,-0.0276006779613621
"6","29.11.1983",7.447517,-0.0112570863861255
"7","30.11.1983",7.447517,0
"8","01.12.1983",7.447517,0
"9","02.12.1983",7.433465,-0.00188858560230374
"10","05.12.1983",7.349153,-0.0114070341564864
"11","06.12.1983",7.377257,0.00381682081627917
"12","07.12.1983",7.447517,0.009478798942511
"13","08.12.1983",7.461568,0.00188489154901881
"14","09.12.1983",7.47562,0.00188147918407372
"15","12.12.1983",7.489672,0.00187794586697571
"16","13.12.1983",7.602088,0.0148979415531892
"17","14.12.1983",7.630192,0.00369006240562501
"18","15.12.1983",7.573984,-0.00739379181948643
"19","16.12.1983",7.61614,0.00555046268577778
"20","19.12.1983",7.588036,-0.00369688327838086
"21","20.12.1983",7.54588,-0.0055710774438799
"22","21.12.1983",7.503724,-0.00560228830707779
"23","22.12.1983",7.405361,-0.0131952332682108
"24","23.12.1983",7.363205,-0.00570889746423773
"25","27.12.1983",7.321049,-0.0057416761944412
"26","28.12.1983",7.377257,0.00764826558854331
"27","29.12.1983",7.363205,-0.00190658939410208
"28","30.12.1983",7.335101,-0.00382411881330126
"29","03.01.1984",7.54588,0.0283305378528275
"30","04.01.1984",7.770711,0.0293599470338711
"31","05.01.1984",7.84097,0.00900088521420676
"32","06.01.1984",7.981489,0.0177624343355204
"33","09.01.1984",7.883126,-0.0124004598218302
"34","10.01.1984",7.91123,0.00355874334611862
"35","11.01.1984",7.925282,0.00177463366779993
"36","12.01.1984",7.981489,0.0070670828079116
"37","13.01.1984",8.037697,0.00701761383784519
"38","16.01.1984",8.107957,0.00870332579941055
"39","17.01.1984",8.178216,0.00862810874775811
"40","18.01.1984",8.20632,0.00343055519696253
"41","19.01.1984",8.20632,0
"42","20.01.1984",8.262528,0.00682600486053797
"43","23.01.1984",8.220372,-0.00511513045836084
"44","24.01.1984",8.20632,-0.00171087440217701
"45","25.01.1984",8.220372,0.00171087440217705
"46","26.01.1984",8.178216,-0.00514142959913961
"47","27.01.1984",8.290632,0.0136521687513844
"48","30.01.1984",8.262528,-0.00339560869388403
"49","31.01.1984",8.304684,0.00508909899660813
"50","01.02.1984",8.332787,0.00337828107742837
"51","02.02.1984",8.403047,0.00839640412000817
"52","03.02.1984",8.27658,-0.015164538577995
"53","06.02.1984",8.234424,-0.00510642376483152
