"","ts","pr","rt"
"1","19.03.2008",14.125,0
"2","20.03.2008",16.0875,0.13009629588974
"3","24.03.2008",14.9325,-0.074502527297921
"4","25.03.2008",15.8125,0.0572607208634151
"5","26.03.2008",15.99,0.0111627603581239
"6","27.03.2008",15.7275,-0.0165527543838153
"7","28.03.2008",15.69,-0.00238720571710635
"8","31.03.2008",15.59,-0.00639388367525602
"9","01.04.2008",15.4025,-0.0120998491630964
"10","02.04.2008",15.58,0.0114582065360134
"11","03.04.2008",16.375,0.0497677410787133
"12","04.04.2008",16.120001,-0.015694982408096
"13","07.04.2008",16.26,0.00864730500644501
"14","08.04.2008",17.022499,0.0458278355095406
"15","09.04.2008",16.4475,-0.0343624496511893
"16","10.04.2008",16.5275,0.00485217024758016
"17","11.04.2008",16.5275,0
"18","14.04.2008",16.42,-0.00652555620131386
"19","15.04.2008",16.0875,-0.0204575311020373
"20","16.04.2008",16.535,0.0274367735115111
"21","17.04.2008",16.76,0.0135157486201809
"22","18.04.2008",17.25,0.0288170484234317
"23","21.04.2008",17.7425,0.0281507479396321
"24","22.04.2008",17.57,-0.00976998921799507
"25","23.04.2008",17.52,-0.00284981669076046
"26","24.04.2008",18.075001,0.0311867378616162
"27","25.04.2008",18.775,0.037996374280337
"28","28.04.2008",18.907499,0.00703241820878259
"29","29.04.2008",20.219999,0.0671135482773591
"30","30.04.2008",20.862499,0.0312810769187182
"31","01.05.2008",21.35,0.0230984986195754
"32","02.05.2008",20.6875,-0.031522086537352
"33","05.05.2008",21.264999,0.0275328285426852
"34","06.05.2008",21.8825,0.0286247489444893
"35","07.05.2008",22.125,0.0110209602695373
"36","08.05.2008",21.825001,-0.0136520433493135
"37","09.05.2008",20.715,-0.0521980720153147
"38","12.05.2008",20.475,-0.011653445790232
"39","13.05.2008",20.594999,0.00584364959343506
"40","14.05.2008",20.557501,-0.00182239282560885
"41","15.05.2008",20.5625,0.000243142018631281
"42","16.05.2008",20.592501,0.00145795186904438
"43","19.05.2008",20.83,0.0114672748782456
"44","20.05.2008",20.684999,-0.00698550370371758
"45","21.05.2008",20.2125,-0.0231075266659378
"46","22.05.2008",19.327499,-0.0447723244304828
"47","23.05.2008",19.0875,-0.0124952299279916
"48","27.05.2008",19.684999,0.0308232030508472
"49","28.05.2008",20.48,0.0395919265757091
"50","29.05.2008",21.3125,0.0398449548724285
"51","30.05.2008",21.59,0.0129364894829804
"52","02.06.2008",21.5175,-0.00336368698522356
"53","03.06.2008",21.889999,0.0171633083103178
"54","04.06.2008",21.370001,-0.0240417497261834
"55","05.06.2008",21.809999,0.0203804182373825
"56","06.06.2008",20.9125,-0.042021468050067
"57","09.06.2008",20.535,-0.0182163189044205
"58","10.06.2008",20.077499,-0.0225310121350409
"59","11.06.2008",19.434999,-0.032524222422859
"60","12.06.2008",19.889999,0.0231415297387366
"61","13.06.2008",20.3825,0.02445964696557
"62","16.06.2008",20.817499,0.0211172415363998
"63","17.06.2008",21.1675,0.0166730554429668
"64","18.06.2008",20.965,-0.00961260591156924
"65","19.06.2008",21.067499,0.00487714057516747
"66","20.06.2008",20.8925,-0.00834127830443946
"67","23.06.2008",20.264999,-0.0304950321593469
"68","24.06.2008",20.665001,0.0195462856205865
"69","25.06.2008",20.514999,-0.00728521920536647
"70","26.06.2008",19.775,-0.0367377634956099
"71","27.06.2008",20.65,0.0432968057533243
"72","30.06.2008",20.327499,-0.0157407195016284
"73","01.07.2008",20.352501,0.00122920369459423
"74","02.07.2008",19.855,-0.0247479390167928
"75","03.07.2008",19.5175,-0.0171443655709059
"76","07.07.2008",18.905001,-0.0318850087733549
"77","08.07.2008",19.764999,0.0444861559152083
"78","09.07.2008",18.967501,-0.04118560520231
"79","10.07.2008",19.3125,0.018025513706112
"80","11.07.2008",18.637501,-0.0355768209118439
"81","14.07.2008",18.145,-0.0267806930810867
"82","15.07.2008",17.105,-0.0590242222354657
"83","16.07.2008",18.057501,0.0541903478919468
"84","17.07.2008",18.764999,0.0384322129747673
"85","18.07.2008",18.35,-0.0223638047957026
"86","21.07.2008",17.975,-0.0206476708934689
"87","22.07.2008",18.512501,0.029464330004361
"88","23.07.2008",18.3125,-0.0108623468341854
"89","24.07.2008",17.52,-0.0442408012690407
"90","25.07.2008",17.99,0.0264729624541963
"91","28.07.2008",17.637501,-0.0197886740861331
"92","29.07.2008",18.9925,0.0740167905189309
"93","30.07.2008",19.612499,0.0321229026760197
"94","31.07.2008",18.264999,-0.071180461573536
"95","01.08.2008",17.932501,-0.0183718407145995
"96","04.08.2008",18.125,0.0106774359576147
"97","05.08.2008",18.4,0.0150584638742013
"98","06.08.2008",17.870001,-0.0292272794838958
"99","07.08.2008",17.375,-0.0280909936801882
"100","08.08.2008",18.15,0.0436381692600038
"101","11.08.2008",18.6975,0.029719264372826
"102","12.08.2008",18.200001,-0.0269681760558825
"103","13.08.2008",18.4825,0.0154026894213151
"104","14.08.2008",18.945,0.0247157060214459
"105","15.08.2008",18.9475,0.000131952233483141
"106","18.08.2008",18.735001,-0.0112785110823638
"107","19.08.2008",18.434999,-0.0161425081802204
"108","20.08.2008",18.6425,0.0111929429943496
"109","21.08.2008",18.594999,-0.00255124683667807
"110","22.08.2008",18.522499,-0.00390651827885376
"111","25.08.2008",18.33,-0.0104470934686674
"112","26.08.2008",18.334999,0.000272685131178048
"113","27.08.2008",18.612499,0.0150215973000006
"114","28.08.2008",18.9125,0.0159897348316822
"115","29.08.2008",18.975,0.00329924416721927
"116","02.09.2008",18.747499,-0.0120619664287331
"117","03.09.2008",18.262501,-0.0262105250191285
"118","04.09.2008",17.625,-0.0355314831354998
"119","05.09.2008",17.940001,0.0177145636736762
"120","08.09.2008",17.525,-0.0234044794513548
"121","09.09.2008",16.872499,-0.0379434145532706
"122","10.09.2008",17.26,0.0227066672878988
"123","11.09.2008",17.737499,0.0272893004531466
"124","12.09.2008",17.9125,0.00981780704586177
"125","15.09.2008",17.344999,-0.0321945703860813
"126","16.09.2008",16.5875,-0.0446548231098832
"127","17.09.2008",16.022499,-0.0346554776743158
"128","18.09.2008",16.725,0.0429106840302821
"129","19.09.2008",17.3925,0.039134472801367
"130","22.09.2008",16.295,-0.0651807665261342
"131","23.09.2008",16.725,0.0260462937247672
"132","24.09.2008",16.42,-0.0184045019900099
"133","25.09.2008",16.15,-0.0165800543556168
"134","26.09.2008",15.51,-0.040435072480218
"135","29.09.2008",14.45,-0.0707905626300063
"136","30.09.2008",15.3475,0.0602581797610733
"137","01.10.2008",15.3275,-0.00130399366480838
"138","02.10.2008",14.3975,-0.0625940202560155
"139","03.10.2008",14.21,-0.0131086382896811
"140","06.10.2008",13.845,-0.0260217854860841
"141","07.10.2008",12.7875,-0.0794560253451804
"142","08.10.2008",13.1575,0.0285238069680522
"143","09.10.2008",12.4625,-0.0542678029578403
"144","10.10.2008",13,0.0422252221735799
"145","13.10.2008",14.7175,0.124087904458743
"146","14.10.2008",14.4025,-0.0216354592958782
"147","15.10.2008",12.4375,-0.14668570013969
"148","16.10.2008",13.2675,0.0646013332352019
"149","17.10.2008",13.055,-0.0161462335688208
"150","20.10.2008",13.0025,-0.00402955548600169
"151","21.10.2008",12.675,-0.0255100971878435
"152","22.10.2008",12.1275,-0.0441559483400124
"153","23.10.2008",12.08,-0.00392440863056562
"154","24.10.2008",11.995,-0.00706129621501101
"155","27.10.2008",11.6475,-0.029398331582843
"156","28.10.2008",12.4925,0.0700368995274081
"157","29.10.2008",12.6725,0.0143058271281442
"158","30.10.2008",13.5625,0.0678743399363109
"159","31.10.2008",13.8375,0.0200736667340769
"160","03.11.2008",13.1225,-0.0530539838904374
"161","04.11.2008",14.9525,0.130550195792257
"162","05.11.2008",14.1175,-0.0574633473717204
"163","06.11.2008",12.8825,-0.0915453613446124
"164","07.11.2008",13.375,0.0375174915618279
"165","10.11.2008",12.9975,-0.0286302615063365
"166","11.11.2008",13.4475,0.0340361838895267
"167","12.11.2008",12.9375,-0.0386631441396727
"168","13.11.2008",13.61,0.0506747456377869
"169","14.11.2008",13.56,-0.00368053415112512
"170","17.11.2008",13.19,-0.0276653157830263
"171","18.11.2008",13.66,0.0350128874134209
"172","19.11.2008",12.895,-0.0576322148093359
"173","20.11.2008",12.035,-0.0690205680982727
"174","21.11.2008",11.595,-0.0372451005275402
"175","24.11.2008",12.43,0.0695389348151248
"176","25.11.2008",12.3825,-0.00382872004236398
"177","26.11.2008",13,0.048665171981281
"178","28.11.2008",13.14,0.0107116555949278
"179","01.12.2008",12.0125,-0.0897132387600537
"180","02.12.2008",12.42,0.033360302208922
"181","03.12.2008",13.11,0.0540672212702758
"182","04.12.2008",12.7025,-0.0315764732898585
"183","05.12.2008",13.295,0.0455892002092331
"184","08.12.2008",14.04,0.054522373902682
"185","09.12.2008",13.3825,-0.0479625153122656
"186","10.12.2008",13.29,-0.00693601056024539
"187","11.12.2008",13.0225,-0.0203332420879443
"188","12.12.2008",13.2375,0.0163750802903152
"189","15.12.2008",13.1875,-0.00378429969123962
"190","16.12.2008",13.6925,0.0375788264394542
"191","17.12.2008",13.84,0.0107147125137841
"192","18.12.2008",13.675,-0.0119936018814785
"193","19.12.2008",13.7425,0.00492387244463336
"194","22.12.2008",13.4375,-0.0224439148647968
"195","23.12.2008",13.4125,-0.00186219793106476
"196","24.12.2008",13.2225,-0.0142671839988189
"197","26.12.2008",13.3125,0.00678351951164583
"198","29.12.2008",13.0425,-0.0204901875552331
"199","30.12.2008",12.7475,-0.022878081967237
"200","31.12.2008",13.1125,0.0282307997752418
"201","02.01.2009",13.36,0.0186991943860839
"202","05.01.2009",13.455,0.00708561607036961
"203","06.01.2009",14.4025,0.068051018445532
"204","07.01.2009",14.09,-0.0219364767138123
"205","08.01.2009",13.94,-0.010702920578211
"206","09.01.2009",13.905,-0.00251391764644971
"207","12.01.2009",13.24,-0.049005937177066
"208","13.01.2009",13.285,0.00339302870291477
"209","14.01.2009",12.7425,-0.0416927159797172
"210","15.01.2009",12.345,-0.0316917404349168
"211","16.01.2009",11.8525,-0.0407123070030066
"212","20.01.2009",10.605,-0.11121322777749
"213","21.01.2009",11.045,0.0406522488554348
"214","22.01.2009",11.045,0
"215","23.01.2009",11.08,0.00316384444705734
"216","26.01.2009",10.6475,-0.0398165585039061
"217","27.01.2009",11.0375,0.0359734431148468
"218","28.01.2009",11.805,0.0672246046073978
"219","29.01.2009",11.5675,-0.0203237287384586
"220","30.01.2009",12.3375,0.0644439629605824
"221","02.02.2009",12.4925,0.0124850594766231
"222","03.02.2009",12.0975,-0.0321296445508864
"223","04.02.2009",12.2825,0.0151766653753297
"224","05.02.2009",13.435,0.0896877570067882
"225","06.02.2009",13.8525,0.0306024796919131
"226","09.02.2009",13.83,-0.00162557608270074
"227","10.02.2009",13.4625,-0.0269321031941599
"228","11.02.2009",13.74,0.0204032443116963
"229","12.02.2009",14.1,0.0258635105899194
"230","13.02.2009",13.9875,-0.00801072374607886
"231","17.02.2009",13.5625,-0.0308554423373654
"232","18.02.2009",14.0375,0.0344236887638833
"233","19.02.2009",13.9075,-0.00930405709725024
"234","20.02.2009",13.915,0.000539132010542807
"235","23.02.2009",13.5625,-0.0256587636771757
"236","24.02.2009",14.0875,0.0379792480652165
"237","25.02.2009",13.855,-0.0166417010509529
"238","26.02.2009",14.015,0.0114820063018098
"239","27.02.2009",14.1775,0.0115280162892944
"240","02.03.2009",13.54,-0.0460079334219172
"241","03.03.2009",13.59,0.00368596067892356
"242","04.03.2009",13.8225,0.0169634710668987
"243","05.03.2009",13.355,-0.0344068526680267
"244","06.03.2009",12.5475,-0.0623694040149726
"245","09.03.2009",12.45,-0.00780081963623507
"246","10.03.2009",13.2175,0.0598210862167515
"247","11.03.2009",12.8425,-0.0287817257681823
"248","12.03.2009",13.5225,0.0515949814041591
"249","13.03.2009",13.0125,-0.0384445308223578
"250","16.03.2009",13.0425,0.0023028219733235
"251","17.03.2009",13.8225,0.0580844433155402
"252","18.03.2009",14.0775,0.0182800789166857
"253","19.03.2009",13.1725,-0.0664464550453328
"254","20.03.2009",13.1325,-0.00304124925532412
"255","23.03.2009",13.885,0.0557190469127834
"256","24.03.2009",13.4,-0.0355544138018971
"257","25.03.2009",13.1875,-0.0159852957205805
"258","26.03.2009",13.875,0.0508192483962129
"259","27.03.2009",13.5625,-0.0227800283318199
"260","30.03.2009",13.375,-0.0139213385186081
"261","31.03.2009",13.9,0.0385015473545759
"262","01.04.2009",13.5725,-0.023843153339177
"263","02.04.2009",13.8975,0.0236632810480185
"264","03.04.2009",15.02,0.0776736784905011
"265","06.04.2009",14.7825,-0.0159385976231406
"266","07.04.2009",14.2875,-0.034059019591919
"267","08.04.2009",14.455,0.0116553463473804
"268","09.04.2009",14.6975,0.0166370358259634
"269","13.04.2009",15.2775,0.0387037464926605
"270","14.04.2009",14.5825,-0.046558978141278
"271","15.04.2009",14.7775,0.013283574070732
"272","16.04.2009",14.5175,-0.0177509354523196
"273","17.04.2009",14.5,-0.00120616883753913
"274","20.04.2009",13.75,-0.0531098253139484
"275","21.04.2009",14.6575,0.0639133257436529
"276","22.04.2009",14.3775,-0.019287665250461
"277","23.04.2009",14.5575,0.0124418401233657
"278","24.04.2009",15.095,0.0362572384296642
"279","27.04.2009",14.7175,-0.0253263012385228
"280","28.04.2009",15.1775,0.0307768061021727
"281","29.04.2009",15.8775,0.0450889446725407
"282","30.04.2009",16.24,0.022574322038539
"283","01.05.2009",16.252501,0.000769469891948528
"284","04.05.2009",17.049999,0.0479033404530174
"285","05.05.2009",16.8475,-0.0119478672402626
"286","06.05.2009",16.547501,-0.0179671843952066
"287","07.05.2009",16.3825,-0.0100214015115136
"288","08.05.2009",17.1075,0.0433032719130009
"289","11.05.2009",16.4825,-0.0372177518391981
"290","12.05.2009",16.305,-0.0108274027640354
"291","13.05.2009",16.1175,-0.0115661710386443
"292","14.05.2009",16.129999,0.000775191938197319
"293","15.05.2009",16.2675,0.00848842224616647
"294","18.05.2009",16.602501,0.0203840942776206
"295","19.05.2009",16.200001,-0.0245420426978912
"296","20.05.2009",16.24,0.0024660307668002
"297","21.05.2009",16.57,0.0201164967049399
"298","22.05.2009",16.4375,-0.00802852150048823
"299","26.05.2009",16.692499,0.0153941469047579
"300","27.05.2009",16.48,-0.0128119323614155
"301","28.05.2009",16.625,0.00876006206059212
"302","29.05.2009",16.9275,0.0180319318357454
"303","01.06.2009",16.665001,-0.0156287466119615
"304","02.06.2009",16.702499,0.00224757718051499
"305","03.06.2009",17.057501,0.0210316993864612
"306","04.06.2009",17.379999,0.018730013967167
"307","05.06.2009",17.32,-0.00345815916555594
"308","08.06.2009",17.450001,0.00747780282073563
"309","09.06.2009",17.157499,-0.0169043684379233
"310","10.06.2009",17.317499,0.00928215565246429
"311","11.06.2009",16.68,-0.0375070962389652
"312","12.06.2009",16.09,-0.0360124359263089
"313","15.06.2009",16.1075,0.00108704102636864
"314","16.06.2009",15.615,-0.0310530112956187
"315","17.06.2009",15.3375,-0.017931180698012
"316","18.06.2009",15.3525,0.000977517184387347
"317","19.06.2009",15.3425,-0.000651571940302183
