"","ts","pr","rt"
"1","20.07.0015",67292.59,0
"2","20.07.0014",67631.56,0.005024611430295
"3","20.07.0013",67448.53,-0.00270994951234776
"4","20.07.0012",67162.04,-0.0042565815234812
"5","20.07.0009",67128.8,-0.000495044943926659
"6","20.07.0008",66598.05,-0.00793786418902504
"7","20.07.0007",67917.27,0.0196150490105701
"8","20.07.0006",66651.18,-0.018817595954885
"9","20.07.0005",67350.36,0.0104354971595659
"10","20.07.0002",67027.89,-0.0047994466217474
"11","20.07.0001",66836.25,-0.00286320340788773
"12","20.06.0030",66067.21,-0.0115730408139274
"13","20.06.0029",67264.87,0.0179655520711062
"14","20.06.0028",67999.07,0.0108559193307825
"15","20.06.0025",67947.66,-0.000756325693904841
"16","20.06.0024",67745.39,-0.00298128975383965
"17","20.06.0023",66733.76,-0.0150454413652853
"18","20.06.0022",66200.05,-0.00802975356927861
"19","20.06.0021",65947.24,-0.00382618982837137
"20","20.06.0018",65988.89,0.000631366122131429
"21","20.06.0017",65806.48,-0.00276808079787473
"22","20.06.0016",66180.17,0.00566255751648406
"23","20.06.0015",66316.44,0.00205695901272359
"24","20.06.0014",66924.39,0.00912564442948521
"25","20.06.0011",66210.63,-0.0107224506138028
"26","20.06.0010",66507.19,0.00446903804752018
"27","20.06.0009",66114.56,-0.00592106720205098
"28","20.06.0008",66497.71,0.005778516062716
"29","20.06.0007",66771.72,0.00411212663123403
"30","20.06.0004",66877.18,0.00157816520582326
"31","20.06.0002",66757.97,-0.00178411191398376
"32","20.06.0001",66278.91,-0.00720194386180805
"33","20.05.0031",66284.71,8.75051541847837e-05
"34","20.05.0028",66195.47,-0.001347220595527
"35","20.05.0027",65400.51,-0.0120819750006853
"36","20.05.0026",64427.81,-0.0149846844021735
"37","20.05.0025",64055.2,-0.00580016057543008
"38","20.05.0024",63639.36,-0.00651306476945918
"39","20.05.0021",63626.19,-0.000206968815158851
"40","20.05.0020",63262.41,-0.00573386414022543
"41","20.05.0019",62778.65,-0.00767626637642493
"42","20.05.0018",63307.2,0.00838401923857954
"43","20.05.0017",63095.13,-0.00335547926970806
"44","20.05.0014",62237.55,-0.0136850721457348
"45","20.05.0013",62004.52,-0.00375122972856308
"46","20.05.0012",62214.14,0.00337501948543799
"47","20.05.0011",62552.31,0.00542086158761842
"48","20.05.0010",62757.16,0.00326950840158835
"49","20.05.0007",62109,-0.0103817691135474
"50","20.05.0006",60898.92,-0.0196754654062296
"51","20.05.0005",60936.81,0.000621985048582031
"52","20.05.0004",59960.14,-0.0161574174954387
"53","20.04.0030",60810.55,0.0140832855345576
"54","20.04.0029",61043.33,0.00382064622257333
