"","Nr","Code","Name","Group","Source","Timespan","n","decimals","pr_tied","pr_NAs","rt_tied","rt_NAs","pr_unique","pr_ties","rt_unique","rt_ties","pr_avg_tie_length","pr_max_tie_length","rt_avg_tie_length","rt_max_tie_length"
"1","1","SX5E","EURO STOXX 50","Europa","_YF.csv","1950-01-01 to 2021-07-15","3590","2","97","14","33","27","3535","42","3559","2","1.01555869872702","14","1.00871031188536","27"
"2","1","SX5E","EURO STOXX 50","Europa","_YF.csv","2010-01-01 to 2021-07-15","2896","2","69","8","15","15","2858","31","2882","1","1.01329601119664","8","1.00485773768217","15"
"3","1","SX5E","EURO STOXX 50","Europa","_YF.csv","2000-01-01 to 2009-12-31","694","2","20","6","18","12","682","8","678","2","1.01759530791789","6","1.023598820059","12"
"4","1","SX5E","EURO STOXX 50","Europa","_EI.csv","1950-01-01 to 2021-07-15","5124","2","148","8","19","14","5047","71","5107","2","1.01525658807212","8","1.00332876444096","14"
"5","1","SX5E","EURO STOXX 50","Europa","_EI.csv","2010-01-01 to 2021-07-15","2961","2","66","0","5","0","2928","33","2957","1","1.01127049180328","2","1.00135272235374","5"
"6","1","SX5E","EURO STOXX 50","Europa","_EI.csv","2000-01-01 to 2009-12-31","2163","2","30","8","14","14","2145","12","2150","1","1.00839160839161","8","1.00604651162791","14"
"7","2","DAX30","Deutscher Aktienindex","Europa","_YF.csv","1950-01-01 to 2021-07-15","8397","2","235","159","272","272","8201","39","8126","1","1.02389952444824","159","1.03334974157027","272"
"8","2","DAX30","Deutscher Aktienindex","Europa","_YF.csv","2010-01-01 to 2021-07-15","2925","2","15","5","10","10","2916","6","2916","1","1.00308641975309","5","1.00308641975309","10"
"9","2","DAX30","Deutscher Aktienindex","Europa","_YF.csv","2000-01-01 to 2009-12-31","2580","2","44","38","61","61","2540","4","2520","1","1.01574803149606","38","1.02380952380952","61"
"10","2","DAX30","Deutscher Aktienindex","Europa","_YF.csv","1990-01-01 to 1999-12-31","2610","2","142","104","180","180","2488","20","2431","1","1.04903536977492","104","1.07363225010284","180"
"11","2","DAX30","Deutscher Aktienindex","Europa","_YF.csv","1980-01-01 to 1989-12-31","282","2","20","12","21","21","267","5","262","1","1.0561797752809","12","1.0763358778626","21"
"12","2","DAX30","Deutscher Aktienindex","Europa","_IN.csv","1950-01-01 to 2021-07-15","5217","2","27","0","7","0","5203","13","5211","1","1.00269075533346","3","1.00115141047784","7"
"13","2","DAX30","Deutscher Aktienindex","Europa","_IN.csv","2010-01-01 to 2021-07-15","2926","2","14","0","3","0","2919","7","2924","1","1.00239808153477","2","1.00068399452804","3"
"14","2","DAX30","Deutscher Aktienindex","Europa","_IN.csv","2000-01-01 to 2009-12-31","2291","2","13","0","4","0","2284","6","2288","1","1.00306479859895","3","1.00131118881119","4"
"15","2","DAX30","Deutscher Aktienindex","Europa","_EI.csv","1950-01-01 to 2021-07-15","5067","2","16","0","0","0","5059","8","5067","0","1.00158134018581","2","1","1"
"16","2","DAX30","Deutscher Aktienindex","Europa","_EI.csv","2010-01-01 to 2021-07-15","2924","2","10","0","0","0","2919","5","2924","0","1.00171291538198","2","1","1"
"17","2","DAX30","Deutscher Aktienindex","Europa","_EI.csv","2000-01-01 to 2009-12-31","2143","2","6","0","0","0","2140","3","2143","0","1.00140186915888","2","1","1"
"18","3","FTSE","Financial Times Stock Exchange","Europa","_IN.csv","1950-01-01 to 2021-07-15","5187","2","265","0","6","0","5053","131","5182","1","1.02651889966357","3","1.00096487842532","6"
"19","3","FTSE","Financial Times Stock Exchange","Europa","_IN.csv","2010-01-01 to 2021-07-15","2914","2","36","0","3","0","2896","18","2912","1","1.00621546961326","2","1.00068681318681","3"
"20","3","FTSE","Financial Times Stock Exchange","Europa","_IN.csv","2000-01-01 to 2009-12-31","2273","1","187","0","3","0","2178","92","2271","1","1.04361799816345","3","1.00088066930867","3"
"21","3","FTSE","Financial Times Stock Exchange","Europa","_EI.csv","1950-01-01 to 2021-07-15","5048","2","74","0","4","0","5011","37","5045","1","1.00738375573738","2","1.0005946481665","4"
"22","3","FTSE","Financial Times Stock Exchange","Europa","_EI.csv","2010-01-01 to 2021-07-15","2915","2","38","0","3","0","2896","19","2913","1","1.00656077348066","2","1.0006865774116","3"
"23","3","FTSE","Financial Times Stock Exchange","Europa","_EI.csv","2000-01-01 to 2009-12-31","2133","2","14","0","0","0","2126","7","2133","0","1.0032925682032","2","1","1"
"24","4","CAC40","Cotation Assistée en Continu","Europa","_YF.csv","1950-01-01 to 2021-07-15","3716","2","55","3","6","6","3688","27","3711","1","1.00759219088937","3","1.00134734572891","6"
"25","4","CAC40","Cotation Assistée en Continu","Europa","_YF.csv","2010-01-01 to 2021-07-15","2949","2","43","3","6","6","2927","21","2944","1","1.00751622822002","3","1.00169836956522","6"
"26","4","CAC40","Cotation Assistée en Continu","Europa","_YF.csv","2000-01-01 to 2009-12-31","767","2","2","0","0","0","766","1","767","0","1.00130548302872","2","1","1"
"27","4","CAC40","Cotation Assistée en Continu","Europa","_IN.csv","1950-01-01 to 2021-07-15","8625","2","207","0","17","0","8521","103","8609","1","1.01220514024176","3","1.00185852015333","17"
"28","4","CAC40","Cotation Assistée en Continu","Europa","_IN.csv","2010-01-01 to 2021-07-15","2953","2","40","0","0","0","2933","20","2953","0","1.00681895669963","2","1","1"
"29","4","CAC40","Cotation Assistée en Continu","Europa","_IN.csv","2000-01-01 to 2009-12-31","2554","2","16","0","2","0","2546","8","2553","1","1.00314218381775","2","1.00039169604387","2"
"30","4","CAC40","Cotation Assistée en Continu","Europa","_IN.csv","1990-01-01 to 1999-12-31","2502","2","42","0","5","0","2481","21","2498","1","1.00846432889964","2","1.00160128102482","5"
"31","4","CAC40","Cotation Assistée en Continu","Europa","_IN.csv","1980-01-01 to 1989-12-31","616","2","25","0","9","0","603","12","608","1","1.02155887230514","3","1.01315789473684","9"
"32","4","CAC40","Cotation Assistée en Continu","Europa","_EI.csv","1950-01-01 to 2021-07-15","4189","3","1622","10","60","20","3288","721","4135","6","1.27402676399027","10","1.0130592503023","32"
"33","4","CAC40","Cotation Assistée en Continu","Europa","_EI.csv","2010-01-01 to 2021-07-15","2953","3","855","8","34","16","2493","395","2922","3","1.18451664661051","8","1.01060917180014","16"
"34","4","CAC40","Cotation Assistée en Continu","Europa","_EI.csv","2000-01-01 to 2009-12-31","1236","3","402","2","24","4","1019","185","1216","4","1.21295387634936","5","1.01644736842105","16"
"35","5","RTSI","Russian Trading System Index","Europa","_IN.csv","1950-01-01 to 2021-07-15","6476","2","254","0","8","0","6347","125","6469","1","1.02032456278557","3","1.0010820837842","8"
"36","5","RTSI","Russian Trading System Index","Europa","_IN.csv","2010-01-01 to 2021-07-15","2899","2","93","0","0","0","2852","46","2899","0","1.01647966339411","3","1","1"
"37","5","RTSI","Russian Trading System Index","Europa","_IN.csv","2000-01-01 to 2009-12-31","2493","2","59","0","2","0","2463","29","2492","1","1.0121802679659","3","1.00040128410915","2"
"38","5","RTSI","Russian Trading System Index","Europa","_IN.csv","1990-01-01 to 1999-12-31","1084","2","47","0","5","0","1060","23","1080","1","1.02264150943396","3","1.0037037037037","5"
"39","6","MOEX","Moscow Exchange","Europa","_YF.csv","1950-01-01 to 2021-07-15","2098","2","74","38","58","56","2043","19","2042","2","1.02692119432208","38","1.02742409402547","56"
"40","6","MOEX","Moscow Exchange","Europa","_YF.csv","2010-01-01 to 2021-07-15","2098","2","74","38","58","56","2043","19","2042","2","1.02692119432208","38","1.02742409402547","56"
"41","6","MOEX","Moscow Exchange","Europa","_IN.csv","1950-01-01 to 2021-07-15","5959","2","249","0","17","0","5833","123","5943","1","1.02160123435625","5","1.00269224297493","17"
"42","6","MOEX","Moscow Exchange","Europa","_IN.csv","2010-01-01 to 2021-07-15","2899","2","94","0","3","0","2852","47","2897","1","1.01647966339411","2","1.0006903693476","3"
"43","6","MOEX","Moscow Exchange","Europa","_IN.csv","2000-01-01 to 2009-12-31","2491","2","68","0","6","0","2457","34","2486","1","1.01383801383801","2","1.00201126307321","6"
"44","6","MOEX","Moscow Exchange","Europa","_IN.csv","1990-01-01 to 1999-12-31","569","2","41","0","8","0","547","19","562","1","1.04021937842779","5","1.01245551601423","8"
"45","6","MOEX","Moscow Exchange","Europa","_EI.csv","1950-01-01 to 2021-07-15","4998","4","178","0","7","0","4909","89","4992","1","1.01812996536973","2","1.00120192307692","7"
"46","6","MOEX","Moscow Exchange","Europa","_EI.csv","2010-01-01 to 2021-07-15","2897","2","92","0","2","0","2851","46","2896","1","1.0161346895826","2","1.0003453038674","2"
"47","6","MOEX","Moscow Exchange","Europa","_EI.csv","2000-01-01 to 2009-12-31","2101","4","40","0","5","0","2081","20","2097","1","1.00961076405574","2","1.00190748688603","5"
"48","7","IBEX35","Índice Bursátil Español","Europa","_YF.csv","1950-01-01 to 2021-07-15","7223","1","866","139","260","247","6715","358","6965","2","1.07565152643336","139","1.03704235463029","247"
"49","7","IBEX35","Índice Bursátil Español","Europa","_YF.csv","2010-01-01 to 2021-07-15","2951","1","210","3","8","6","2845","104","2945","2","1.03725834797891","3","1.00203735144312","6"
"50","7","IBEX35","Índice Bursátil Español","Europa","_YF.csv","2000-01-01 to 2009-12-31","2583","1","167","61","107","107","2470","54","2477","1","1.04574898785425","61","1.04279370205894","107"
"51","7","IBEX35","Índice Bursátil Español","Europa","_YF.csv","1990-01-01 to 1999-12-31","1689","1","180","75","144","134","1561","52","1547","2","1.08199871877002","75","1.0917905623788","134"
"52","8","AEX25","Amsterdam Exch. Index","Europa","_YF.csv","1950-01-01 to 2021-07-15","7425","6","1029","93","170","160","6845","449","7257","2","1.08473338203068","93","1.02315006200909","160"
"53","8","AEX25","Amsterdam Exch. Index","Europa","_YF.csv","2010-01-01 to 2021-07-15","2950","2","280","1","4","2","2805","135","2948","2","1.05169340463458","3","1.00067842605156","2"
"54","8","AEX25","Amsterdam Exch. Index","Europa","_YF.csv","2000-01-01 to 2009-12-31","2591","2","230","37","67","63","2456","95","2526","2","1.0549674267101","37","1.02573238321457","63"
"55","8","AEX25","Amsterdam Exch. Index","Europa","_YF.csv","1990-01-01 to 1999-12-31","1884","6","123","55","99","95","1795","34","1787","2","1.04958217270195","55","1.05428091773923","95"
"56","8","AEX25","Amsterdam Exch. Index","Europa","_EI.csv","1950-01-01 to 2021-07-15","5118","2","788","0","15","0","4705","375","5105","2","1.08777895855473","5","1.00254652301665","13"
"57","8","AEX25","Amsterdam Exch. Index","Europa","_EI.csv","2010-01-01 to 2021-07-15","2953","2","278","0","5","0","2809","134","2950","2","1.05126379494482","3","1.00101694915254","3"
